date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_jyeshta
-600-01-01	125226	1501914.5	-0.6881172774111834	0.4965907585683785	-0.5606720298554169	1.1270568128057674	-0.1039038741684363	0.0	1.7126027730306652	287.42443636654014	223.9045590457444	259.8117830282922	24.21463228374625	274.1753530506511	281.05155490202424	324.5902958826936	213.661
-600-01-08	125227	1501921.5	-0.6978874628990134	0.4113647851502825	-1.3079332620941944	4.826114609037329	-0.11302824808096434	0.0	2.890098116481365	289.101663115091	228.745948301248	270.1353576305925	121.56469450733948	275.0064957428698	288.1248693893204	328.93693750571543	213.6610378082192
-600-01-15	125228	1501928.5	-0.7087599739999233	0.31874049548495365	-1.8239552589119497	-2.5892907148441835	-0.12232524443747195	0.0	4.200625105174854	290.78022123758166	233.5989997272879	281.23192119910544	220.99997374504346	275.82403610368266	295.1747805396272	332.04396782609894	213.66107561643835
-600-01-22	125229	1501935.5	-0.7207819533737742	0.21833351012616672	-2.0517498153211573	-4.573586075025089	-0.13182330050360494	0.0	5.591792403779394	292.452697895136	238.46222582137563	293.12683613961843	307.81418925544614	276.62157072148017	302.199179749123	333.563371595557	213.66111342465754
-600-01-29	125230	1501942.5	-0.7340023315789558	0.10977227703220888	-1.91912518078048	2.0050768025541834	-0.14154946910853572	0.0	6.941689166501755	294.1117637781465	243.3338459639516	305.8867169333247	32.99159235179423	277.3928023111855	309.19638198317483	333.1703056327742	213.6611512328767
-600-02-05	125231	1501949.5	-0.7484719632186935	-0.007294998652307473	-1.34468436469767	4.391786540719314	-0.1515290735099001	0.0	8.02649777624447	295.7501261031154	248.21172701174373	319.4819053723316	131.2116442475516	278.13155627304525	316.1651419791317	330.77248338757283	213.6611890410959
-600-02-12	125232	1501956.5	-0.7642435686547732	-0.13319309756441425	-0.28741258121332913	-3.3514140503747862	-0.16178529227575408	0.0	8.555378443542741	297.36047983652736	253.0933142364043	333.44045116747225	229.9373800025084	278.8318010036798	323.10466152280355	326.8295909416635	213.66122684931506
-600-02-19	125233	1501963.5	-0.7813714418747875	-0.26821242798616496	1.1176904247707122	-4.103925770277667	-0.17233866055642835	0.0	8.336262677386898	298.9354578904831	257.9755519564144	346.3255447366018	316.17362630975987	279.48767391564843	330.0145884411025	322.47004201280004	213.66126465753425
-600-02-26	125234	1501970.5	-0.7999108696767955	-0.4126018516004434	2.470720842857472	2.8236285166863637	-0.18320647585581493	0.0	7.4425132114164425	300.4675813227353	262.85479307848897	355.9959694177465	41.84117263446268	280.09351525517314	336.8950081482172	319.0303594304143	213.66130246575344
-600-03-05	125235	1501977.5	-0.8199171893204952	-0.5665620323214456	3.2725215149931564	3.792796319144872	-0.19440209953785745	0.0	6.14997600397122	301.94921098879814	267.7266965232294	0.8891140330962912	140.84860268328597	280.6439118920482	343.74642869679093	317.36874886446185	213.6613402739726
