UTC_Date,EclType,PenMag,UmbralMag,PenEclipseBegins,Alt1,PartialEclipseBegins,Alt2,TotalEclipseBegins,Alt3,MidEclipse,Alt4,TotalEclipseEnds,Alt5,PartialEclipseEnds,Alt6,PenEclipseEnds,Alt7
b1999-06-26,N,0.879,-0.192,04:35,+06,-,-,-,-,06:50,-20,-,-,-,-,09:04,-48
b1998-05-16,P,1.210,0.207,20:03,+17,21:33,+32,-,-,22:24,+40,-,-,23:15,+45,00:45,+46
b1998-11-10,P,2.038,0.974,19:01,+16,20:12,+31,-,-,21:53,+53,-,-,23:33,+71,00:44,+73
b1997-10-30,T,2.506,1.401,20:24,+33,21:37,+48,22:46,+61,23:31,+67,00:16,+70,01:26,+64,02:38,+51
b1996-04-25,P,1.656,0.716,02:10,+44,03:12,+34,-,-,04:35,+18,-,-,05:58,+00,06:59,-13
b1996-10-18,P,1.269,0.176,20:03,+26,21:48,+47,-,-,22:38,+56,-,-,23:28,+63,01:12,+63
b1995-04-14,N,0.268,-0.701,19:40,+15,-,-,-,-,20:50,+29,-,-,-,-,22:00,+41
b1995-10-08,N,0.084,-0.957,02:01,+51,-,-,-,-,02:43,+44,-,-,-,-,03:25,+36
b1994-03-05,P,1.993,0.936,15:52,-27,17:05,-14,-,-,18:46,+06,-,-,20:27,+28,21:39,+43
b1994-08-29,P,1.862,0.899,01:34,+40,02:34,+34,-,-,04:04,+20,-,-,05:34,+03,06:34,-09
b1993-02-22,T,2.441,1.357,16:32,-18,17:44,-04,18:54,+10,19:38,+19,20:22,+28,21:32,+43,22:44,+58
b1993-08-18,T,2.540,1.574,17:44,-17,18:39,-06,19:37,+05,20:24,+14,21:10,+22,22:09,+31,23:04,+38
b1992-02-11,P,1.117,0.057,18:25,+06,20:20,+30,-,-,20:49,+36,-,-,21:17,+42,23:12,+66
b1991-01-01,N,0.845,-0.144,15:05,-25,-,-,-,-,17:02,-06,-,-,-,-,18:59,+16
b1991-06-28,N,0.830,-0.238,00:00,+36,-,-,-,-,02:10,+29,-,-,-,-,04:21,+10
b1991-12-22,T,2.104,1.136,05:44,+17,06:41,+05,07:52,-08,08:18,-12,08:44,-17,09:55,-27,10:52,-34
b1990-06-16,T,2.207,1.144,23:39,+38,00:51,+37,02:10,+31,02:40,+27,03:09,+23,04:28,+09,05:40,-04
b1990-12-11,T,2.355,1.362,20:47,+43,21:46,+55,22:49,+68,23:29,+76,00:10,+82,01:13,+76,02:11,+65
b1989-06-06,T,2.121,1.104,04:22,+11,05:28,-02,06:46,-18,07:11,-23,07:36,-28,08:55,-45,10:01,-58
b1988-05-25,N,0.753,-0.211,17:08,-21,-,-,-,-,18:59,+01,-,-,-,-,20:50,+22
b1988-10-20,N,0.490,-0.616,16:06,-25,-,-,-,-,17:51,-03,-,-,-,-,19:37,+20
b1987-04-16,P,1.635,0.690,02:37,+43,03:39,+31,-,-,05:01,+15,-,-,06:24,-03,07:26,-16
b1987-10-09,P,1.750,0.670,14:57,-42,16:16,-26,-,-,17:46,-07,-,-,19:15,+12,20:35,+28
b1986-04-05,T,2.683,1.698,17:25,-13,18:23,-01,19:22,+12,20:12,+22,21:02,+32,22:01,+44,22:59,+53
b1986-09-28,T,2.687,1.666,21:12,+34,22:13,+45,23:14,+53,00:03,+56,00:53,+56,01:53,+50,02:54,+41
b1985-03-26,P,1.245,0.204,02:42,+51,04:18,+31,-,-,05:10,+20,-,-,06:03,+09,07:38,-11
b1984-08-08,N,0.692,-0.280,18:07,-13,-,-,-,-,19:54,+08,-,-,-,-,21:40,+26
b1984-09-07,N,0.199,-0.766,04:15,+19,-,-,-,-,05:14,+07,-,-,-,-,06:12,-04
b1983-02-01,P,1.965,0.917,14:28,-34,15:39,-24,-,-,17:18,-08,-,-,18:56,+12,20:07,+26
b1983-07-29,P,1.989,0.968,05:15,+01,06:22,-12,-,-,08:00,-32,-,-,09:39,-53,10:46,-67
b1982-01-22,T,2.413,1.418,00:02,+82,01:01,+81,02:03,+69,02:46,+60,03:29,+51,04:32,+37,05:31,+25
b1981-01-11,P,1.160,0.195,15:29,-22,16:51,-09,-,-,17:37,+00,-,-,18:24,+09,19:46,+25
b1981-12-02,N,0.809,-0.199,19:53,+29,-,-,-,-,21:49,+54,-,-,-,-,23:46,+77
