iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	sun_lat_lon	moon_lat_lon	yr	stel_jd	sun_naks	moon_naks	sun_न	moon_न	moon_phase	season	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol
3	-02500-03-29T00:18:31.413	808040.513	66.333	22.215	5.926	0.015	247.103	-19.581	186.199	2.701	180.282	29.250	(0.015038023227740567, 5.926082017475851)	(2.700723275488364, 186.19855635771148)	-2499	808020.513	N04-Roh/ε Tau	N18-Jye/σ Sco	N04-Roh	N18-Jye	1	1	False	False	False	False
3	-02500-04-27T06:18:08.548	808069.763	96.558	23.920	33.735	0.014	276.276	-23.585	213.482	0.333	179.758	29.294	(0.013752740492413063, 33.735447423242)	(0.3327450879158305, 213.48176455710473)	-2499	808049.763	N06-Ard/γ Gem	N20-PAsh/ε Sgr	N06-Ard	N20-PAsh	1	2	False	False	False	False
3	-02500-05-26T13:20:57.439	808099.056	126.365	19.803	61.652	0.010	306.690	-21.957	241.416	-2.173	179.775	29.344	(0.009539664649117343, 61.65181818814356)	(-2.1731022413096364, 241.41605771204937)	-2499	808079.056	N08-Pus/δ Cnc	N22-Shr/β Aql	N08-Pus	N22-Shr	1	2	False	False	False	False
3	-02500-06-24T21:36:15.938	808128.400	154.277	11.018	89.909	0.003	335.759	-14.888	269.815	-4.133	179.914	29.459	(0.0033017582700567575, 89.90890809634925)	(-4.133225003352084, 269.8152982091199)	-2499	808108.400	N10-Mag/α Leo	N24-Sha/λ Aqr	N10-Mag	N24-Sha	1	2	False	False	False	False
2	-02500-07-24T08:37:24.836	808157.859	180.935	-0.355	118.741	-0.004	3.434	-4.004	299.244	-4.995	180.505	29.480	(-0.0035400157404967174, 118.74143193991105)	(-4.994587924684839, 299.24423678427485)	-2499	808137.859	N12-UPal/β Leo	N25-PBha/β Peg	N12-UPal	N25-PBha	1	3	False	False	False	False
3	-02500-08-22T20:08:07.857	808187.339	208.184	-11.851	148.126	-0.009	29.667	7.620	327.983	-4.465	179.853	29.627	(-0.009243989148635728, 148.12603486288637)	(-4.465386009676466, 327.98253664382895)	-2499	808167.339	N15-Swa/α Boo	N01-Ash/γ Ari	N15-Swa	N01-Ash	1	3	False	False	False	False
3	-02500-09-21T11:10:25.496	808216.966	238.104	-20.724	178.123	-0.012	58.091	17.985	357.528	-2.660	179.396	29.818	(-0.01229972012246679, 178.12330391821962)	(-2.6597898912943947, 357.52777692298116)	-2499	808196.966	N17-Anu/δ Sco	N03-Kri/* 23 Tau	N17-Anu	N03-Kri	1	4	False	True	True	True
4	-02500-10-21T06:48:52.624	808246.784	270.921	-24.050	208.581	-0.012	90.705	24.077	28.394	0.038	179.802	29.824	(-0.01180293314308894, 208.58056404435504)	(0.03844215170745446, 28.39396073030933)	-2499	808226.784	N20-PAsh/γ Sgr	N05-Mrg/α Ori	N20-PAsh	N05-Mrg	1	4	False	False	False	False
4	-02500-11-20T02:34:48.576	808276.608	303.642	-20.413	239.020	-0.008	124.013	23.081	58.763	2.685	179.733	29.792	(-0.0078106368778294195, 239.02008070158854)	(2.684601883119429, 58.763422521541166)	-2499	808256.608	N22-Shr/γ Aql	N07-Pun/β Gem	N22-Shr	N07-Pun	1	5	False	False	False	False
4	-02500-12-19T21:35:47.886	808306.400	333.530	-11.304	269.122	-0.001	155.011	15.570	88.904	4.498	179.774	29.622	(-0.0013822225245145247, 269.12245110321004)	(4.497771363272886, 88.90424186991359)	-2499	808286.400	N24-Sha/λ Aqr	N10-Mag/α Leo	N24-Sha	N10-Mag	1	5	False	False	False	False
