date	jd	yr	season	sun_lon	sun_lat	moon_lon	moon_lat	phase	sun_naks	moon_naks	sun_न	moon_न	moon_phase	eqnx_4_tol	kv_pair	kv_adj
-02477-03-15	816426.65	-2476	1	352.17	0.01	171.94	-3.04	179.77	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
-02439-03-14	830306.43	-2438	1	352.73	0.01	172.45	-4.00	179.73	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
-02401-03-15	844186.17	-2400	1	353.25	0.01	172.70	-4.65	179.46	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
-02336-03-15	867928.01	-2335	1	354.32	0.01	173.72	4.58	179.41	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
-02298-03-17	881807.59	-2297	1	354.68	0.01	174.39	4.96	179.72	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	False	True	False
-01894-03-23	1029371.73	-1893	1	0.81	0.01	179.88	-1.52	179.07	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01854-09-23	1044166.26	-1853	4	180.52	-0.01	0.05	-3.59	179.53	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01845-03-22	1047267.83	-1844	1	0.10	0.01	179.31	-2.47	179.22	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01835-09-23	1051106.07	-1834	4	180.72	-0.01	1.72	-4.12	180.99	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01826-03-22	1054207.66	-1825	1	0.31	0.01	179.83	-3.07	179.53	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01816-09-23	1058045.94	-1815	4	180.97	-0.01	0.70	-4.40	179.72	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01807-03-21	1061147.15	-1806	1	0.20	0.01	179.98	-3.56	179.78	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01799-03-24	1064070.80	-1798	1	1.85	0.01	181.01	1.82	179.17	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01780-03-23	1071010.23	-1779	1	1.68	0.01	181.43	2.44	179.76	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01778-09-25	1071925.78	-1777	4	181.59	-0.01	1.27	-4.88	179.67	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01761-03-24	1077949.51	-1760	1	1.38	0.01	180.65	2.92	179.27	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01759-09-24	1078865.30	-1758	4	181.50	-0.01	1.31	-4.97	179.80	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01750-03-22	1081965.75	-1749	1	0.03	0.01	179.90	-4.64	179.88	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01742-03-23	1084889.14	-1741	1	1.41	0.01	181.07	3.47	179.67	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01740-09-24	1085804.60	-1739	4	181.18	-0.01	0.99	-4.98	179.80	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01731-03-22	1088905.74	-1730	1	0.40	0.01	180.14	-4.84	179.74	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01729-09-23	1089820.61	-1728	4	179.50	-0.01	0.41	4.14	180.90	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01723-03-23	1091829.05	-1722	1	1.71	0.01	181.47	3.94	179.78	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01721-09-24	1092744.04	-1720	4	181.00	-0.01	0.78	-4.93	179.77	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
-01712-03-22	1095845.74	-1711	1	0.79	0.01	180.82	-4.98	180.03	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01704-03-23	1098769.08	-1703	1	2.13	0.01	182.00	4.32	179.88	N03-Kri/* 17 Tau	N16-Vis/α2 Lib	N03-Kri	N16-Vis	1	True	True	False
-01702-09-24	1099683.82	-1701	4	181.17	-0.01	1.11	-4.78	179.93	N16-Vis/α2 Lib	N03-Kri/* 17 Tau	N16-Vis	N03-Kri	1	True	True	False
