padam,kaanda,varga,shloka,paada,cnt,linga
स्वर्,1,1,6,1,1,अव्य
स्वर्ग,1,1,6,1,2,पुं
नाक,1,1,6,1,3,पुं
त्रिदिव,1,1,6,1,4,पुं
त्रिदशालय,1,1,6,1,5,पुं
सुरलोक,1,1,6,2,1,पुं
द्यो,1,1,6,2,2,स्त्री
दिव्,1,1,6,2,3,स्त्री
त्रिविष्टप,1,1,6,2,4,नपुं
अमर,1,1,7,1,1,पुं
निर्जरस्,1,1,7,1,2,पुं
देव,1,1,7,1,3,पुं
त्रिदश,1,1,7,1,4,पुं
विबुध,1,1,7,1,5,पुं
सुर,1,1,7,1,6,पुं
सुपर्वन्,1,1,7,2,1,पुं
सुमनस्,1,1,7,2,2,पुं
त्रिदिवेश,1,1,7,2,3,पुं
दिवौकस्,1,1,7,2,4,पुं
आदितेय,1,1,8,1,1,पुं
दिविषद्,1,1,8,1,2,पुं
लेख,1,1,8,1,3,पुं
अदितिनन्दन,1,1,8,1,4,पुं
आदित्य,1,1,8,2,1,पुं
ऋभव,1,1,8,2,2,पुं
अस्वप्न,1,1,8,2,3,पुं
अमर्त्य,1,1,8,2,4,पुं
अमृतान्धस्,1,1,8,2,5,पुं
बर्हिर्मुख,1,1,9,1,1,पुं
क्रतुभुज्,1,1,9,1,2,पुं
गीर्वाण,1,1,9,1,3,पुं
दानवारि,1,1,9,1,4,पुं
वृन्दारक,1,1,9,2,1,पुं
दैवत,1,1,9,2,2,पुं-नपुं
देवता,1,1,9,2,3,स्त्री
आदित्य,1,1,10,1,1,पुं
विश्व,1,1,10,1,2,नपुं
वसु,1,1,10,1,3,पुं-बहु
तुषित,1,1,10,1,4,पुं-बहु
आभास्वर,1,1,10,1,5,पुं
अनिल,1,1,10,1,6,पुं
महाराजिक,1,1,10,2,1,पुं-बहु
साध्य,1,1,10,2,2,पुं-बहु
रुद्र,1,1,10,2,3,पुं
विद्याधर,1,1,11,1,1,पुं
अप्सरस्,1,1,11,1,2,स्त्री-बहु
यक्ष,1,1,11,1,3,पुं
रक्ष,1,1,11,1,4,पुं
गन्धर्व,1,1,11,1,5,पुं
किन्नर,1,1,11,1,6,पुं
पिशाच,1,1,11,2,1,पुं
गुह्यक,1,1,11,2,2,पुं
सिद्ध,1,1,11,2,3,पुं
भूत,1,1,11,2,4,नपुं
असुर,1,1,12,1,1,पुं
दैत्य,1,1,12,1,2,पुं
दैतेय,1,1,12,1,3,पुं
दनुज,1,1,12,1,4,पुं
इन्द्रारि,1,1,12,1,5,पुं
दानव,1,1,12,1,6,पुं
शुक्रशिष्य,1,1,12,2,1,पुं
दितिसुत,1,1,12,2,2,पुं
पूर्वदेव,1,1,12,2,3,पुं
सुरद्विष्,1,1,12,2,4,पुं
सर्वज्ञ,1,1,13,1,1,पुं
सुगत,1,1,13,1,2,पुं
बुद्ध,1,1,13,1,3,पुं
धर्मराज,1,1,13,1,4,पुं
तथागत,1,1,13,1,5,पुं
समन्तभद्र,1,1,13,2,1,पुं
भगवत्,1,1,13,2,2,पुं
मारजित्,1,1,13,2,3,पुं
लोकजित्,1,1,13,2,4,पुं
जिन,1,1,13,2,5,पुं
षडभिज्ञ,1,1,14,1,1,पुं
दशबल,1,1,14,1,2,पुं
अद्वयवादिन्,1,1,14,1,3,पुं
विनायक,1,1,14,1,4,पुं
मुनीन्द्र,1,1,14,2,1,पुं
श्रीघन,1,1,14,2,2,पुं
शास्तृ,1,1,14,2,3,पुं
मुनि,1,1,14,2,4,पुं
शाक्यमुनि,1,1,14,2,5,पुं
शाक्यसिंह,1,1,15,1,1,पुं
सर्वार्थसिद्ध,1,1,15,1,2,पुं
शौद्धोदनि,1,1,15,1,3,पुं
गौतम,1,1,15,2,1,पुं
अर्कबन्धु,1,1,15,2,2,पुं
मायादेवीसुत,1,1,15,2,3,पुं
ब्रह्मन्,1,1,16,1,1,पुं
आत्मभू,1,1,16,1,2,पुं
सुरज्येष्ठ,1,1,16,1,3,पुं
परमेष्ठिन्,1,1,16,1,4,पुं
पितामह,1,1,16,1,5,पुं
हिरण्यगर्भ,1,1,16,2,1,पुं
लोकेश,1,1,16,2,2,पुं
स्वयम्भू,1,1,16,2,3,पुं
चतुरानन,1,1,16,2,4,पुं
धातृ,1,1,17,1,1,पुं
अब्जयोनि,1,1,17,1,2,पुं
द्रुहिण,1,1,17,1,3,पुं
विरिञ्चि,1,1,17,1,4,पुं
कमलासन,1,1,17,1,5,पुं
स्रष्टृ,1,1,17,2,1,पुं
प्रजापति,1,1,17,2,2,पुं
वेधस्,1,1,17,2,3,पुं
विधातृ,1,1,17,2,4,पुं
विश्वसृज्,1,1,17,2,5,पुं
विधि,1,1,17,2,6,पुं
नाभिजन्मन्,1,1,17,3,1,पुं
अण्डज,1,1,17,3,2,पुं
पूर्व,1,1,17,3,3,पुं
निधन,1,1,17,3,4,पुं-नपुं
कमलोद्भव,1,1,17,3,5,पुं
सदानन्द,1,1,17,4,1,पुं
रजोमूर्तिन्,1,1,17,4,2,पुं
सत्यक,1,1,17,4,3,पुं
हंसवाहन,1,1,17,4,4,पुं
विष्णु,1,1,18,1,1,पुं
नारायण,1,1,18,1,2,पुं
कृष्ण,1,1,18,1,3,पुं
वैकुण्ठ,1,1,18,1,4,पुं
विष्टरश्रवस्,1,1,18,1,5,पुं
दामोदर,1,1,18,2,1,पुं
हृषीकेश,1,1,18,2,2,पुं
केशव,1,1,18,2,3,पुं
माधव,1,1,18,2,4,पुं
स्वभू,1,1,18,2,5,पुं
दैत्यारि,1,1,19,1,1,पुं
पुण्डरीकाक्ष,1,1,19,1,2,पुं
गोविन्द,1,1,19,1,3,पुं
गरुडध्वज,1,1,19,1,4,पुं
पीताम्बर,1,1,19,2,1,पुं
अच्युत,1,1,19,2,2,पुं
शार्ङ्गिन्,1,1,19,2,3,पुं
