DaysSince,Date,jd,Body,EclType,Mag
324,-1998-May-16,991440.0,L,P,1.21
178,-1998-Nov-10,991618.0,L,P,2.0380000000000003
354,-1997-Oct-30,991972.0,L,T,2.506
178,-1996-Apr-25,992150.0,L,P,1.656
176,-1996-Oct-18,992326.0,L,P,1.2690000000000001
178,-1995-Apr-14,992504.0,L,N,0.268
178,-1995-Oct-08,992682.0,L,N,0.084
148,-1994-Mar-05,992830.0,L,P,1.993
176,-1994-Aug-29,993006.0,L,P,1.8619999999999999
178,-1993-Feb-22,993184.0,L,T,2.441
176,-1993-Aug-18,993360.0,L,T,2.54
178,-1992-Feb-11,993538.0,L,P,1.117
324,-1991-Jan-01,993862.0,L,N,0.845
178,-1991-Jun-28,994040.0,L,N,0.83
178,-1991-Dec-22,994218.0,L,T,2.104
176,-1990-Jun-16,994394.0,L,T,2.207
178,-1990-Dec-11,994572.0,L,T,2.355
176,-1989-Jun-06,994748.0,L,T,2.121
354,-1988-May-25,995102.0,L,N,0.753
148,-1988-Oct-20,995250.0,L,N,0.49
178,-1987-Apr-16,995428.0,L,P,1.635
176,-1987-Oct-09,995604.0,L,P,1.75
178,-1986-Apr-05,995782.0,L,T,2.6830000000000003
176,-1986-Sep-28,995958.0,L,T,2.687
180,-1985-Mar-26,996138.0,L,P,1.245
500,-1984-Aug-08,996638.0,L,N,0.6920000000000001
30,-1984-Sep-07,996668.0,L,N,0.19899999999999998
148,-1983-Feb-01,996816.0,L,P,1.965
178,-1983-Jul-29,996994.0,L,P,1.989
176,-1982-Jan-22,997170.0,L,T,2.4130000000000003
354,-1981-Jan-11,997524.0,L,P,1.16
326,-1981-Dec-02,997850.0,L,N,0.809
176,-1980-May-27,998026.0,L,P,1.07
178,-1980-Nov-21,998204.0,L,P,2.0380000000000003
176,-1979-May-16,998380.0,L,T,2.509
178,-1979-Nov-10,998558.0,L,T,2.512
354,-1978-Oct-30,998912.0,L,P,1.28
148,-1977-Mar-27,999060.0,L,N,0.53
30,-1977-Apr-26,999090.0,L,N,0.392
146,-1977-Sep-19,999236.0,L,N,0.511
178,-1976-Mar-15,999414.0,L,P,1.874
354,-1975-Mar-04,999768.0,L,T,2.548
178,-1975-Aug-29,999946.0,L,T,2.602
178,-1974-Feb-22,1000124.0,L,P,1.207
176,-1974-Aug-18,1000300.0,L,P,1.255
148,-1973-Jan-12,1000448.0,L,N,0.8170000000000001
354,-1972-Jan-02,1000802.0,L,T,2.083
356,-1972-Dec-22,1001158.0,L,T,2.363
354,-1971-Dec-11,1001512.0,L,N,1.042
146,-1970-May-07,1001658.0,L,N,0.174
30,-1970-Jun-06,1001688.0,L,N,0.893
148,-1970-Nov-01,1001836.0,L,N,0.484
354,-1969-Oct-20,1002190.0,L,P,1.742
178,-1968-Apr-16,1002368.0,L,T,2.815
176,-1968-Oct-09,1002544.0,L,T,2.702
354,-1967-Sep-28,1002898.0,L,P,1.442
148,-1966-Feb-23,1003046.0,L,N,0.508
178,-1966-Aug-20,1003224.0,L,N,0.621
176,-1965-Feb-12,1003400.0,L,P,1.893
532,-1964-Jul-28,1003932.0,L,T,2.503
178,-1963-Jan-22,1004110.0,L,P,1.198
176,-1963-Jul-17,1004286.0,L,P,1.15
150,-1963-Dec-13,1004436.0,L,N,0.799
530,-1961-May-27,1004966.0,L,T,2.37
178,-1961-Nov-21,1005144.0,L,T,2.516
176,-1960-May-16,1005320.0,L,P,1.929
326,-1959-Apr-07,1005646.0,L,N,0.397
176,-1959-Sep-30,1005822.0,L,N,0.495
30,-1959-Oct-29,1005852.0,L,N,0.11
148,-1958-Mar-27,1006000.0,L,P,1.74
176,-1958-Sep-19,1006176.0,L,P,1.784
178,-1957-Mar-16,1006354.0,L,T,2.67
532,-1956-Aug-28,1006886.0,L,P,1.315
176,-1955-Feb-21,1007062.0,L,N,0.042
326,-1954-Jan-12,1007388.0,L,T,2.052
354,-1953-Jan-02,1007742.0,L,T,2.381
176,-1953-Jun-27,1007918.0,L,T,2.399
180,-1953-Dec-23,1008098.0,L,N,1.0490000000000002
146,-1952-May-18,1008244.0,L,N,0.047
354,-1951-May-07,1008598.0,L,P,1.364
532,-1950-Oct-20,1009130.0,L,T,2.708
178,-1949-Apr-16,1009308.0,L,P,1.5119999999999998
176,-1949-Oct-10,1009484.0,L,P,1.459
148,-1948-Mar-06,1009632.0,L,N,0.402
30,-1948-Apr-04,1009662.0,L,N,0.106
176,-1948-Sep-28,1009838.0,L,N,0.254
148,-1947-Feb-23,1009986.0,L,P,1.806
178,-1947-Aug-19,1010164.0,L,P,1.824
176,-1946-Feb-12,1010340.0,L,T,2.528
178,-1946-Aug-09,1010518.0,L,T,2.605
354,-1945-Jul-29,1010872.0,L,P,1.2670000000000001
324,-1944-Jun-17,1011196.0,L,N,0.805
178,-1944-Dec-12,1011374.0,L,P,2.024
354,-1943-Dec-01,1011728.0,L,T,2.523
178,-1942-May-28,1011906.0,L,T,2.0669999999999997
176,-1942-Nov-20,1012082.0,L,P,1.2919999999999998
178,-1941-May-17,1012260.0,L,N,0.654
178,-1941-Nov-10,1012438.0,L,N,0.11900000000000001
324,-1940-Sep-30,1012762.0,L,P,1.761
178,-1939-Mar-26,1012940.0,L,T,2.804
176,-1939-Sep-19,1013116.0,L,T,2.6889999999999996
178,-1938-Mar-15,1013294.0,L,P,1.422
324,-1937-Feb-03,1013618.0,L,N,0.726
30,-1937-Mar-05,1013648.0,L,N,0.138
148,-1937-Jul-30,1013796.0,L,N,0.462
354,-1936-Jul-18,1014150.0,L,P,1.807
178,-1935-Jan-12,1014328.0,L,T,2.4090000000000003
176,-1935-Jul-08,1014504.0,L,T,2.526
354,-1934-Jun-27,1014858.0,L,P,1.156
148,-1934-Nov-22,1015006.0,L,N,0.47700000000000004
178,-1933-May-19,1015184.0,L,P,1.226
176,-1933-Nov-11,1015360.0,L,P,1.7409999999999999
178,-1932-May-07,1015538.0,L,T,2.608
176,-1932-Oct-30,1015714.0,L,T,2.707
178,-1931-Apr-26,1015892.0,L,P,1.66
356,-1930-Apr-16,1016248.0,L,N,0.25
146,-1930-Sep-10,1016394.0,L,N,0.517
30,-1930-Oct-10,1016424.0,L,N,0.266
148,-1929-Mar-06,1016572.0,L,P,1.709
178,-1929-Aug-31,1016750.0,L,P,1.7619999999999998
176,-1928-Feb-24,1016926.0,L,T,2.603
354,-1927-Feb-12,1017280.0,L,P,1.31
326,-1926-Jan-03,1017606.0,L,N,0.7559999999999999
176,-1926-Jun-29,1017782.0,L,N,0.6859999999999999
178,-1926-Dec-24,1017960.0,L,P,2.006
176,-1925-Jun-18,1018136.0,L,T,2.106
178,-1925-Dec-13,1018314.0,L,T,2.536
354,-1924-Dec-01,1018668.0,L,P,1.297
178,-1923-May-28,1018846.0,L,N,0.79
146,-1923-Oct-21,1018992.0,L,N,0.486
178,-1922-Apr-17,1019170.0,L,P,1.444
354,-1921-Apr-06,1019524.0,L,T,2.838
178,-1921-Oct-01,1019702.0,L,T,2.714
176,-1920-Mar-25,1019878.0,L,P,1.546
178,-1920-Sep-19,1020056.0,L,P,1.4
148,-1919-Feb-14,1020204.0,L,N,0.664
178,-1919-Aug-10,1020382.0,L,N,0.363
28,-1919-Sep-08,1020410.0,L,N,0.031
148,-1918-Feb-03,1020558.0,L,P,1.953
178,-1918-Jul-30,1020736.0,L,P,1.6980000000000002
178,-1917-Jan-24,1020914.0,L,T,2.449
354,-1916-Jan-13,1021268.0,L,P,1.094
176,-1916-Jul-07,1021444.0,L,P,1.276
148,-1916-Dec-03,1021592.0,L,N,0.47
354,-1915-Nov-22,1021946.0,L,P,1.743
178,-1914-May-18,1022124.0,L,T,2.464
354,-1913-May-08,1022478.0,L,P,1.8130000000000002
176,-1913-Oct-31,1022654.0,L,P,1.47
148,-1912-Mar-27,1022802.0,L,N,0.159
178,-1912-Sep-21,1022980.0,L,N,0.48200000000000004
176,-1911-Mar-16,1023156.0,L,P,1.599
532,-1910-Aug-30,1023688.0,L,T,2.7680000000000002
178,-1909-Feb-24,1023866.0,L,P,1.3840000000000001
176,-1909-Aug-19,1024042.0,L,P,1.46
150,-1908-Jan-15,1024192.0,L,N,0.7190000000000001
28,-1908-Feb-13,1024220.0,L,N,0.073
176,-1908-Aug-07,1024396.0,L,N,0.19
150,-1907-Jan-03,1024546.0,L,P,1.979
176,-1907-Jun-28,1024722.0,L,T,1.9809999999999999
178,-1907-Dec-23,1024900.0,L,T,2.555
176,-1906-Jun-18,1025076.0,L,T,2.334
178,-1906-Dec-12,1025254.0,L,P,1.3090000000000002
354,-1905-Dec-01,1025608.0,L,N,0.129
148,-1904-Apr-28,1025756.0,L,P,1.287
176,-1904-Oct-21,1025932.0,L,P,1.7409999999999999
178,-1903-Apr-17,1026110.0,L,T,2.6830000000000003
354,-1902-Apr-06,1026464.0,L,P,1.682
178,-1902-Sep-30,1026642.0,L,P,1.425
176,-1901-Mar-26,1026818.0,L,N,0.35700000000000004
178,-1901-Sep-20,1026996.0,L,N,0.073
148,-1900-Feb-15,1027144.0,L,P,1.883
354,-1899-Feb-03,1027498.0,L,T,2.503
176,-1899-Jul-29,1027674.0,L,T,2.7430000000000003
178,-1898-Jan-24,1027852.0,L,P,1.135
502,-1897-Jun-09,1028354.0,L,N,0.953
30,-1897-Jul-09,1028384.0,L,N,0.10800000000000001
324,-1896-May-29,1028708.0,L,T,2.32
176,-1896-Nov-21,1028884.0,L,T,2.698
504,-1894-Apr-08,1029388.0,L,N,0.025
206,-1894-Oct-31,1029594.0,L,N,0.268
148,-1893-Mar-28,1029742.0,L,P,1.483
176,-1893-Sep-21,1029918.0,L,P,1.676
178,-1892-Mar-16,1030096.0,L,T,2.792
176,-1892-Sep-09,1030272.0,L,T,2.8280000000000003
354,-1891-Aug-29,1030626.0,L,P,1.535
150,-1890-Jan-25,1030776.0,L,N,0.667
30,-1890-Feb-24,1030806.0,L,N,0.141
146,-1890-Jul-20,1030952.0,L,N,0.478
30,-1890-Aug-19,1030982.0,L,N,0.273
148,-1889-Jan-14,1031130.0,L,P,1.9369999999999998
354,-1888-Jan-03,1031484.0,L,T,2.5839999999999996
176,-1888-Jun-28,1031660.0,L,T,2.461
178,-1888-Dec-22,1031838.0,L,P,1.325
324,-1887-Nov-12,1032162.0,L,N,0.49700000000000005
30,-1887-Dec-12,1032192.0,L,N,0.138
326,-1886-Nov-02,1032518.0,L,P,1.74
354,-1885-Oct-22,1032872.0,L,T,2.74
502,-1883-Mar-07,1033374.0,L,N,0.498
30,-1883-Apr-06,1033404.0,L,N,0.48200000000000004
146,-1883-Aug-31,1033550.0,L,N,0.209
354,-1882-Aug-20,1033904.0,L,P,1.524
178,-1881-Feb-14,1034082.0,L,T,2.571
178,-1881-Aug-10,1034260.0,L,T,2.8310000000000004
502,-1880-Dec-24,1034762.0,L,N,0.43799999999999994
176,-1879-Jun-19,1034938.0,L,N,0.823
178,-1879-Dec-13,1035116.0,L,P,1.735
354,-1878-Dec-03,1035470.0,L,T,2.696
178,-1877-May-29,1035648.0,L,T,2.126
176,-1877-Nov-22,1035824.0,L,P,1.4669999999999999
