Date,EclType,ParBegin,ParBAlt,ATBegin,MaxEcl,MaxAlt,MaxAzi,ATEnd,ParEnd,ParEAlt,Mag,Obs,ATDur
-1498-Dec-17,P,11:54:40,40,-,13:28:47,38,198,-,14:59:13,28,0.645,0.554,-
-1496-May-31,P,09:32:44,52,-,10:22:00,63,100,-,11:14:17,74,0.264,0.16,-
-1494-Oct-04,P,14:12:54,53,-,14:50:32,46,240,-,15:26:51,39,0.132,0.057,-
-1492-Mar-19,P,11:22:27,52,-,13:02:54,57,191,-,14:38:34,46,0.717,0.632,-
-1490-Jul-23,P,19:14:29,00,-,19:17(s),0(s),296,-,19:17(s),0(s),0.031(s),0.006(s),-
-1485-May-01,P,17:57:50,10,-,18:45(s),0(s),282,-,18:45(s),0(s),0.402(s),0.286(s),-
-1484-Oct-13,P,15:05:00,40,-,16:10:20,27,251,-,17:09:30,14,0.576,0.482,-
-1483-Mar-10,P,07:00(r),0(r),-,07:00(r),0(r),100,-,07:19:33,04,0.083(r),0.028(r),-
-1482-Feb-27,P,13:53:16,47,-,15:24:03,34,229,-,16:43:07,20,0.933,0.913,-
-1477-Jun-01,P,10:01:58,58,-,10:58:12,71,108,-,11:58:43,82,0.314,0.205,-
-1475-Oct-04,P,13:40:31,58,-,14:50:35,46,240,-,15:56:10,32,0.582,0.49,-
-1470-Jan-17,P,07:28(r),0(r),-,07:28(r),0(r),116,-,08:10:18,08,0.492(r),0.381(r),-
-1470-Jul-12,P,09:06:13,46,-,10:01:15,58,088,-,11:00:42,71,0.249,0.144,-
-1468-May-22,P,10:30:25,63,-,11:03:20,70,116,-,11:37:30,77,0.076,0.025,-
-1467-Nov-04,T,06:39(r),0(r):,07:32:23,07:32:30,11,109,07:32:36,08:40:49,25,1.003,1.000,0m12s
-1463-Aug-23,A,11:59:57,77,13:55:23,13:58:06,67,247,14:00:50,15:39:44,45,0.931,0.867,5m27s
-1461-Dec-28,P,08:30:33,13,-,09:47:19,26,138,-,11:18:38,36,0.489,0.37,-
-1455-Mar-30,P,06:37(r),0(r),-,06:37(r),0(r),092,-,06:55:25,04,0.275(r),0.165(r),-
-1453-Aug-03,P,07:28:51,22,-,08:18:16,33,081,-,09:13:41,45,0.2,0.103,-
