Date,jd,Body,EclType,Mag
-1998-May-16,991440.00,L,P,1.21
-1998-Nov-10,991618.00,L,P,2.04
-1997-Oct-30,991972.00,L,T,2.51
-1996-Apr-25,992150.00,L,P,1.66
-1996-Oct-18,992326.00,L,P,1.27
-1995-Apr-14,992504.00,L,N,0.27
-1995-Oct-08,992682.00,L,N,0.08
-1994-Mar-05,992830.00,L,P,1.99
-1994-Aug-29,993006.00,L,P,1.86
-1993-Feb-22,993184.00,L,T,2.44
-1993-Aug-18,993360.00,L,T,2.54
-1992-Feb-11,993538.00,L,P,1.12
-1991-Jan-01,993862.00,L,N,0.84
-1991-Jun-28,994040.00,L,N,0.83
-1991-Dec-22,994218.00,L,T,2.10
-1990-Jun-16,994394.00,L,T,2.21
-1990-Dec-11,994572.00,L,T,2.35
-1989-Jun-06,994748.00,L,T,2.12
-1988-May-25,995102.00,L,N,0.75
-1988-Oct-20,995250.00,L,N,0.49
-1987-Apr-16,995428.00,L,P,1.64
-1987-Oct-09,995604.00,L,P,1.75
-1986-Apr-05,995782.00,L,T,2.68
-1986-Sep-28,995958.00,L,T,2.69
-1985-Mar-26,996138.00,L,P,1.25
-1984-Aug-08,996638.00,L,N,0.69
-1984-Sep-07,996668.00,L,N,0.20
-1983-Feb-01,996816.00,L,P,1.97
-1983-Jul-29,996994.00,L,P,1.99
-1982-Jan-22,997170.00,L,T,2.41
-1981-Jan-11,997524.00,L,P,1.16
-1981-Dec-02,997850.00,L,N,0.81
-1980-May-27,998026.00,L,P,1.07
-1980-Nov-21,998204.00,L,P,2.04
-1979-May-16,998380.00,L,T,2.51
-1979-Nov-10,998558.00,L,T,2.51
-1978-Oct-30,998912.00,L,P,1.28
-1977-Mar-27,999060.00,L,N,0.53
-1977-Apr-26,999090.00,L,N,0.39
-1977-Sep-19,999236.00,L,N,0.51
-1976-Mar-15,999414.00,L,P,1.87
-1975-Mar-04,999768.00,L,T,2.55
-1975-Aug-29,999946.00,L,T,2.60
-1974-Feb-22,1000124.00,L,P,1.21
-1974-Aug-18,1000300.00,L,P,1.25
-1973-Jan-12,1000448.00,L,N,0.82
-1972-Jan-02,1000802.00,L,T,2.08
-1972-Dec-22,1001158.00,L,T,2.36
-1971-Dec-11,1001512.00,L,N,1.04
-1970-May-07,1001658.00,L,N,0.17
-1970-Jun-06,1001688.00,L,N,0.89
-1970-Nov-01,1001836.00,L,N,0.48
-1969-Oct-20,1002190.00,L,P,1.74
-1968-Apr-16,1002368.00,L,T,2.81
-1968-Oct-09,1002544.00,L,T,2.70
-1967-Sep-28,1002898.00,L,P,1.44
-1966-Feb-23,1003046.00,L,N,0.51
-1966-Aug-20,1003224.00,L,N,0.62
-1965-Feb-12,1003400.00,L,P,1.89
-1964-Jul-28,1003932.00,L,T,2.50
-1963-Jan-22,1004110.00,L,P,1.20
-1963-Jul-17,1004286.00,L,P,1.15
-1963-Dec-13,1004436.00,L,N,0.80
-1961-May-27,1004966.00,L,T,2.37
-1961-Nov-21,1005144.00,L,T,2.52
-1960-May-16,1005320.00,L,P,1.93
-1959-Apr-07,1005646.00,L,N,0.40
-1959-Sep-30,1005822.00,L,N,0.49
-1959-Oct-29,1005852.00,L,N,0.11
-1958-Mar-27,1006000.00,L,P,1.74
-1958-Sep-19,1006176.00,L,P,1.78
-1957-Mar-16,1006354.00,L,T,2.67
-1956-Aug-28,1006886.00,L,P,1.31
-1955-Feb-21,1007062.00,L,N,0.04
-1954-Jan-12,1007388.00,L,T,2.05
-1953-Jan-02,1007742.00,L,T,2.38
-1953-Jun-27,1007918.00,L,T,2.40
-1953-Dec-23,1008098.00,L,N,1.05
-1952-May-18,1008244.00,L,N,0.05
-1951-May-07,1008598.00,L,P,1.36
-1950-Oct-20,1009130.00,L,T,2.71
-1949-Apr-16,1009308.00,L,P,1.51
-1949-Oct-10,1009484.00,L,P,1.46
-1948-Mar-06,1009632.00,L,N,0.40
-1948-Apr-04,1009662.00,L,N,0.11
-1948-Sep-28,1009838.00,L,N,0.25
-1947-Feb-23,1009986.00,L,P,1.81
-1947-Aug-19,1010164.00,L,P,1.82
-1946-Feb-12,1010340.00,L,T,2.53
-1946-Aug-09,1010518.00,L,T,2.60
-1945-Jul-29,1010872.00,L,P,1.27
-1944-Jun-17,1011196.00,L,N,0.81
-1944-Dec-12,1011374.00,L,P,2.02
-1943-Dec-01,1011728.00,L,T,2.52
-1942-May-28,1011906.00,L,T,2.07
-1942-Nov-20,1012082.00,L,P,1.29
-1941-May-17,1012260.00,L,N,0.65
-1941-Nov-10,1012438.00,L,N,0.12
-1940-Sep-30,1012762.00,L,P,1.76
-1939-Mar-26,1012940.00,L,T,2.80
-1939-Sep-19,1013116.00,L,T,2.69
-1938-Mar-15,1013294.00,L,P,1.42
-1937-Feb-03,1013618.00,L,N,0.73
-1937-Mar-05,1013648.00,L,N,0.14
-1937-Jul-30,1013796.00,L,N,0.46
-1936-Jul-18,1014150.00,L,P,1.81
-1935-Jan-12,1014328.00,L,T,2.41
-1935-Jul-08,1014504.00,L,T,2.53
-1934-Jun-27,1014858.00,L,P,1.16
-1934-Nov-22,1015006.00,L,N,0.48
-1933-May-19,1015184.00,L,P,1.23
-1933-Nov-11,1015360.00,L,P,1.74
-1932-May-07,1015538.00,L,T,2.61
-1932-Oct-30,1015714.00,L,T,2.71
-1931-Apr-26,1015892.00,L,P,1.66
-1930-Apr-16,1016248.00,L,N,0.25
-1930-Sep-10,1016394.00,L,N,0.52
-1930-Oct-10,1016424.00,L,N,0.27
-1929-Mar-06,1016572.00,L,P,1.71
-1929-Aug-31,1016750.00,L,P,1.76
-1928-Feb-24,1016926.00,L,T,2.60
-1927-Feb-12,1017280.00,L,P,1.31
-1926-Jan-03,1017606.00,L,N,0.76
-1926-Jun-29,1017782.00,L,N,0.69
-1926-Dec-24,1017960.00,L,P,2.01
-1925-Jun-18,1018136.00,L,T,2.11
-1925-Dec-13,1018314.00,L,T,2.54
-1924-Dec-01,1018668.00,L,P,1.30
-1923-May-28,1018846.00,L,N,0.79
-1923-Oct-21,1018992.00,L,N,0.49
-1922-Apr-17,1019170.00,L,P,1.44
-1921-Apr-06,1019524.00,L,T,2.84
-1921-Oct-01,1019702.00,L,T,2.71
-1920-Mar-25,1019878.00,L,P,1.55
-1920-Sep-19,1020056.00,L,P,1.40
-1919-Feb-14,1020204.00,L,N,0.66
-1919-Aug-10,1020382.00,L,N,0.36
-1919-Sep-08,1020410.00,L,N,0.03
-1918-Feb-03,1020558.00,L,P,1.95
-1918-Jul-30,1020736.00,L,P,1.70
-1917-Jan-24,1020914.00,L,T,2.45
-1916-Jan-13,1021268.00,L,P,1.09
-1916-Jul-07,1021444.00,L,P,1.28
-1916-Dec-03,1021592.00,L,N,0.47
-1915-Nov-22,1021946.00,L,P,1.74
-1914-May-18,1022124.00,L,T,2.46
-1913-May-08,1022478.00,L,P,1.81
-1913-Oct-31,1022654.00,L,P,1.47
-1912-Mar-27,1022802.00,L,N,0.16
-1912-Sep-21,1022980.00,L,N,0.48
-1911-Mar-16,1023156.00,L,P,1.60
-1910-Aug-30,1023688.00,L,T,2.77
-1909-Feb-24,1023866.00,L,P,1.38
-1909-Aug-19,1024042.00,L,P,1.46
-1908-Jan-15,1024192.00,L,N,0.72
-1908-Feb-13,1024220.00,L,N,0.07
-1908-Aug-07,1024396.00,L,N,0.19
-1907-Jan-03,1024546.00,L,P,1.98
-1907-Jun-28,1024722.00,L,T,1.98
-1907-Dec-23,1024900.00,L,T,2.56
-1906-Jun-18,1025076.00,L,T,2.33
-1906-Dec-12,1025254.00,L,P,1.31
-1905-Dec-01,1025608.00,L,N,0.13
-1904-Apr-28,1025756.00,L,P,1.29
-1904-Oct-21,1025932.00,L,P,1.74
-1903-Apr-17,1026110.00,L,T,2.68
-1902-Apr-06,1026464.00,L,P,1.68
