jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
844746.37	-2400-09-25	-2400	4	R4-śarat	True	182.78	N17-Anu/ω1 Sco	2.93	N04-Roh/γ Tau	1	-179	N17-Anu	N04-Roh	False	2.93	182.78	177.15	2.93	0	
844923.52	-2399-03-22	-2399	1	R1-vasanta	True	359.27	N03-Kri/η Tau	178.69	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	178.69	-0.73	915.82	43.69	0	
845839.34	-2397-09-23	-2397	4	R4-śarat	True	179.97	N17-Anu/δ Sco	359.82	N03-Kri/* 27 Tau	1	179	N17-Anu	N03-Kri	False	-0.18	179.97	176.81	-0.18	0	
846016.15	-2396-03-18	-2396	1	R1-vasanta	False	356.31	N03-Kri/* 17 Tau	176.24	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	176.24	-3.69	915.11	41.24	0	
846931.26	-2394-09-19	-2394	4	R4-śarat	False	176.09	N17-Anu/δ Sco	356.08	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-3.92	176.09	916.09	-3.92	0	
847847.35	-2391-03-23	-2391	1	R1-vasanta	True	1.08	N04-Roh/γ Tau	180.85	N17-Anu/δ Sco	1	179	N04-Roh	N17-Anu	False	180.85	1.08	915.60	45.85	0	
848762.95	-2389-09-25	-2389	4	R4-śarat	True	181.66	N17-Anu/δ Sco	1.84	N04-Roh/γ Tau	1	-179	N17-Anu	N04-Roh	False	1.84	181.66	176.56	1.84	0	
848939.51	-2388-03-20	-2388	1	R1-vasanta	True	357.68	N03-Kri/* 17 Tau	177.66	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	177.66	-2.32	915.49	42.66	0	
849855.00	-2386-09-21	-2386	4	R4-śarat	True	177.92	N17-Anu/δ Sco	358.48	N03-Kri/* 17 Tau	1	180	N17-Anu	N03-Kri	False	-1.52	177.92	916.14	-1.52	0	
850771.14	-2383-03-25	-2383	1	R1-vasanta	True	2.85	N04-Roh/γ Tau	183.02	N17-Anu/ω1 Sco	1	180	N04-Roh	N17-Anu	False	183.02	2.85	915.23	48.02	0	
851686.37	-2381-09-26	-2381	4	R4-śarat	False	183.17	N17-Anu/ω1 Sco	3.22	N04-Roh/γ Tau	1	-179	N17-Anu	N04-Roh	False	3.22	183.17	176.66	3.22	0	
851863.03	-2380-03-21	-2380	1	R1-vasanta	True	359.20	N03-Kri/* 23 Tau	179.45	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	179.45	-0.80	915.79	44.45	0	
852778.82	-2378-09-23	-2378	4	R4-śarat	True	179.84	N17-Anu/δ Sco	0.86	N04-Roh/γ Tau	1	-178	N17-Anu	N04-Roh	False	0.86	179.84	177.36	0.86	0	
852956.18	-2377-03-19	-2377	1	R1-vasanta	False	356.73	N03-Kri/* 17 Tau	176.67	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	176.67	-3.27	914.81	41.67	0	
853870.99	-2375-09-19	-2375	4	R4-śarat	False	176.21	N17-Anu/δ Sco	356.17	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-3.83	176.21	915.62	-3.83	0	
854786.61	-2372-03-23	-2372	1	R1-vasanta	True	0.77	N04-Roh/γ Tau	180.08	N17-Anu/δ Sco	1	179	N04-Roh	N17-Anu	False	180.08	0.77	915.85	45.08	0	
855702.46	-2370-09-24	-2370	4	R4-śarat	True	181.56	N17-Anu/δ Sco	1.15	N04-Roh/γ Tau	1	-180	N17-Anu	N04-Roh	False	1.15	181.56	177.02	1.15	0	
855879.48	-2369-03-20	-2369	1	R1-vasanta	True	358.04	N03-Kri/* 17 Tau	178.27	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	178.27	-1.96	914.96	43.27	0	
856794.44	-2367-09-20	-2367	4	R4-śarat	True	177.75	N17-Anu/δ Sco	357.58	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-2.42	177.75	915.99	-2.42	0	
857710.43	-2364-03-24	-2364	1	R1-vasanta	True	2.56	N03-Kri/* 27 Tau	182.16	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	182.16	2.56	915.73	47.16	0	
858626.16	-2362-09-26	-2362	4	R4-śarat	False	183.36	N17-Anu/ω1 Sco	3.45	N04-Roh/γ Tau	1	-179	N17-Anu	N04-Roh	False	3.45	183.36	176.62	3.45	0	
858802.78	-2361-03-22	-2361	1	R1-vasanta	True	359.34	N03-Kri/* 20 Tau	179.18	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	179.18	-0.66	915.31	44.18	0	
859718.09	-2359-09-22	-2359	4	R4-śarat	True	179.49	N17-Anu/δ Sco	359.79	N03-Kri/η Tau	1	-179	N17-Anu	N03-Kri	False	-0.21	179.49	178.05	-0.21	0	
859896.14	-2358-03-19	-2358	1	R1-vasanta	True	357.08	N03-Kri/* 17 Tau	177.10	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	177.10	-2.92	914.81	42.10	0	
860810.95	-2356-09-19	-2356	4	R4-śarat	False	176.56	N17-Anu/δ Sco	356.22	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-3.78	176.56	915.27	-3.78	0	
861726.22	-2353-03-23	-2353	1	R1-vasanta	True	0.78	N03-Kri/* 27 Tau	180.80	N17-Anu/δ Sco	1	180	N03-Kri	N17-Anu	False	180.80	0.78	915.67	45.80	0	
862641.89	-2351-09-24	-2351	4	R4-śarat	True	181.38	N17-Anu/δ Sco	2.24	N03-Kri/* 27 Tau	1	-179	N17-Anu	N03-Kri	False	2.24	181.38	177.62	2.24	0	
862819.51	-2350-03-21	-2350	1	R1-vasanta	True	358.46	N03-Kri/* 17 Tau	178.64	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	178.64	-1.54	914.78	43.64	0	
863734.29	-2348-09-20	-2348	4	R4-śarat	True	177.99	N17-Anu/δ Sco	358.01	N03-Kri/* 17 Tau	1	180	N17-Anu	N03-Kri	False	-1.99	177.99	915.58	-1.99	0	
864649.87	-2345-03-25	-2345	1	R1-vasanta	True	2.41	N03-Kri/* 27 Tau	183.04	N17-Anu/β1 Sco	1	180	N03-Kri	N17-Anu	False	183.04	2.41	915.68	48.04	0	
865565.55	-2343-09-26	-2343	4	R4-śarat	False	183.13	N17-Anu/β1 Sco	2.46	N03-Kri/* 27 Tau	1	-180	N17-Anu	N03-Kri	False	2.46	183.13	177.20	2.46	0	
865742.75	-2342-03-22	-2342	1	R1-vasanta	True	359.71	N03-Kri/* 23 Tau	179.16	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	179.16	-0.29	914.92	44.16	0	
866657.67	-2340-09-22	-2340	4	R4-śarat	True	179.46	N17-Anu/δ Sco	359.31	N03-Kri/* 17 Tau	1	-180	N17-Anu	N03-Kri	False	-0.69	179.46	178.19	-0.69	0	
866835.86	-2339-03-19	-2339	1	R1-vasanta	True	357.21	N03-Kri/* 17 Tau	177.83	N17-Anu/δ Sco	1	-179	N03-Kri	N17-Anu	False	177.83	-2.79	915.11	42.83	0	
867750.97	-2337-09-20	-2337	4	R4-śarat	False	176.98	N17-Anu/δ Sco	356.81	N03-Kri/* 17 Tau	1	179	N17-Anu	N03-Kri	False	-3.19	176.98	915.11	-3.19	0	
868666.08	-2334-03-23	-2334	1	R1-vasanta	True	1.04	N03-Kri/* 27 Tau	180.91	N17-Anu/δ Sco	1	179	N03-Kri	N17-Anu	False	180.91	1.04	915.14	45.91	0	
869581.22	-2332-09-23	-2332	4	R4-śarat	True	181.09	N17-Anu/δ Sco	1.13	N03-Kri/* 27 Tau	1	-179	N17-Anu	N03-Kri	False	1.13	181.09	178.15	1.13	0	
869759.37	-2331-03-20	-2331	1	R1-vasanta	True	358.71	N03-Kri/* 17 Tau	178.63	N17-Anu/δ Sco	1	-180	N03-Kri	N17-Anu	False	178.63	-1.29	914.94	43.63	0	
870674.31	-2329-09-21	-2329	4	R4-śarat	True	178.40	N17-Anu/δ Sco	358.46	N03-Kri/* 17 Tau	1	180	N17-Anu	N03-Kri	False	-1.54	178.40	915.16	-1.54	0	
