iter	fits	jd	sun_ra	sun_dec	sun_lon	sun_lat	moon_ra	moon_dec	moon_lon	moon_lat	phase	jd_diff	sun_lat_lon	moon_lat_lon	yr	stel_jd	sun_naks	moon_naks	sun_न	moon_न	moon_phase	season	eqnx_1_tol	eqnx_2_tol	eqnx_3_tol	eqnx_4_tol
4	-02500-03-13T20:39:34.548	808025.361	51.222	19.152	351.467	0.014	52.530	15.637	351.787	-3.703	0.321	29.566	(0.014229043989171816, 351.46651119876543)	(-3.7030376796717, 351.78705617398623)	-2499	808005.361	N02-Bha/* 39 Ari	N03-Kri/* 17 Tau	N02-Bha	N03-Kri	0	1	False	False	False	False
4	-02500-04-12T10:14:41.018	808054.927	81.136	23.791	19.637	0.015	81.021	22.167	19.427	-1.599	359.790	29.636	(0.014744970877383665, 19.637359116245687)	(-1.5993968219922112, 19.42698237800375)	-2499	808034.927	N05-Mrg/γ Ori	N05-Mrg/γ Ori	N05-Mrg	N05-Mrg	0	1	False	False	False	False
4	-02500-05-12T01:29:57.441	808084.562	111.812	22.529	47.816	0.012	111.703	23.502	47.571	0.959	359.754	29.638	(0.012038337513194598, 47.81630076806489)	(0.9588097382786747, 47.57069375337908)	-2499	808064.562	N07-Pun/α Gem	N07-Pun/α Gem	N07-Pun	N07-Pun	0	2	False	False	False	False
4	-02500-06-10T16:48:23.893	808114.200	141.022	15.728	76.186	0.007	141.926	18.894	75.996	3.282	359.811	29.549	(0.006713501380863578, 76.18577851764955)	(3.2821877460500692, 75.99642857483015)	-2499	808094.200	N10-Mag/ε Leo	N10-Mag/ε Leo	N10-Mag	N10-Mag	0	2	False	False	False	False
3	-02500-07-10T05:59:11.490	808143.749	168.231	5.263	104.866	-0.000	169.403	9.900	104.076	4.714	359.209	29.604	(-5.606989918260328e-06, 104.86647174137754)	(4.713967861514486, 104.0757024218843)	-2499	808123.749	N12-UPal/* 93 Leo	N12-UPal/* 93 Leo	N12-UPal	N12-UPal	0	3	False	False	False	False
3	-02500-08-08T20:28:30.537	808173.353	195.045	-6.549	134.120	-0.007	196.699	-1.924	133.820	4.893	359.700	29.553	(-0.006502606003763957, 134.1199569704038)	(4.893212515979912, 133.82038161852498)	-2499	808153.353	N13-Has/β Crv	N13-Has/β Crv	N13-Has	N13-Has	0	3	False	False	False	False
3	-02500-09-07T09:45:00.430	808202.906	223.511	-17.040	163.840	-0.011	224.617	-13.553	163.836	3.635	359.996	29.501	(-0.011064595821734137, 163.83991558614275)	(3.635037451536453, 163.83571261513512)	-2499	808182.906	N16-Vis/α2 Lib	N16-Vis/α2 Lib	N16-Vis	N16-Vis	0	4	False	False	False	False
2	-02500-10-06T21:46:41.202	808232.407	254.883	-23.296	193.880	-0.012	254.955	-21.989	193.807	1.294	359.927	29.474	(-0.012466873246210663, 193.8799899075147)	(1.2937808465738374, 193.80653640942234)	-2499	808212.407	N18-Jye/ε Sco	N18-Jye/ε Sco	N18-Jye	N18-Jye	0	4	False	False	False	False
3	-02500-11-05T09:08:44.204	808261.881	287.728	-23.047	224.011	-0.010	287.751	-24.493	223.854	-1.448	359.843	29.438	(-0.010300581046143703, 224.01145139929616)	(-1.4475552088962533, 223.85445572944076)	-2499	808241.881	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	N21-UAsh	N21-UAsh	0	5	False	False	False	False
3	-02500-12-04T19:39:12.287	808291.319	318.799	-16.425	253.937	-0.005	319.757	-20.054	253.683	-3.738	359.746	29.420	(-0.005096175344236983, 253.93739304517953)	(-3.737943726925832, 253.68307216179764)	-2499	808271.319	N23-Dha/β Del	N23-Dha/β Del	N23-Dha	N23-Dha	0	5	False	False	False	False
3	-02499-01-03T05:44:06.122	808320.739	346.914	-5.829	283.441	0.002	348.749	-10.404	283.284	-4.919	359.842	29.416	(0.0017791893271412072, 283.4413918891516)	(-4.91871947728192, 283.2836046316211)	-2498	808300.739	N24-Sha/λ Aqr	N24-Sha/λ Aqr	N24-Sha	N24-Sha	0	0	False	False	False	False
3	-02499-02-01T15:43:13.702	808350.155	13.466	5.875	312.420	0.008	15.324	1.551	312.414	-4.697	359.994	29.353	(0.008468157973846016, 312.42001164529484)	(-4.696780676521137, 312.41418893783356)	-2498	808330.155	N26-UBha/α And	N26-UBha/α And	N26-UBha	N26-UBha	0	0	False	False	False	False
2	-02499-03-03T00:10:54.116	808379.508	40.510	16.127	340.836	0.013	40.603	12.688	339.854	-3.284	359.018	29.533	(0.01322951509578301, 340.8362775428867)	(-3.2838540322365657, 339.8537791692396)	-2498	808359.508	N02-Bha/* 35 Ari	N01-Ash/α Ari	N02-Bha	N01-Ash	0	1	False	False	False	False
3	-02499-04-01T12:58:23.980	808409.041	69.670	22.694	9.062	0.015	69.405	21.707	8.678	-0.926	359.616	29.513	(0.0150310838812179, 9.061648722166941)	(-0.9263949689335719, 8.677880262416206)	-2498	808389.041	N04-Roh/α Tau	N04-Roh/α Tau	N04-Roh	N04-Roh	0	1	False	False	False	False
3	-02499-05-01T01:16:52.502	808438.553	100.231	23.723	37.117	0.014	99.418	25.342	36.268	1.578	359.151	29.675	(0.013539872758810172, 37.11701606795678)	(1.5780158462971967, 36.267667659653675)	-2498	808418.553	N06-Ard/γ Gem	N06-Ard/γ Gem	N06-Ard	N06-Ard	0	2	False	False	False	False
4	-02499-05-30T17:28:51.055	808468.228	130.217	18.857	65.423	0.009	131.061	22.533	65.211	3.762	359.789	29.660	(0.009097484072162959, 65.42260394259641)	(3.7623562401713633, 65.21122850707974)	-2498	808448.228	N08-Pus/δ Cnc	N08-Pus/δ Cnc	N08-Pus	N08-Pus	0	2	False	False	False	False
4	-02499-06-29T09:18:47.305	808497.888	158.159	9.485	94.039	0.003	159.841	14.099	93.807	4.895	359.767	29.687	(0.0026856820267934034, 94.03941407375787)	(4.8950127730927875, 93.80658400881838)	-2498	808477.888	N11-PPal/δ Leo	N11-PPal/δ Leo	N11-PPal	N11-PPal	0	3	False	False	False	False
4	-02499-07-29T01:48:12.935	808527.575	184.969	-2.151	123.171	-0.004	186.708	2.214	122.989	4.691	359.818	29.624	(-0.004176711127344233, 123.17090477160438)	(4.6909803186677435, 122.98860301190325)	-2498	808507.575	N13-Has/γ Crv	N13-Has/γ Crv	N13-Has	N13-Has	0	3	False	False	False	False
3	-02499-08-27T16:47:03.006	808557.199	212.632	-13.482	152.776	-0.010	212.973	-10.201	151.964	3.186	359.187	29.686	(-0.009710115304346522, 152.7761974251124)	(3.1860509131069272, 151.96354438277478)	-2498	808537.199	N16-Vis/α1 Lib	N15-Swa/α Boo	N16-Vis	N15-Swa	0	4	False	False	False	False
3	-02499-09-26T09:15:33.506	808586.886	243.096	-21.679	182.889	-0.012	242.879	-20.972	182.559	0.644	359.670	29.607	(-0.012452684484145504, 182.88894723811103)	(0.6438858642162943, 182.55853549540606)	-2498	808566.886	N17-Anu/ω1 Sco	N17-Anu/ω1 Sco	N17-Anu	N17-Anu	0	4	False	False	True	True
3	-02499-10-25T23:50:02.988	808616.493	275.900	-23.944	213.145	-0.012	276.000	-26.034	213.149	-2.103	0.004	29.512	(-0.011620886215699566, 213.14527069166832)	(-2.103089135037588, 213.14904912572473)	-2498	808596.493	N20-PAsh/ε Sgr	N20-PAsh/ε Sgr	N20-PAsh	N20-PAsh	0	5	False	False	False	False
2	-02499-11-24T12:06:58.557	808646.005	307.985	-19.414	243.239	-0.007	309.309	-23.407	243.418	-4.182	0.179	29.393	(-0.00738765225113948, 243.23911520837578)	(-4.182270997602205, 243.41829845677066)	-2498	808626.005	N22-Shr/β Aql	N22-Shr/β Aql	N22-Shr	N22-Shr	0	5	False	False	False	False
3	-02499-12-23T21:32:45.161	808675.398	337.070	-9.919	272.883	-0.001	338.781	-14.627	272.653	-4.992	359.770	29.363	(-0.0008795038404601007, 272.88273628779933)	(-4.992142538929065, 272.65283400075225)	-2498	808655.398	N24-Sha/λ Aqr	N24-Sha/λ Aqr	N24-Sha	N24-Sha	0	0	False	False	False	False
3	-02498-01-22T06:15:44.952	808704.761	3.895	1.676	302.004	0.006	5.419	-2.472	301.709	-4.404	359.705	29.358	(0.006147301245801167, 302.0036148210379)	(-4.403647809405747, 301.70864928109216)	-2497	808684.761	N25-PBha/β Peg	N25-PBha/β Peg	N25-PBha	N25-PBha	0	0	False	False	False	False
3	-02498-02-20T14:51:16.029	808734.119	30.521	12.722	330.597	0.012	31.328	10.220	330.462	-2.609	359.865	29.371	(0.01183151697780179, 330.59723527596776)	(-2.6094227475155796, 330.46181636945175)	-2497	808714.119	N01-Ash/γ Ari	N01-Ash/γ Ari	N01-Ash	N01-Ash	0	1	False	False	False	False
3	-02498-03-21T23:45:04.188	808763.490	58.755	20.860	358.779	0.015	58.795	20.713	358.783	-0.137	0.005	29.398	(0.01483356940932339, 358.77863431940483)	(-0.13700126372588745, 358.783426057668)	-2497	808743.490	N03-Kri/* 27 Tau	N03-Kri/* 27 Tau	N03-Kri	N03-Kri	0	1	False	True	True	True
3	-02498-04-20T09:18:06.484	808792.888	88.881	24.049	26.751	0.015	88.775	26.368	26.677	2.334	359.926	29.448	(0.014578949546448245, 26.75146702218705)	(2.3339818824213294, 26.67738608316032)	-2497	808772.888	N05-Mrg/α Ori	N05-Mrg/α Ori	N05-Mrg	N05-Mrg	0	1	False	False	False	False
3	-02498-05-19T20:02:39.211	808822.335	119.167	21.320	54.775	0.011	119.668	25.490	54.394	4.188	359.619	29.525	(0.01117610905993421, 54.77467893839429)	(4.188317264090886, 54.393911660533746)	-2497	808802.335	N07-Pun/β Gem	N07-Pun/β Gem	N07-Pun	N07-Pun	0	2	False	False	False	False
3	-02498-06-18T08:38:20.221	808851.860	147.750	13.447	83.114	0.005	148.753	18.395	82.304	4.980	359.190	29.716	(0.005368780511959564, 83.11416963966732)	(4.980303437830786, 82.30446277825934)	-2497	808831.860	N10-Mag/ζ Leo	N10-Mag/μ Leo	N10-Mag	N10-Mag	0	2	False	False	False	False
4	-02498-07-18T01:50:00.452	808881.576	174.818	2.371	112.077	-0.002	176.432	6.504	111.866	4.428	359.790	29.742	(-0.001530037381455122, 112.07669523998567)	(4.427603865049554, 111.86627414791408)	-2497	808861.576	N12-UPal/β Leo	N12-UPal/β Leo	N12-UPal	N12-UPal	0	3	False	False	False	False
4	-02498-08-16T19:39:08.324	808911.319	201.986	-9.429	141.602	-0.008	202.743	-6.914	141.347	2.604	359.745	29.784	(-0.007791300310303834, 141.6017846810099)	(2.6043083100449924, 141.34678279590332)	-2497	808891.319	N14-Chi/α Vir	N14-Chi/α Vir	N14-Chi	N14-Chi	0	3	False	False	False	False
4	-02498-09-15T14:27:57.252	808941.103	231.398	-19.193	171.668	-0.012	231.183	-19.161	171.463	-0.032	359.796	29.688	(-0.011758779392244447, 171.66773786740893)	(-0.03217535759877764, 171.4634621654764)	-2497	808921.103	N16-Vis/α2 Lib	N16-Vis/α2 Lib	N16-Vis	N16-Vis	0	4	False	False	False	False
3	-02498-10-15T06:58:35.046	808970.791	263.638	-23.914	201.956	-0.012	262.593	-26.483	201.139	-2.625	359.183	29.693	(-0.012323725906458421, 201.95592452348927)	(-2.624945830634403, 201.13912661523727)	-2497	808950.791	N19-Mul/ν Sco	N19-Mul/ν Sco	N19-Mul	N19-Mul	0	4	False	False	False	False
3	-02498-11-13T23:36:48.135	809000.484	296.550	-21.788	232.293	-0.009	297.187	-26.249	232.046	-4.502	359.754	29.552	(-0.00929061220601085, 232.2928312923874)	(-4.501577022249094, 232.04640282733234)	-2497	808980.484	N22-Shr/α Aql	N22-Shr/α Aql	N22-Shr	N22-Shr	0	5	False	False	False	False
3	-02498-12-13T12:51:49.514	809030.036	326.907	-13.744	262.242	-0.003	328.720	-18.398	262.273	-4.973	0.031	29.483	(-0.0034403793307100972, 262.2420158973588)	(-4.9733545741731175, 262.273126104619)	-2497	809010.036	N23-Dha/γ2 Del	N23-Dha/γ2 Del	N23-Dha	N23-Dha	0	5	False	False	False	False
2	-02497-01-12T00:27:27.641	809059.519	354.441	-2.536	291.669	0.004	356.742	-5.850	292.420	-3.957	0.751	29.292	(0.0036337154413118556, 291.6693079217431)	(-3.957362808246537, 292.42015163444506)	-2496	809039.519	N25-PBha/α Peg	N25-PBha/α Peg	N25-PBha	N25-PBha	0	0	False	False	False	False
3	-02497-02-10T07:28:01.955	809088.811	20.830	8.963	320.379	0.010	21.389	7.066	320.170	-1.955	359.790	29.316	(0.00996492039178621, 320.3794106934399)	(-1.9552998686669927, 320.16952741874223)	-2496	809068.811	N27-Rev/ε Psc	N27-Rev/ε Psc	N27-Rev	N27-Rev	0	0	False	False	False	False
3	-02497-03-11T15:02:56.521	809118.127	48.299	18.394	348.642	0.014	47.890	18.891	348.405	0.598	359.763	29.314	(0.014029915962818969, 348.6423044545594)	(0.5979311954366129, 348.40511851765984)	-2496	809098.127	N02-Bha/* 39 Ari	N02-Bha/* 39 Ari	N02-Bha	N02-Bha	0	1	False	False	False	False
3	-02497-04-09T22:34:27.787	809147.441	77.773	23.557	16.593	0.015	77.349	26.498	16.472	2.978	359.878	29.338	(0.014984954664044425, 16.593107549675274)	(2.977812478482471, 16.471582153533767)	-2496	809127.441	N05-Mrg/γ Ori	N05-Mrg/γ Ori	N05-Mrg	N05-Mrg	0	1	False	False	False	False
3	-02497-05-09T06:41:48.854	809176.779	108.182	22.997	44.482	0.013	108.827	27.519	44.479	4.572	359.997	29.394	(0.012715227162406847, 44.48211963052482)	(4.571817014927503, 44.47943749831802)	-2496	809156.779	N07-Pun/α Gem	N07-Pun/α Gem	N07-Pun	N07-Pun	0	2	False	False	False	False
3	-02497-06-07T16:09:09.553	809206.173	137.403	16.852	72.581	0.008	138.947	21.609	72.527	4.982	359.946	29.483	(0.007717524693949057, 72.580814848899)	(4.982322237125662, 72.52698400882254)	-2496	809186.173	N09-Asl/ζ Hya	N09-Asl/ζ Hya	N09-Asl	N09-Asl	0	2	False	False	False	False
3	-02497-07-07T03:44:13.997	809235.656	164.744	6.758	101.136	0.001	166.030	10.670	100.761	4.097	359.626	29.599	(0.0010824393536770754, 101.13572085286214)	(4.096940969145077, 100.76147313023493)	-2496	809215.656	N11-PPal/θ Leo	N11-PPal/θ Leo	N11-PPal	N11-PPal	0	3	False	False	False	False
3	-02497-08-05T18:06:58.818	809265.255	191.491	-5.020	130.314	-0.006	191.511	-2.733	129.418	2.098	359.105	29.826	(-0.005609360076212658, 130.31379736134647)	(2.09827853222774, 129.41847706889075)	-2496	809245.255	N13-Has/α Crv	N13-Has/ε Crv	N13-Has	N13-Has	0	3	False	False	False	False
4	-02497-09-04T13:56:36.819	809295.081	219.898	-15.930	160.248	-0.011	219.443	-16.461	160.000	-0.652	359.752	29.823	(-0.010638813776702168, 160.24753384538488)	(-0.6515405127750596, 159.99953997454267)	-2496	809275.081	N16-Vis/α1 Lib	N16-Vis/α1 Lib	N16-Vis	N16-Vis	0	4	False	False	False	False
4	-02497-10-04T09:41:02.367	809324.903	251.273	-22.896	190.582	-0.013	250.515	-25.996	190.314	-3.177	359.733	29.804	(-0.012570689558279407, 190.58152612982624)	(-3.176941843914339, 190.31412626673463)	-2496	809304.903	N18-Jye/α Sco	N18-Jye/α Sco	N18-Jye	N18-Jye	0	4	False	False	False	False
4	-02497-11-03T04:58:18.445	809354.707	284.476	-23.384	221.050	-0.011	284.815	-28.106	220.870	-4.739	359.821	29.662	(-0.010840048222713679, 221.04963713945426)	(-4.739157162738184, 220.8703907294832)	-2496	809334.707	N21-UAsh/ζ Sgr	N21-UAsh/ζ Sgr	N21-UAsh	N21-UAsh	0	5	False	False	False	False
3	-02497-12-02T20:50:57.208	809384.369	316.054	-17.250	251.229	-0.006	316.881	-22.096	250.542	-4.866	359.313	29.629	(-0.005841584043536624, 251.2289568355769)	(-4.865916620578076, 250.5419400509809)	-2496	809364.369	N23-Dha/β Del	N23-Dha/β Del	N23-Dha	N23-Dha	0	5	False	False	False	False
3	-02496-01-01T11:56:01.880	809413.997	344.600	-6.817	280.983	0.001	345.823	-10.160	280.778	-3.549	359.795	29.490	(0.0010585741281601375, 280.98320374598376)	(-3.5485149857910665, 280.7779230247719)	-2495	809393.997	N24-Sha/λ Aqr	N24-Sha/λ Aqr	N24-Sha	N24-Sha	0	0	False	False	False	False
3	-02496-01-30T23:41:49.265	809443.487	11.267	4.925	310.079	0.008	11.785	3.792	310.100	-1.237	0.021	29.412	(0.007879820796523017, 310.0792643345279)	(-1.2372038210883884, 310.10033092258897)	-2495	809423.487	N26-UBha/α And	N26-UBha/α And	N26-UBha	N26-UBha	0	0	False	False	False	False
2	-02496-02-29T09:34:24.121	809472.899	38.252	15.403	338.591	0.013	38.330	16.902	339.142	1.409	0.551	29.248	(0.012847256183177535, 338.5908167895204)	(1.409092310836396, 339.14212304098953)	-2495	809452.899	N01-Ash/α Ari	N01-Ash/α Ari	N01-Ash	N01-Ash	0	1	False	False	False	False
3	-02496-03-29T15:31:04.567	809502.147	66.954	22.309	6.568	0.015	66.093	25.755	6.356	3.543	359.788	29.265	(0.01489403374333355, 6.568463347587936)	(3.543134504965419, 6.355962789687)	-2495	809482.147	N04-Roh/ε Tau	N04-Roh/ε Tau	N04-Roh	N04-Roh	0	1	False	False	False	False
3	-02496-04-27T21:52:29.383	809531.411	97.210	23.891	34.393	0.014	97.159	28.703	34.107	4.817	359.714	29.296	(0.013727711319143033, 34.393308351635234)	(4.816750361199922, 34.10707522504062)	-2495	809511.411	N06-Ard/γ Gem	N06-Ard/γ Gem	N06-Ard	N06-Ard	0	2	False	False	False	False
3	-02496-05-27T04:59:07.605	809560.708	126.988	19.656	62.317	0.010	128.121	24.393	62.161	4.859	359.844	29.369	(0.009637988804790013, 62.317159916781634)	(4.858860759791887, 62.16104734722069)	-2495	809540.708	N08-Pus/δ Cnc	N08-Pus/δ Cnc	N08-Pus	N08-Pus	0	2	False	False	False	False
3	-02496-06-25T13:51:09.184	809590.077	154.881	10.784	90.607	0.003	156.255	14.139	90.609	3.617	0.002	29.467	(0.003492467689708033, 90.60739603254835)	(3.616711327942419, 90.60904106495043)	-2495	809570.077	N10-Mag/α Leo	N10-Mag/α Leo	N10-Mag	N10-Mag	0	3	False	False	False	False
3	-02496-07-25T01:03:54.457	809619.544	181.535	-0.622	119.459	-0.003	182.022	0.674	119.376	1.379	359.917	29.577	(-0.0033028394078419465, 119.45880757490374)	(1.3787866193486764, 119.37572942336398)	-2495	809599.544	N13-Has/γ Crv	N13-Has/γ Crv	N13-Has	N13-Has	0	3	False	False	False	False
3	-02496-08-23T14:54:21.330	809649.121	208.915	-12.125	148.952	-0.009	207.994	-13.126	148.472	-1.266	359.521	29.685	(-0.009038871393216123, 148.95156632568737)	(-1.2657637963501598, 148.47248965441838)	-2495	809629.121	N15-Swa/α Boo	N15-Swa/α Boo	N15-Swa	N15-Swa	0	3	False	False	False	False
3	-02496-09-22T07:20:23.232	809678.806	238.974	-20.901	179.016	-0.012	237.086	-24.168	178.021	-3.578	359.005	29.874	(-0.01216631795922322, 179.0160997163132)	(-3.578410945168095, 178.02112878644957)	-2495	809658.806	N17-Anu/δ Sco	N17-Anu/δ Sco	N17-Anu	N17-Anu	0	4	True	True	True	True
4	-02496-10-22T04:18:27.057	809708.679	271.896	-24.041	209.531	-0.012	271.691	-28.918	209.290	-4.886	359.759	29.813	(-0.011769329665459296, 209.53081947418303)	(-4.88602543072085, 209.2896648889268)	-2495	809688.679	N20-PAsh/γ Sgr	N20-PAsh/γ Sgr	N20-PAsh	N20-PAsh	0	4	False	False	False	False
4	-02496-11-20T23:49:45.126	809738.493	304.547	-20.214	239.952	-0.008	305.460	-24.788	239.706	-4.652	359.754	29.765	(-0.007856734578167456, 239.95172146094976)	(-4.6524246885794565, 239.7058729203367)	-2495	809718.493	N22-Shr/β Aql	N22-Shr/β Aql	N22-Shr	N22-Shr	0	5	False	False	False	False
4	-02496-12-20T18:10:38.798	809768.257	334.316	-11.001	270.011	-0.001	335.292	-13.871	269.840	-3.021	359.829	29.608	(-0.0014560669594602528, 270.0110379764753)	(-3.0208538274870955, 269.8404426332622)	-2495	809748.257	N24-Sha/λ Aqr	N24-Sha/λ Aqr	N24-Sha	N24-Sha	0	0	False	False	False	False
