yr	jd	season	sun_lon	moon_lon	moon_naks	moon_phase	sun_न	moon_न	moon_lon_adj	sun_lon_adj	jd_diff	kv_pair	moon_lon_adj_packed	yr_grp	kv_adj
-2398	844924.01	1	0.28	180.06	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	180.06	0.28	915.66	False	45.06	0	
-2396	845839.67	4	180.86	0.31	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	0.31	180.86	6023.67	False	0.31	0	
-2379	851863.34	1	0.03	179.53	N17-Anu/δ Sco	1	N04-Roh	N17-Anu	179.53	0.03	915.82	False	44.53	0	
-2377	852779.16	4	180.73	0.48	N04-Roh/γ Tau	1	N17-Anu	N04-Roh	0.48	180.73	6023.95	False	0.48	0	
-2360	858803.10	1	0.18	181.13	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	181.13	0.18	915.36	False	46.13	0	
-2358	859718.46	4	180.41	0.23	N03-Kri/* 27 Tau	1	N17-Anu	N03-Kri	0.23	180.41	3101.21	False	0.23	0	
-2349	862819.67	1	359.14	178.96	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	178.96	-0.86	2923.28	False	43.96	0	
-2341	865742.95	1	0.43	180.14	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	180.14	0.43	915.01	False	45.14	0	
-2339	866657.96	4	180.28	0.14	N03-Kri/* 27 Tau	1	N17-Anu	N03-Kri	0.14	180.28	3101.68	False	0.14	0	
-2330	869759.64	1	359.50	179.46	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	179.46	-0.50	914.83	False	44.46	0	
-2328	870674.47	4	179.10	358.86	N03-Kri/* 17 Tau	1	N17-Anu	N03-Kri	-1.14	179.10	2008.59	False	-1.14	0	
-2322	872683.06	1	0.92	181.78	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	181.78	0.92	914.73	False	46.78	0	
-2320	873597.79	4	180.50	0.41	N03-Kri/η Tau	1	N17-Anu	N03-Kri	0.41	180.50	3101.45	False	0.41	0	
-2311	876699.24	1	359.50	178.58	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	178.58	-0.50	915.21	False	43.58	0	
-2309	877614.45	4	179.47	358.86	N03-Kri/* 17 Tau	1	N17-Anu	N03-Kri	-1.14	179.47	2923.35	False	-1.14	0	
-2301	880537.80	4	180.90	0.72	N03-Kri/* 27 Tau	1	N17-Anu	N03-Kri	0.72	180.90	3100.86	False	0.72	0	
-2292	883638.65	1	359.32	179.07	N17-Anu/δ Sco	1	N02-Bha	N17-Anu	179.07	-0.68	915.62	False	44.07	0	
-2290	884554.28	4	179.69	359.26	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.74	179.69	6023.67	False	-0.74	0	
-2273	890577.95	1	359.04	178.39	N17-Anu/δ Sco	1	N02-Bha	N17-Anu	178.39	-0.96	915.83	False	43.39	0	
-2271	891493.78	4	179.58	359.36	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.64	179.58	2007.94	False	-0.64	0	
-2265	893501.73	1	0.80	180.57	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	180.57	0.80	4015.91	False	45.57	0	
-2254	897517.64	1	359.13	179.22	N17-Anu/δ Sco	1	N02-Bha	N17-Anu	179.22	-0.87	915.45	False	44.22	0	
-2252	898433.08	4	179.26	359.08	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.92	179.26	2008.04	False	-0.92	0	
-2246	900441.12	1	0.61	180.27	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	180.27	0.61	4016.42	False	45.27	0	
-2235	904457.54	1	359.42	179.18	N17-Anu/δ Sco	1	N02-Bha	N17-Anu	179.18	-0.58	915.01	False	44.18	0	
-2233	905372.54	4	179.10	358.92	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-1.08	179.10	2008.34	False	-1.08	0	
-2227	907380.88	1	0.76	180.74	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	180.74	0.76	915.25	False	45.74	0	
-2225	908296.14	4	180.77	359.93	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.07	180.77	3101.44	False	-0.07	0	
-2216	911397.58	1	359.84	179.76	N17-Anu/δ Sco	1	N02-Bha	N17-Anu	179.76	-0.16	914.77	False	44.76	0	
-2214	912312.34	4	179.28	359.20	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.80	179.28	2923.37	False	-0.80	0	
-2206	915235.72	4	180.74	359.95	N02-Bha/* 39 Ari	1	N17-Anu	N02-Bha	-0.05	180.74	3101.76	False	-0.05	0	
-2197	918337.47	1	0.12	179.97	N17-Anu/δ Sco	1	N03-Kri	N17-Anu	179.97	0.12	914.86	False	44.97	0	
