jd	date	yr	season	rtu	eqnx	sun_lon	sun_naks	moon_lon	moon_naks	moon_phase	moon_sun_diff	sun_न	moon_न	kv_pair	moon_lon_adj	sun_lon_adj	jd_diff	moon_lon_adj_packed	yr_grp	kv_adj
845928.11	-2397-12-21	-2397	6	R6-śiśira	False	270.31	N24-Sha/λ Aqr	90.21	N10-Mag/α Leo	1	-180	N24-Sha	N10-Mag	False	90.21	270.31	3838.00	90.21	0	
849766.11	-2386-06-24	-2386	2	R2-grīṣma	False	89.46	N10-Mag/α Leo	269.46	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.46	89.46	2923.48	134.46	0	False
852689.59	-2378-06-26	-2378	3	R3-varṣā	False	90.96	N10-Mag/α Leo	270.59	N24-Sha/λ Aqr	1	179	N10-Mag	N24-Sha	False	270.59	90.96	178.38	135.59	0	
852867.97	-2378-12-21	-2378	6	R6-śiśira	False	270.56	N24-Sha/λ Aqr	90.78	N10-Mag/α Leo	1	-179	N24-Sha	N10-Mag	False	90.78	270.56	3838.08	90.78	0	
856706.05	-2367-06-24	-2367	2	R2-grīṣma	False	89.79	N10-Mag/α Leo	269.56	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	269.56	89.79	3101.37	134.56	0	False
859807.42	-2359-12-20	-2359	6	R6-śiśira	False	270.41	N24-Sha/λ Aqr	90.05	N10-Mag/α Leo	1	-180	N24-Sha	N10-Mag	False	90.05	270.41	3838.66	90.05	0	
863646.08	-2348-06-24	-2348	3	R3-varṣā	False	90.21	N10-Mag/α Leo	270.08	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.08	90.21	3100.76	135.08	0	False
866746.84	-2340-12-20	-2340	6	R6-śiśira	False	270.21	N23-Dha/γ2 Del	91.13	N10-Mag/α Leo	1	-179	N23-Dha	N10-Mag	True	91.13	270.21	3839.13	91.13	0	False
870585.97	-2329-06-25	-2329	3	R3-varṣā	False	90.50	N10-Mag/α Leo	270.66	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.66	90.50	3100.23	135.66	0	False
873686.20	-2321-12-20	-2321	5	R5-hemanta	False	269.97	N23-Dha/γ2 Del	90.02	N10-Mag/α Leo	1	-179	N23-Dha	N10-Mag	True	90.02	269.97	3839.27	90.02	0	False
877525.47	-2310-06-24	-2310	3	R3-varṣā	False	90.40	N10-Mag/α Leo	269.97	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	269.97	90.40	3100.50	134.97	0	False
880625.97	-2302-12-20	-2302	6	R6-śiśira	False	270.13	N23-Dha/γ2 Del	90.02	N10-Mag/γ Leo	1	-180	N23-Dha	N10-Mag	True	90.02	270.13	3838.92	90.02	0	False
884464.89	-2291-06-25	-2291	3	R3-varṣā	False	90.24	N10-Mag/γ Leo	271.06	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	271.06	90.24	177.80	136.06	0	True
884642.69	-2291-12-20	-2291	5	R5-hemanta	False	269.18	N23-Dha/γ2 Del	89.47	N10-Mag/γ Leo	1	-179	N23-Dha	N10-Mag	True	89.47	269.18	2923.26	89.47	0	True
887565.95	-2283-12-21	-2283	6	R6-śiśira	False	270.50	N23-Dha/γ2 Del	90.16	N10-Mag/γ Leo	1	-180	N23-Dha	N10-Mag	True	90.16	270.50	3838.28	90.16	0	False
891404.23	-2272-06-24	-2272	2	R2-grīṣma	False	89.99	N10-Mag/γ Leo	270.02	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.02	89.99	178.29	135.02	0	True
891582.52	-2272-12-20	-2272	5	R5-hemanta	False	269.40	N23-Dha/γ2 Del	89.20	N10-Mag/η Leo	1	-180	N23-Dha	N10-Mag	True	89.20	269.40	2923.44	89.20	0	True
894505.96	-2264-12-21	-2264	6	R6-śiśira	False	270.91	N23-Dha/γ2 Del	90.80	N10-Mag/α Leo	1	-180	N23-Dha	N10-Mag	True	90.80	270.91	3838.01	90.80	0	False
898343.97	-2253-06-25	-2253	3	R3-varṣā	False	90.13	N10-Mag/γ Leo	270.09	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.09	90.13	178.14	135.09	0	True
898522.11	-2253-12-20	-2253	5	R5-hemanta	False	269.38	N23-Dha/γ2 Del	89.67	N10-Mag/γ Leo	1	-179	N23-Dha	N10-Mag	True	89.67	269.38	3838.59	89.67	0	True
902360.70	-2242-06-24	-2242	2	R2-grīṣma	False	89.22	N10-Mag/η Leo	269.57	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.57	89.22	2923.24	134.57	0	False
905283.94	-2234-06-25	-2234	3	R3-varṣā	False	90.49	N10-Mag/γ Leo	270.16	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.16	90.49	177.43	135.16	0	True
905461.37	-2234-12-19	-2234	5	R5-hemanta	False	269.03	N23-Dha/γ2 Del	88.75	N10-Mag/ζ Leo	1	-180	N23-Dha	N10-Mag	True	88.75	269.03	2923.83	88.75	0	True
908385.20	-2226-12-21	-2226	6	R6-śiśira	False	270.93	N23-Dha/γ2 Del	91.05	N10-Mag/γ Leo	1	-179	N23-Dha	N10-Mag	True	91.05	270.93	915.36	91.05	0	False
909300.56	-2223-06-24	-2223	2	R2-grīṣma	False	89.49	N10-Mag/η Leo	269.32	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	269.32	89.49	2923.40	134.32	0	False
912223.96	-2215-06-25	-2215	3	R3-varṣā	False	90.91	N10-Mag/γ Leo	270.76	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.76	90.91	3100.49	135.76	0	False
915324.45	-2207-12-20	-2207	6	R6-śiśira	False	270.57	N23-Dha/γ2 Del	90.15	N10-Mag/η Leo	1	-180	N23-Dha	N10-Mag	True	90.15	270.57	915.73	90.15	0	False
916240.18	-2204-06-23	-2204	2	R2-grīṣma	False	89.51	N10-Mag/η Leo	269.64	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.64	89.51	3100.38	134.64	0	False
919340.56	-2196-12-20	-2196	5	R5-hemanta	False	269.01	N23-Dha/γ2 Del	89.07	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	89.07	269.01	2923.46	89.07	0	False
922264.02	-2188-12-21	-2188	6	R6-śiśira	False	270.54	N23-Dha/γ2 Del	90.74	N10-Mag/γ Leo	1	-179	N23-Dha	N10-Mag	True	90.74	270.54	915.43	90.74	0	False
923179.45	-2185-06-24	-2185	2	R2-grīṣma	False	89.19	N10-Mag/ζ Leo	268.73	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	268.73	89.19	3101.12	133.73	0	False
926280.57	-2177-12-21	-2177	5	R5-hemanta	False	269.40	N23-Dha/γ2 Del	89.73	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	89.73	269.40	2923.26	89.73	0	False
929203.83	-2169-12-22	-2169	6	R6-śiśira	False	270.74	N23-Dha/γ2 Del	90.51	N10-Mag/η Leo	1	-180	N23-Dha	N10-Mag	True	90.51	270.74	915.08	90.51	0	False
930118.91	-2166-06-24	-2166	2	R2-grīṣma	False	89.07	N10-Mag/ζ Leo	269.58	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.58	89.07	2923.61	134.58	0	False
933042.52	-2158-06-26	-2158	3	R3-varṣā	False	90.69	N10-Mag/η Leo	270.10	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.10	90.69	178.04	135.10	0	True
933220.56	-2158-12-21	-2158	5	R5-hemanta	False	269.79	N23-Dha/γ2 Del	89.93	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	89.93	269.79	3838.01	89.93	0	True
937058.57	-2147-06-24	-2147	2	R2-grīṣma	False	89.13	N10-Mag/ζ Leo	269.16	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.16	89.13	2923.49	134.16	0	False
939982.06	-2139-06-25	-2139	3	R3-varṣā	False	90.64	N10-Mag/η Leo	270.84	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.84	90.64	178.30	135.84	0	True
940160.36	-2139-12-20	-2139	5	R5-hemanta	False	269.98	N23-Dha/γ2 Del	89.86	N10-Mag/ζ Leo	1	-180	N23-Dha	N10-Mag	True	89.86	269.98	3838.20	89.86	0	True
943998.56	-2128-06-24	-2128	2	R2-grīṣma	False	89.51	N10-Mag/ζ Leo	269.85	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.85	89.51	2923.28	134.85	0	False
946921.84	-2120-06-25	-2120	3	R3-varṣā	False	90.82	N10-Mag/η Leo	270.65	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.65	90.82	178.07	135.65	0	True
947099.91	-2120-12-20	-2120	5	R5-hemanta	False	269.93	N23-Dha/γ2 Del	90.65	N10-Mag/η Leo	1	-179	N23-Dha	N10-Mag	True	90.65	269.93	3838.67	90.65	0	True
950938.58	-2109-06-25	-2109	2	R2-grīṣma	False	89.92	N10-Mag/ζ Leo	270.14	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.14	89.92	3100.58	135.14	0	False
954039.16	-2101-12-20	-2101	5	R5-hemanta	False	269.56	N23-Dha/γ2 Del	89.75	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	89.75	269.56	3839.24	89.75	0	False
957878.40	-2090-06-25	-2090	3	R3-varṣā	False	90.14	N10-Mag/ζ Leo	270.03	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	270.03	90.14	3100.20	135.03	0	False
960978.60	-2082-12-21	-2082	5	R5-hemanta	False	269.39	N23-Dha/γ2 Del	89.07	N10-Mag/ζ Leo	1	-180	N23-Dha	N10-Mag	True	89.07	269.39	3839.37	89.07	0	False
964817.97	-2071-06-25	-2071	3	R3-varṣā	False	90.12	N10-Mag/ζ Leo	270.67	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.67	90.12	3100.46	135.67	0	False
967918.43	-2063-12-20	-2063	5	R5-hemanta	False	269.62	N23-Dha/γ2 Del	89.71	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	89.71	269.62	3838.79	89.71	0	False
971757.22	-2052-06-24	-2052	2	R2-grīṣma	False	89.79	N10-Mag/ζ Leo	269.84	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.84	89.79	3101.23	134.84	0	False
974858.45	-2044-12-20	-2044	6	R6-śiśira	False	270.03	N23-Dha/γ2 Del	90.25	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.25	270.03	3838.17	90.25	0	False
978696.62	-2033-06-25	-2033	2	R2-grīṣma	False	89.60	N10-Mag/ζ Leo	269.20	N23-Dha/γ2 Del	1	179	N10-Mag	N23-Dha	True	269.20	89.60	3101.80	134.20	0	False
981798.42	-2025-12-21	-2025	6	R6-śiśira	False	270.39	N23-Dha/γ2 Del	90.44	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.44	270.39	3838.01	90.44	0	False
985636.43	-2014-06-24	-2014	2	R2-grīṣma	False	89.80	N10-Mag/ζ Leo	269.88	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.88	89.80	3101.74	134.88	0	False
988738.17	-2006-12-21	-2006	6	R6-śiśira	False	270.53	N23-Dha/γ2 Del	90.64	N10-Mag/ζ Leo	1	-179	N23-Dha	N10-Mag	True	90.64	270.53	3838.27	90.64	0	False
992576.44	-1995-06-24	-1995	3	R3-varṣā	False	90.20	N10-Mag/ζ Leo	270.41	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.41	90.20	3101.08	135.41	0	False
995677.52	-1987-12-21	-1987	6	R6-śiśira	False	270.27	N23-Dha/γ2 Del	89.66	N10-Mag/ζ Leo	1	-180	N23-Dha	N10-Mag	True	89.66	270.27	915.48	89.66	0	False
996593.00	-1984-06-23	-1984	2	R2-grīṣma	False	89.15	N10-Mag/μ Leo	269.29	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	269.29	89.15	2923.43	134.29	0	False
999516.43	-1976-06-24	-1976	3	R3-varṣā	False	90.59	N10-Mag/ζ Leo	270.67	N23-Dha/γ2 Del	1	180	N10-Mag	N23-Dha	True	270.67	90.59	3100.50	135.67	0	False
