xm,yr,dt,jd,slon,mlon,smgap
0,-2500,-2500-09-26,808201.5911790336,163.17,155.85,-7.32
1,-2500,-2500-10-11,808216.3561781895,178.17,358,179.83
0,-2500,-2500-10-26,808231.2931505122,193.4,187.82,-5.59
1,-2500,-2500-11-09,808246.0581496642,208.5,28.51,-179.99
1,-2500,-2500-12-09,808276.016528438,239.07,60.57,-178.51
0,-2500,-2500-12-24,808290.7815292809,254.05,256.14,2.1
1,-2499,-2499-09-30,808571.2581075712,167.66,355.88,-171.77
0,-2499,-2499-10-15,808586.023108415,182.67,179.65,-3.02
1,-2499,-2499-10-30,808601.0819296725,198.05,28.77,-169.28
0,-2499,-2499-11-14,808615.8469305201,213.15,213.67,0.52
1,-2499,-2499-11-29,808630.8345100975,228.45,58.47,-169.98
0,-2499,-2499-12-14,808645.5995109404,243.48,248.58,5.1
0,-2498,-2498-10-05,808940.665530141,171.89,175.22,3.33
1,-2498,-2498-10-20,808955.4305292973,186.93,16.54,-170.39
0,-2498,-2498-11-03,808970.0773941872,201.89,200.27,-1.62
1,-2498,-2498-11-18,808984.8423933397,216.99,45,-171.99
0,-2498,-2498-12-02,808999.2602391993,231.7,224.85,-6.85
1,-2498,-2498-12-17,809014.0252383567,246.71,69.93,-176.79
1,-2497,-2497-10-08,809308.9377005497,174.97,350.46,175.5
0,-2497,-2497-10-23,809323.7027013932,190.02,184.72,-5.3
1,-2497,-2497-11-07,809338.46766001,205.11,20.2,175.09
0,-2497,-2497-11-21,809353.2326608573,220.2,211.24,-8.96
1,-2497,-2497-12-06,809367.9616596757,235.22,52.21,176.99
0,-2497,-2497-12-21,809382.7266605181,250.22,238.64,-11.58
1,-2496,-2496-09-26,809663.2231555599,163.85,334.22,170.37
0,-2496,-2496-10-11,809677.9881564031,178.84,175.93,-2.92
1,-2496,-2496-10-26,809693.1580279111,194.32,11.29,176.97
0,-2496,-2496-11-10,809707.9230287581,209.42,208.09,-1.32
1,-2496,-2496-11-25,809722.9776048847,224.8,47.35,-177.45
0,-2496,-2496-12-10,809737.7426057267,239.84,239.3,-0.54
0,-2495,-2495-10-01,810033.0339866695,168.48,175.91,7.43
1,-2495,-2495-10-16,810047.7989858263,183.5,1.23,177.73
0,-2495,-2495-10-31,810063.0031935927,199.03,209.6,10.57
1,-2495,-2495-11-15,810077.7681927456,214.12,37.8,-176.33
0,-2495,-2495-11-30,810092.7078727009,229.38,240.1,10.72
1,-2495,-2495-12-15,810107.4728718587,244.41,71.17,-173.24
1,-2494,-2494-10-06,810402.3315089832,172.6,352.8,-179.8
0,-2494,-2494-10-20,810417.0965098261,187.63,196.66,9.02
1,-2494,-2494-11-04,810431.6314511485,202.49,17.9,175.41
0,-2494,-2494-11-19,810446.3964519952,217.58,223.64,6.05
1,-2494,-2494-12-03,810460.9913679856,232.48,46.18,173.7
0,-2494,-2494-12-18,810475.7563688275,247.49,249.36,1.87
0,-2493,-2493-10-09,810770.7673456128,175.85,173.79,-2.06
1,-2493,-2493-10-24,810785.5323447702,190.9,3.65,172.74
0,-2493,-2493-11-07,810800.1152435167,205.8,201.42,-4.38
1,-2493,-2493-11-22,810814.8802426703,220.9,29.95,169.05
0,-2493,-2493-12-07,810829.9375355383,236.25,235.85,-0.4
1,-2493,-2493-12-22,810844.7025346968,251.24,60.76,169.52
0,-2492,-2492-09-27,811125.13135494,164.8,158.03,-6.77
1,-2492,-2492-10-12,811139.8963540975,179.8,358.18,178.38
0,-2492,-2492-10-27,811154.8762116209,195.09,192.62,-2.47
1,-2492,-2492-11-11,811169.6412107745,210.18,26.62,176.43
0,-2492,-2492-11-26,811184.8468092926,225.72,230.59,4.87
1,-2492,-2492-12-11,811199.6118084511,240.76,58.77,178.01
1,-2491,-2491-10-02,811494.977372145,169.46,359.61,-169.85
0,-2491,-2491-10-17,811509.7423729873,184.49,186.1,1.61
1,-2491,-2491-11-01,811524.7455466994,199.81,28.93,-170.88
0,-2491,-2491-11-16,811539.5105475454,214.91,220.88,5.97
1,-2491,-2491-12-01,811554.3987791134,230.11,57.26,-172.85
0,-2491,-2491-12-15,811569.1637799548,245.13,252.33,7.2
0,-2490,-2490-10-06,811863.9999885663,173.3,171.78,-1.52
1,-2490,-2490-10-21,811878.7649877241,188.35,16.28,-172.06
0,-2490,-2490-11-05,811893.359553907,203.26,199.43,-3.84
1,-2490,-2490-11-19,811908.124553061,218.35,43.23,-175.12
0,-2490,-2490-12-04,811922.5245595335,233.05,224.29,-8.77
1,-2490,-2490-12-19,811937.2895586923,248.06,65.74,177.69
1,-2489,-2489-10-10,812232.48554459,176.6,354.11,177.51
0,-2489,-2489-10-24,812247.250545432,191.65,183.5,-8.15
1,-2489,-2489-11-08,812262.0932313633,206.82,27.17,-179.66
0,-2489,-2489-11-23,812276.8582322092,221.92,211.76,-10.15
1,-2489,-2489-12-08,812291.6429440189,237,55.69,178.69
0,-2489,-2489-12-23,812306.4079447788,251.98,241.64,-10.34
1,-2488,-2488-09-28,812586.7516487495,165.45,338.15,172.7
0,-2488,-2488-10-13,812601.5166495912,180.45,176.24,-4.22
1,-2488,-2488-10-28,812616.7565770817,196.01,16.37,-179.63
0,-2488,-2488-11-12,812631.5215779274,211.1,208.78,-2.32
1,-2488,-2488-11-27,812646.6026111692,226.51,51.53,-174.98
0,-2488,-2488-12-12,812661.3676120099,241.55,239.68,-1.87
0,-2487,-2487-10-03,812956.7073937925,170.22,178.87,8.65
1,-2487,-2487-10-18,812971.4723929509,185.25,5.99,-179.26
0,-2487,-2487-11-02,812986.6087889003,200.72,210.72,10
1,-2487,-2487-11-17,813001.3737880549,215.81,43.45,-172.36
0,-2487,-2487-12-01,813016.2270383623,230.98,237.6,6.63
1,-2487,-2487-12-16,813030.9920375217,245.99,77.29,-168.7
1,-2486,-2486-10-07,813325.683168218,174.02,351.13,177.11
0,-2486,-2486-10-22,813340.4481690594,189.06,196.65,7.59
1,-2486,-2486-11-05,813354.9107881656,203.84,17.55,173.71
0,-2486,-2486-11-20,813369.6757890108,218.94,220.72,1.78
1,-2486,-2486-12-05,813384.3103615412,233.87,45.3,171.43
0,-2486,-2486-12-19,813399.0753623818,248.87,245.18,-3.68
1,-2485,-2485-09-26,813679.562262316,162.49,335.67,173.18
0,-2485,-2485-10-11,813694.327262601,177.48,178.49,1.01
0,-2485,-2485-11-09,813723.7174117983,207.49,206.71,-0.78
1,-2485,-2485-11-24,813738.4824082834,222.58,29.83,167.25
0,-2485,-2485-12-09,813753.5680570079,237.96,240.3,2.34
1,-2485,-2485-12-24,813768.3330561677,252.93,64.07,171.14
0,-2484,-2484-09-29,814048.698821119,166.43,164.12,-2.31
1,-2484,-2484-10-14,814063.4638202781,181.44,356.04,174.6
0,-2484,-2484-10-29,814078.5031829546,196.79,200.01,3.22
1,-2484,-2484-11-12,814093.2681821097,211.89,27.32,175.43
0,-2484,-2484-11-28,814108.48916133,227.44,236.9,9.46
1,-2484,-2484-12-12,814123.2541604901,242.47,61.05,178.58
1,-2483,-2483-10-04,814418.6321152144,171.19,359.05,-172.14
0,-2483,-2483-10-19,814433.3971160551,186.22,192.62,6.4
1,-2483,-2483-11-03,814448.3187955976,201.47,28.47,-173
0,-2483,-2483-11-17,814463.0837964423,216.56,224.87,8.31
1,-2483,-2483-12-02,814477.8544694951,231.64,55.75,-175.89
0,-2483,-2483-12-17,814492.619470335,246.66,257.25,10.59
0,-2482,-2482-10-08,814787.3495187305,174.72,172.3,-2.43
1,-2482,-2482-10-22,814802.11451789,189.77,15.32,-174.45
0,-2482,-2482-11-06,814816.6989559978,204.68,199.83,-4.85
1,-2482,-2482-11-21,814831.4639551534,219.77,39.11,179.34
0,-2482,-2482-12-05,814845.9207529607,234.52,224.75,-9.77
1,-2482,-2482-12-20,814860.685752121,249.52,62.69,173.17
0,-2481,-2481-09-26,815141.2368487085,163.2,155.41,-7.79
1,-2481,-2481-10-11,815156.0018478681,178.19,359.09,-179.1
0,-2481,-2481-10-26,815170.9012868609,193.39,184.7,-8.69
1,-2481,-2481-11-10,815185.6662860166,208.49,28.69,-179.8
1,-2481,-2481-12-09,815215.2850084342,238.72,58.64,179.92
0,-2481,-2481-12-24,815230.0500092737,253.69,244.41,-9.27
1,-2480,-2480-09-30,815510.3467674707,167.13,343.75,176.63
0,-2480,-2480-10-14,815525.1117683108,182.14,174.47,-7.67
1,-2480,-2480-10-30,815540.4002008116,197.75,22.09,-175.66
0,-2480,-2480-11-13,815555.1652016556,212.84,208.35,-4.49
1,-2480,-2480-11-28,815570.2641150057,228.26,57.26,-171
0,-2480,-2480-12-13,815585.0291158449,243.29,240.82,-2.47
0,-2479,-2479-10-05,815880.3197235552,171.93,178.4,6.47
1,-2479,-2479-10-19,815895.0847227152,186.96,13.58,-173.38
0,-2479,-2479-11-03,815910.0918974491,202.29,207.33,5.04
1,-2479,-2479-11-18,815924.8568966052,217.39,47.73,-169.66
0,-2479,-2479-12-03,815939.5982060591,232.44,235.79,3.35
1,-2479,-2479-12-18,815954.36320522,247.45,77.57,-169.88
1,-2478,-2478-10-08,816249.120420648,175.54,353.63,178.09
0,-2478,-2478-10-23,816263.885421488,190.59,194.16,3.57
1,-2478,-2478-11-07,816278.3205621856,205.35,18.51,173.16
0,-2478,-2478-11-21,816293.0855630294,220.44,217,-3.44
1,-2478,-2478-12-06,816307.771098265,235.42,48.82,173.39
0,-2478,-2478-12-21,816322.536099104,250.42,244.5,-5.92
1,-2477,-2477-09-27,816603.0619691577,164.07,336.45,172.38
0,-2477,-2477-10-12,816617.8269699973,179.07,180.2,1.13
1,-2477,-2477-10-27,816632.5214992095,194.06,2.7,168.64
0,-2477,-2477-11-11,816647.2864976715,209.16,208.06,-1.09
1,-2477,-2477-11-26,816662.3939682785,224.6,37.66,173.06
0,-2477,-2477-12-10,816677.1589684761,239.64,239.48,-0.16
0,-2476,-2476-10-01,816972.320189994,168.14,169.83,1.69
1,-2476,-2476-10-15,816987.0851891545,183.15,357.44,174.29
0,-2476,-2476-10-30,817002.1883914368,198.58,204.31,5.73
1,-2476,-2476-11-14,817016.9533905934,213.67,29.96,176.29
0,-2476,-2476-11-29,817032.1829227859,229.23,239.46,10.23
1,-2476,-2476-12-14,817046.9479219472,244.25,65.62,-178.63
1,-2475,-2475-10-05,817342.1773635793,172.82,358.92,-173.9
0,-2475,-2475-10-20,817356.9423644184,187.86,196.57,8.71
1,-2475,-2475-11-04,817371.7657462899,203.01,26.19,-176.82
0,-2475,-2475-11-19,817386.530747133,218.1,229.42,11.32
1,-2475,-2475-12-03,817401.1859543326,233.06,53.18,-179.88
0,-2475,-2475-12-18,817415.950955171,248.06,256.05,7.98
0,-2474,-2474-10-09,817710.7984636537,176.26,174.19,-2.07
1,-2474,-2474-10-24,817725.5634628145,191.31,12.09,-179.23
0,-2474,-2474-11-07,817740.1455942562,206.21,202.04,-4.17
1,-2474,-2474-11-22,817754.9105934134,221.31,38.1,176.79
0,-2474,-2474-12-07,817769.4416481582,236.13,230.95,-5.18
1,-2474,-2474-12-21,817784.2066473201,251.12,62.01,170.89
0,-2473,-2473-09-28,818064.6983809298,164.74,155.31,-9.43
1,-2473,-2473-10-13,818079.4633800532,179.74,358.46,178.72
