nid,gname,mag,localdt,jd,epoch,year,month,daynum,daynum_utryn,daynum_dksyn,sun_alt,sun_az,sun_lon,sun_lat,alt,az,ra,dec,lon,lat
N01-Ash,β Ari,2.6,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-35.9706858970375,67.16767920358652,338.4498050170886,-0.36093536681854216,340.01605279098465,8.229733599950308
N01-Ash,α Ari,2.0,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-36.53459611364684,62.340208624867635,341.26607598913444,2.384901162407775,343.7176978847451,9.679025922997102
N01-Ash,γ Ari,4.5,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-36.668101658601636,68.86704716654265,338.22139144049856,-1.8803170437799657,339.22034035078525,6.911035341291328
N02-Bha,* 41 Ari,3.6,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-40.29418464696153,49.96818331830817,350.652237412951,6.898583378856435,354.252331389564,10.088742989424256
N02-Bha,* 39 Ari,4.5,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-38.4201309437387,48.930126919938665,349.9784556931039,8.824693040162938,354.4305299374802,12.119855611449648
N02-Bha,* 35 Ari,4.65,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-39.064095283711964,51.11980773917846,349.15373051218904,7.192578128699209,352.9911860459976,10.961178413180303
N03-Kri,η Tau,2.85,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-49.24670027265106,35.990335943930184,4.007777377817181,5.734414600206687,5.993652338614719,3.6204397737819645
N03-Kri,* 17 Tau,3.7,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-49.02912354262033,36.83757446070629,3.418751189467801,5.62972541447743,5.414158304702104,3.7623408964054166
N03-Kri,* 19 Tau,4.3,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-48.72570190196345,36.537359763638634,3.4267468846277764,5.991607589482788,5.568581713631627,4.0899146315377335
N03-Kri,* 20 Tau,3.85,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-48.86867414780492,36.390993225535496,3.584639929591845,5.920408396673137,5.683535725922751,3.961129054876306
N03-Kri,* 23 Tau,4.1,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-49.30133328173482,36.454154776031494,3.7768356548303497,5.53015679329959,5.700180768198658,3.526828799230876
N03-Kri,* 27 Tau,3.6,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-49.42571549603092,35.464727397885895,4.395466522948441,5.757295014836152,6.356320470767988,3.485102187627807
N04-Roh,α Tau,0.85,-1900-01-01T07:27:28.497,1027099.5815798264,-1900.0,-1900,1,1,14,193,0.0023355216477439,116.88037282721136,281.9294787228655,-8.539583780436898e-05,-58.9923341333421,19.50656257140647,16.777985734728176,0.845666068837147,15.749686842864378,-5.9420465965084395
