nid,gname,mag,localdt,jd,epoch,year,month,daynum,daynum_utryn,daynum_dksyn,sun_alt,sun_az,sun_lon,sun_lat,alt,az,ra,dec,lon,lat
N01-Ash,β Ari,2.6,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-37.80248293493322,63.78172603230849,340.9558573197241,0.698809410551449,342.75571979325434,8.239651262195554
N01-Ash,α Ari,2.0,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-38.19359863082709,58.81473174895948,343.75593877847865,3.462577194790723,346.45681440094506,9.690587653717452
N01-Ash,γ Ari,4.5,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-38.55686509428565,65.48473852598545,340.73794338430366,-0.8221070194425176,341.9605950826166,6.9205940569368884
N02-Bha,* 41 Ari,3.6,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-41.455612707400036,45.95931350539434,353.1385866329711,8.017209398024248,356.9917137441622,10.104697767382108
N02-Bha,* 39 Ari,4.5,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-39.540261857225715,45.04092205842516,352.4571508583194,9.94136032355662,357.1690957887166,12.13588289300045
N02-Bha,* 35 Ari,4.65,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-40.27589339456512,47.218636258472436,351.63527395058554,8.306647117656626,355.73014613904803,10.976632780176784
N03-Kri,η Tau,2.85,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.76973186728211,30.994762482263774,6.5264269968666175,6.859564415346442,8.735856097901806,3.640651352836616
N03-Kri,* 17 Tau,3.7,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.59157073917334,31.872896469812304,5.935952741276358,6.755882750860747,8.156301830623685,3.7823609091360093
N03-Kri,* 19 Tau,4.3,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.275123373033814,31.602556005798654,5.94455612817303,7.117751575000156,8.310619723809198,4.109985873651466
N03-Kri,* 20 Tau,3.85,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.41103354933588,31.439648320379682,6.102685721754291,7.046293684108041,8.425619418984121,3.9812383585113444
N03-Kri,* 23 Tau,4.1,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.84552800983741,31.456553457966415,6.294626552336992,6.655716094290188,8.442409058390238,3.546943630174223
N03-Kri,* 27 Tau,3.6,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-49.924128314367486,30.445352394459885,6.915001243041338,6.881716705585076,9.098576716964324,3.5054326074368123
N04-Roh,α Tau,0.85,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-58.718832766834176,13.180293991911325,19.29363831201014,1.920078785909257,18.494658538871448,-5.918934839718739
N04-Roh,γ Tau,3.65,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-59.520379225534874,20.76795374690436,15.735800969955228,0.1498847189426134,14.506888503965799,-6.168824818015769
N04-Roh,δ Tau,3.77,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-57.665059555359406,19.059622610366617,16.03087412438755,2.186109131612079,15.579693512115144,-4.410225063259839
N04-Roh,ε Tau,3.5,-1700-01-01T07:27:06.854,1100147.5813293252,-1700,-1700,1,1,13,192,-0.0059723758473689,116.90918480875484,281.37664812839967,-0.0007110731603508,-56.07558075148505,16.487768397037776,16.960015112741814,4.093831847474276,17.180185090951706,-3.013864905775199
