local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1350-01-01T07:26:45.210,1227982.5810788244,0.016180778612529423,116.87152889402275,330.14919826583304,-12.452183684189551,281.41579445274334,-0.0008902195346874862,-1350,1,1.0,13.0,193.0
-1350-01-02T07:26:45.210,1227983.5810788244,-0.018567917529729062,116.74285815825905,331.11275452659333,-12.097270723048513,282.4220351382968,-0.0008244804465722494,-1350,1,2.0,14.0,194.0
-1350-01-03T07:27:06.854,1227984.5813293252,0.02287617554268473,116.65208451231193,332.07342171096343,-11.739161192344973,283.4279292748574,-0.0007531927723080995,-1350,1,3.0,15.0,195.0
-1350-01-04T07:27:06.854,1227985.5813293252,-0.0007820764271774164,116.51283125808838,333.0307726014821,-11.378152839881343,284.4329638702864,-0.0006752378535141702,-1350,1,4.0,16.0,196.0
-1350-01-05T07:27:06.854,1227986.5813293252,-0.018853654212572443,116.36844837568346,333.98510718573436,-11.01427362509233,285.4373853443413,-0.0005897968396820142,-1350,1,5.0,17.0,197.0
-1350-01-06T07:27:06.854,1227987.5813293252,-0.03129183962437739,116.21903677854719,334.9364890341365,-10.64763973991742,286.44119076927706,-0.0004963901327803465,-1350,1,6.0,18.0,198.0
-1350-01-07T07:27:28.497,1227988.5815798263,0.03300447948670263,116.10792930119409,335.8852231167751,-10.278273493772621,287.44463042786697,-0.0003948066391249083,-1350,1,7.0,19.0,199.0
-1350-01-08T07:27:28.497,1227989.5815798263,0.03204830447824459,115.9487633566854,336.83090586327995,-9.906473975780505,288.4472023468214,-0.00028519153991507366,-1350,1,8.0,20.0,200.0
-1350-01-09T07:27:06.854,1227990.5813293252,-0.0344238729018138,115.74164654401321,337.77361472750033,-9.532355977557758,289.4489088918912,-0.00016792080709851338,-1350,1,9.0,21.0,201.0
-1350-01-10T07:27:06.854,1227991.5813293252,-0.023973981924818717,115.57313839855462,338.7139011994816,-9.15584374187079,290.4502549854786,-4.358907734931147e-05,-1350,1,10.0,22.0,202.0
-1350-01-11T07:27:06.854,1227992.5813293252,-0.00774107342577477,115.40011135893458,339.6516115615088,-8.777141192505818,291.4509933289267,8.68251582351948e-05,-1350,1,11.0,23.0,203.0
-1350-01-12T07:27:06.854,1227993.5813293252,0.01428827548733955,115.222666811464,340.58683237019153,-8.396357483443797,292.45112837625203,0.00022206592301983845,-1350,1,12.0,24.0,204.0
-1350-01-13T07:26:45.210,1227994.5810788244,-0.02958208309758808,114.99767542803178,341.5194203902197,-8.013696539828416,293.45041499764596,0.0003605427271025861,-1350,1,13.0,25.0,205.0
-1350-01-14T07:26:45.210,1227995.5810788244,0.003950191818955656,114.81167712810633,342.4499363283744,-7.62907308116266,294.4493602273981,0.0005005048296264285,-1350,1,14.0,26.0,206.0
-1350-01-15T07:26:23.567,1227996.5808283233,-0.028662269326609827,114.57832659158822,343.37800994315046,-7.242785077319077,295.4474716299293,0.0006398686784045705,-1350,1,15.0,27.0,207.0
-1350-01-16T07:26:23.567,1227997.5808283233,0.01636384477102949,114.38415098960985,344.30420403300155,-6.854743300481763,296.4452599803238,0.0007766036343011618,-1350,1,16.0,28.0,208.0
-1350-01-17T07:26:01.924,1227998.5805778224,-0.005019271943899356,114.14279876511625,345.22815289300803,-6.465245815653524,297.44223889238384,0.0009085901869175409,-1350,1,17.0,29.0,209.0
-1350-01-18T07:25:40.281,1227999.5803273213,-0.020874693939330346,113.8975828513567,346.1501865396703,-6.074298934485223,298.43867424552855,0.0010340080834899698,-1350,1,18.0,30.0,210.0
-1350-01-19T07:25:18.637,1228000.5800768202,-0.031217277621497473,113.64858927197676,347.0704010062148,-5.68200599719401,299.43458256878137,0.001151339064530597,-1350,1,19.0,31.0,211.0
-1350-01-20T07:24:56.994,1228001.5798263194,-0.03606298353807495,113.39590649059087,347.98888961458437,-5.2884706875268295,300.42997851768996,0.0012595216730199041,-1350,1,20.0,32.0,212.0
-1350-01-21T07:24:35.351,1228002.5795758183,-0.03542841336428587,113.13962633148638,348.90574221270003,-4.893797288525061,301.42487211988106,0.0013580398187428692,-1350,1,21.0,33.0,213.0
-1350-01-22T07:24:13.707,1228003.5793253174,-0.02933037613192108,112.8798444474855,349.8210446866211,-4.498090863615404,302.4192664923039,0.0014469724913292118,-1350,1,22.0,34.0,214.0
-1350-01-23T07:23:52.064,1228004.5790748163,-0.017785555258036538,112.61666027801748,350.7348787832151,-4.101457348540884,303.413156570218,0.0015269988250267172,-1350,1,23.0,35.0,215.0
-1350-01-24T07:23:30.421,1228005.5788243152,-0.0008103766487118982,112.35017652442453,351.6473222711637,-3.7040035425038864,304.40652914964386,0.0015993538355442887,-1350,1,24.0,36.0,216.0
-1350-01-25T07:23:08.778,1228006.5785738144,0.02157881242964568,112.08049822929522,352.55844946720964,-3.3058369845083466,305.3993642908379,0.0016657335889068607,-1350,1,25.0,37.0,217.0
-1350-01-26T07:22:25.491,1228007.5780728122,-0.02413063782383656,111.76451110555105,353.46810427827086,-2.9071656971950066,306.3913892580895,0.0017281404493001884,-1350,1,26.0,38.0,218.0
-1350-01-27T07:22:03.848,1228008.5778223113,0.008892767342869068,111.48874640162316,354.37681295159405,-2.5078980270303335,307.38307589527517,0.0017887760602402598,-1350,1,27.0,39.0,219.0
-1350-01-28T07:21:20.561,1228009.5773213094,-0.026526332668248664,111.16688463078115,355.28419014181856,-2.108341990307032,308.373903386966,0.0018497587692422992,-1350,1,28.0,40.0,220.0
