nid	naks	gname	lon	lat	year	date	jd
N22-Shr	धनिष्ठा	β Del	254.190	32.481	-2500	-2500-12-31T06:00:00	808297.534468
N23-Dha	धनिष्ठा	β Aqr	261.196	9.038	-2500	-2500-12-31T06:00:00	808297.534468
N22-Shr	धनिष्ठा	β Del	254.876	32.474	-2450	-2450-12-31T18:00:00	826560.034468
N23-Dha	धनिष्ठा	β Aqr	261.881	9.033	-2450	-2450-12-31T18:00:00	826560.034468
N22-Shr	धनिष्ठा	β Del	255.561	32.467	-2400	-2400-12-31T06:00:00	844822.534468
N23-Dha	धनिष्ठा	β Aqr	262.566	9.027	-2400	-2400-12-31T06:00:00	844822.534468
N22-Shr	धनिष्ठा	β Del	256.246	32.460	-2350	-2350-12-31T18:00:00	863085.034468
N23-Dha	धनिष्ठा	β Aqr	263.252	9.021	-2350	-2350-12-31T18:00:00	863085.034468
N22-Shr	धनिष्ठा	β Del	256.932	32.452	-2300	-2300-12-31T06:00:00	881347.534468
N23-Dha	धनिष्ठा	β Aqr	263.938	9.016	-2300	-2300-12-31T06:00:00	881347.534468
N22-Shr	धनिष्ठा	β Del	257.617	32.445	-2250	-2250-12-31T18:00:00	899610.034468
N23-Dha	धनिष्ठा	β Aqr	264.623	9.010	-2250	-2250-12-31T18:00:00	899610.034468
N22-Shr	धनिष्ठा	β Del	258.303	32.438	-2200	-2200-12-31T06:00:00	917872.534468
N23-Dha	धनिष्ठा	β Aqr	265.309	9.004	-2200	-2200-12-31T06:00:00	917872.534468
N22-Shr	धनिष्ठा	β Del	258.989	32.431	-2150	-2150-12-31T18:00:00	936135.034468
N23-Dha	धनिष्ठा	β Aqr	265.995	8.999	-2150	-2150-12-31T18:00:00	936135.034468
N22-Shr	धनिष्ठा	β Del	259.675	32.424	-2100	-2100-12-31T06:00:00	954397.534468
N23-Dha	धनिष्ठा	β Aqr	266.682	8.993	-2100	-2100-12-31T06:00:00	954397.534468
N22-Shr	धनिष्ठा	β Del	260.361	32.417	-2050	-2050-12-31T18:00:00	972660.034468
N23-Dha	धनिष्ठा	β Aqr	267.368	8.988	-2050	-2050-12-31T18:00:00	972660.034468
N22-Shr	धनिष्ठा	β Del	261.047	32.410	-2000	-2000-12-31T06:00:00	990922.534468
N23-Dha	धनिष्ठा	β Aqr	268.054	8.982	-2000	-2000-12-31T06:00:00	990922.534468
N22-Shr	धनिष्ठा	β Del	261.734	32.403	-1950	-1950-12-31T18:00:00	1009185.034468
N23-Dha	धनिष्ठा	β Aqr	268.741	8.976	-1950	-1950-12-31T18:00:00	1009185.034468
N22-Shr	धनिष्ठा	β Del	262.420	32.396	-1900	-1900-12-31T06:00:00	1027447.534468
N23-Dha	धनिष्ठा	β Aqr	269.427	8.971	-1900	-1900-12-31T06:00:00	1027447.534468
N22-Shr	धनिष्ठा	β Del	263.107	32.389	-1850	-1850-12-31T18:00:00	1045710.034468
N23-Dha	धनिष्ठा	β Aqr	270.114	8.965	-1850	-1850-12-31T18:00:00	1045710.034468
N22-Shr	धनिष्ठा	β Del	263.793	32.382	-1800	-1800-12-31T06:00:00	1063972.534468
N23-Dha	धनिष्ठा	β Aqr	270.801	8.960	-1800	-1800-12-31T06:00:00	1063972.534468
N22-Shr	धनिष्ठा	β Del	264.480	32.375	-1750	-1750-12-31T18:00:00	1082235.034468
N23-Dha	धनिष्ठा	β Aqr	271.488	8.955	-1750	-1750-12-31T18:00:00	1082235.034468
N22-Shr	धनिष्ठा	β Del	265.167	32.368	-1700	-1700-12-31T06:00:00	1100497.534468
N23-Dha	धनिष्ठा	β Aqr	272.175	8.949	-1700	-1700-12-31T06:00:00	1100497.534468
N22-Shr	धनिष्ठा	β Del	265.854	32.361	-1650	-1650-12-31T18:00:00	1118760.034468
