DaysSince,Date,jd,Body,EclType,Mag
532,-1496-May-31,1174808.0,S,P,0.264
856,-1494-Oct-04,1175664.0,S,P,0.132
532,-1492-Mar-19,1176196.0,S,P,0.717
856,-1490-Jul-23,1177052.0,S,P,0.031(s)
1742,-1485-May-01,1178794.0,S,P,0.402(s)
532,-1484-Oct-13,1179326.0,S,P,0.576
148,-1483-Mar-10,1179474.0,S,P,0.083(r)
354,-1482-Feb-27,1179828.0,S,P,0.933
1920,-1477-Jun-01,1181748.0,S,P,0.314
856,-1475-Oct-04,1182604.0,S,P,0.582
1566,-1470-Jan-17,1184170.0,S,P,0.492(r)
176,-1470-Jul-12,1184346.0,S,P,0.249
680,-1468-May-22,1185026.0,S,P,0.076
530,-1467-Nov-04,1185556.0,S,T,1.003
1388,-1463-Aug-23,1186944.0,S,A,0.931
858,-1461-Dec-28,1187802.0,S,P,0.489
1918,-1455-Mar-30,1189720.0,S,P,0.275(r)
856,-1453-Aug-03,1190576.0,S,P,0.2
178,-1452-Jan-28,1190754.0,S,P,0.299(s)
3278,-1443-Jan-18,1194032.0,S,P,0.312
1388,-1440-Nov-05,1195420.0,S,P,0.447
354,-1439-Oct-26,1195774.0,S,P,0.15
1388,-1435-Aug-13,1197162.0,S,P,0.625
1388,-1431-Jun-02,1198550.0,S,P,0.991
1034,-1428-Mar-31,1199584.0,S,P,0.728
1920,-1423-Jul-03,1201504.0,S,P,0.836
856,-1421-Nov-06,1202360.0,S,P,0.237(s)
176,-1420-May-01,1202536.0,S,A,0.954
1390,-1416-Feb-19,1203926.0,S,P,0.153
176,-1416-Aug-13,1204102.0,S,P,0.663
1210,-1413-Dec-07,1205312.0,S,P,0.19
1388,-1409-Sep-25,1206700.0,S,P,0.8
858,-1406-Jan-29,1207558.0,S,P,0.438
530,-1405-Jul-14,1208088.0,S,P,0.77
2422,-1398-Mar-01,1210510.0,S,P,0.489(s)
856,-1396-Jul-04,1211366.0,S,P,0.095
886,-1394-Dec-07,1212252.0,S,P,0.649
3278,-1385-Nov-28,1215530.0,S,T,1.034
530,-1383-May-12,1216060.0,S,P,0.567
856,-1381-Sep-15,1216916.0,S,P,0.711
1390,-1377-Jul-05,1218306.0,S,P,0.541
354,-1376-Jun-23,1218660.0,S,P,0.053
678,-1374-May-03,1219338.0,S,P,0.448
1920,-1369-Aug-05,1221258.0,S,P,0.96
1212,-1366-Nov-28,1222470.0,S,P,0.144
1386,-1362-Sep-15,1223856.0,S,P,0.847
1034,-1359-Jul-15,1224890.0,S,P,0.635
178,-1358-Jan-08,1225068.0,S,P,0.366
1210,-1355-May-03,1226278.0,S,P,0.077
178,-1355-Oct-27,1226456.0,S,P,0.47
354,-1354-Oct-16,1226810.0,S,P,0.415
502,-1352-Mar-02,1227312.0,S,P,0.698
532,-1351-Aug-15,1227844.0,S,P,0.249
502,-1350-Dec-30,1228346.0,S,P,0.389
1920,-1344-Apr-02,1230266.0,S,P,0.814
1742,-1339-Jan-08,1232008.0,S,P,0.343
856,-1337-May-14,1232864.0,S,P,0.886
1034,-1334-Mar-13,1233898.0,S,P,0.324
354,-1333-Mar-02,1234252.0,S,P,0.294
1034,-1331-Dec-30,1235286.0,S,P,0.418
530,-1329-Jun-14,1235816.0,S,P,0.659
856,-1327-Oct-17,1236672.0,S,P,0.697(s)
1390,-1323-Aug-06,1238062.0,S,P,0.302
354,-1322-Jul-26,1238416.0,S,P,0.493
678,-1320-Jun-04,1239094.0,S,P,0.092
1920,-1315-Sep-06,1241014.0,S,P,0.896
1388,-1311-Jun-24,1242402.0,S,P,0.88
354,-1310-Jun-14,1242756.0,S,P,0.382
856,-1308-Oct-17,1243612.0,S,P,0.269
178,-1307-Apr-13,1243790.0,S,P,0.93
856,-1305-Aug-17,1244646.0,S,P,0.901
178,-1304-Feb-10,1244824.0,S,P,0.939
354,-1303-Jan-30,1245178.0,S,P,0.033(r)
856,-1301-Jun-05,1246034.0,S,P,0.597
178,-1301-Nov-29,1246212.0,S,P,0.057
352,-1300-Nov-17,1246564.0,S,P,0.844
3278,-1291-Nov-08,1249842.0,S,P,0.118
178,-1290-May-05,1250020.0,S,P,0.358
2598,-1283-Jun-15,1252618.0,S,P,0.774
1034,-1280-Apr-14,1253652.0,S,P,0.293
354,-1279-Apr-03,1254006.0,S,P,0.429
1034,-1276-Feb-01,1255040.0,S,P,0.882
532,-1275-Jul-16,1255572.0,S,P,0.266(r)
5198,-1261-Oct-09,1260770.0,S,P,0.656
1386,-1257-Jul-27,1262156.0,S,P,0.707
2246,-1251-Sep-18,1264402.0,S,P,0.681
176,-1250-Mar-14,1264578.0,S,T,1.052
178,-1250-Sep-07,1264756.0,S,P,0.179
178,-1249-Mar-04,1264934.0,S,P,0.89
856,-1247-Jul-07,1265790.0,S,P,0.347(r)
530,-1246-Dec-20,1266320.0,S,P,0.607
1892,-1240-Feb-23,1268212.0,S,P,0.532(r)
1386,-1237-Dec-11,1269598.0,S,P,0.912
532,-1235-May-26,1270130.0,S,P,0.725
2244,-1229-Jul-18,1272374.0,S,P,0.448
1034,-1226-May-17,1273408.0,S,P,0.249(r)
354,-1225-May-06,1273762.0,S,P,0.443
532,-1224-Oct-19,1274294.0,S,P,0.165
502,-1222-Mar-05,1274796.0,S,P,0.255
1566,-1218-Jun-17,1276362.0,S,P,0.021
176,-1218-Dec-11,1276538.0,S,P,0.421(r)
178,-1217-Jun-06,1276716.0,S,P,0.348(s)
2598,-1210-Jul-18,1279314.0,S,P,0.398
1034,-1207-May-16,1280348.0,S,P,0.642
1564,-1203-Aug-28,1281912.0,S,P,0.133
2246,-1197-Oct-21,1284158.0,S,P,0.81
176,-1196-Apr-15,1284334.0,S,P,0.767
178,-1196-Oct-09,1284512.0,S,P,0.305
178,-1195-Apr-05,1284690.0,S,P,0.565
1386,-1191-Jan-21,1286076.0,S,P,0.161
1892,-1186-Mar-27,1287968.0,S,P,0.817(r)
884,-1184-Aug-28,1288852.0,S,P,0.67
502,-1182-Jan-12,1289354.0,S,P,0.878
532,-1181-Jun-28,1289886.0,S,P,0.129(r)
354,-1180-Jun-16,1290240.0,S,P,0.447
1890,-1175-Aug-19,1292130.0,S,P,0.444
1742,-1170-May-27,1293872.0,S,P,0.293
178,-1170-Nov-21,1294050.0,S,P,0.656
2422,-1163-Jul-08,1296472.0,S,A,0.943
2598,-1156-Aug-19,1299070.0,S,P,0.633
178,-1155-Feb-12,1299248.0,S,P,0.322(r)
856,-1153-Jun-18,1300104.0,S,P,0.058
1388,-1149-Apr-07,1301492.0,S,P,0.079
2422,-1143-Nov-22,1303914.0,S,A,0.916
176,-1142-May-18,1304090.0,S,P,0.28
178,-1142-Nov-11,1304268.0,S,P,0.03
178,-1141-May-08,1304446.0,S,P,0.058(r)
1386,-1137-Feb-23,1305832.0,S,P,0.028
856,-1135-Jun-28,1306688.0,S,P,0.136(s)
1390,-1131-Apr-17,1308078.0,S,P,0.924(s)
530,-1130-Sep-30,1308608.0,S,P,0.726
502,-1128-Feb-14,1309110.0,S,P,0.603
1920,-1123-May-18,1311030.0,S,P,0.443
856,-1121-Sep-21,1311886.0,S,P,0.82
178,-1120-Mar-16,1312064.0,S,P,0.719(s)
1564,-1116-Jun-28,1313628.0,S,P,0.858
178,-1116-Dec-23,1313806.0,S,P,0.918
1034,-1113-Oct-22,1314840.0,S,P,0.34
1388,-1109-Aug-10,1316228.0,S,P,0.43
354,-1108-Jul-29,1316582.0,S,P,0.074
1388,-1104-May-18,1317970.0,S,P,0.274
856,-1102-Sep-21,1318826.0,S,P,0.428
1210,-1098-Jan-14,1320036.0,S,P,0.4
1212,-1095-May-09,1321248.0,S,P,0.15(r)
530,-1094-Oct-22,1321778.0,S,P,0.496
1890,-1089-Dec-25,1323668.0,S,P,0.821
1920,-1083-Mar-27,1325588.0,S,P,0.281
856,-1081-Jul-31,1326444.0,S,P,0.409
1388,-1077-May-20,1327832.0,S,P,0.389
354,-1076-May-08,1328186.0,S,P,0.103
680,-1074-Mar-18,1328866.0,S,P,0.105
1920,-1069-Jun-20,1330786.0,S,P,0.957
