planet,jd,date,elong
Jupiter,1501907.5006828704,-601-12-25T00:00:59.000,285.75624409162674
Jupiter,1501908.5006828704,-601-12-26T00:00:59.000,285.99374727351625
Jupiter,1501909.5006828704,-601-12-27T00:00:59.000,286.2315658139611
Jupiter,1501910.5006828704,-601-12-28T00:00:59.000,286.4696770825871
Jupiter,1501911.5006828704,-601-12-29T00:00:59.000,286.70805853164353
Jupiter,1501912.5006828704,-601-12-30T00:00:59.000,286.94668769375704
Jupiter,1501913.5006828704,-601-12-31T00:00:59.000,287.18554217973315
Jupiter,1501914.5006828704,-600-01-01T00:00:59.000,287.424599676036
Jupiter,1501915.5006828704,-600-01-02T00:00:59.000,287.6638379426458
Jupiter,1501916.5006828704,-600-01-03T00:00:59.000,287.90323481057703
Jupiter,1501917.5006828704,-600-01-04T00:00:59.000,288.1427681793673
Jupiter,1501918.5006828704,-600-01-05T00:00:59.000,288.3824160148311
Jupiter,1501919.5006828704,-600-01-06T00:00:59.000,288.6221563464952
Jupiter,1501920.5006828704,-600-01-07T00:00:59.000,288.861967265005
Jupiter,1501921.5006828704,-600-01-08T00:00:59.000,289.1018269198209
Jupiter,1501922.5006828704,-600-01-09T00:00:59.000,289.34171351647535
Jupiter,1501923.5006828704,-600-01-10T00:00:59.000,289.58160531410283
Jupiter,1501924.5006828704,-600-01-11T00:00:59.000,289.82148062286274
Jupiter,1501925.5006828704,-600-01-12T00:00:59.000,290.0613178012254
Jupiter,1501926.5006828704,-600-01-13T00:00:59.000,290.3010952534092
Jupiter,1501927.5006828704,-600-01-14T00:00:59.000,290.5407914267371
Jupiter,1501928.5006828704,-600-01-15T00:00:59.000,290.7803848088538
Jupiter,1501929.5006828704,-600-01-16T00:00:59.000,291.0198539251178
Jupiter,1501930.5006828704,-600-01-17T00:00:59.000,291.2591773357955
Jupiter,1501931.5006828704,-600-01-18T00:00:59.000,291.49833363341367
Jupiter,1501932.5006828704,-600-01-19T00:00:59.000,291.7373014398938
Jupiter,1501933.5006828704,-600-01-20T00:00:59.000,291.97605940378793
Jupiter,1501934.5006828704,-600-01-21T00:00:59.000,292.21458619755197
Jupiter,1501935.5006828704,-600-01-22T00:00:59.000,292.45286051462836
Jupiter,1501936.5006828704,-600-01-23T00:00:59.000,292.69086106662786
Jupiter,1501937.5006828704,-600-01-24T00:00:59.000,292.928566580572
Jupiter,1501938.5006828704,-600-01-25T00:00:59.000,293.16595579583066
Jupiter,1501939.5006828704,-600-01-26T00:00:59.000,293.4030074614501
Jupiter,1501940.5006828704,-600-01-27T00:00:59.000,293.63970033314627
Jupiter,1501941.5006828704,-600-01-28T00:00:59.000,293.87601317036206
Jupiter,1501942.5006828704,-600-01-29T00:00:59.000,294.11192473340674
Jupiter,1501943.5006828704,-600-01-30T00:00:59.000,294.34741378054247
Jupiter,1501944.5006828704,-600-01-31T00:00:59.000,294.58245906494346
Jupiter,1501945.5006828704,-600-02-01T00:00:59.000,294.81703933183604
Jupiter,1501946.5006828704,-600-02-02T00:00:59.000,295.0511333154628
Jupiter,1501947.5006828704,-600-02-03T00:00:59.000,295.28471973620617
Jupiter,1501948.5006828704,-600-02-04T00:00:59.000,295.51777729751666
Jupiter,1501949.5006828704,-600-02-05T00:00:59.000,295.750284682956
Jupiter,1501950.5006828704,-600-02-06T00:00:59.000,295.98222055328523
Jupiter,1501951.5006828704,-600-02-07T00:00:59.000,296.21356354338275
Jupiter,1501952.5006828704,-600-02-08T00:00:59.000,296.444292259282
Jupiter,1501953.5006828704,-600-02-09T00:00:59.000,296.67438527527395
Jupiter,1501954.5006828704,-600-02-10T00:00:59.000,296.9038211307367
Jupiter,1501955.5006828704,-600-02-11T00:00:59.000,297.1325783273624
Jupiter,1501956.5006828704,-600-02-12T00:00:59.000,297.3606353260885
Jupiter,1501957.5006828704,-600-02-13T00:00:59.000,297.5879705440353
Jupiter,1501958.5006828704,-600-02-14T00:00:59.000,297.8145623517369
Jupiter,1501959.5006828704,-600-02-15T00:00:59.000,298.04038907009925
Jupiter,1501960.5006828704,-600-02-16T00:00:59.000,298.26542896737334
Jupiter,1501961.5006828704,-600-02-17T00:00:59.000,298.4896602564236
Jupiter,1501962.5006828704,-600-02-18T00:00:59.000,298.71306109173287
Jupiter,1501963.5006828704,-600-02-19T00:00:59.000,298.9356095664307
Jupiter,1501964.5006828704,-600-02-20T00:00:59.000,299.15728370963666
Jupiter,1501965.5006828704,-600-02-21T00:00:59.000,299.37806148344885
Jupiter,1501966.5006828704,-600-02-22T00:00:59.000,299.59792078021957
Jupiter,1501967.5006828704,-600-02-23T00:00:59.000,299.8168394198097
Jupiter,1501968.5006828704,-600-02-24T00:00:59.000,300.03479514675774
Jupiter,1501969.5006828704,-600-02-25T00:00:59.000,300.2517656276384
Jupiter,1501970.5006828704,-600-02-26T00:00:59.000,300.4677284484277
Jupiter,1501971.5006828704,-600-02-27T00:00:59.000,300.6826611117968
Jupiter,1501972.5006828704,-600-02-28T00:00:59.000,300.8965410346126
Jupiter,1501973.5006828704,-600-03-01T00:00:59.000,301.10934554536914
Jupiter,1501974.5006828704,-600-03-02T00:00:59.000,301.3210518817948
Jupiter,1501975.5006828704,-600-03-03T00:00:59.000,301.53163718835606
Jupiter,1501976.5006828704,-600-03-04T00:00:59.000,301.74107851395013
Jupiter,1501977.5006828704,-600-03-05T00:00:59.000,301.9493528096844
Jupiter,1501978.5006828704,-600-03-06T00:00:59.000,302.1564369265851
Jupiter,1501979.5006828704,-600-03-07T00:00:59.000,302.3623076135111
Jupiter,1501980.5006828704,-600-03-08T00:00:59.000,302.56694151517786
Jupiter,1501981.5006828704,-600-03-09T00:00:59.000,302.770315170042
Jupiter,1501982.5006828704,-600-03-10T00:00:59.000,302.97240500863006
Jupiter,1501983.5006828704,-600-03-11T00:00:59.000,303.1731873516779
Jupiter,1501984.5006828704,-600-03-12T00:00:59.000,303.3726384084615
Jupiter,1501985.5006828704,-600-03-13T00:00:59.000,303.57073427528604
Jupiter,1501986.5006828704,-600-03-14T00:00:59.000,303.76745093410125
Jupiter,1501987.5006828704,-600-03-15T00:00:59.000,303.9627642511196
Jupiter,1501988.5006828704,-600-03-16T00:00:59.000,304.156649975706
Jupiter,1501989.5006828704,-600-03-17T00:00:59.000,304.34908373932404
Jupiter,1501990.5006828704,-600-03-18T00:00:59.000,304.5400410547109
Jupiter,1501991.5006828704,-600-03-19T00:00:59.000,304.7294973150695
Jupiter,1501992.5006828704,-600-03-20T00:00:59.000,304.91742779355445
Jupiter,1501993.5006828704,-600-03-21T00:00:59.000,305.1038076429193
Jupiter,1501994.5006828704,-600-03-22T00:00:59.000,305.2886118952278
Jupiter,1501995.5006828704,-600-03-23T00:00:59.000,305.47181546188517
Jupiter,1501996.5006828704,-600-03-24T00:00:59.000,305.6533931338647
Jupiter,1501997.5006828704,-600-03-25T00:00:59.000,305.8333195819616
Jupiter,1501998.5006828704,-600-03-26T00:00:59.000,306.0115693575741
Jupiter,1501999.5006828704,-600-03-27T00:00:59.000,306.1881168934685
Jupiter,1502000.5006828704,-600-03-28T00:00:59.000,306.3629365047881
Jupiter,1502001.5006828704,-600-03-29T00:00:59.000,306.5360023905449
Jupiter,1502002.5006828704,-600-03-30T00:00:59.000,306.70728863514506
Jupiter,1502003.5006828704,-600-03-31T00:00:59.000,306.8767692101947
Jupiter,1502004.5006828704,-600-04-01T00:00:59.000,307.04441797682813
Jupiter,1502005.5006828704,-600-04-02T00:00:59.000,307.2102086880546
Jupiter,1502006.5006828704,-600-04-03T00:00:59.000,307.37411499157156
Jupiter,1502007.5006828704,-600-04-04T00:00:59.000,307.53611043293745
Jupiter,1502008.5006828704,-600-04-05T00:00:59.000,307.6961684589594
Jupiter,1502009.5006828704,-600-04-06T00:00:59.000,307.85426242152334
Jupiter,1502010.5006828704,-600-04-07T00:00:59.000,308.0103655818414
Jupiter,1502011.5006828704,-600-04-08T00:00:59.000,308.16445111496137
Jupiter,1502012.5006828704,-600-04-09T00:00:59.000,308.31649211476173
Jupiter,1502013.5006828704,-600-04-10T00:00:59.000,308.466461599375
Jupiter,1502014.5006828704,-600-04-11T00:00:59.000,308.61433251703505
Jupiter,1502015.5006828704,-600-04-12T00:00:59.000,308.7600777522983
Jupiter,1502016.5006828704,-600-04-13T00:00:59.000,308.9036701328677
Jupiter,1502017.5006828704,-600-04-14T00:00:59.000,309.0450824368402
Jupiter,1502018.5006828704,-600-04-15T00:00:59.000,309.1842874003878
Jupiter,1502019.5006828704,-600-04-16T00:00:59.000,309.3212577261044
Jupiter,1502020.5006828704,-600-04-17T00:00:59.000,309.4559660918195
Jupiter,1502021.5006828704,-600-04-18T00:00:59.000,309.58838515988066
Jupiter,1502022.5006828704,-600-04-19T00:00:59.000,309.7184875872401
Jupiter,1502023.5006828704,-600-04-20T00:00:59.000,309.84624603594375
Jupiter,1502024.5006828704,-600-04-21T00:00:59.000,309.9716331842435
Jupiter,1502025.5006828704,-600-04-22T00:00:59.000,310.0946217385255
Jupiter,1502026.5006828704,-600-04-23T00:00:59.000,310.215184445699
Jupiter,1502027.5006828704,-600-04-24T00:00:59.000,310.33329410635685
Jupiter,1502028.5006828704,-600-04-25T00:00:59.000,310.4489235885766
Jupiter,1502029.5006828704,-600-04-26T00:00:59.000,310.56204584255136
Jupiter,1502030.5006828704,-600-04-27T00:00:59.000,310.67263391582685
Jupiter,1502031.5006828704,-600-04-28T00:00:59.000,310.7806609693178
Jupiter,1502032.5006828704,-600-04-29T00:00:59.000,310.88610029419885
Jupiter,1502033.5006828704,-600-04-30T00:00:59.000,310.98892532948497
Jupiter,1502034.5006828704,-600-05-01T00:00:59.000,311.08910968040084
Jupiter,1502035.5006828704,-600-05-02T00:00:59.000,311.1866271377247
Jupiter,1502036.5006828704,-600-05-03T00:00:59.000,311.28145169785074
Jupiter,1502037.5006828704,-600-05-04T00:00:59.000,311.3735575837018
Jupiter,1502038.5006828704,-600-05-05T00:00:59.000,311.4629192666717
Jupiter,1502039.5006828704,-600-05-06T00:00:59.000,311.5495114893224
Jupiter,1502040.5006828704,-600-05-07T00:00:59.000,311.6333092889932
Jupiter,1502041.5006828704,-600-05-08T00:00:59.000,311.71428802247215
Jupiter,1502042.5006828704,-600-05-09T00:00:59.000,311.79242339146674
Jupiter,1502043.5006828704,-600-05-10T00:00:59.000,311.86769146902725
Jupiter,1502044.5006828704,-600-05-11T00:00:59.000,311.9400687270574
Jupiter,1502045.5006828704,-600-05-12T00:00:59.000,312.00953206465977
Jupiter,1502046.5006828704,-600-05-13T00:00:59.000,312.07605883745913
Jupiter,1502047.5006828704,-600-05-14T00:00:59.000,312.1396268880197
Jupiter,1502048.5006828704,-600-05-15T00:00:59.000,312.20021457714085
Jupiter,1502049.5006828704,-600-05-16T00:00:59.000,312.2578008160832
Jupiter,1502050.5006828704,-600-05-17T00:00:59.000,312.3123650999514
Jupiter,1502051.5006828704,-600-05-18T00:00:59.000,312.3638875419111
Jupiter,1502052.5006828704,-600-05-19T00:00:59.000,312.4123489083255
Jupiter,1502053.5006828704,-600-05-20T00:00:59.000,312.45773065503556
Jupiter,1502054.5006828704,-600-05-21T00:00:59.000,312.5000149644415
Jupiter,1502055.5006828704,-600-05-22T00:00:59.000,312.539184783445
Jupiter,1502056.5006828704,-600-05-23T00:00:59.000,312.57522386253873
Jupiter,1502057.5006828704,-600-05-24T00:00:59.000,312.60811679552984
Jupiter,1502058.5006828704,-600-05-25T00:00:59.000,312.6378490601782
Jupiter,1502059.5006828704,-600-05-26T00:00:59.000,312.6644070598137
Jupiter,1502060.5006828704,-600-05-27T00:00:59.000,312.68777816551193
Jupiter,1502061.5006828704,-600-05-28T00:00:59.000,312.70795075908126
Jupiter,1502062.5006828704,-600-05-29T00:00:59.000,312.7249142769067
Jupiter,1502063.5006828704,-600-05-30T00:00:59.000,312.7386592541942
Jupiter,1502064.5006828704,-600-05-31T00:00:59.000,312.7491773699436
Jupiter,1502065.5006828704,-600-06-01T00:00:59.000,312.75646149246523
Jupiter,1502066.5006828704,-600-06-02T00:00:59.000,312.76050572529937
Jupiter,1502067.5006828704,-600-06-03T00:00:59.000,312.76130545353783
Jupiter,1502068.5006828704,-600-06-04T00:00:59.000,312.7588573905137
Jupiter,1502069.5006828704,-600-06-05T00:00:59.000,312.7531596246486
