jd	date	yr	season	rtu	sun_lon	sun_naks	sun_naks_by_angle	moon_lat	moon_lon	moon_naks	moon_naks_by_angle	moon_phase	moon_sun_diff	sun_न	moon_न	sun_न_by_angle	moon_न_by_angle	sun_naks_angle	moon_naks_angle
808113.75	-2500-06-10	-2500	2	R2-grīṣma	75.17	N09-Asl/ζ Hya	N08-Pus/δ Cnc	3.49	75.13	N09-Asl/ζ Hya	N10-Mag/ε Leo	0	0	N09-Asl	N09-Asl	N08-Pus	N10-Mag	8.76	6.69
808128.25	-2500-06-24	-2500	2	R2-grīṣma	89.18	N10-Mag/α Leo	N10-Mag/α Leo	-4.34	270.07	N23-Dha/α Αqr	N24-Sha/λ Aqr	1	179	N10-Mag	N23-Dha	N10-Mag	N24-Sha	1.29	10.10
808143.75	-2500-07-10	-2500	3	R3-varṣā	104.28	N12-UPal/* 93 Leo	N11-PPal/θ Leo	4.90	108.22	N12-UPal/* 93 Leo	N12-UPal/β Leo	0	3	N12-UPal	N12-UPal	N11-PPal	N12-UPal	10.08	7.77
808157.25	-2500-07-23	-2500	3	R3-varṣā	117.55	N12-UPal/β Leo	N12-UPal/β Leo	-4.98	293.37	N25-PBha/α Peg	N24-Sha/λ Aqr	1	175	N12-UPal	N25-PBha	N12-UPal	N24-Sha	14.71	14.86
808172.75	-2500-08-08	-2500	3	R3-varṣā	132.93	N13-Has/δ Crv	N14-Chi/α Vir	4.88	129.65	N13-Has/ε Crv	N14-Chi/α Vir	0	3	N13-Has	N13-Has	N14-Chi	N14-Chi	8.89	13.73
808187.25	-2500-08-22	-2500	3	R3-varṣā	147.46	N15-Swa/α Boo	N14-Chi/α Vir	-4.18	330.27	N01-Ash/γ Ari	N01-Ash/γ Ari	1	177	N15-Swa	N01-Ash	N14-Chi	N01-Ash	6.08	11.23
808202.75	-2500-09-07	-2500	4	R4-śarat	163.10	N16-Vis/α2 Lib	N16-Vis/α2 Lib	3.33	164.71	N16-Vis/α2 Lib	N16-Vis/α1 Lib	0	1	N16-Vis	N16-Vis	N16-Vis	N16-Vis	0.86	3.04
808216.25	-2500-09-20	-2500	4	R4-śarat	176.82	N17-Anu/δ Sco	N17-Anu/δ Sco	-2.78	352.25	N03-Kri/* 17 Tau	N03-Kri/* 23 Tau	1	175	N17-Anu	N03-Kri	N17-Anu	N03-Kri	3.78	8.19
808231.75	-2500-10-06	-2500	4	R4-śarat	192.64	N18-Jye/ε Sco	N18-Jye/α Sco	1.58	186.94	N18-Jye/α Sco	N18-Jye/σ Sco	0	5	N18-Jye	N18-Jye	N18-Jye	N18-Jye	6.48	5.24
808246.25	-2500-10-20	-2500	4	R4-śarat	207.47	N20-PAsh/γ Sgr	N20-PAsh/γ Sgr	0.17	26.29	N05-Mrg/α Ori	N06-Ard/γ Gem	1	178	N20-PAsh	N05-Mrg	N20-PAsh	N06-Ard	6.34	12.89
808261.75	-2500-11-05	-2500	5	R5-hemanta	223.32	N21-UAsh/τ Sgr	N21-UAsh/σ Sgr	-1.80	224.19	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	0	0	N21-UAsh	N21-UAsh	N21-UAsh	N21-UAsh	4.23	2.81
808276.25	-2500-11-19	-2500	5	R5-hemanta	238.11	N22-Shr/α Aql	N21-UAsh/τ Sgr	3.01	59.18	N08-Pus/δ Cnc	N08-Pus/δ Cnc	1	178	N22-Shr	N08-Pus	N21-UAsh	N08-Pus	15.91	7.88
808290.75	-2500-12-04	-2500	5	R5-hemanta	252.82	N23-Dha/β Del	N24-Sha/λ Aqr	-3.61	247.31	N23-Dha/ε Αqr	N21-UAsh/τ Sgr	0	5	N23-Dha	N23-Dha	N24-Sha	N21-UAsh	26.47	24.50
808306.25	-2500-12-19	-2500	5	R5-hemanta	268.43	N23-Dha/α Αqr	N24-Sha/λ Aqr	4.76	91.74	N10-Mag/α Leo	N10-Mag/α Leo	1	176	N23-Dha	N10-Mag	N24-Sha	N10-Mag	10.86	5.98
808320.75	-2499-01-03	-2499	6	R6-śiśira	282.91	N24-Sha/λ Aqr	N24-Sha/λ Aqr	-5.02	285.97	N25-PBha/α Peg	N24-Sha/λ Aqr	0	3	N24-Sha	N25-PBha	N24-Sha	N24-Sha	3.63	8.25
808335.25	-2499-01-17	-2499	6	R6-śiśira	297.26	N25-PBha/β Peg	N26-UBha/γ Peg	4.99	112.57	N12-UPal/β Leo	N12-UPal/β Leo	1	175	N25-PBha	N12-UPal	N26-UBha	N12-UPal	15.89	8.02
808349.75	-2499-02-01	-2499	6	R6-śiśira	311.48	N26-UBha/α And	N27-Rev/ε Psc	-4.67	309.31	N26-UBha/γ Peg	N27-Rev/ε Psc	0	2	N26-UBha	N26-UBha	N27-Rev	N27-Rev	3.99	8.22
808365.25	-2499-02-16	-2499	6	R6-śiśira	326.54	N01-Ash/γ Ari	N01-Ash/γ Ari	3.88	146.02	N15-Swa/α Boo	N14-Chi/α Vir	1	179	N01-Ash	N15-Swa	N01-Ash	N14-Chi	8.29	7.17
808379.75	-2499-03-03	-2499	1	R1-vasanta	340.51	N02-Bha/* 35 Ari	N01-Ash/α Ari	-2.48	346.48	N02-Bha/* 39 Ari	N03-Kri/* 17 Tau	0	5	N02-Bha	N02-Bha	N01-Ash	N03-Kri	11.15	12.38
808395.25	-2499-03-18	-2499	1	R1-vasanta	355.35	N03-Kri/* 17 Tau	N03-Kri/* 23 Tau	1.27	180.78	N17-Anu/π Sco	N17-Anu/β1 Sco	1	174	N03-Kri	N17-Anu	N03-Kri	N17-Anu	4.12	0.32
808408.75	-2499-04-01	-2499	1	R1-vasanta	8.22	N04-Roh/α Tau	N04-Roh/ε Tau	-0.58	8.64	N04-Roh/α Tau	N04-Roh/ε Tau	0	0	N04-Roh	N04-Roh	N04-Roh	N04-Roh	3.71	3.55
808424.25	-2499-04-16	-2499	1	R1-vasanta	22.95	N05-Mrg/λ Ori	N05-Mrg/λ Ori	-0.75	203.21	N19-Mul/θ Sco	N20-PAsh/γ Sgr	1	179	N05-Mrg	N19-Mul	N05-Mrg	N20-PAsh	14.04	8.00
808437.75	-2499-04-30	-2499	2	R2-grīṣma	35.77	N06-Ard/γ Gem	N06-Ard/γ Gem	1.37	30.43	N05-Mrg/α Ori	N06-Ard/γ Gem	0	5	N06-Ard	N05-Mrg	N06-Ard	N06-Ard	7.35	10.75
808453.25	-2499-05-15	-2499	2	R2-grīṣma	50.52	N07-Pun/β Gem	N07-Pun/β Gem	-2.69	226.02	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	1	175	N07-Pun	N21-UAsh	N07-Pun	N21-UAsh	6.56	3.60
808467.75	-2499-05-30	-2499	2	R2-grīṣma	64.37	N08-Pus/δ Cnc	N08-Pus/δ Cnc	3.91	64.06	N08-Pus/δ Cnc	N08-Pus/δ Cnc	0	0	N08-Pus	N08-Pus	N08-Pus	N08-Pus	2.04	4.68
808483.25	-2499-06-14	-2499	2	R2-grīṣma	79.27	N10-Mag/μ Leo	N10-Mag/η Leo	-4.80	264.35	N23-Dha/β Αqr	N24-Sha/λ Aqr	1	174	N10-Mag	N23-Dha	N10-Mag	N24-Sha	7.78	15.62
808497.75	-2499-06-29	-2499	3	R3-varṣā	93.31	N11-PPal/δ Leo	N10-Mag/α Leo	5.00	96.88	N11-PPal/δ Leo	N11-PPal/θ Leo	0	3	N11-PPal	N11-PPal	N10-Mag	N11-PPal	5.41	6.20
808512.25	-2499-07-13	-2499	3	R3-varṣā	107.47	N12-UPal/* 93 Leo	N11-PPal/θ Leo	-4.99	287.99	N25-PBha/α Peg	N24-Sha/λ Aqr	1	179	N12-UPal	N25-PBha	N11-PPal	N24-Sha	11.48	9.93
808526.75	-2499-07-28	-2499	3	R3-varṣā	121.76	N13-Has/γ Crv	N13-Has/δ Crv	4.77	117.66	N12-UPal/β Leo	N12-UPal/β Leo	0	4	N13-Has	N12-UPal	N13-Has	N12-UPal	15.28	11.00
808541.25	-2499-08-11	-2499	3	R3-varṣā	136.19	N13-Has/β Crv	N14-Chi/α Vir	-4.24	311.45	N26-UBha/α And	N27-Rev/ε Psc	1	175	N13-Has	N26-UBha	N14-Chi	N27-Rev	5.75	6.45
808556.75	-2499-08-27	-2499	4	R4-śarat	151.74	N15-Swa/α Boo	N14-Chi/α Vir	3.01	150.56	N15-Swa/α Boo	N14-Chi/α Vir	0	1	N15-Swa	N15-Swa	N14-Chi	N14-Chi	10.26	10.13
808571.25	-2499-09-10	-2499	4	R4-śarat	166.41	N16-Vis/α2 Lib	N16-Vis/α2 Lib	-1.50	349.17	N02-Bha/* 39 Ari	N03-Kri/* 17 Tau	1	177	N16-Vis	N02-Bha	N16-Vis	N03-Kri	3.58	9.59
808586.75	-2499-09-26	-2499	4	R4-śarat	182.18	N17-Anu/ω1 Sco	N17-Anu/ω1 Sco	0.13	184.34	N18-Jye/σ Sco	N17-Anu/ω1 Sco	0	2	N17-Anu	N18-Jye	N17-Anu	N17-Anu	1.08	2.99
808600.25	-2499-10-09	-2499	4	R4-śarat	195.97	N19-Mul/ζ2 Sco	N18-Jye/α Sco	0.54	11.55	N04-Roh/α Tau	N04-Roh/ε Tau	1	175	N19-Mul	N04-Roh	N18-Jye	N04-Roh	9.33	6.53
808615.75	-2499-10-25	-2499	5	R5-hemanta	211.83	N20-PAsh/δ Sgr	N20-PAsh/λ Sgr	-1.81	206.00	N19-Mul/ι1 Sco	N20-PAsh/γ Sgr	0	5	N20-PAsh	N19-Mul	N20-PAsh	N20-PAsh	2.66	5.33
808630.25	-2499-11-08	-2499	5	R5-hemanta	226.65	N21-UAsh/τ Sgr	N21-UAsh/τ Sgr	3.41	46.75	N07-Pun/α Gem	N07-Pun/β Gem	1	179	N21-UAsh	N07-Pun	N21-UAsh	N07-Pun	5.74	5.79
808645.75	-2499-11-24	-2499	5	R5-hemanta	242.44	N22-Shr/β Aql	N21-UAsh/τ Sgr	-4.31	242.27	N22-Shr/β Aql	N21-UAsh/τ Sgr	0	0	N22-Shr	N22-Shr	N21-UAsh	N21-UAsh	20.11	19.46
808660.25	-2499-12-08	-2499	5	R5-hemanta	257.12	N23-Dha/γ2 Del	N24-Sha/λ Aqr	4.90	80.61	N10-Mag/μ Leo	N10-Mag/ε Leo	1	176	N23-Dha	N10-Mag	N24-Sha	N10-Mag	22.17	4.91
808674.75	-2499-12-23	-2499	6	R6-śiśira	271.69	N23-Dha/α Αqr	N24-Sha/λ Aqr	-4.99	265.22	N23-Dha/β Αqr	N24-Sha/λ Aqr	0	6	N23-Dha	N23-Dha	N24-Sha	N24-Sha	7.60	14.85
808689.25	-2498-01-06	-2498	6	R6-śiśira	286.14	N25-PBha/α Peg	N24-Sha/λ Aqr	4.92	101.58	N11-PPal/θ Leo	N11-PPal/θ Leo	1	175	N25-PBha	N11-PPal	N24-Sha	N11-PPal	6.86	4.67
