nid,gname,mag,localdt,jd,epoch,year,month,daynum,daynum_utryn,daynum_dksyn,sun_alt,sun_az,sun_lon,sun_lat,alt,az,ra,dec,lon,lat
N01-Ash,β Ari,2.6,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-36.86372968433054,65.52856302668704,339.7033212041242,0.16702012533893265,341.38603638340805,8.234644738205091
N01-Ash,α Ari,2.0,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-37.344787270590516,60.63339649869306,342.5111087912645,2.9221219610939344,345.08740500772245,9.684761206108545
N01-Ash,γ Ari,4.5,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-37.58864144193917,67.23012802542074,339.4803211429637,-1.3531606683410153,340.5906185849497,6.915766551607114
N02-Bha,* 41 Ari,3.6,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-40.86632540550805,48.02592014379295,351.8946162981336,7.457259835529175,355.6221699563138,10.096681710540242
N02-Bha,* 39 Ari,4.5,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-38.97167609069482,47.04447098689061,351.21683948829406,9.382319622158533,355.7999570063396,12.127829460113563
N02-Bha,* 35 Ari,4.65,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-39.66002236277115,49.229516164875065,350.3937506207327,7.748819781249765,354.3608129897995,10.968866046562844
N03-Kri,η Tau,2.85,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.51555125709572,33.56573374954856,5.265770755684469,6.297776833970645,7.3649059318656045,3.63051602715789
N03-Kri,* 17 Tau,3.7,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.31687268987697,34.4286051139722,4.676060002362393,6.193528155369979,6.785381681831045,3.772320879182431
N03-Kri,* 19 Tau,4.3,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.006977514689964,34.14245732269881,4.6843195365428345,6.555404661219998,6.939752050466393,4.099920363579274
N03-Kri,* 20 Tau,3.85,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.14662646805611,33.98801156726664,4.842331127866684,6.484093040493356,7.05472900867324,3.9711539128979694
N03-Kri,* 23 Tau,4.1,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.58043759190432,34.02901740749881,5.03443298476768,6.093698893306103,7.071446716350541,3.5368564290614963
N03-Kri,* 27 Tau,3.6,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-49.68278730920553,33.028187994576946,5.653881606714632,6.320334793985124,7.727600410080797,3.495238167406737
N04-Roh,α Tau,0.85,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-58.88270322298106,16.415947146090144,18.034452780708214,1.3849891227925744,17.122332933848057,-5.930511683700888
N04-Roh,γ Tau,3.65,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-59.50140545121165,24.084452888483796,14.482142632088351,-0.3953772760589887,13.134444552568004,-6.179849719589409
N04-Roh,δ Tau,3.77,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-57.68907167013994,22.21366626773629,14.771891167575014,1.6416041642900665,14.207522788013112,-4.421404678302524
N04-Roh,ε Tau,3.5,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-56.16286379010127,19.51249279075089,15.695436955550518,3.551821881191331,15.808229137454408,-3.025266292583696
N04-Roh,θ2 Tau,3.4,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-59.46778066111317,19.85395506097998,16.49967462498254,0.3413046741348558,15.292067426193109,-6.294805728571581
N05-Mrg,λ Ori,3.5,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-61.409999455809306,344.6864020300047,33.69519460392197,-0.9359815876387613,31.039359897014698,-13.869411431313093
N05-Mrg,γ Ori,1.6,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-65.75610462487319,345.37807939749973,32.40740382188088,-5.098454588356176,28.26571346056821,-17.311171977814904
N05-Mrg,α Ori,0.45,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-60.49913977017481,333.3760194480992,39.18832257966414,-1.7958239861023477,36.095730163438525,-16.533014863823922
N06-Ard,γ Gem,1.9,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-46.81616576775195,331.14415805873944,46.0353924905928,10.138322549503936,46.46491243896998,-7.248460616668992
N07-Pun,β Gem,1.15,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-27.40839695428886,329.4022895889869,56.819590905459016,26.71583511453832,60.55151288177474,6.204226873825776
N07-Pun,α Gem,1.9,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-26.81881019939059,334.4213926236315,52.6585598117136,29.326112807240836,57.57044895499224,9.607766893483959
N08-Pus,δ Cnc,3.9,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-20.51823079422773,312.58089910198305,74.86144588843534,22.820310368047856,76.07674371470887,-0.3406363451953177
N09-Asl,ζ Hya,3.1,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-22.505048833346812,299.32649522706134,81.96070835165456,12.320570970041215,81.99467155968618,-11.354934983397092
N09-Asl,δ Hya,4.1,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-26.754793025293207,300.6566407547503,77.81980763931631,10.574181704769138,77.72561203370358,-12.801396205694047
N09-Asl,ε Hya,6.65,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-24.37889267725611,300.5700973890944,79.73625402012354,12.029892481816365,79.76169528926184,-11.502062266593821
N09-Asl,η Hya,4.3,-1800-01-01T07:27:28.497,1063623.5815798263,-1800.0,-1800,1,1,13,193,0.0291037021479416,116.90852883223998,281.6611638910112,-0.0005706434066463,-26.184320157775876,297.71913984045386,79.94869455977226,8.889895251385068,79.73913645450837,-14.648758922319573
