local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-2050-01-01T07:27:28.497,972312.5815798263,-0.011276954899020092,116.95209230800558,339.21562067225244,-9.01355687968587,281.3395945074334,6.540957562315996e-05,-2050,1,1.0,13.0,192.0
-2050-01-02T07:27:50.140,972313.5818303273,0.029459227898799942,116.87048859816407,340.15095498133525,-8.632641785504152,282.33930586890347,0.00026256819387628235,-2050,1,2.0,14.0,193.0
-2050-01-03T07:27:50.140,972314.5818303273,0.005178824564262781,116.7403998714664,341.08354948582974,-8.249821938849623,283.33811744045914,0.0004529696856277643,-2050,1,3.0,15.0,194.0
-2050-01-04T07:27:50.140,972315.5818303273,-0.013568757723603025,116.60517841627289,342.01372212752017,-7.865112585504957,284.33628411559744,0.0006358019290252442,-2050,1,4.0,16.0,195.0
-2050-01-05T07:27:50.140,972316.5818303273,-0.02674548476107668,116.46491985320327,342.9415603068989,-7.478621871303998,285.33381127146265,0.0008105106160956297,-2050,1,5.0,17.0,196.0
-2050-01-06T07:27:50.140,972317.5818303273,-0.03431900279428493,116.31971908671133,343.8671556139718,-7.090455474498819,286.330704476594,0.0009769290062632229,-2050,1,6.0,18.0,197.0
-2050-01-07T07:28:11.784,972318.5820808284,0.03473530459244058,116.21290295207578,344.7908348097619,-6.700618667639337,287.3272186352754,0.0011353946122778923,-2050,1,7.0,19.0,198.0
-2050-01-08T07:27:50.140,972319.5818303273,-0.03255212420823006,116.01486181371081,345.7120040055943,-6.309505506003296,288.32261119213535,0.001286608291453062,-2050,1,8.0,20.0,199.0
-2050-01-09T07:27:50.140,972320.5818303273,-0.023169458802631018,115.85538417451143,346.6314582976922,-5.916921023317155,289.3176387845804,0.0014320240873017692,-2050,1,9.0,21.0,200.0
-2050-01-10T07:27:50.140,972321.5818303273,-0.008097202110541919,115.69132211695273,347.5490696784573,-5.52306008492513,290.3120644277278,0.0015733969253292554,-2050,1,10.0,22.0,201.0
-2050-01-11T07:27:50.140,972322.5818303273,0.012679658648824754,115.52276049536054,348.4649406926718,-5.1280191523872665,291.30590566500825,0.0017128439184388748,-2050,1,11.0,23.0,202.0
-2050-01-12T07:27:28.497,972323.5815798263,-0.032348031365594686,115.30655555866456,349.37894299441047,-4.731994347471568,292.2989346065635,0.0018525891173361013,-2050,1,12.0,24.0,203.0
-2050-01-13T07:27:28.497,972324.5815798263,-0.00022895152539728899,115.12924036400437,350.2916318275367,-4.334885010967592,293.2916693527723,0.001994905329710708,-2050,1,13.0,25.0,204.0
-2050-01-14T07:27:06.854,972325.5813293253,-0.034131883225872,114.90446771473601,351.202643240135,-3.9369894245406423,294.2836285898778,0.002141686099410418,-2050,1,14.0,26.0,205.0
-2050-01-15T07:27:06.854,972326.5813293253,0.009366403124401752,114.71876857878893,352.11252311091675,-3.538209350677895,295.2753182545379,0.0022945938265568526,-2050,1,15.0,27.0,206.0
-2050-01-16T07:26:45.210,972327.5810788244,-0.013384501123446175,114.48580565087057,353.02090117524546,-3.1388475025987415,296.26624211699135,0.0024546761450672696,-2050,1,16.0,28.0,207.0
-2050-01-17T07:26:23.567,972328.5808283233,-0.030619376487985638,114.24890607283226,353.92808785288406,-2.7389086196385906,297.2566415432955,0.0026225912777807555,-2050,1,17.0,29.0,208.0
-2050-01-18T07:26:23.567,972329.5808283233,0.029944543072198737,114.0513915215776,354.8343897204207,-2.3383982407233717,298.2467510854165,0.0027985004434316605,-2050,1,18.0,30.0,209.0
-2050-01-19T07:26:01.924,972330.5805778223,0.023887753603920807,113.80692560319858,355.73943040930095,-1.937624015965395,299.2360568960113,0.002981953734616057,-2050,1,19.0,31.0,210.0
-2050-01-20T07:25:40.281,972331.5803273213,0.023352236520138354,113.55884066045101,356.64351340587757,-1.5365933361310855,300.22478688170577,0.0031722035951245032,-2050,1,20.0,32.0,211.0
-2050-01-21T07:25:18.637,972332.5800768203,0.028335264353397456,113.30724324954393,357.5467143110794,-1.1354141788221208,301.21292037006845,0.0033680984038816524,-2050,1,21.0,33.0,212.0
-2050-01-22T07:24:35.351,972333.5795758183,-0.034005105966789524,113.00901980497726,358.448882565917,-0.734294988595521,302.2001904501289,0.0035681576034143295,-2050,1,22.0,34.0,213.0
