m	s	im	is	confidence	edit_dist	i_edit_dist
अकंसु	अकार्षुः	akamsu	akarshuh	0.19999999999999996	5	3
अकंसु	स	akamsu	sa	0.09999999999999998	4	5
अकासि	अकार्षीत्	akasi	akarshit	0.09999999999999998	6	3
अक्कमित्वा	ज्ञात्वा	akkamitva	j~natva	0.5	5	5
अक्कमित्वा	आक्रम्य	akkamitva	akramya	0.5	6	4
अक्कमित्वा	गत्वा	akkamitva	gatva	0.44999999999999996	6	5
अक्कमित्वा	उत्पतितो	akkamitva	utpatito	0.35	7	6
अक्कमित्वा	मस्तकम्	akkamitva	mastakam	0.25	7	8
अक्कमित्वा	तथाभावं	akkamitva	tathabhavam	0.19999999999999996	9	7
अक्कमित्वा	ततः	akkamitva	tatah	0.19999999999999996	9	7
अक्कमित्वा	बोधिसत्त्वः	akkamitva	bodhisattvah	0.15000000000000002	8	9
अक्कमित्वा	कुम्भीलस्य	akkamitva	kumbhilasya	0.09999999999999998	9	9
अक्खीनि	अक्षिणी	akkhini	akshini	0.6428571428571428	4	1
अक्खीनि	मुखं	akkhini	mukham	0.2142857142857143	6	5
अक्खीनि	इति	akkhini	iti	0.2142857142857143	6	5
अक्खीनि	हि	akkhini	hi	0.2142857142857143	6	5
अक्खीनि	मुखे	akkhini	mukhe	0.2142857142857143	6	5
अक्खीनि	कारणम्	akkhini	karanam	0.1428571428571429	6	6
अक्खीनि	अथास्य	akkhini	athasya	0.1428571428571429	6	6
अक्खीनि	अन्तिकम्	akkhini	antikam	0.1428571428571429	6	6
अक्खीनि	न्यपादि	akkhini	nyapadi	0.1428571428571429	6	6
अक्खीनि	तत्	akkhini	tat	0.0714285714285714	6	7
अक्खीनि	गृहाण	akkhini	grrihana	0.0714285714285714	7	6
अगमासि	मगमत्	agamasi	magamat	0.41666666666666663	4	3
अगमासि	भगवान्	agamasi	bhagavan	0.25	4	5
अगमासि	मां	agamasi	mam	0.25	4	5
अगमासि	अहं	agamasi	aham	0.25	5	4
अगमासि	एकाम्	agamasi	ekam	0.16666666666666663	5	5
अगमासि	अत्र	agamasi	atra	0.16666666666666663	5	5
अगमासि	तमादाय	agamasi	tamadaya	0.16666666666666663	5	5
अगमासि	हि	agamasi	hi	0.08333333333333337	5	6
अगमासि	इति	agamasi	iti	0.08333333333333337	5	6
अगमासि	स	agamasi	sa	0.08333333333333337	5	6
अगमासि	नय	agamasi	naya	0.08333333333333337	6	5
अगमासि	दास्यामि	agamasi	dasyami	0.08333333333333337	6	5
अगवेसनं	अगवेषणम्	agavesanam	agaveshanam	0.6428571428571428	4	1
अगवेसनं	वेषणं	agavesanam	veshanam	0.4285714285714286	4	4
अगवेसनं	एवं	agavesanam	evam	0.1428571428571429	5	7
अगवेसनं	गवेषयितु	agavesanam	gaveshayitu	0.1428571428571429	6	6
अगवेसनं	तस्यागवेषणं	agavesanam	tasyagaveshanam	0.1428571428571429	7	5
अगवेसनं	शिवे	agavesanam	shive	0.0714285714285714	5	8
अगवेसनं	तस्य	agavesanam	tasya	0.0714285714285714	6	7
अगवेसनं	तडागस्य	agavesanam	tadagasya	0.0714285714285714	6	7
अगारं	अगारं	agaram	agaram	1.0	0	0
अगारं	गती	agaram	gati	0.19999999999999996	4	4
अगारं	राजा	agaram	raja	0.19999999999999996	4	4
अगारस्मा	अगारात्	agarasma	agarat	0.5625	4	3
अगारस्मा	अनगार्यं	agarasma	anagaryam	0.4375	4	5
अगारस्मा	अर्हं	agarasma	arham	0.375	5	5
अगारस्मा	धर्मेन	agarasma	dharmena	0.3125	6	5
अगारस्मा	स	agarasma	sa	0.1875	7	6
अगारस्मा	अध्यवसति	agarasma	adhyavasati	0.125	7	7
अगारस्मा	सम्यक्	agarasma	samyak	0.125	7	7
अगारस्मा	भवति	agarasma	bhavati	0.125	8	6
अगारस्मा	चेत्	agarasma	chet	0.0625	7	8
अगारस्मा	खलु	agarasma	khalu	0.0625	8	7
अगारस्मा	पुनः	agarasma	punah	0.0625	8	7
अगारस्मा	प्रव्रजति	agarasma	pravrajati	0.0625	8	7
अगारा	आगारात्	agara	agarat	0.6	3	1
अगारा	राजा	agara	raja	0.4	3	3
अग्गवंसनामथेरेन	अग्रवंश	aggavamsanamatherena	agravamsha	0.30000000000000004	10	11
अग्गवंसनामथेरेन	अरिमर्दननगरे	aggavamsanamatherena	arimardananagare	0.23333333333333328	11	12
अग्गवंसनामथेरेन	स्थाविरेण	aggavamsanamatherena	sthavirena	0.16666666666666663	11	14
अग्गवंसनामथेरेन	व्याकरणं	aggavamsanamatherena	vyakaranam	0.1333333333333333	12	14
अग्गवंसनामथेरेन	मरम्मदेशे?	aggavamsanamatherena	marammadeshe?	0.1333333333333333	12	14
अग्गवंसनामथेरेन	व्याकरणम्	aggavamsanamatherena	vyakaranam	0.09999999999999998	13	14
अग्गवंसनामथेरेन	नाम	aggavamsanamatherena	nama	0.06666666666666665	12	16
अग्गवंसनामथेरेन	शब्दनीति?	aggavamsanamatherena	shabdaniti?	0.033333333333333326	13	16
अग्गीनं	अग्नीनां	agginam	agninam	0.7857142857142857	2	1
अग्गीनं	रागादीनाम्	agginam	ragadinam	0.2857142857142857	7	3
अग्गीनं	उष्ण	agginam	ushna	0.2142857142857143	6	5
अग्गीनं	एवं	agginam	evam	0.2142857142857143	6	5
अग्गीनं	तस्य	agginam	tasya	0.1428571428571429	6	6
अग्गीनं	यथा	agginam	yatha	0.0714285714285714	7	6
अग्गीनं	च	agginam	cha	0.0714285714285714	7	6
अग्गीनं	सति	agginam	sati	0.0714285714285714	7	6
अङ्गदेसे	आङ्ग्लदेशे	a~ngadese	a~ngladeshe	0.625	4	2
अङ्गदेसे	पण्डितः	a~ngadese	panditah	0.0625	7	8
अङ्गलदेसिकानं	आङ्ग्लदेशिकानां	a~ngaladesikanam	a~ngladeshikanam	0.7692307692307692	4	2
अङ्गलदेसिकानं	पाळिं	a~ngaladesikanam	palim	0.11538461538461542	11	12
अङ्गलदेसिकानं	पण्डितः	a~ngaladesikanam	panditah	0.11538461538461542	11	12
अङ्गलदेसिकानं	पाळिभाषां	a~ngaladesikanam	palibhasham	0.11538461538461542	11	12
अङ्गलदेसिकानं	उद्गृहिंसुः	a~ngaladesikanam	udgrrihimsuh	0.07692307692307687	10	14
अङ्गलदेसिकानं	हीस्द्विद्स्	a~ngaladesikanam	hisdvids	0.038461538461538436	11	14
अङ्गलदेसिकानं	रैस	a~ngaladesikanam	raisa	0.038461538461538436	12	13
अच्चन्तसम्बन्धनस्स	अत्यन्तसम्बन्धनस्य?	achchantasambandhanassa	atyantasambandhanasya?	0.7222222222222222	4	6
अच्चन्तसम्बन्धनस्स	अपरस्मिन्	achchantasambandhanassa	aparasmin	0.16666666666666663	13	17
अच्चन्तसम्बन्धनस्स	प्रवर्तितस्य	achchantasambandhanassa	pravartitasya	0.11111111111111116	14	18
अच्चन्तसम्बन्धनस्स	समलिखम्	achchantasambandhanassa	samalikham	0.08333333333333337	15	18
अच्चन्तसम्बन्धनस्स	मरम्मदेशे?	achchantasambandhanassa	marammadeshe?	0.05555555555555558	16	18
अच्चन्तसम्बन्धनस्स	सम्मानभर्तिकं?	achchantasambandhanassa	sammanabhartikam?	0.05555555555555558	16	18
अच्चन्तसम्बन्धनस्स	समये	achchantasambandhanassa	samaye	0.02777777777777779	16	19
अच्चयं	अत्ययम्	achchayam	atyayam	0.33333333333333337	4	4
अच्चयं	क्षम	achchayam	kshama	0.08333333333333337	5	6
अच्चयं	अहमेव	achchayam	ahameva	0.08333333333333337	5	6
अच्छरियं	आश्चर्यं	achchariyam	ashcharyam	0.625	4	2
अच्छरियं	अत्याश्चर्यं	achchariyam	atyashcharyam	0.25	7	5
अच्छरियं	कृतम्	achchariyam	krritam	0.0625	8	7
अजरं	अजरं	ajaram	ajaram	1.0	0	0
अजरं	अजाति	ajaram	ajati	0.25	3	3
अजाति	अजाति	ajati	ajati	1.0	0	0
अजाति	अजरं	ajati	ajaram	0.4	3	3
अजाति	मया	ajati	maya	0.19999999999999996	4	4
अजाति	अव्याधि	ajati	avyadhi	0.19999999999999996	4	4
अजाति	वर्तते	ajati	vartate	0.09999999999999998	5	4
अजातिसंखातेन	संख्यातेन	ajatisamkhatena	samkhyatena	0.45833333333333337	7	6
अजातिसंखातेन	अजाति	ajatisamkhatena	ajati	0.29166666666666663	7	10
अजातिसंखातेन	भवितव्यमेव	ajatisamkhatena	bhavitavyameva	0.20833333333333337	10	9
अजातिसंखातेन	इति	ajatisamkhatena	iti	0.04166666666666663	10	13
अजातिसंखातेन	निर्वाणेनापि	ajatisamkhatena	nirvanenapi	0.04166666666666663	11	12
अज्जतग्गे	अद्यतोऽग्रे	ajjatagge	adyato.agre	0.4444444444444444	5	5
अज्जतग्गे	अत्ययम्	ajjatagge	atyayam	0.33333333333333337	6	6
अज्जतग्गे	यित्वा	ajjatagge	yitva	0.16666666666666663	7	8
अज्जतग्गे	तं	ajjatagge	tam	0.16666666666666663	8	7
अज्जतग्गे	भदन्त	ajjatagge	bhadanta	0.16666666666666663	8	7
अज्जतग्गे	क्षम	ajjatagge	kshama	0.16666666666666663	8	7
अज्जतग्गे	अहमेव	ajjatagge	ahameva	0.16666666666666663	8	7
अज्जतग्गे	इति	ajjatagge	iti	0.11111111111111116	8	8
अज्जतग्गे	दृष्ट्वा	ajjatagge	drrishtva	0.05555555555555558	8	9
अज्जतग्गे	क्षमध्वम्	ajjatagge	kshamadhvam	0.05555555555555558	8	9
अज्झायको	अध्यायकः	ajjhayako	adhyayakah	0.5	3	5
अज्झायको	अम्भट्टः	ajjhayako	ambhattah	0.25	6	6
अज्झायको	समयेन	ajjhayako	samayena	0.125	7	7
अज्झायको	नाम	ajjhayako	nama	0.125	7	7
अज्झायको	माणवकः	ajjhayako	manavakah	0.125	7	7
अज्झायको	अन्तेवासी	ajjhayako	antevasi	0.125	7	7
अज्झायको	त्रयाणां	ajjhayako	trayanam	0.125	7	7
अज्झायको	वेदानां	ajjhayako	vedanam	0.125	7	7
अज्झायको	भवति	ajjhayako	bhavati	0.125	8	6
अज्झायको	खलु	ajjhayako	khalu	0.0625	8	7
अज्झावसति	अध्यवसति	ajjhavasati	adhyavasati	0.6666666666666667	3	3
अज्झावसति	भवति	ajjhavasati	bhavati	0.38888888888888884	6	5
अज्झावसति	अगारात्	ajjhavasati	agarat	0.2777777777777778	6	7
