m	s	im	is	confidence	edit_dist	i_edit_dist
अकंसु	अकार्षुः	akamsu	akarshuh	0.19999999999999996	5	3
अकासि	अकार्षीत्	akasi	akarshit	0.09999999999999998	6	3
अक्कमित्वा	आक्रम्य	akkamitva	akramya	0.5	6	4
अक्खीनि	अक्षिणी	akkhini	akshini	0.6428571428571428	4	1
अगमासि	मगमत्	agamasi	magamat	0.41666666666666663	4	3
अगवेसनं	अगवेषणम्	agavesanam	agaveshanam	0.6428571428571428	4	1
अगारं	अगारं	agaram	agaram	1.0	0	0
अगारस्मा	अगारात्	agarasma	agarat	0.5625	4	3
अगारा	आगारात्	agara	agarat	0.6	3	1
अग्गवंसनामथेरेन	अग्रवंश	aggavamsanamatherena	agravamsha	0.30000000000000004	10	11
अग्गीनं	अग्नीनां	agginam	agninam	0.7857142857142857	2	1
अङ्गदेसे	आङ्ग्लदेशे	a~ngadese	a~ngladeshe	0.625	4	2
अङ्गलदेसिकानं	आङ्ग्लदेशिकानां	a~ngaladesikanam	a~ngladeshikanam	0.7692307692307692	4	2
अच्चन्तसम्बन्धनस्स	अत्यन्तसम्बन्धनस्य?	achchantasambandhanassa	atyantasambandhanasya?	0.7222222222222222	4	6
अच्चयं	अत्ययम्	achchayam	atyayam	0.33333333333333337	4	4
अच्छरियं	आश्चर्यं	achchariyam	ashcharyam	0.625	4	2
अजरं	अजरं	ajaram	ajaram	1.0	0	0
अजाति	अजाति	ajati	ajati	1.0	0	0
अजातिसंखातेन	संख्यातेन	ajatisamkhatena	samkhyatena	0.45833333333333337	7	6
अज्जतग्गे	अद्यतोऽग्रे	ajjatagge	adyato.agre	0.4444444444444444	5	5
अज्झायको	अध्यायकः	ajjhayako	adhyayakah	0.5	3	5
अज्झावसति	अध्यवसति	ajjhavasati	adhyavasati	0.6666666666666667	3	3
अज्झावसिस्सति	अध्यावत्स्यति	ajjhavasissati	adhyavatsyati	0.5769230769230769	5	6
अञ्जेहि	अन्यैः	a~njehi	anyaih	0.2857142857142857	5	5
अञ्ञं	आत्मना	a~n~nam	atmana	0.09999999999999998	5	4
अञ्ञतरञ्च	अन्यतरच्च	a~n~natara~ncha	anyatarachcha	0.5555555555555556	3	5
अट्ठानं	अट्ठानं?	atthanam	atthanam?	0.8571428571428572	1	1
अट्ठासि	अस्थात्	atthasi	asthat	0.5	4	3
अट्ठेसु	अस्थुः	atthesu	asthuh	0.3571428571428571	5	4
अतिअच्छरेकं	अत्याश्चर्यं	atiachcharekam	atyashcharyam	0.5	7	4
अतीतदिवसे	अतीतदिवसे	atitadivase	atitadivase	1.0	0	0
अतीते	अतीते	atite	atite	1.0	0	0
अत्तनो	आत्मनो	attano	atmano	0.75	2	1
अत्तनोरतननास	रत्ननाशभयेन	attanoratananasa	ratnanashabhayena	0.16666666666666663	9	11
अत्तनोव	आत्मनो	attanova	atmano	0.5714285714285714	3	3
अत्तानं	त्वं	attanam	tvam	0.4285714285714286	4	4
अत्थि	अस्ति	atthi	asti	0.6	2	2
अत्थि—	अस्ति	atthi—	asti	0.5	3	3
अत्वा	सर्वा	atva	sarva	0.6	2	2
अथ	अथ	atha	atha	1.0	0	0
अथस्स	अथास्य	athassa	athasya	0.7	2	1
अथापरस्मिं	अपरस्मिन्	athaparasmim	aparasmin	0.6	4	4
अदण्डेन	अदण्डेन	adandena	adandena	1.0	0	0
अदासि	एव	adasi	eva	0.09999999999999998	5	4
अदुक्खमसुखं	अदुःखमसुखं	adukkhamasukham	aduhkhamasukham	0.8636363636363636	2	1
अधिट्ठाय	दत्त्वा	adhitthaya	dattva	0.25	6	6
अनगारियं	अनगार्यं	anagariyam	anagaryam	0.875	1	1
अनञ्‍ञा	अनन्यत्	ana~n{}~na	ananyat	0.2857142857142857	4	6
अनवकासो	अनवकाशः	anavakaso	anavakashah	0.6428571428571428	2	3
अनवज्जधम्मोपि	इनवद्यधर्मोऽपि	anavajjadhammopi	inavadyadharmo.api	0.5769230769230769	5	6
अनवयो	अनवयवः	anavayo	anavayavah	0.4	2	4
अनुजानामि	अनुजानामि	anujanami	anujanami	1.0	0	0
अनुञ्‍ञातपटिञ्‍ञातो	अनुज्ञातप्रतिज्ञातः	anu~n{}~natapati~n{}~nato	anuj~natapratij~natah	0.5	8	11
अनुत्तरो	अनुत्तरः	anuttaro	anuttarah	0.8125	1	2
अनुप्पत्तो	अनुप्राप्तः	anuppatto	anupraptah	0.6	4	4
अनुभवमाना	अनुभवमाना	anubhavamana	anubhavamana	1.0	0	0
अनुसासति	अनुशास्ति	anusasati	anushasti	0.75	2	2
अनोतप्तदहं	आगत्य	anotaptadaham	agatya	0.15000000000000002	8	9
अन्तनो	इव	antano	iva	0.08333333333333337	6	5
अन्तेवासी	अन्तेवासी	antevasi	antevasi	1.0	0	0
अन्तो	अन्तो	anto	anto	1.0	0	0
अन्वाय	अन्विष्य	anvaya	anvishya	0.5	3	3
अपरंपि	अपरमपि	aparampi	aparamapi	0.8333333333333334	1	1
अप्पदानं	अप्रदानं?	appadanam	apradanam?	0.75	2	2
अप्पसन्नं	अप्रसन्नं	appasannam	aprasannam	0.8888888888888888	1	1
अप्पसन्‍नानं	अप्रसन्नानां	appasan{}nanam	aprasannanam	0.75	3	3
अब्भन्तरे	अभ्यन्तरे	abbhantare	abhyantare	0.7777777777777778	2	2
अब्भुग्गतो	अभ्युद्गतः	abbhuggato	abhyudgatah	0.55	4	5
अब्भोकासे	अब्भोकासे	abbhokase	abbhokase	1.0	0	0
अब्रवि	अब्रवीत्	abravi	abravit	0.6666666666666667	3	1
अभिञ्‍ञा	अभिज्ञा	abhi~n{}~na	abhij~na	0.625	2	4
अभिभवति	अभिभवति	abhibhavati	abhibhavati	1.0	0	0
अभिरुहित्वा	अभिरुह्य	abhiruhitva	abhiruhya	0.6818181818181819	4	3
अभिरूपं	अभिरूपां	abhirupam	abhirupam	0.9285714285714286	1	0
अभिरूहा	अभिरोह	abhiruha	abhiroha	0.7857142857142857	2	1
अभिरूहि	अभिरोह	abhiruhi	abhiroha	0.7142857142857143	2	2
