seq	day_num	date	year	sun_elong	elong	lat	ra	decl	key_events
1	1	-1299-05-24	-1299	59.53	51.60	0.44	49.06	18.59	lon_bend_west
2	5	-1299-05-28	-1299	63.33	54.21	0.48	51.72	19.29	east_visibility_first
3	34	-1299-06-26	-1299	91.06	72.92	0.73	71.39	23.07	ayana_dakshina
4	214	-1299-12-23	-1299	271.41	179.98	2.13	-179.17	1.96	ayana_uttara
5	321	-1298-04-09	-1298	16.46	195.44	0.82	-165.46	-5.32	lon_bend_east,east_visibility_last,west_visibility_first
6	322	-1298-04-10	-1298	17.41	195.11	0.77	-165.79	-5.24	lon_bend_west
7	399	-1298-06-26	-1298	90.83	198.11	-2.22	-164.16	-9.16	ayana_dakshina
8	579	-1298-12-23	-1298	271.17	320.72	-0.79	-36.63	-15.33	ayana_uttara
9	717	-1297-05-10	-1297	45.75	54.54	0.68	412.01	19.57	west_visibility_last
10	764	-1297-06-26	-1297	90.60	84.67	0.98	444.15	24.31	ayana_dakshina
11	774	-1297-07-06	-1297	100.23	91.04	1.03	451.15	24.46	east_visibility_first
12	944	-1297-12-23	-1297	270.92	199.56	1.23	198.52	-6.51	ayana_uttara
13	1124	-1296-06-20	-1296	85.57	264.51	-6.07	263.73	-29.39	lon_bend_east,east_visibility_last,west_visibility_first
14	1125	-1296-06-21	-1296	86.52	264.25	-6.10	263.43	-29.41	lon_bend_west
15	1130	-1296-06-26	-1296	91.32	262.96	-6.22	261.95	-29.46	ayana_dakshina
16	1309	-1296-12-22	-1296	270.67	337.87	-0.30	339.65	-8.90	ayana_uttara
17	1486	-1295-06-17	-1295	82.46	91.18	1.11	811.29	24.55	west_visibility_last
18	1495	-1295-06-26	-1295	91.09	96.90	1.13	817.58	24.39	ayana_dakshina
19	1540	-1295-08-10	-1295	134.85	125.83	1.17	848.51	19.94	east_visibility_first
20	1675	-1295-12-23	-1295	271.44	217.36	0.49	575.17	-13.51	ayana_uttara
21	1860	-1294-06-26	-1294	90.86	338.37	-4.04	701.55	-12.17	ayana_dakshina
22	1928	-1294-09-02	-1294	157.43	336.68	-4.34	700.07	-13.09	lon_bend_east,east_visibility_last,west_visibility_first
23	1929	-1294-09-03	-1294	158.43	336.34	-4.29	699.72	-13.17	lon_bend_west
24	2040	-1294-12-23	-1294	271.20	357.79	0.48	717.79	-0.44	ayana_uttara
25	2225	-1293-06-26	-1293	90.63	108.58	1.19	1190.29	23.33	ayana_dakshina
26	2253	-1293-07-24	-1293	117.71	126.64	1.11	1209.33	19.69	west_visibility_last
27	2309	-1293-09-18	-1293	173.24	164.19	0.83	1245.76	6.99	east_visibility_first
28	2405	-1293-12-23	-1293	270.95	233.44	-0.11	951.02	-18.74	ayana_uttara
29	2591	-1292-06-26	-1292	91.36	8.07	-2.07	1448.22	1.30	ayana_dakshina
30	2708	-1292-10-21	-1292	207.50	26.13	0.25	1464.14	10.32	lon_bend_east,east_visibility_last,west_visibility_first
31	2709	-1292-10-22	-1292	208.52	25.74	0.29	1463.76	10.22	lon_bend_west
32	2770	-1292-12-22	-1292	270.70	22.02	1.66	1459.73	10.11	ayana_uttara
33	2956	-1291-06-26	-1291	91.12	121.22	1.13	1563.72	20.99	ayana_dakshina
34	3025	-1291-09-03	-1291	158.70	167.42	0.59	1608.66	5.52	west_visibility_last
35	3087	-1291-11-04	-1291	221.55	212.41	-0.04	1290.21	-12.35	east_visibility_first
36	3136	-1291-12-23	-1291	271.47	249.90	-0.59	1328.16	-22.52	ayana_uttara
37	3321	-1290-06-26	-1290	90.89	26.46	-1.02	1824.91	9.26	ayana_dakshina
38	3475	-1290-11-27	-1290	244.80	64.55	3.04	1861.97	24.03	lon_bend_east,east_visibility_last,west_visibility_first
39	3476	-1290-11-28	-1290	245.82	64.15	3.06	1861.54	23.98	lon_bend_west
40	3501	-1290-12-23	-1290	271.22	56.35	3.28	1853.21	22.53	ayana_uttara
41	3686	-1289-06-26	-1289	90.66	133.88	0.95	1936.63	17.57	ayana_dakshina
42	3806	-1289-10-24	-1289	209.82	218.75	-0.39	1656.23	-14.79	west_visibility_last
43	3866	-1289-12-23	-1289	270.98	265.53	-0.93	1705.09	-24.29	ayana_uttara
44	3883	-1288-01-09	-1288	288.11	278.92	-1.02	1719.78	-24.16	east_visibility_first
45	4052	-1288-06-26	-1288	91.39	42.05	-0.31	2199.71	15.16	ayana_dakshina
46	4231	-1288-12-22	-1288	270.73	101.96	4.31	2263.44	27.19	ayana_uttara
47	4240	-1288-12-31	-1288	279.82	98.46	4.46	2259.53	27.62	lon_bend_east,east_visibility_last,west_visibility_first
48	4241	-1287-01-01	-1287	280.83	98.06	4.47	2259.08	27.66	lon_bend_west
49	4417	-1287-06-26	-1287	91.16	148.33	0.58	2310.70	12.60	ayana_dakshina
50	4597	-1287-12-23	-1287	271.50	281.98	-1.10	2083.14	-24.00	ayana_uttara
51	4604	-1287-12-30	-1287	278.57	287.48	-1.10	2089.10	-23.39	west_visibility_last
52	4684	-1286-03-20	-1286	357.38	348.25	-0.75	2149.49	-5.34	east_visibility_first
53	4782	-1286-06-26	-1286	90.92	55.39	0.21	2572.99	19.31	ayana_dakshina
54	4962	-1286-12-23	-1286	271.25	142.55	3.66	2666.15	17.45	ayana_uttara
55	5005	-1285-02-04	-1285	314.26	133.89	4.56	2657.76	21.02	lon_bend_east,east_visibility_last,west_visibility_first
56	5006	-1285-02-05	-1285	315.25	133.51	4.55	2657.36	21.12	lon_bend_west
57	5147	-1285-06-26	-1285	90.69	164.31	-0.06	2685.53	6.12	ayana_dakshina
58	5327	-1285-12-23	-1285	271.01	297.75	-1.10	2460.07	-21.69	ayana_uttara
59	5400	-1284-03-05	-1284	343.38	352.18	-0.50	2513.01	-3.56	west_visibility_last
60	5467	-1284-05-11	-1284	47.52	38.41	0.17	2915.98	14.47	east_visibility_first
