year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-599	last_visibility	-599-06-25	86.1	107.1	86° 05'	107° 06'	20:28	19:20	1:08h	-65d 01h	2	-13° 14'	1° 13'	-12° 23'	21° 01'	127° 47'	115° 25'
-599	first_visibility	-599-10-26	206.6	187.9	206° 35'	187° 54'	5:25	6:30	-1:04h	57d 08h	1.8	-14° 45'	0° 39'	1° 36'	-18° 41'	273° 38'	275° 14'
-598	acronychal_rising	-598-10-26	206.9	30.3	206° 53'	30° 17'	18:14	17:50	0:24h	-2d 16h	-1.6	-6° 01'	-0° 07'	177° 26'	-176° 36'	81° 20'	258° 46'
-598	cosmical_setting	-598-10-31	211.5	28.6	211° 27'	28° 33'	6:07	6:34	-0:27h	1d 20h	-1.6	-6° 42'	0° 05'	-179° 28'	177° 06'	280° 11'	100° 42'
-597	last_visibility	-597-07-22	111.6	136.2	111° 33'	136° 11'	20:28	19:21	1:06h	-79d 18h	1.9	-13° 17'	1° 02'	-17° 53'	24° 39'	125° 31'	107° 39'
-597	first_visibility	-597-12-21	263.3	243.1	263° 15'	243° 04'	6:08	7:17	-1:09h	71d 16h	1.5	-14° 35'	-0° 24'	8° 23'	-20° 10'	289° 06'	297° 29'
-596	acronychal_rising	-596-12-02	245.1	70.9	245° 08'	70° 52'	17:54	17:27	0:27h	-4d 06h	-1.1	-6° 20'	2° 54'	174° 04'	-174° 16'	68° 52'	242° 55'
-596	cosmical_setting	-596-12-10	252.8	67.9	252° 49'	67° 51'	6:37	7:10	-0:32h	3d 07h	-1.1	-7° 18'	3° 07'	-175° 14'	175° 02'	291° 59'	116° 45'
-595	last_visibility	-595-08-20	140.2	168.7	140° 14'	168° 39'	20:06	19:04	1:02h	-103d 12h	1.8	-13° 23'	0° 29'	-22° 46'	28° 24'	116° 19'	93° 33'
-594	first_visibility	-594-05-01	32.9	0.1	32° 52'	0° 04'	4:35	5:43	-1:07h	149d 20h	1.5	-14° 35'	-0° 58'	27° 27'	-32° 48'	245° 44'	273° 11'
-593	acronychal_rising	-593-01-06	280.3	105.3	280° 16'	105° 18'	18:06	17:38	0:28h	-3d 19h	-1	-6° 27'	4° 24'	173° 51'	-174° 58'	66° 42'	240° 34'
-593	cosmical_setting	-593-01-15	288.9	101.9	288° 54'	101° 54'	6:56	7:26	-0:29h	4d 18h	-1	-6° 37'	4° 28'	-172° 10'	173° 01'	292° 06'	119° 56'
-593	last_visibility	-593-10-12	192.5	220.7	192° 31'	220° 44'	19:02	18:04	0:57h	-121d 07h	1.5	-13° 19'	-0° 37'	-22° 37'	28° 13'	91° 53'	69° 16'
-592	first_visibility	-592-06-08	69.5	41.5	69° 31'	41° 31'	4:01	5:15	-1:14h	118d 02h	1.7	-14° 33'	-0° 08'	21° 19'	-28° 00'	233° 07'	254° 26'
-591	acronychal_rising	-591-02-10	315.9	139.3	315° 55'	139° 18'	18:31	18:05	0:25h	-2d 16h	-1.1	-6° 08'	4° 32'	174° 52'	-176° 38'	74° 43'	249° 35'
-591	cosmical_setting	-591-02-19	324.4	136.0	324° 22'	135° 59'	6:43	7:08	-0:24h	5d 20h	-1.1	-6° 01'	4° 26'	-170° 45'	171° 38'	282° 14'	111° 29'
-590	last_visibility	-590-02-01	306.7	324.4	306° 44'	324° 22'	18:58	17:58	1:00h	-72d 11h	1.5	-13° 13'	-0° 55'	-4° 45'	17° 38'	75° 40'	70° 55'
-590	first_visibility	-590-07-07	96.8	73.4	96° 45'	73° 22'	4:00	5:17	-1:17h	82d 22h	1.9	-14° 48'	0° 36'	14° 18'	-23° 23'	230° 55'	245° 13'
-589	acronychal_rising	-589-03-23	355.7	178.6	355° 43'	178° 34'	18:56	18:31	0:25h	-2d 09h	-1.6	-6° 19'	2° 51'	176° 51'	-177° 10'	91° 40'	268° 30'
-589	cosmical_setting	-589-04-01	3.9	175.5	3° 55'	175° 28'	5:53	6:20	-0:26h	6d 01h	-1.6	-6° 43'	2° 33'	-171° 39'	171° 34'	264° 16'	92° 37'
-588	last_visibility	-588-04-01	5.2	22.3	5° 11'	22° 19'	19:33	18:35	0:58h	-60d 02h	1.8	-13° 15'	0° 05'	-2° 14'	17° 08'	100° 19'	98° 06'
-588	first_visibility	-588-08-03	123.3	103.2	123° 17'	103° 12'	4:19	5:33	-1:13h	63d 06h	2	-14° 47'	1° 04'	7° 52'	-20° 05'	236° 19'	244° 11'
