date	hhmm	dist	lon	lat
1980-Jan-01	00:00	8.04046139	163.9713070	3.1298891
1980-Jan-06	00:00	7.69664738	164.7080640	3.2901948
1980-Jan-11	00:00	7.36608850	165.1745304	3.4536666
1980-Jan-16	00:00	7.05224192	165.3461245	3.6178505
1980-Jan-21	00:00	6.75917135	165.2018420	3.7793341
1980-Jan-26	00:00	6.49119172	164.7296592	3.9338638
1980-Jan-31	00:00	6.25239583	163.9279455	4.0762256
1980-Feb-05	00:00	6.04682843	162.8045445	4.1999853
1980-Feb-10	00:00	5.87863547	161.3825945	4.2978114
1980-Feb-15	00:00	5.75183260	159.7056077	4.3623498
1980-Feb-20	00:00	5.66980845	157.8401177	4.3875391
1980-Feb-25	00:00	5.63449269	155.8731910	4.3699745
1980-Mar-01	00:00	5.64617006	153.8980957	4.3091581
1980-Mar-06	00:00	5.70392846	152.0052529	4.2073671
1980-Mar-11	00:00	5.80587054	150.2770778	4.0694540
1980-Mar-16	00:00	5.94920916	148.7825960	3.9022854
1980-Mar-21	00:00	6.13020328	147.5746590	3.7139764
1980-Mar-26	00:00	6.34420616	146.6848624	3.5125644
1980-Mar-31	00:00	6.58649238	146.1222436	3.3046830
1980-Apr-05	00:00	6.85276439	145.8818732	3.0954228
1980-Apr-10	00:00	7.13921009	145.9507548	2.8886074
1980-Apr-15	00:00	7.44235273	146.3118409	2.6871413
1980-Apr-20	00:00	7.75871116	146.9462284	2.4931714
1980-Apr-25	00:00	8.08495212	147.8302662	2.3078203
1980-Apr-30	00:00	8.41837324	148.9388916	2.1313549
1980-May-05	00:00	8.75687711	150.2493855	1.9636495
1980-May-10	00:00	9.09878579	151.7419426	1.8044864
1980-May-15	00:00	9.44250144	153.4003797	1.6536924
1980-May-20	00:00	9.78625941	155.2098842	1.5109606
1980-May-25	00:00	10.12850569	157.1544512	1.3756852
1980-May-30	00:00	10.46815333	159.2199683	1.2471863
1980-Jun-04	00:00	10.80448340	161.3946792	1.1248915
1980-Jun-09	00:00	11.13693314	163.6693625	1.0084187
1980-Jun-14	00:00	11.46473911	166.0374487	0.8974720
1980-Jun-19	00:00	11.78695829	168.4914661	0.7916192
1980-Jun-24	00:00	12.10289328	171.0235491	0.6903398
1980-Jun-29	00:00	12.41218982	173.6271510	0.5931961
1980-Jul-04	00:00	12.71474994	176.2968637	0.4999130
1980-Jul-09	00:00	13.01044385	179.0295599	0.4103554
1980-Jul-14	00:00	13.29882435	181.8228345	0.3243298
1980-Jul-19	00:00	13.57937616	184.6727211	0.2415162
1980-Jul-24	00:00	13.85183907	187.5754722	0.1616122
1980-Jul-29	00:00	14.11623734	190.5277658	0.0844318
1980-Aug-03	00:00	14.37278657	193.5272573	0.0099394
1980-Aug-08	00:00	14.62150783	196.5736536	-0.0618798
1980-Aug-13	00:00	14.86211858	199.6656639	-0.1311768
1980-Aug-18	00:00	15.09437976	202.8011759	-0.1981548
1980-Aug-23	00:00	15.31829289	205.9781546	-0.2629449
1980-Aug-28	00:00	15.53412661	209.1944731	-0.3255523
1980-Sep-02	00:00	15.74226106	212.4496383	-0.3858836
1980-Sep-07	00:00	15.94275871	215.7439920	-0.4439420
1980-Sep-12	00:00	16.13546909	219.0765558	-0.4998448
1980-Sep-17	00:00	16.32034764	222.4460865	-0.5536885
1980-Sep-22	00:00	16.49757737	225.8509029	-0.6054735
1980-Sep-27	00:00	16.66760666	229.2894704	-0.6550825
1980-Oct-02	00:00	16.83087931	232.7622023	-0.7023943
1980-Oct-07	00:00	16.98746959	236.2689769	-0.7474368
1980-Oct-12	00:00	17.13733956	239.8090142	-0.7902799
1980-Oct-17	00:00	17.28057747	243.3810718	-0.8309288
1980-Oct-22	00:00	17.41750295	246.9831925	-0.8692861
1980-Oct-27	00:00	17.54868427	250.6144071	-0.9051801
1980-Nov-01	00:00	17.67454908	254.2748663	-0.9385360
1980-Nov-06	00:00	17.79517562	257.9639883	-0.9693988
1980-Nov-11	00:00	17.91059606	261.6808617	-0.9977902
1980-Nov-16	00:00	18.02097267	265.4236323	-1.0236490
1980-Nov-21	00:00	18.12671955	269.1901098	-1.0468250
1980-Nov-26	00:00	18.22844044	272.9795487	-1.0671764
1980-Dec-01	00:00	18.32648198	276.7912980	-1.0847073
1980-Dec-06	00:00	18.42089980	280.6245599	-1.0994698
1980-Dec-11	00:00	18.51172746	284.4778715	-1.1114578
1980-Dec-16	00:00	18.59913951	288.3486498	-1.1205799
1980-Dec-21	00:00	18.68358558	292.2348381	-1.1267020
1980-Dec-26	00:00	18.76559768	296.1352785	-1.1297852
1980-Dec-31	00:00	18.84538698	300.0489242	-1.1299100
1981-Jan-05	00:00	18.92293197	303.9747486	-1.1271410
1981-Jan-10	00:00	18.99818810	307.9105979	-1.1214726
1981-Jan-15	00:00	19.07128604	311.8536478	-1.1128294
1981-Jan-20	00:00	19.14263377	315.8020172	-1.1011690
1981-Jan-25	00:00	19.21259214	319.7541440	-1.0865787
1981-Jan-30	00:00	19.28119574	323.7091403	-1.0691941
1981-Feb-04	00:00	19.34828541	327.6657045	-1.0491001
1981-Feb-09	00:00	19.41367847	331.6213148	-1.0263094
1981-Feb-14	00:00	19.47742999	335.5735572	-1.0008084
1981-Feb-19	00:00	19.53983194	339.5205258	-0.9726833
1981-Feb-24	00:00	19.60102094	343.4610049	-0.9421113
1981-Mar-01	00:00	19.66083978	347.3944211	-0.9092514
1981-Mar-06	00:00	19.71895723	351.3193378	-0.8741975
1981-Mar-11	00:00	19.77504301	355.2335427	-0.8369837
1981-Mar-16	00:00	19.82907942	359.1351246	-0.7976845
1981-Mar-21	00:00	19.88120135	3.0224576	-0.7564848
1981-Mar-26	00:00	19.93133049	6.8951863	-0.7135890
1981-Mar-31	00:00	19.97913566	10.7529674	-0.6691731
1981-Apr-05	00:00	20.02412221	14.5944162	-0.6232283
1981-Apr-10	00:00	20.06586193	18.4183513	-0.5757929
1981-Apr-15	00:00	20.10429063	22.2229417	-0.5271260
1981-Apr-20	00:00	20.13939300	26.0074843	-0.4773943
1981-Apr-25	00:00	20.17092995	29.7723137	-0.4267542
1981-Apr-30	00:00	20.19843728	33.5172530	-0.3752947
1981-May-05	00:00	20.22130411	37.2416290	-0.3230543
1981-May-10	00:00	20.23909083	40.9444371	-0.2701155
1981-May-15	00:00	20.25171560	44.6243745	-0.2166598
1981-May-20	00:00	20.25905694	48.2817739	-0.1628498
1981-May-25	00:00	20.26078123	51.9172259	-0.1087739
1981-May-30	00:00	20.25633692	55.5307816	-0.0544526
1981-Jun-04	00:00	20.24507112	59.1223722	0.0001022
1981-Jun-09	00:00	20.22661770	62.6908448	0.0547793
1981-Jun-14	00:00	20.20090037	66.2357471	0.1094228
1981-Jun-19	00:00	20.16775090	69.7579103	0.1639467
1981-Jun-24	00:00	20.12679621	73.2579089	0.2183450
1981-Jun-29	00:00	20.07744120	76.7361818	0.2726573
1981-Jul-04	00:00	20.01908329	80.1926159	0.3268677
1981-Jul-09	00:00	19.95148618	83.6259784	0.3808573
1981-Jul-14	00:00	19.87460490	87.0365795	0.4345335
1981-Jul-19	00:00	19.78828327	90.4251646	0.4878916
1981-Jul-24	00:00	19.69214745	93.7923054	0.5409993
1981-Jul-29	00:00	19.58561319	97.1386395	0.5939218
1981-Aug-03	00:00	19.46822648	100.4632862	0.6466189
1981-Aug-08	00:00	19.33990859	103.7654174	0.6990002
1981-Aug-13	00:00	19.20068609	107.0454260	0.7510486
1981-Aug-18	00:00	19.05046814	110.3036929	0.8028332
1981-Aug-23	00:00	18.88891260	113.5409107	0.8544716
1981-Aug-28	00:00	18.71553040	116.7570713	0.9060137
1981-Sep-02	00:00	18.53010154	119.9506227	0.9574075
1981-Sep-07	00:00	18.33272950	123.1209686	1.0086212
1981-Sep-12	00:00	18.12356966	126.2679484	1.0597109
1981-Sep-17	00:00	17.90264458	129.3915998	1.1108083
1981-Sep-22	00:00	17.66969083	132.4923811	1.1620430
1981-Sep-27	00:00	17.42443045	135.5688212	1.2134312
1981-Oct-02	00:00	17.16694099	138.6190300	1.2649457
1981-Oct-07	00:00	16.89755027	141.6418385	1.3166275
1981-Oct-12	00:00	16.61661078	144.6361496	1.3686016
1981-Oct-17	00:00	16.32430114	147.6016410	1.4210421
1981-Oct-22	00:00	16.02051834	150.5373502	1.4740523
1981-Oct-27	00:00	15.70531753	153.4401949	1.5276342
1981-Nov-01	00:00	15.37912352	156.3074171	1.5818200
1981-Nov-06	00:00	15.04255142	159.1363045	1.6367267
1981-Nov-11	00:00	14.69621630	161.9244804	1.6925397
1981-Nov-16	00:00	14.34049548	164.6704030	1.7494390
1981-Nov-21	00:00	13.97556879	167.3702185	1.8074832
1981-Nov-26	00:00	13.60192781	170.0187749	1.8666977
1981-Dec-01	00:00	13.22040269	172.6108236	1.9271839
1981-Dec-06	00:00	12.83197814	175.1408453	1.9891195
1981-Dec-11	00:00	12.43759424	177.6041161	2.0527093
1981-Dec-16	00:00	12.03790616	179.9953810	2.1180692
1981-Dec-21	00:00	11.63354963	182.3061154	2.1851941
1981-Dec-26	00:00	11.22557358	184.5266735	2.2541102
1981-Dec-31	00:00	10.81534263	186.6463915	2.3249064
1982-Jan-05	00:00	10.40436488	188.6544251	2.3976860
1982-Jan-10	00:00	9.99404670	190.5403801	2.4724615
1982-Jan-15	00:00	9.58556904	192.2908471	2.5490332
1982-Jan-20	00:00	9.18035931	193.8888204	2.6270647
1982-Jan-25	00:00	8.78034739	195.3152762	2.7061680
1982-Jan-30	00:00	8.38782638	196.5499321	2.7858248
1982-Feb-04	00:00	8.00525294	197.5732244	2.8652480
1982-Feb-09	00:00	7.63497860	198.3651806	2.9431877
1982-Feb-14	00:00	7.27939440	198.9023602	3.0178511
1982-Feb-19	00:00	6.94144556	199.1601388	3.0869708
1982-Feb-24	00:00	6.62465322	199.1160318	3.1477451
