jd	date	year	event	sun_lon	obj_lon
1502450.583321759	-599-06-25	-599	last_visibility	86.1	107.1
1502572.8055439813	-599-10-26	-599	first_visibility	206.6	187.9
1502938.0555439813	-598-10-26	-598	acronychal_rising	206.9	30.3
1502943.0555439813	-598-10-31	-598	cosmical_setting	211.5	28.6
1503208.3888773147	-597-07-22	-597	last_visibility	111.6	136.2
1503358.9166550925	-597-12-21	-597	first_visibility	263.3	243.1
1503705.1666550925	-596-12-02	-596	acronychal_rising	245.1	70.9
1503713.1666550925	-596-12-10	-596	cosmical_setting	252.8	67.9
1503967.1944328703	-595-08-20	-595	last_visibility	140.2	168.7
1504222.5277662035	-594-05-01	-594	first_visibility	32.9	0.1
1504471.5555439813	-593-01-06	-593	acronychal_rising	280.3	105.3
1504480.5555439813	-593-01-15	-593	cosmical_setting	288.9	101.9
1504750.3055439813	-593-10-12	-593	last_visibility	192.5	220.7
1504990.333321759	-592-06-08	-592	first_visibility	69.5	41.5
1505236.3610995368	-591-02-10	-591	acronychal_rising	315.9	139.3
1505245.3610995368	-591-02-19	-591	cosmical_setting	324.4	136.0
1505592.6110995368	-590-02-01	-590	last_visibility	306.7	324.4
1505750.1388773147	-590-07-07	-590	first_visibility	96.8	73.4
1506010.1666550925	-589-03-23	-589	acronychal_rising	355.7	178.6
1506018.472210648	-589-04-01	-589	cosmical_setting	3.9	175.5
1506383.722210648	-588-04-01	-588	last_visibility	5.2	22.3
1506506.9444328703	-588-08-03	-588	first_visibility	123.3	103.2
1506796.2777662035	-587-05-18	-587	acronychal_rising	50.0	232.1
1506799.2777662035	-587-05-21	-587	cosmical_setting	52.2	231.4
1507156.5277662035	-586-05-13	-586	last_visibility	45.0	62.9
1507268.7499884258	-586-09-04	-586	first_visibility	154.2	135.4
1507608.6944328703	-585-08-09	-585	cosmical_setting	128.5	307.3
1507610.6944328703	-585-08-11	-585	acronychal_rising	131.0	306.6
1507918.333321759	-584-06-14	-584	last_visibility	75.9	95.8
1508034.5555439813	-584-10-09	-584	first_visibility	189.7	171.3
1508398.8055439813	-583-10-08	-583	acronychal_rising	189.0	11.6
1508402.8055439813	-583-10-12	-583	cosmical_setting	192.5	10.3
1508676.1388773147	-582-07-11	-582	last_visibility	101.3	124.6
1508811.3610995368	-582-11-25	-582	first_visibility	237.1	218.0
1509170.6110995368	-581-11-19	-581	acronychal_rising	231.2	56.3
1509177.6110995368	-581-11-26	-581	cosmical_setting	237.9	53.7
1509432.9444328703	-580-08-07	-580	last_visibility	127.9	155.1
1509670.972210648	-579-04-01	-579	first_visibility	4.5	331.9
1509935.4166550925	-579-12-23	-579	acronychal_rising	266.4	92.6
1509945.3055439813	-578-01-01	-579	cosmical_setting	275.1	89.2
1509945.3055439813	-578-01-01	-578	cosmical_setting	275.1	89.2
