index,युगः,अब्दः,सौरायनम्,सौरर्तुः,सौरमासः,चान्द्रमासः,स्तृमासः,पर्वः,चान्द्रायनम्,नक्षत्रम्,द्रोण_कुम्भकः,द्युः,आढकः,अंश_भांशम्,कुडव_कुटपः,hours,मुहुर्तम्,नाडिका,पलम्,भागा,कला,minutes,गुर्वाक्षरः,काष्ठा
युगः,1,,,,,,,,,,,,,,,,,,,,,,,
अब्दः,5,1,,,,,,,,,,,,,,,,,,,,,,
सौरायनम्,10,2,1,,,,,,,,,,,,,,,,,,,,,
सौरर्तुः,30,6,3,1,,,,,,,,,,,,,,,,,,,,
सौरमासः,61,12.200,6.100,2.033,1,,,,,,,,,,,,,,,,,,,
चान्द्रमासः,62,12.400,6.200,2.067,1.016,1,,,,,,,,,,,,,,,,,,
स्तृमासः,67,13.400,6.700,2.233,1.098,1.081,1,,,,,,,,,,,,,,,,,
पर्वः,124,24.800,12.400,4.133,2.033,2,1.851,1,,,,,,,,,,,,,,,,
चान्द्रायनम्,134,26.800,13.400,4.467,2.197,2.161,2,1.081,1,,,,,,,,,,,,,,,
नक्षत्रम्,135,27,13.500,4.500,2.213,2.177,2.015,1.089,1.007,1,,,,,,,,,,,,,,
द्रोण_कुम्भकः,568.912,113.782,56.891,18.964,9.326,9.176,8.491,4.588,4.246,4.214,1,,,,,,,,,,,,,
द्युः,1830,366,183,61,30,29.516,27.313,14.758,13.657,13.556,3.217,1,,,,,,,,,,,,
आढकः,2275.648,455.130,227.565,75.855,37.306,36.704,33.965,18.352,16.982,16.857,4,1.244,1,,,,,,,,,,,
अंश_भांशम्,16740,3348,1674,558,274.426,270,249.851,135,124.925,124,29.425,9.148,7.356,1,,,,,,,,,,
कुडव_कुटपः,36410.363,7282.073,3641.036,1213.679,596.891,587.264,543.438,293.632,271.719,269.706,64,19.896,16,2.175,1,,,,,,,,,
hours,43920,8784,4392,1464,720,708.387,655.522,354.194,327.761,325.333,77.200,24,19.300,2.624,1.206,1,,,,,,,,
मुहुर्तम्,54900,10980,5490,1830,900,885.484,819.403,442.742,409.701,406.667,96.500,30,24.125,3.280,1.508,1.250,1,,,,,,,
नाडिका,109800,21960,10980,3660,1800,1770.968,1638.806,885.484,819.403,813.333,193,60,48.250,6.559,3.016,2.500,2,1,,,,,,
पलम्,113782.383,22756.477,11378.238,3792.746,1865.285,1835.200,1698.245,917.600,849.122,842.832,200,62.176,50,6.797,3.125,2.591,2.073,1.036,1,,,,,
भागा,226920,45384,22692,7564,3720,3660,3386.866,1830,1693.433,1680.889,398.867,124,99.717,13.556,6.232,5.167,4.133,2.067,1.994,1,,,,
कला,1103490,220698,110349,36783,18090,17798.226,16470,8899.113,8235,8174,1939.650,603,484.913,65.919,30.307,25.125,20.100,10.050,9.698,4.863,1,,,
minutes,2635200,527040,263520,87840,43200,42503.226,39331.343,21251.613,19665.672,19520,4632,1440,1158,157.419,72.375,60,48,24,23.160,11.613,2.388,1,,
गुर्वाक्षरः,27366552,5473310.400,2736655.200,912218.400,448632,441396,408456,220698,204228,202715.200,48103.320,14954.400,12025.830,1634.800,751.614,623.100,498.480,249.240,240.517,120.600,24.800,10.385,1,
काष्ठा,136832760,27366552,13683276,4561092,2243160,2206980,2042280,1103490,1021140,1013576,240516.600,74772,60129.150,8174,3758.072,3115.500,2492.400,1246.200,1202.583,603,124,51.925,5,1
