planet,jd,date,elong
Mercury,1501907.5006828704,-601-12-25T00:00:59.000,250.3659800775842
Mercury,1501908.5006828704,-601-12-26T00:00:59.000,251.65184689808518
Mercury,1501909.5006828704,-601-12-27T00:00:59.000,252.96089820217398
Mercury,1501910.5006828704,-601-12-28T00:00:59.000,254.2917867592442
Mercury,1501911.5006828704,-601-12-29T00:00:59.000,255.6433477468483
Mercury,1501912.5006828704,-601-12-30T00:00:59.000,257.01457880628055
Mercury,1501913.5006828704,-601-12-31T00:00:59.000,258.4046224608349
Mercury,1501914.5006828704,-600-01-01T00:00:59.000,259.8127506224013
Mercury,1501915.5006828704,-600-01-02T00:00:59.000,261.23835094096785
Mercury,1501916.5006828704,-600-01-03T00:00:59.000,262.6809147693963
Mercury,1501917.5006828704,-600-01-04T00:00:59.000,264.1400265431317
Mercury,1501918.5006828704,-600-01-05T00:00:59.000,265.6153543924755
Mercury,1501919.5006828704,-600-01-06T00:00:59.000,267.1066418239499
Mercury,1501920.5006828704,-600-01-07T00:00:59.000,268.6137003245547
Mercury,1501921.5006828704,-600-01-08T00:00:59.000,270.1364027574785
Mercury,1501922.5006828704,-600-01-09T00:00:59.000,271.6746774258107
Mercury,1501923.5006828704,-600-01-10T00:00:59.000,273.22850269700155
Mercury,1501924.5006828704,-600-01-11T00:00:59.000,274.7979020800698
Mercury,1501925.5006828704,-600-01-12T00:00:59.000,276.3829396587245
Mercury,1501926.5006828704,-600-01-13T00:00:59.000,277.98371578440947
Mercury,1501927.5006828704,-600-01-14T00:00:59.000,279.60036293130844
Mercury,1501928.5006828704,-600-01-15T00:00:59.000,281.23304161776036
Mercury,1501929.5006828704,-600-01-16T00:00:59.000,282.881936290715
Mercury,1501930.5006828704,-600-01-17T00:00:59.000,284.5472510632962
Mercury,1501931.5006828704,-600-01-18T00:00:59.000,286.2292051883318
Mercury,1501932.5006828704,-600-01-19T00:00:59.000,287.928028133958
Mercury,1501933.5006828704,-600-01-20T00:00:59.000,289.6439541134862
Mercury,1501934.5006828704,-600-01-21T00:00:59.000,291.3772159046008
Mercury,1501935.5006828704,-600-01-22T00:00:59.000,293.1280377640118
Mercury,1501936.5006828704,-600-01-23T00:00:59.000,294.8966272238697
Mercury,1501937.5006828704,-600-01-24T00:00:59.000,296.6831655251814
Mercury,1501938.5006828704,-600-01-25T00:00:59.000,298.4877964106382
Mercury,1501939.5006828704,-600-01-26T00:00:59.000,300.3106129718674
Mercury,1501940.5006828704,-600-01-27T00:00:59.000,302.15164221516704
Mercury,1501941.5006828704,-600-01-28T00:00:59.000,304.01082698570997
Mercury,1501942.5006828704,-600-01-29T00:00:59.000,305.888004883612
Mercury,1501943.5006828704,-600-01-30T00:00:59.000,307.78288380965
Mercury,1501944.5006828704,-600-01-31T00:00:59.000,309.69501382059826
Mercury,1501945.5006828704,-600-02-01T00:00:59.000,311.62375506170184
Mercury,1501946.5006828704,-600-02-02T00:00:59.000,313.56824168275887
Mercury,1501947.5006828704,-600-02-03T00:00:59.000,315.52734188137646
Mercury,1501948.5006828704,-600-02-04T00:00:59.000,317.49961453772426
Mercury,1501949.5006828704,-600-02-05T00:00:59.000,319.4832633536638
Mercury,1501950.5006828704,-600-02-06T00:00:59.000,321.4760899743569
Mercury,1501951.5006828704,-600-02-07T00:00:59.000,323.4754482463099
Mercury,1501952.5006828704,-600-02-08T00:00:59.000,325.47820250462485
Mercury,1501953.5006828704,-600-02-09T00:00:59.000,327.48069351242805
Mercury,1501954.5006828704,-600-02-10T00:00:59.000,329.4787162496747
Mercury,1501955.5006828704,-600-02-11T00:00:59.000,331.46751402005475
Mercury,1501956.5006828704,-600-02-12T00:00:59.000,333.44179309976175
Mercury,1501957.5006828704,-600-02-13T00:00:59.000,335.3957612482651
Mercury,1501958.5006828704,-600-02-14T00:00:59.000,337.3231917349074
Mercury,1501959.5006828704,-600-02-15T00:00:59.000,339.21751219339444
Mercury,1501960.5006828704,-600-02-16T00:00:59.000,341.07191485076066
Mercury,1501961.5006828704,-600-02-17T00:00:59.000,342.8794819355547
Mercury,1501962.5006828704,-600-02-18T00:00:59.000,344.6333178959924
Mercury,1501963.5006828704,-600-02-19T00:00:59.000,346.3266789574471
Mercury,1501964.5006828704,-600-02-20T00:00:59.000,347.9530908361455
Mercury,1501965.5006828704,-600-02-21T00:00:59.000,349.5064470886142
Mercury,1501966.5006828704,-600-02-22T00:00:59.000,350.98108332126344
Mercury,1501967.5006828704,-600-02-23T00:00:59.000,352.37182574597
Mercury,1501968.5006828704,-600-02-24T00:00:59.000,353.67401576543233
Mercury,1501969.5006828704,-600-02-25T00:00:59.000,354.8835148839047
Mercury,1501970.5006828704,-600-02-26T00:00:59.000,355.9966959726015
Mercury,1501971.5006828704,-600-02-27T00:00:59.000,357.01042770212405
Mercury,1501972.5006828704,-600-02-28T00:00:59.000,357.9220588912407
Mercury,1501973.5006828704,-600-03-01T00:00:59.000,358.7294088147516
Mercury,1501974.5006828704,-600-03-02T00:00:59.000,359.4307684036765
Mercury,1501975.5006828704,-600-03-03T00:00:59.000,0.024915922297680027
Mercury,1501976.5006828704,-600-03-04T00:00:59.000,0.5111492620114291
Mercury,1501977.5006828704,-600-03-05T00:00:59.000,0.8893354947451257
Mercury,1501978.5006828704,-600-03-06T00:00:59.000,1.1599767866887305
Mercury,1501979.5006828704,-600-03-07T00:00:59.000,1.324290188187149
Mercury,1501980.5006828704,-600-03-08T00:00:59.000,1.3842971710349161
Mercury,1501981.5006828704,-600-03-09T00:00:59.000,1.3429171218427314
Mercury,1501982.5006828704,-600-03-10T00:00:59.000,1.2040574174919243
Mercury,1501983.5006828704,-600-03-11T00:00:59.000,0.9726913501730223
Mercury,1501984.5006828704,-600-03-12T00:00:59.000,0.654914284245308
Mercury,1501985.5006828704,-600-03-13T00:00:59.000,0.25796825719817207
Mercury,1501986.5006828704,-600-03-14T00:00:59.000,359.7902260537979
Mercury,1501987.5006828704,-600-03-15T00:00:59.000,359.2611277550549
Mercury,1501988.5006828704,-600-03-16T00:00:59.000,358.68106593096127
Mercury,1501989.5006828704,-600-03-17T00:00:59.000,358.0612198044458
Mercury,1501990.5006828704,-600-03-18T00:00:59.000,357.4133434798459
Mercury,1501991.5006828704,-600-03-19T00:00:59.000,356.7495180383659
Mercury,1501992.5006828704,-600-03-20T00:00:59.000,356.0818813071085
Mercury,1501993.5006828704,-600-03-21T00:00:59.000,355.422351693504
Mercury,1501994.5006828704,-600-03-22T00:00:59.000,354.7823632281294
Mercury,1501995.5006828704,-600-03-23T00:00:59.000,354.17262774094877
Mercury,1501996.5006828704,-600-03-24T00:00:59.000,353.6029371288402
Mercury,1501997.5006828704,-600-03-25T00:00:59.000,353.0820144624265
Mercury,1501998.5006828704,-600-03-26T00:00:59.000,352.61741796362037
Mercury,1501999.5006828704,-600-03-27T00:00:59.000,352.21549728530766
Mercury,1502000.5006828704,-600-03-28T00:00:59.000,351.88139768368967
Mercury,1502001.5006828704,-600-03-29T00:00:59.000,351.6191048999018
Mercury,1502002.5006828704,-600-03-30T00:00:59.000,351.4315219840596
Mercury,1502003.5006828704,-600-03-31T00:00:59.000,351.32056885150456
Mercury,1502004.5006828704,-600-04-01T00:00:59.000,351.2872957970476
Mercury,1502005.5006828704,-600-04-02T00:00:59.000,351.3320032572204
Mercury,1502006.5006828704,-600-04-03T00:00:59.000,351.45436152843996
Mercury,1502007.5006828704,-600-04-04T00:00:59.000,351.65352565761214
Mercury,1502008.5006828704,-600-04-05T00:00:59.000,351.92824217575486
Mercury,1502009.5006828704,-600-04-06T00:00:59.000,352.2769456242286
Mercury,1502010.5006828704,-600-04-07T00:00:59.000,352.6978438570867
Mercury,1502011.5006828704,-600-04-08T00:00:59.000,353.1889919117668
Mercury,1502012.5006828704,-600-04-09T00:00:59.000,353.74835481315756
Mercury,1502013.5006828704,-600-04-10T00:00:59.000,354.37386005006226
Mercury,1502014.5006828704,-600-04-11T00:00:59.000,355.06344069018104
Mercury,1502015.5006828704,-600-04-12T00:00:59.000,355.81507019353825
Mercury,1502016.5006828704,-600-04-13T00:00:59.000,356.6267899984712
Mercury,1502017.5006828704,-600-04-14T00:00:59.000,357.49673090728845
Mercury,1502018.5006828704,-600-04-15T00:00:59.000,358.4231292082456
Mercury,1502019.5006828704,-600-04-16T00:00:59.000,359.40433836552853
Mercury,1502020.5006828704,-600-04-17T00:00:59.000,0.43883699116349817
Mercury,1502021.5006828704,-600-04-18T00:00:59.000,1.5252336859887237
Mercury,1502022.5006828704,-600-04-19T00:00:59.000,2.6622692249482043
Mercury,1502023.5006828704,-600-04-20T00:00:59.000,3.8488164397179503
Mercury,1502024.5006828704,-600-04-21T00:00:59.000,5.083878046159157
Mercury,1502025.5006828704,-600-04-22T00:00:59.000,6.366582559794949
Mercury,1502026.5006828704,-600-04-23T00:00:59.000,7.6961783389627385
Mercury,1502027.5006828704,-600-04-24T00:00:59.000,9.072025704035866
Mercury,1502028.5006828704,-600-04-25T00:00:59.000,10.493586989692687
Mercury,1502029.5006828704,-600-04-26T00:00:59.000,11.960414298934666
Mercury,1502030.5006828704,-600-04-27T00:00:59.000,13.472134652181524
Mercury,1502031.5006828704,-600-04-28T00:00:59.000,15.028432160316697
Mercury,1502032.5006828704,-600-04-29T00:00:59.000,16.62902679811424
Mercury,1502033.5006828704,-600-04-30T00:00:59.000,18.273649346061347
Mercury,1502034.5006828704,-600-05-01T00:00:59.000,19.962012090141798
Mercury,1502035.5006828704,-600-05-02T00:00:59.000,21.693774966221213
Mercury,1502036.5006828704,-600-05-03T00:00:59.000,23.46850701474
Mercury,1502037.5006828704,-600-05-04T00:00:59.000,25.285643302765834
Mercury,1502038.5006828704,-600-05-05T00:00:59.000,27.144437894560042
Mercury,1502039.5006828704,-600-05-06T00:00:59.000,29.043914025427966
Mercury,1502040.5006828704,-600-05-07T00:00:59.000,30.982813334420655
Mercury,1502041.5006828704,-600-05-08T00:00:59.000,32.959546816843044
Mercury,1502042.5006828704,-600-05-09T00:00:59.000,34.97215096331729
Mercury,1502043.5006828704,-600-05-10T00:00:59.000,37.01825322928346
Mercury,1502044.5006828704,-600-05-11T00:00:59.000,39.095051350274105
Mercury,1502045.5006828704,-600-05-12T00:00:59.000,41.19931086950197
Mercury,1502046.5006828704,-600-05-13T00:00:59.000,43.32738442651862
Mercury,1502047.5006828704,-600-05-14T00:00:59.000,45.47525478601989
Mercury,1502048.5006828704,-600-05-15T00:00:59.000,47.63860136030348
Mercury,1502049.5006828704,-600-05-16T00:00:59.000,49.81288737367822
Mercury,1502050.5006828704,-600-05-17T00:00:59.000,51.99346227230461
Mercury,1502051.5006828704,-600-05-18T00:00:59.000,54.175671996807864
Mercury,1502052.5006828704,-600-05-19T00:00:59.000,56.35496873405913
Mercury,1502053.5006828704,-600-05-20T00:00:59.000,58.52701195895048
Mercury,1502054.5006828704,-600-05-21T00:00:59.000,60.687753920349394
Mercury,1502055.5006828704,-600-05-22T00:00:59.000,62.83350488261078
Mercury,1502056.5006828704,-600-05-23T00:00:59.000,64.96097596179743
Mercury,1502057.5006828704,-600-05-24T00:00:59.000,67.0672998113555
Mercury,1502058.5006828704,-600-05-25T00:00:59.000,69.15003134712026
Mercury,1502059.5006828704,-600-05-26T00:00:59.000,71.20713198134462
Mercury,1502060.5006828704,-600-05-27T00:00:59.000,73.23694141689822
Mercury,1502061.5006828704,-600-05-28T00:00:59.000,75.23814106164184
Mercury,1502062.5006828704,-600-05-29T00:00:59.000,77.20971271601172
Mercury,1502063.5006828704,-600-05-30T00:00:59.000,79.15089554919439
Mercury,1502064.5006828704,-600-05-31T00:00:59.000,81.0611436546638
Mercury,1502065.5006828704,-600-06-01T00:00:59.000,82.94008578979788
Mercury,1502066.5006828704,-600-06-02T00:00:59.000,84.78748829191215
Mercury,1502067.5006828704,-600-06-03T00:00:59.000,86.60322168690732
Mercury,1502068.5006828704,-600-06-04T00:00:59.000,88.38723114140754
Mercury,1502069.5006828704,-600-06-05T00:00:59.000,90.1395106549013
Mercury,1502070.5006828704,-600-06-06T00:00:59.000,91.860080727139
Mercury,1502071.5006828704,-600-06-07T00:00:59.000,93.54896914544815
Mercury,1502072.5006828704,-600-06-08T00:00:59.000,95.20619448716747
Mercury,1502073.5006828704,-600-06-09T00:00:59.000,96.83175193378139
Mercury,1502074.5006828704,-600-06-10T00:00:59.000,98.42560100070375
Mercury,1502075.5006828704,-600-06-11T00:00:59.000,99.98765481855662
Mercury,1502076.5006828704,-600-06-12T00:00:59.000,101.51777063544915
Mercury,1502077.5006828704,-600-06-13T00:00:59.000,103.01574124564138
Mercury,1502078.5006828704,-600-06-14T00:00:59.000,104.48128708565616
Mercury,1502079.5006828704,-600-06-15T00:00:59.000,105.91404877633488
Mercury,1502080.5006828704,-600-06-16T00:00:59.000,107.31357991580217
Mercury,1502081.5006828704,-600-06-17T00:00:59.000,108.67933996290873
Mercury,1502082.5006828704,-600-06-18T00:00:59.000,110.01068707345604
Mercury,1502083.5006828704,-600-06-19T00:00:59.000,111.30687077811041
Mercury,1502084.5006828704,-600-06-20T00:00:59.000,112.56702441805226
Mercury,1502085.5006828704,-600-06-21T00:00:59.000,113.79015727593418
Mercury,1502086.5006828704,-600-06-22T00:00:59.000,114.97514637073107
Mercury,1502087.5006828704,-600-06-23T00:00:59.000,116.12072791670249
Mercury,1502088.5006828704,-600-06-24T00:00:59.000,117.22548848124882
Mercury,1502089.5006828704,-600-06-25T00:00:59.000,118.28785592726052
Mercury,1502090.5006828704,-600-06-26T00:00:59.000,119.30609027820981
Mercury,1502091.5006828704,-600-06-27T00:00:59.000,120.27827471949229
Mercury,1502092.5006828704,-600-06-28T00:00:59.000,121.20230704095007
Mercury,1502093.5006828704,-600-06-29T00:00:59.000,122.07589193739807
Mercury,1502094.5006828704,-600-06-30T00:00:59.000,122.89653473091101
Mercury,1502095.5006828704,-600-07-01T00:00:59.000,123.66153725842122
Mercury,1502096.5006828704,-600-07-02T00:00:59.000,124.36799688408615
Mercury,1502097.5006828704,-600-07-03T00:00:59.000,125.01280986978571
Mercury,1502098.5006828704,-600-07-04T00:00:59.000,125.59268064861396
Mercury,1502099.5006828704,-600-07-05T00:00:59.000,126.1041389184117
Mercury,1502100.5006828704,-600-07-06T00:00:59.000,126.54356688890903
Mercury,1502101.5006828704,-600-07-07T00:00:59.000,126.9072394553375
Mercury,1502102.5006828704,-600-07-08T00:00:59.000,127.19138051957134
Mercury,1502103.5006828704,-600-07-09T00:00:59.000,127.39223906946359
Mercury,1502104.5006828704,-600-07-10T00:00:59.000,127.5061888773867
Mercury,1502105.5006828704,-600-07-11T00:00:59.000,127.52985567677626
Mercury,1502106.5006828704,-600-07-12T00:00:59.000,127.460275257354
Mercury,1502107.5006828704,-600-07-13T00:00:59.000,127.29508486443547
