year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-499	evening_first_visibility	-499-01-14	289.55	303.42	289° 33'	303° 25'	18:35	17:44	0:50h	17d 21h	-1	-11° 01'	-0° 56'	-5° 31'	13° 52'	70° 29'	64° 58'
-499	evening_last_visibility	-499-02-01	307.63	320.78	307° 38'	320° 47'	18:52	17:59	0:53h	-8d 02h	1.2	-11° 47'	3° 10'	0° 11'	13° 09'	75° 11'	75° 21'
-499	morning_first_visibility	-499-02-22	327.97	307.42	327° 58'	307° 25'	6:06	7:04	-0:58h	12d 10h	1.3	-13° 15'	1° 29'	14° 18'	-20° 33'	276° 45'	291° 03'
-499	morning_last_visibility	-499-03-25	358.30	335.78	358° 18'	335° 47'	5:47	6:27	-0:40h	-23d 23h	0	-9° 41'	-2° 32'	19° 37'	-22° 31'	265° 10'	284° 47'
-499	evening_first_visibility	-499-04-28	31.57	44.22	31° 34'	44° 13'	19:39	18:50	0:49h	10d 15h	-1.1	-11° 03'	1° 43'	-1° 18'	12° 39'	111° 09'	109° 50'
-499	evening_last_visibility	-499-06-06	68.73	85.05	68° 44'	85° 03'	20:08	19:12	0:55h	-11d 07h	1.8	-11° 13'	-2° 31'	-10° 17'	16° 19'	123° 48'	113° 32'
-499	morning_last_visibility	-499-07-20	110.20	97.95	110° 12'	97° 57'	4:38	5:24	-0:46h	-12d 13h	-1.1	-9° 31'	1° 01'	5° 05'	-12° 15'	237° 21'	242° 26'
-499	evening_first_visibility	-499-09-09	160.65	184.32	160° 39'	184° 19'	19:28	18:42	0:45h	39d 02h	0.1	-10° 32'	-2° 05'	-20° 29'	23° 40'	105° 18'	84° 49'
-499	morning_first_visibility	-499-10-17	198.18	182.73	198° 11'	182° 44'	5:24	6:24	-0:59h	7d 22h	0.7	-13° 47'	1° 50'	-0° 06'	-15° 27'	270° 27'	270° 21'
-499	morning_last_visibility	-499-11-17	229.73	218.10	229° 44'	218° 06'	6:06	6:49	-0:42h	-21d 03h	-0.5	-9° 42'	0° 16'	2° 17'	-11° 38'	285° 09'	287° 26'
-499	evening_first_visibility	-499-12-29	273.08	287.65	273° 05'	287° 39'	18:23	17:33	0:49h	21d 09h	-0.9	-10° 39'	-1° 24'	-7° 47'	14° 33'	68° 39'	60° 52'
-498	evening_last_visibility	-498-01-15	290.32	304.08	290° 19'	304° 05'	18:41	17:45	0:55h	-8d 02h	0.9	-12° 05'	2° 30'	-2° 05'	13° 47'	71° 11'	69° 06'
-498	morning_first_visibility	-498-02-02	307.87	290.18	307° 52'	290° 11'	6:19	7:20	-1:00h	9d 10h	1.4	-13° 23'	2° 49'	9° 45'	-17° 41'	283° 53'	293° 39'
-498	morning_last_visibility	-498-03-10	343.45	322.03	343° 27'	322° 02'	6:05	6:47	-0:41h	-23d 07h	-0.1	-9° 49'	-2° 21'	18° 17'	-21° 25'	271° 59'	290° 16'
-498	evening_first_visibility	-498-04-12	15.98	28.10	15° 59'	28° 06'	19:27	18:41	0:45h	10d 06h	-1.2	-10° 32'	1° 25'	-0° 32'	12° 07'	103° 45'	103° 12'
-498	evening_last_visibility	-498-05-18	50.42	65.43	50° 25'	65° 26'	19:58	19:01	0:56h	-10d 22h	2	-11° 53'	-1° 08'	-6° 33'	15° 02'	119° 12'	112° 38'
-498	morning_last_visibility	-498-07-02	92.67	78.22	92° 40'	78° 13'	4:26	5:16	-0:49h	-14d 03h	-0.9	-9° 53'	0° 09'	8° 43'	-14° 28'	235° 05'	243° 49'
-498	evening_first_visibility	-498-08-09	129.97	149.57	129° 58'	149° 34'	20:01	19:12	0:49h	24d 13h	-0.1	-10° 34'	0° 05'	-15° 22'	19° 37'	118° 04'	102° 42'
