jd	date	year	event	sun_lon	obj_lon
1538813.0555439813	-499-01-14	-499	evening_first_visibility	289.55	303.42
1538830.3610995368	-499-02-01	-499	evening_last_visibility	307.63	320.78
1538851.3610995368	-499-02-22	-499	morning_first_visibility	327.97	307.42
1538884.6666550925	-499-03-25	-499	morning_last_visibility	358.3	335.78
1538917.972210648	-499-04-28	-499	evening_first_visibility	31.57	44.22
1538956.583321759	-499-06-06	-499	evening_last_visibility	68.73	85.05
1539000.8888773147	-499-07-20	-499	morning_last_visibility	110.2	97.95
1539050.4999884258	-499-09-09	-499	evening_first_visibility	160.65	184.32
1539088.8055439813	-499-10-17	-499	morning_first_visibility	198.18	182.73
1539119.1110995368	-499-11-17	-499	morning_last_visibility	229.73	218.1
1539161.4166550925	-499-12-29	-499	evening_first_visibility	273.08	287.65
1539179.3055439813	-498-01-15	-498	evening_last_visibility	290.32	304.08
1539196.6110995368	-498-02-02	-498	morning_first_visibility	307.87	290.18
1539234.9166550925	-498-03-10	-498	morning_last_visibility	343.45	322.03
1539267.222210648	-498-04-12	-498	evening_first_visibility	15.98	28.1
1539303.5277662035	-498-05-18	-498	evening_last_visibility	50.42	65.43
1539348.1388773147	-498-07-02	-498	morning_last_visibility	92.67	78.22
1539385.4444328703	-498-08-09	-498	evening_first_visibility	129.97	149.57
1539407.7499884258	-498-09-01	-498	evening_last_visibility	152.5	178.03
1539438.0555439813	-498-10-01	-498	morning_first_visibility	181.78	166.95
1539465.0555439813	-498-10-28	-498	morning_last_visibility	209.1	197.87
1539511.6666550925	-498-12-14	-498	evening_first_visibility	257.57	273.68
1539527.6666550925	-498-12-30	-498	evening_last_visibility	273.87	287.58
1539544.5555439813	-497-01-15	-497	morning_first_visibility	289.55	273.5
1539582.8610995368	-497-02-23	-497	morning_last_visibility	328.48	308.62
1539618.1666550925	-497-03-28	-497	evening_first_visibility	1.27	13.87
1539649.472210648	-497-04-29	-497	evening_last_visibility	32.05	45.42
1539695.083321759	-497-06-14	-497	morning_last_visibility	75.25	58.58
1539728.3888773147	-497-07-17	-497	evening_first_visibility	107.47	124.05
1539759.6944328703	-497-08-18	-497	evening_last_visibility	138.5	164.12
1539787.9999884258	-497-09-16	-497	morning_first_visibility	166.53	151.03
1539810.3055439813	-497-10-08	-497	morning_last_visibility	188.6	177.12
1539861.6110995368	-497-11-29	-497	evening_first_visibility	242.02	259.75
1539875.9166550925	-497-12-13	-497	evening_last_visibility	256.3	271.57
1539891.9166550925	-497-12-29	-497	morning_first_visibility	272.08	257.05
1539933.1110995368	-496-02-08	-496	morning_last_visibility	313.38	295.5
1539967.4166550925	-496-03-12	-496	evening_first_visibility	346.45	359.57
1539993.722210648	-496-04-08	-496	evening_last_visibility	12.63	25.72
1540040.0277662035	-496-05-24	-496	morning_last_visibility	56.0	35.98
1540073.333321759	-496-06-27	-496	evening_first_visibility	89.02	104.03
1540109.9444328703	-496-08-03	-496	evening_last_visibility	124.63	149.13
1540136.9444328703	-496-08-30	-496	morning_first_visibility	150.42	135.07
1540156.2499884258	-496-09-19	-496	morning_last_visibility	170.28	159.03
1540210.8610995368	-496-11-13	-496	evening_first_visibility	226.45	245.83
1540221.8610995368	-496-11-24	-496	evening_last_visibility	237.68	255.47
1540240.1666550925	-496-12-12	-496	morning_first_visibility	255.53	240.52
1540282.0555439813	-495-01-22	-495	morning_last_visibility	297.13	281.0
1540314.3610995368	-495-02-24	-495	evening_first_visibility	330.5	343.3
1540340.6666550925	-495-03-20	-495	evening_last_visibility	354.0	6.55
1540386.2777662035	-495-05-05	-495	morning_last_visibility	37.68	15.37
1540420.583321759	-495-06-09	-495	evening_first_visibility	71.62	85.1
1540460.8888773147	-495-07-19	-495	evening_last_visibility	109.88	132.62
1540487.1944328703	-495-08-15	-495	morning_first_visibility	135.45	119.12
1540503.4999884258	-495-09-01	-495	morning_last_visibility	152.17	140.43
1540563.8055439813	-495-10-31	-495	evening_first_visibility	212.95	234.12
1540589.1110995368	-495-11-26	-495	morning_first_visibility	238.93	224.33
1540630.3055439813	-494-01-05	-494	morning_last_visibility	279.72	265.17
1540663.6110995368	-494-02-08	-494	evening_first_visibility	314.4	327.12
1540686.9166550925	-494-03-01	-494	evening_last_visibility	335.2	348.33
1540734.222210648	-494-04-18	-494	morning_last_visibility	21.2	357.82
1540770.5277662035	-494-05-24	-494	evening_first_visibility	56.15	69.53
1540810.1388773147	-494-07-03	-494	evening_last_visibility	94.3	114.93
1540838.1388773147	-494-07-31	-494	morning_first_visibility	120.62	103.25
1540853.4444328703	-494-08-16	-494	morning_last_visibility	136.2	124.95
1540939.3610995368	-494-11-11	-494	morning_first_visibility	223.37	207.92
1540976.6666550925	-494-12-18	-494	morning_last_visibility	261.17	247.98
1541014.5555439813	-493-01-24	-493	evening_first_visibility	299.15	312.87
1541032.8610995368	-493-02-12	-493	evening_last_visibility	318.13	330.6
1541060.1666550925	-493-03-09	-493	morning_first_visibility	342.25	318.52
1541084.472210648	-493-04-03	-493	morning_last_visibility	6.55	343.45
1541119.7777662035	-493-05-08	-493	evening_first_visibility	40.67	53.72
1541158.083321759	-493-06-16	-493	evening_last_visibility	77.82	96.32
1541189.3888773147	-493-07-17	-493	morning_first_visibility	106.85	88.32
1541202.3888773147	-493-07-30	-493	morning_last_visibility	119.42	107.38
1541289.3055439813	-493-10-26	-493	morning_first_visibility	206.83	192.12
1541322.6110995368	-493-11-29	-493	morning_last_visibility	241.52	229.43
1541363.8055439813	-492-01-08	-492	evening_first_visibility	282.77	296.95
1541381.8055439813	-492-01-26	-492	evening_last_visibility	300.92	313.57
1541400.1110995368	-492-02-14	-492	morning_first_visibility	319.35	300.02
1541434.4166550925	-492-03-18	-492	morning_last_visibility	351.78	329.48
1541467.722210648	-492-04-21	-492	evening_first_visibility	25.13	37.68
1541506.0277662035	-492-05-29	-492	evening_last_visibility	61.4	76.8
1541549.6388773147	-492-07-12	-492	morning_last_visibility	102.78	89.57
1541592.9444328703	-492-08-25	-492	evening_first_visibility	146.13	168.05
1541603.2499884258	-492-09-05	-492	evening_last_visibility	156.98	181.87
1541638.5555439813	-492-10-10	-492	morning_first_visibility	191.4	176.1
1541666.8610995368	-492-11-08	-492	morning_last_visibility	220.85	209.33
1541711.1666550925	-492-12-22	-492	evening_first_visibility	266.27	281.28
1541729.0555439813	-491-01-08	-491	evening_last_visibility	283.53	297.08
1541746.0555439813	-491-01-25	-491	morning_first_visibility	300.15	283.08
1541784.6666550925	-491-03-03	-491	morning_last_visibility	336.9	315.88
1541817.972210648	-491-04-06	-491	evening_first_visibility	10.5	23.52
1541852.2777662035	-491-05-10	-491	evening_last_visibility	43.07	56.97
1541896.583321759	-491-06-24	-491	morning_last_visibility	85.32	69.88
1541931.8888773147	-491-07-29	-491	evening_first_visibility	119.58	137.57
1541959.1944328703	-491-08-26	-491	evening_last_visibility	146.88	172.52
1541988.4999884258	-491-09-25	-491	morning_first_visibility	176.07	160.23
1542012.8055439813	-491-10-19	-491	morning_last_visibility	200.27	188.92
1542061.4166550925	-491-12-07	-491	evening_first_visibility	250.72	267.37
1542076.4166550925	-491-12-22	-491	evening_last_visibility	266.02	280.93
1542094.3055439813	-490-01-08	-490	morning_first_visibility	282.77	266.23
1542132.6110995368	-490-02-16	-490	morning_last_visibility	321.87	302.6
