jd,elati_Moon,elong_Moon,elong_Sun,r_Moon,sun_moon_angle,naks_Moon,naks_Sun
1355817.5,4.989,274.966,281.116,62.77,6.15,N23-Shr,N23-Shr
1355817.667,4.993,277.012,281.284,62.68899999999999,4.272,N23-Shr,N23-Shr
1355817.833,4.99,279.063,281.452,62.605,2.3890000000000002,N23-Shr,N23-Shr
1355818.0,4.98,281.118,281.62,62.518,0.502,N23-Shr,N23-Shr
1355818.167,4.9639999999999995,283.17900000000003,281.788,62.427,358.60900000000004,N23-Shr,N23-Shr
1355818.333,4.942,285.245,281.95599999999996,62.333999999999996,356.711,N23-Shr,N23-Shr
1355818.5,4.913,287.315,282.125,62.238,354.81,N24-Dha,N23-Shr
1355818.667,4.877,289.39099999999996,282.293,62.138000000000005,352.902,N24-Dha,N23-Shr
1355818.833,4.836,291.471,282.461,62.036,350.99,N24-Dha,N23-Shr
1355819.0,4.787,293.556,282.629,61.931999999999995,349.07300000000004,N24-Dha,N23-Shr
1355819.167,4.7330000000000005,295.64599999999996,282.797,61.825,347.151,N24-Dha,N23-Shr
1355819.333,4.672,297.741,282.965,61.716,345.224,N24-Dha,N23-Shr
1355819.5,4.604,299.841,283.133,61.604,343.292,N25-Sha,N23-Shr
1355819.667,4.531000000000001,301.945,283.301,61.49100000000001,341.356,N25-Sha,N23-Shr
1355819.833,4.452,304.05400000000003,283.469,61.375,339.415,N25-Sha,N23-Shr
1355820.0,4.3660000000000005,306.168,283.637,61.258,337.469,N26-PBha,N23-Shr
1355820.167,4.274,308.286,283.805,61.138999999999996,335.519,N26-PBha,N23-Shr
1355820.333,4.177,310.409,283.973,61.019,333.564,N26-PBha,N23-Shr
1355820.5,4.074,312.53700000000003,284.14099999999996,60.898,331.60400000000004,N26-PBha,N23-Shr
1355820.667,3.964,314.66900000000004,284.309,60.775,329.64,N26-PBha,N23-Shr
1355820.833,3.85,316.806,284.47700000000003,60.651,327.671,N26-PBha,N23-Shr
1355821.0,3.73,318.948,284.645,60.527,325.697,N26-PBha,N23-Shr
1355821.167,3.6039999999999996,321.094,284.813,60.402,323.719,N27-UBha,N23-Shr
1355821.333,3.4730000000000003,323.245,284.98,60.276,321.735,N27-UBha,N23-Shr
1355821.5,3.3369999999999997,325.401,285.14799999999997,60.15,319.747,N27-UBha,N23-Shr
1355821.667,3.196,327.561,285.316,60.023999999999994,317.755,N27-UBha,N23-Shr
1355821.833,3.05,329.727,285.48400000000004,59.898,315.757,N27-UBha,N23-Shr
1355822.0,2.8989999999999996,331.897,285.652,59.773,313.755,N27-UBha,N23-Shr
1355822.167,2.7430000000000003,334.07199999999995,285.82,59.648,311.748,N27-UBha,N23-Shr
1355822.333,2.583,336.25300000000004,285.987,59.523,309.73400000000004,N27-UBha,N23-Shr
1355822.5,2.419,338.43800000000005,286.155,59.4,307.717,N27-UBha,N24-Dha
1355822.667,2.25,340.629,286.323,59.277,305.694,N28-Rev,N24-Dha
1355822.833,2.0780000000000003,342.825,286.491,59.156000000000006,303.666,N28-Rev,N24-Dha
1355823.0,1.901,345.027,286.658,59.036,301.631,N28-Rev,N24-Dha
1355823.167,1.7209999999999999,347.235,286.82599999999996,58.918,299.591,N28-Rev,N24-Dha
1355823.333,1.538,349.44800000000004,286.994,58.801,297.546,N28-Rev,N24-Dha
1355823.5,1.3519999999999999,351.668,287.16200000000003,58.687,295.494,N28-Rev,N24-Dha
1355823.667,1.162,353.89300000000003,287.329,58.574,293.436,N01-Ash,N24-Dha
1355823.833,0.97,356.126,287.497,58.464,291.371,N01-Ash,N24-Dha
1355824.0,0.7759999999999999,358.36400000000003,287.665,58.357,289.301,N01-Ash,N24-Dha
1355824.167,0.579,0.61,287.832,58.251999999999995,287.222,N01-Ash,N24-Dha
1355824.333,0.381,2.862,288.0,58.151,285.138,N01-Ash,N24-Dha
1355824.5,0.18100000000000002,5.121,288.16700000000003,58.052,283.046,N01-Ash,N24-Dha
1355824.667,-0.02,7.388,288.335,57.957,280.947,N02-Bha,N24-Dha
1355824.833,-0.222,9.662,288.503,57.865,278.841,N02-Bha,N24-Dha
1355825.0,-0.425,11.944,288.67,57.777,276.726,N03-Kri,N24-Dha
1355825.167,-0.628,14.232999999999999,288.83799999999997,57.692,274.605,N03-Kri,N24-Dha
1355825.333,-0.831,16.53,289.005,57.611999999999995,272.475,N03-Kri,N24-Dha
1355825.5,-1.034,18.835,289.173,57.535,270.33799999999997,N03-Kri,N24-Dha
1355825.667,-1.235,21.148000000000003,289.34,57.463,268.192,N03-Kri,N24-Dha
1355825.833,-1.435,23.47,289.508,57.395,266.038,N03-Kri,N24-Dha
1355826.0,-1.6340000000000001,25.799,289.675,57.332,263.876,N04-Roh,N24-Dha
1355826.167,-1.831,28.136999999999997,289.843,57.273,261.70599999999996,N04-Roh,N24-Dha
1355826.333,-2.025,30.483,290.01,57.218999999999994,259.527,N04-Roh,N24-Dha
1355826.5,-2.217,32.836999999999996,290.178,57.17,257.341,N04-Roh,N24-Dha
1355826.667,-2.405,35.199,290.345,57.126000000000005,255.146,N04-Roh,N24-Dha
1355826.833,-2.59,37.569,290.512,57.086999999999996,252.94299999999998,N04-Roh,N24-Dha
1355827.0,-2.77,39.946999999999996,290.68,57.053000000000004,250.733,N04-Roh,N24-Dha
1355827.167,-2.946,42.333,290.847,57.023999999999994,248.514,N04-Roh,N24-Dha
1355827.333,-3.1180000000000003,44.726000000000006,291.015,57.0,246.28900000000002,N05-Mrg,N24-Dha
