nid      |enaks        |          |daivata     |kyv4410 |             |memory                | naks
---------|-------------|----------|------------|--------|-------------|----------------------|---------
N01-Ash  |Aśvayuk      |          |Aśvini      |        |F2           |naks_name             | अश्विनी
N02-Bha  |Bharaṇī      |          |Yama        |        |F3           |***why?***            | भरणी
N03-Kri  |Kṛttikā      |          |Agni        |        |F3           |meteor shower         | क्रित्तिका
N04-Roh  |Rohiṇī       |          |Prajāpati   |        |F1           |***why?***            | रोहिणी
N05-Mrg  |Mṛgaśira     |invakā    |Soma        |        |F3           |prev should be moon   | मृगशीर्ष
N06-Ard  |Ārdrā        |bāhū      |Rudra       |        |F3 ***M2***  |rhyming               | आर्द्रा
N07-Pun  |Punarvasu    |          |Aditi       |        |***M2***     |from suryavamshi rama | पुनर्वसू
N08-Pus  |Puṣyā        |          |Bṛhaspati   |        |***M1***     |guru born of pushya   | पुष्या
N09-Asl  |Āśleṣā       |          |Sarpa       |        |F3           |shaped like           | आश्लेषा
N10-Mag  |Maghā        |          |Pitṛ        |        |F3           |***why?***            | मघा
N11-PPal |P Phalgunī   |          |Bhaga       |        |F2           |***why?***            | पूर्वफल्गुनी
N12-UPal |U Phalgunī   |          |Aryaman     |        |F2           |***why?***            | उत्तरफल्गुनी
N13-Has  |Hastā        |          |Savitṛ      |        |***M1***     |***why?***            | हस्ता
N14-Chi  |Citrā        |          |Tvaṣṭṛ      |Indra   |F1           |***why?***            | चित्रा
N15-Swa  |Svātī        |niṣṭya    |Vāyu        |        |F1           |fast moving           | स्वाती
N16-Vis  |Viśākhe      |          |Indrāgnī    |        |F2           |dual                  | विशाखे
N17-Anu  |Anūrādhā     |          |Mitra       |        |F2           |***why?***            | अनूराधा
N18-Jye  |Jyeṣṭhā      |rohiṇī    |Indra       |        |F1           |***why?***            | ज्येष्ठा
N19-Mul  |Mūla         |vicŗtau   |Nirṛti      |Pitṛ    |N1 ***M2***  |***why?***            | मूला
N20-PAsh |P Aṣāḍhā     |          |Āpa         |        |F2           |rainy season          | पूर्वाषाढा
N21-UAsh |U Aṣāḍhā     |          |Viśvedevā   |        |F2           |***why?***            | उत्तराषाढा
N22-Shr  |Śravaṇā      |          |Viṣṇu       |        |N1           |***why?***            | श्रवणा
N23-Dha  |Dhaniṣṭhā    |śraviṣṭa  |Vasu        |        |F1           |PT                    | धनिष्ठा
N24-Sha  |Śatabhiṣak   |śataviṣake|Varuṇa      |Indra   |***M1***     |rainy season?         | शतभिषक्
N25-PBha |P Proṣṭapada |          |Aja         |Ekpāda  |***M2***     |livestock             | पूर्वाभाद्रपदा
N26-UBha |U Proṣṭapada |          |Ahirbudhnya |        |***M2***     |***why?***            | उत्तराभाद्रपदा
N27-Rev  |Revatī       |          |Pūṣan       |        |F1           | ***why?***           | रेवती
