nnid,nid,naks,enaks,daivata,marga,veethi,shape,vgj_cnt,vgj_stars,proxy,sname,hip,abh_stars,lon,span,lon_ue,span_ue,scp_muhurta,scp_ahoratra
1,N01-Ash,अश्विनी,Aśvayuk,Aśvini,Madhyama,Go,Horseneck,3,"(α,β,γ) Ari",β Ari,Sheratan,HIP 8903,β Ari,0.0,13.329999999999984,0.0,13.334000000000005,30.0,13.4
2,N02-Bha,भरणी,Bharaṇī,Yama,Uttara,Naga,Bhaga (Perineum),3,"(35,39,41) Ari",* 41 Ari,Bharani,HIP 13209,41 Ari,13.329999999999984,13.340000000000002,13.334000000000005,6.665999999999998,15.0,6.7
3,N03-Kri,क्रित्तिका,Kṛttikā, Agni,Uttara,Naga,Knife/Cleaver,6,"(17,19,20,23,27,η) Tau",η Tau,Alcyone,HIP 17702,η Tau,26.670000000000016,13.329999999999998,20.0,13.334000000000005,30.0,13.4
4,N04-Roh,रोहिणी,Rohiṇī,Prajāpati,Uttara,Gaja,Cart,5,"(α,γ,λ) Ori",α Tau,Aldebaran,HIP  21421,α Tau,40.0,13.329999999999998,33.334,20.0,45.0,20.1
5,N05-Mrg,मृगशीर्ष,Mṛgaśira,Soma,Uttara,Gaja,Deer’s Head,3,(γ) Gem,λ Ori,Meissa(Heka),HIP  26207,λ Ori,53.329999999999984,13.340000000000005,53.333999999999996,13.332999999999998,30.0,13.4
6,N06-Ard,आर्द्रा,Ārdrā,Rudra,Uttara,Gaja,Bāhuḥ (Arm)/Red Dot,1,"(α,γ,δ1,ε,θ2) Tau",γ Gem,Alhena(Almeisan),HIP 31681,γ Gem,66.67000000000002,13.329999999999998,66.66700000000003,6.6670000000000025,15.0,6.7
7,N07-Pun,पुनर्वसू,Punarvasu,Aditi,Uttara,Airavati,Balance,2,"(α,β) Gem",β Gem,Pollux,HIP  37826,β Gem,80.0,13.329999999999998,73.334,20.0,45.0,20.1
8,N08-Pus,पुष्य,Puṣya,Bṛhaspati,Uttara,Airavati,Śarāva (Pot-lid),1,(δ) Cnc,δ Cnc,Asellus Australis,HIP  42911,δ Cnc,93.32999999999998,13.340000000000005,93.334,13.332999999999998,30.0,13.4
9,N09-Asl,आश्लेषा,Āśleṣā,Sarpa,Uttara,Airavati,Snake Head/Flag,6,"(δ,ε,ζ,η,ρ,σ) Hya",ζ Hya,Minazal V,HIP 43813,ζ Hya,106.67000000000002,13.329999999999998,106.667,6.6670000000000025,15.0,6.7
10,N10-Mag,मघा,Maghā,Pitṛ,Uttara,Airavati,Enclosure,6,"(α,γ1,ε,ζ,η,μ) Leo",ζ Leo,Adhafera,HIP 50335,α Leo,120.0,13.329999999999998,113.334,13.332999999999998,30.0,13.4
11,N11-PPal,पूर्वफल्गुनी,P Phalgunī,Bhaga,Madhyama,Arshabi,Half-chair,2,"(δ,θ) Leo",δ Leo,Zosma,HIP  54872,δ Leo,133.32999999999998,13.339999999999991,126.667,13.332999999999998,30.0,13.4
