nnid,nid,naks,enaks,daivata,marga,veethi,shape,vgj_cnt,vgj_stars,proxy,sname,hip,abh_stars,lon_eq,lon_ue,scp_muhurta,scp_lon,scp_lon_next,proxy_lon_0445_bce,proxy_lat_0445_bce,proxy_lon_1479_bce,proxy_lat_1479_bce
1,N01-Ash,अश्विनी,Aśvayuk,Aśvini,Madhyama,Go,Horseneck,3,"(α,β,γ) Ari",β Ari,Sheratan,HIP 8903,β Ari,0.0,0.0,30.0,351.65574082594276,4.836068454716383,1.1712953656918253e-05,8.398238632810108,345.72786777619876,8.376385472401418
2,N02-Bha,भरणी,Bharaṇī,Yama,Uttara,Naga,Bhaga (Perineum),3,"(35,39,41) Ari",* 41 Ari,Bharani,HIP 13209,41 Ari,13.329999999999984,13.334000000000005,15.0,4.83606845471644,11.426232269103256,14.260164019218065,10.299835795728887,0.00022637887356305843,10.248610568530681
3,N03-Kri,क्रित्तिका,Kṛttikā, Agni,Uttara,Naga,Knife/Cleaver,6,"(17,19,20,23,27,η) Tau",η Tau,Alcyone,HIP 17702,η Tau,26.670000000000016,20.0,30.0,11.426232269103252,24.606559897876885,26.03918623528969,3.805873967879819,11.77321231225113,3.7106690682612955
4,N04-Roh,रोहिणी,Rohiṇī,Prajāpati,Uttara,Gaja,Cart,5,"(α,γ,λ) Ori",α Tau,Aldebaran,HIP  21421,α Tau,40.0,33.334,45.0,24.606559897876878,44.37705134103733,35.7933399575067,-5.631388933232947,21.50630931040172,-5.695553886479303
5,N05-Mrg,मृगशीर्ष,Mṛgaśira,Soma,Uttara,Gaja,Deer’s Head,3,(γ) Gem,λ Ori,Meissa(Heka),HIP  26207,λ Ori,53.329999999999984,53.334,30.0,44.377051341037316,57.55737896981095,49.73697641227461,-13.689853843443489,35.45781495514069,-13.8250977012452
6,N06-Ard,आर्द्रा,Ārdrā,Rudra,Uttara,Gaja,Bāhuḥ (Arm)/Red Dot,1,"(α,γ,δ1,ε,θ2) Tau",γ Gem,Alhena(Almeisan),HIP 31681,γ Gem,66.67000000000002,66.66700000000003,15.0,57.557378969811,64.14754278419781,65.13471407167495,-7.025292408857016,50.85823211744408,-7.150062080575871
7,N07-Pun,पुनर्वसू,Punarvasu,Aditi,Uttara,Airavati,Balance,2,"(α,β) Gem",β Gem,Pollux,HIP  37826,β Gem,80.0,73.334,45.0,64.14754278419775,83.9180342273582,79.647705191238,6.573734633371178,65.54630012765821,6.517724416239907
8,N08-Pus,पुष्य,Puṣya,Bṛhaspati,Uttara,Airavati,Śarāva (Pot-lid),1,(δ) Cnc,δ Cnc,Asellus Australis,HIP  42911,δ Cnc,93.32999999999998,93.334,30.0,83.91803422735819,97.09836185613182,94.72593464965155,-0.019684431242480923,80.44069596123465,-0.0748901865326733
9,N09-Asl,आश्लेषा,Āśleṣā,Sarpa,Uttara,Airavati,Snake Head/Flag,6,"(δ,ε,ζ,η,ρ,σ) Hya",ζ Hya,Minazal V,HIP 43813,ζ Hya,106.67000000000002,106.667,15.0,97.09836185613187,103.68852567051869,100.71232137773403,-11.182156595752598,86.48095558981872,-11.287644015307544
10,N10-Mag,मघा,Maghā,Pitṛ,Uttara,Airavati,Enclosure,6,"(α,γ1,ε,ζ,η,μ) Leo",ζ Leo,Adhafera,HIP 50335,α Leo,120.0,113.334,30.0,103.68852567051869,116.86885329929231,113.53353527210727,11.689489468184837,99.23543170863564,11.596827779944762
11,N11-PPal,पूर्वफल्गुनी,P Phalgunī,Bhaga,Madhyama,Arshabi,Half-chair,2,"(δ,θ) Leo",δ Leo,Zosma,HIP  54872,δ Leo,133.32999999999998,126.667,30.0,116.86885329929231,130.04918092806594,127.14431744119214,14.256519785866598,112.78615336364709,14.203346903334795
12,N12-UPal,उत्तरफल्गुनी,U Phalgunī,Aryaman,Madhyama,Arshabi,Half-chair,2,"(93,β) Leo",β Leo,Denebola,HIP  57632,β Leo,146.67,140.0,45.0,130.04918092806594,149.81967237122637,137.86637868519074,12.430517163814846,123.68463959447138,12.48010106373658
13,N13-Has,हस्त,Hasta,Savitṛ,Dakshina,Mrga,Hasta (hand),5,"(α,β,γ,δ,ε) Crv",δ Crv,Algorab,HIP  60965,γ Crv,160.0,160.0,30.0,149.81967237122637,163.0,159.64780318750468,-11.97496619554283,145.4445386880926,-11.900503828162538
14,N14-Chi,चित्रा,Citrā,Tvaṣṭṛ,Dakshina,Mrga,Madhupuṣpa (Flower),1,(α) Vir,α Vir,Spica,HIP  65474,α Vir,173.33,173.334,30.0,163.0,176.18032762877363,169.9080929574363,-1.893468130385891,155.64954313930434,-1.8431464990514725
15,N15-Swa,स्वाती,Svātī,Vāyu,Uttara,Naga,Kīlaka (Wedge),1,(α) Boo,α Boo,Arcturus,HIP  69673,α Boo,186.67,186.667,15.0,176.18032762877363,182.77049144316044,170.1260458041574,32.51398285487737,155.78010791814998,33.25748237600687
16,N16-Vis,विशाखे,Viśākhā,Indrāgnī,Dakshina,Ajaavika,Divider Rope,2,"(α1,α2) Lib",α2 Lib,Zubenelgenubi,HIP 72622,α Lib,200.0,193.334,45.0,182.77049144316044,202.54098288632088,191.1747917834378,0.6261255099794254,176.92633375283796,0.7372322223462283
17,N17-Anu,अनूराधा,Anūrādhā,Mitra,Dakshina,Ajaavika,Necklace,4,"(β1,δ,π,ω1) Sco",δ Sco,Dschubba,HIP  78401,δ Sco,213.33,213.334,30.0,202.5409828863209,215.72131051509453,208.6135999037393,-1.6688318428099915,194.34495915936643,-1.5422812757341757
18,N18-Jye,ज्येष्ठा,Jyeṣṭhā,Indra,Dakshina,Vaishvaanari,Elephant Tusk,3,"(α,ε,σ,(τ)) Sco",ε Sco,Larawag,HIP  82396,α Sco,226.67,226.667,15.0,215.72131051509453,222.31147432948134,221.7449659600233,-11.093934154437534,207.63390304300643,-10.824442872798654
