nid	naks	gname	lon	lat	year	date	jd
N01-Ash	अश्विनी	α Ari	0.118	9.894	-700	-0700-12-31T06:00:00	1465747.534468
N01-Ash	अश्विनी	γ Ari	0.537	7.070	-350	-0350-12-31T18:00:00	1593585.034468
N01-Ash	अश्विनी	β Ari	0.625	8.399	-400	-0400-12-31T06:00:00	1575322.534468
N01-Ash	अश्विनी	α Ari	0.809	9.895	-650	-0650-12-31T18:00:00	1484010.034468
N01-Ash	अश्विनी	γ Ari	1.228	7.070	-250	-0250-12-31T18:00:00	1630110.034468
N01-Ash	अश्विनी	γ Ari	1.228	7.071	-300	-0300-12-31T06:00:00	1611847.534468
N01-Ash	अश्विनी	β Ari	1.316	8.401	-350	-0350-12-31T18:00:00	1593585.034468
N01-Ash	अश्विनी	α Ari	1.501	9.896	-600	-0600-12-31T06:00:00	1502272.534468
N01-Ash	अश्विनी	γ Ari	1.920	7.073	-250	-0250-12-31T18:00:00	1630110.034468
N01-Ash	अश्विनी	γ Ari	12.312	7.098	500	0500-12-31T06:00:00	1904047.534468
N01-Ash	अश्विनी	β Ari	13.093	8.427	500	0500-12-31T06:00:00	1904047.534468
N01-Ash	अश्विनी	α Ari	13.282	9.913	250	0250-12-31T18:00:00	1812735.034468
N01-Ash	अश्विनी	γ Ari	15.783	7.107	750	0750-12-31T18:00:00	1995360.034468
N01-Ash	अश्विनी	β Ari	16.566	8.436	750	0750-12-31T18:00:00	1995360.034468
N01-Ash	अश्विनी	α Ari	16.755	9.919	500	0500-12-31T06:00:00	1904047.534468
N01-Ash	अश्विनी	β Ari	2.008	8.401	-250	-0250-12-31T18:00:00	1630110.034468
N01-Ash	अश्विनी	β Ari	2.008	8.402	-300	-0300-12-31T06:00:00	1611847.534468
N01-Ash	अश्विनी	α Ari	2.193	9.897	-550	-0550-12-31T18:00:00	1520535.034468
N01-Ash	अश्विनी	β Ari	2.700	8.403	-250	-0250-12-31T18:00:00	1630110.034468
N01-Ash	अश्विनी	α Ari	2.885	9.898	-500	-0500-12-31T06:00:00	1538797.534468
N01-Ash	अश्विनी	α Ari	20.233	9.925	750	0750-12-31T18:00:00	1995360.034468
N01-Ash	अश्विनी	α Ari	3.577	9.899	-450	-0450-12-31T18:00:00	1557060.034468
N01-Ash	अश्विनी	γ Ari	330.934	7.029	-2500	-2500-12-31T06:00:00	808297.534468
N01-Ash	अश्विनी	β Ari	331.710	8.365	-2500	-2500-12-31T06:00:00	808297.534468
N01-Ash	अश्विनी	γ Ari	334.364	7.031	-2250	-2250-12-31T18:00:00	899610.034468
N01-Ash	अश्विनी	β Ari	335.140	8.367	-2250	-2250-12-31T18:00:00	899610.034468
N01-Ash	अश्विनी	α Ari	335.313	9.883	-2500	-2500-12-31T06:00:00	808297.534468
N01-Ash	अश्विनी	γ Ari	337.797	7.034	-2000	-2000-12-31T06:00:00	990922.534468
N01-Ash	अश्विनी	β Ari	338.573	8.369	-2000	-2000-12-31T06:00:00	990922.534468
N01-Ash	अश्विनी	α Ari	338.748	9.882	-2250	-2250-12-31T18:00:00	899610.034468
N01-Ash	अश्विनी	γ Ari	341.233	7.038	-1750	-1750-12-31T18:00:00	1082235.034468
N01-Ash	अश्विनी	β Ari	342.010	8.372	-1750	-1750-12-31T18:00:00	1082235.034468
N01-Ash	अश्विनी	α Ari	342.186	9.883	-2000	-2000-12-31T06:00:00	990922.534468
N01-Ash	अश्विनी	γ Ari	344.672	7.042	-1500	-1500-12-31T06:00:00	1173547.534468
N01-Ash	अश्विनी	γ Ari	345.360	7.043	-1450	-1450-12-31T18:00:00	1191810.034468
N01-Ash	अश्विनी	β Ari	345.449	8.376	-1500	-1500-12-31T06:00:00	1173547.534468
N01-Ash	अश्विनी	α Ari	345.628	9.884	-1750	-1750-12-31T18:00:00	1082235.034468
N01-Ash	अश्विनी	γ Ari	346.048	7.044	-1400	-1400-12-31T06:00:00	1210072.534468
N01-Ash	अश्विनी	β Ari	346.138	8.377	-1450	-1450-12-31T18:00:00	1191810.034468
N01-Ash	अश्विनी	γ Ari	346.737	7.045	-1350	-1350-12-31T18:00:00	1228335.034468
N01-Ash	अश्विनी	β Ari	346.826	8.378	-1400	-1400-12-31T06:00:00	1210072.534468
N01-Ash	अश्विनी	γ Ari	347.426	7.046	-1300	-1300-12-31T06:00:00	1246597.534468
N01-Ash	अश्विनी	β Ari	347.515	8.379	-1350	-1350-12-31T18:00:00	1228335.034468
N01-Ash	अश्विनी	γ Ari	348.114	7.047	-1250	-1250-12-31T18:00:00	1264860.034468
N01-Ash	अश्विनी	β Ari	348.204	8.379	-1300	-1300-12-31T06:00:00	1246597.534468
N01-Ash	अश्विनी	γ Ari	348.803	7.048	-1200	-1200-12-31T06:00:00	1283122.534468
