nid	naks	gname	lon	lat	ra	dec	year	date	jd
N01-Ash	अश्विनी	β Ari	331.710	8.365	-29.233	-3.302	-2500	-2500-12-31T06:00:00	808297.534468
N01-Ash	अश्विनी	α Ari	335.313	9.883	-26.469	-0.594	-2500	-2500-12-31T06:00:00	808297.534468
N01-Ash	अश्विनी	γ Ari	330.934	7.029	-29.474	-4.824	-2500	-2500-12-31T06:00:00	808297.534468
N02-Bha	भरणी	* 41 Ari	345.995	10.207	-16.873	3.734	-2500	-2500-12-31T06:00:00	808297.534468
N02-Bha	भरणी	* 35 Ari	344.769	10.930	-18.269	3.924	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	η Tau	357.761	3.623	-3.518	2.401	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	* 17 Tau	357.181	3.769	-4.107	2.299	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	* 19 Tau	357.336	4.095	-4.097	2.660	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	* 20 Tau	357.449	3.965	-3.942	2.587	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	* 23 Tau	357.469	3.533	-3.748	2.201	-2500	-2500-12-31T06:00:00	808297.534468
N03-Kri	क्रित्तिका	* 27 Tau	358.124	3.489	-3.132	2.426	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	α Tau	7.471	-5.754	9.153	-2.238	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	γ Tau	3.386	-6.200	5.613	-4.291	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	δ Tau	4.473	-4.438	5.886	-2.241	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	ε Tau	6.078	-3.035	6.784	-0.310	-2500	-2500-12-31T06:00:00	808297.534468
N04-Roh	रोहिणी	θ2 Tau	5.553	-6.315	7.633	-3.522	-2500	-2500-12-31T06:00:00	808297.534468
N05-Mrg	मृगशीर्ष	λ Ori	21.429	-13.957	25.037	-4.377	-2500	-2500-12-31T06:00:00	808297.534468
N05-Mrg	मृगशीर्ष	γ Ori	18.662	-17.383	23.887	-8.564	-2500	-2500-12-31T06:00:00	808297.534468
N06-Ard	आर्द्रा	γ Gem	36.833	-7.275	36.840	7.234	-2500	-2500-12-31T06:00:00	808297.534468
N07-Pun	पुनर्वसू	β Gem	51.697	6.458	47.273	24.810	-2500	-2500-12-31T06:00:00	808297.534468
N07-Pun	पुनर्वसू	α Gem	48.153	9.785	42.466	26.973	-2500	-2500-12-31T06:00:00	808297.534468
