nid	naks	gname	lon	lat	ra	dec	size	mag	year	date	jd
N01-Ash	अश्विनी	β Ari	345.449	8.376	-16.642	1.870	0	2.600	-1500	-1500-12-31T06:00:00	1173547.534468
N01-Ash	अश्विनी	α Ari	349.072	9.885	-13.949	4.670	0	2.000	-1500	-1500-12-31T06:00:00	1173547.534468
N01-Ash	अश्विनी	γ Ari	344.672	7.042	-16.830	0.341	0	4.500	-1500	-1500-12-31T06:00:00	1173547.534468
N02-Bha	भरणी	* 41 Ari	359.722	10.248	-4.437	9.251	0	3.600	-1500	-1500-12-31T06:00:00	1173547.534468
N02-Bha	भरणी	* 39 Ari	359.823	12.311	354.793	11.172	0	4.500	-1500	-1500-12-31T06:00:00	1173547.534468
N02-Bha	भरणी	* 35 Ari	358.487	11.002	-5.873	9.441	0	4.650	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	η Tau	11.495	3.709	9.045	8.026	0	2.850	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	* 17 Tau	10.915	3.853	8.451	7.926	0	3.700	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	* 19 Tau	11.069	4.179	8.462	8.287	0	4.300	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	* 20 Tau	11.183	4.050	8.619	8.214	0	3.850	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	* 23 Tau	11.203	3.618	8.812	7.826	0	4.100	-1500	-1500-12-31T06:00:00	1173547.534468
N03-Kri	क्रित्तिका	* 27 Tau	11.858	3.575	9.435	8.049	0	3.600	-1500	-1500-12-31T06:00:00	1173547.534468
N04-Roh	रोहिणी	α Tau	21.227	-5.697	21.728	3.154	0	0.850	-1500	-1500-12-31T06:00:00	1173547.534468
N04-Roh	रोहिणी	γ Tau	17.165	-6.104	18.147	1.233	0	3.650	-1500	-1500-12-31T06:00:00	1173547.534468
N04-Roh	रोहिणी	δ Tau	18.246	-4.341	18.460	3.275	0	3.750	-1500	-1500-12-31T06:00:00	1173547.534468
N04-Roh	रोहिणी	ε Tau	19.848	-2.938	19.401	5.184	0	3.500	-1500	-1500-12-31T06:00:00	1173547.534468
