nid,nnid,tag,gname,sname,hip,naks,enaks,daivata
N01-Ash,1,rep,β Ari,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini
N01-Ash,1,other,α Ari,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini
N01-Ash,1,other,γ Ari,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini
N02-Bha,2,rep,* 41 Ari,Bharani,HIP 13209,भरणी,Bharaṇī,Yama
N02-Bha,2,other,* 39 Ari,39Ari,HIP 13061,भरणी,Bharaṇī,Yama
N02-Bha,2,other,* 35 Ari,Barani II,HIP 12719,भरणी,Bharaṇī,Yama
N03-Kri,3,rep,η Tau,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni
N03-Kri,3,other,* 17 Tau,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni
N03-Kri,3,other,* 19 Tau,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni
N03-Kri,3,other,* 20 Tau,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni
N03-Kri,3,other,* 23 Tau,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni
N03-Kri,3,other,* 27 Tau,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni
N04-Roh,4,rep,α Tau,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati
N04-Roh,4,other,γ Tau,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati
N04-Roh,4,other,δ Tau,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati
N04-Roh,4,other,ε Tau,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati
N04-Roh,4,other,θ2 Tau,Chamukuy,HIP 20894,रोहिणी,Rohiṇī,Prajāpati
N05-Mrg,5,rep,λ Ori,Meissa(Heka),HIP 26207,मृगशीर्ष,Mṛgaśira,Soma
N05-Mrg,5,other,γ Ori,Bellatrix,HIP 25336,मृगशीर्ष,Mṛgaśira,Soma
N05-Mrg,5,other,α Ori,Betelgeuse,HIP 27989,मृगशीर्ष,Mṛgaśira,Soma
N06-Ard,6,rep,γ Gem,Alhena(Almeisan),HIP 31681,आर्द्रा,Ārdrā,Rudra
N07-Pun,7,rep,β Gem,Pollux,HIP 37826,पुनर्वसू,Punarvasu,Aditi
N07-Pun,7,other,α Gem,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi
N08-Pus,8,rep,δ Cnc,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati
N09-Asl,9,rep,ζ Hya,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa
N09-Asl,9,other,δ Hya,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa
N09-Asl,9,other,ε Hya,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa
N09-Asl,9,other,η Hya,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa
N09-Asl,9,other,ρ Hya,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa
N09-Asl,9,other,σ Hya,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa
N10-Mag,10,rep,ζ Leo,Adhafera,HIP 50335,मघा,Maghā,Pitṛ
N10-Mag,10,other,α Leo,Regulus,HIP 49669,मघा,Maghā,Pitṛ
N10-Mag,10,other,γ Leo,Algieba,HIP 50583,मघा,Maghā,Pitṛ
N10-Mag,10,other,ε Leo,Algenubi,HIP 47908,मघा,Maghā,Pitṛ
N10-Mag,10,other,η Leo,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ
N10-Mag,10,other,μ Leo,Rasalas,HIP 48455,मघा,Maghā,Pitṛ
N11-PPal,11,rep,δ Leo,Zosma,HIP 54872,पूर्वफल्गुनी,P Phalgunī,Bhaga
