nid,naks,gname,sname,hip
N03-Kri,क्रित्तिकाः,* eta Tau,Alcyone,HIP 17702
N03-Kri,क्रित्तिकाः,* 17 Tau,Electra,HIP 17499
N03-Kri,क्रित्तिकाः,* 19 Tau,Taygeta,HIP 17531
N03-Kri,क्रित्तिकाः,* 20 Tau,Maia,HIP 17573
N03-Kri,क्रित्तिकाः,* 23 Tau,Merope,HIP 17608
N03-Kri,क्रित्तिकाः,* 27 Tau,Atlas,HIP 17847
N04-Roh,रोहिणी,* alf Tau,Aldebaran,HIP 21421
N04-Roh,रोहिणी,* gam Tau,Prima Hyadum,HIP 20205
N04-Roh,रोहिणी,* del Tau,Secunda Hyadum,HIP 20455
N04-Roh,रोहिणी,* eps Tau,Ain,HIP 20889
N04-Roh,रोहिणी,* tet2 Tau,Chamukuy,HIP 20894
N06-Mrg,मृगशीर्षः,* alf Ori,Betelgeuse,HIP 27989
N05-Mrg,मृगशीर्षः,* gam Ori,Bellatrix,HIP 25336
N05-Mrg,मृगशीर्षः,* lam Ori,Heka,HIP 26207
N06-Ard,आर्द्रा,* gam Gem,Alhena,HIP 31681
N07-Pun,पुनर्वसू,* bet Gem,Pollux,HIP 37826
N07-Pun,पुनर्वसू,* alf Gem,Castor,HIP 36850
N08-Pus,पुष्यः,* del Cnc,Asellus Australis,HIP 42911
N09-Asl,आश्लेषः,* del Hya,Minazal I,HIP 42313
N09-Asl,आश्लेषः,* sig Hya,Minchir,HIP 42402
N09-Asl,आश्लेषः,* eta Hya,Minazal II,HIP 42799
N09-Asl,आश्लेषः,* eps Hya,Ashlesha,HIP 43109
N09-Asl,आश्लेषः,* rho Hya,Minazal IV,HIP 43234
N09-Asl,आश्लेषः,* zet Hya,Minazal V,HIP 43813
N10-Mag,मघाः,* alf Leo,Regulus,HIP 49669
N10-Mag,मघाः,* eps Leo,Algenubi,HIP 47908
N10-Mag,मघाः,* mu Leo,Rasalas,HIP 48455
N10-Mag,मघाः,* eta Leo,Al Jabah,HIP 49583
N10-Mag,मघाः,* zet Leo,Adhafera,HIP 50335
N10-Mag,मघाः,* gam Leo,Algieba,HIP 50583
N11-PPal,पूर्वफल्गुनी,* del Leo,Zosma,HIP 54872
N11-PPal,पूर्वफल्गुनी,* tet Leo,Chertan,HIP 54879
N12-UPal,उत्तरफल्गुनी,* bet Leo,Denebola,HIP 57632
N12-UPal,उत्तरफल्गुनी,* 93 Leo,93Leo,HIP 57565
N13-Has,हस्तः,* del Crv,Algorab,HIP 60965
N13-Has,हस्तः,* alf Crv,Alchiba,HIP 59199
N13-Has,हस्तः,* eps Crv,Minkar,HIP 59316
N13-Has,हस्तः,* gam Crv,Gienah,HIP 59803
N13-Has,हस्तः,* bet Crv,Kraz,HIP 61359
N14-Chi,चित्रा,* alf Vir,Spica,HIP 65474
N15-Swa,स्वाती,* alf Boo,Arcturus,HIP 69673
N16-Vis,विशाखे,* alf2 Lib,Zubenelgenubi,HIP 72622
N16-Vis,विशाखे,* bet Lib,Zubeneschamali,HIP 74785
N17-Anu,अनूराधा,* del Sco,Dschubba,HIP 78401
N17-Anu,अनूराधा,* pi Sco,Fang,HIP 78265
N17-Anu,अनूराधा,* bet Sco,Acrab,HIP 78820
N17-Anu,अनूराधा,* ome1 Sco,Jabhat Acrabi I,HIP 78933
