gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,65,1136736.55,-1600-03-06 01:15:59.519,92.46,7.07
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,67,1136738.55,-1600-03-08 01:13:28.016,89.31,7.12
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,66,1136737.55,-1600-03-07 01:14:54.589,94.25,7.15
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,78,1136749.54,-1600-03-19 00:59:45.571,84.31,7.54
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,75,1136746.54,-1600-03-16 01:03:22.004,81.96,7.25
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,75,1136746.54,-1600-03-16 01:03:22.004,83.79,7.20
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,99,1136770.52,-1600-04-09 00:33:03.968,85.62,7.52
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,98,1136769.52,-1600-04-08 00:34:08.898,85.65,7.37
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,98,1136769.52,-1600-04-08 00:34:08.898,85.33,7.53
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,98,1136769.52,-1600-04-08 00:34:08.898,85.32,7.36
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,98,1136769.52,-1600-04-08 00:34:08.898,85.57,7.00
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,99,1136770.52,-1600-04-09 00:33:03.968,85.42,7.19
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,121,1136792.51,-1600-05-01 00:08:32.224,91.35,7.60
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,117,1136788.51,-1600-04-27 00:12:30.301,93.21,7.30
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,116,1136787.51,-1600-04-26 00:13:35.230,90.91,7.38
