nid	gname	raJ2000	decJ2000	lonJ2000	latJ2000	hr_daynum_kuru_1550	hr_daynum_kuru_1600	hr_daynum_kuru_1650	hr_daynum_kuru_1700	hr_daynum_kuru_1750	hr_daynum_kuru_1800
N01-Ash	β Ari	28.66	20.81	33.97	8.49	65	65	65	64	63	62
N01-Ash	α Ari	31.79	23.46	37.66	9.97	67	67	66	66	65	64
N01-Ash	γ Ari	28.38	19.29	33.18	7.16	66	66	66	65	64	63
N02-Bha	* 41 Ari	42.50	27.26	48.20	10.45	77	78	77	76	75	74
N02-Bha	* 39 Ari	41.98	29.25	48.37	12.48	75	75	74	73	73	72
N02-Bha	* 35 Ari	40.86	27.71	46.93	11.31	75	75	74	74	73	72
N03-Kri	η Tau	56.87	24.11	59.99	4.05	98	99	98	97	96	95
N03-Kri	* 17 Tau	56.22	24.11	59.41	4.19	98	98	97	96	95	95
N03-Kri	* 19 Tau	56.30	24.47	59.57	4.52	97	98	97	96	95	94
N03-Kri	* 20 Tau	56.46	24.37	59.68	4.39	98	98	97	96	95	95
N03-Kri	* 23 Tau	56.58	23.95	59.70	3.96	98	98	98	97	96	95
N03-Kri	* 27 Tau	57.29	24.05	60.36	3.92	99	99	98	98	97	96
N04-Roh	α Tau	68.98	16.51	69.79	-5.47	120	121	120	119	118	118
N04-Roh	γ Tau	64.95	15.63	65.81	-5.73	117	117	116	115	115	114
N04-Roh	δ Tau	65.73	17.54	66.87	-3.97	116	116	115	114	114	113
N04-Roh	ε Tau	67.15	19.18	68.47	-2.57	115	116	115	114	113	113
N04-Roh	θ2 Tau	67.17	15.87	67.96	-5.84	119	119	118	118	117	116
N05-Mrg	λ Ori	83.78	9.93	83.71	-13.37	142	142	141	141	140	139
N05-Mrg	γ Ori	81.28	6.35	80.95	-16.82	143	143	142	142	141	141
N05-Mrg	α Ori	88.79	7.41	88.76	-16.03	149	149	148	148	147	146
N06-Ard	γ Gem	99.43	16.40	99.11	-6.74	149	150	149	148	147	147
N07-Pun	β Gem	116.33	28.03	113.22	6.68	151	152	151	150	149	148
N07-Pun	α Gem	113.65	31.89	110.24	10.10	145	145	144	143	142	142
N08-Pus	δ Cnc	131.17	18.15	128.72	0.08	172	173	172	171	170	170
