az	alt	naks	yr	JD	DT
90.52	0.13	Ashwini	-2500	807931.74	-2501-12-31T11:00:24
86.11	0.24	Bharani	-2500	807931.77	-2501-12-31T11:35:13
87.66	0.92	Krittika	-2500	807931.81	-2501-12-31T12:32:57
92.13	-0.16	Rohini	-2500	807931.84	-2501-12-31T13:22:33
94.41	0.16	Mrigashirisham	-2500	807931.89	-2501-12-31T14:29:28
95.14	0.27	Thiruvadarai	-2500	807931.9	-2501-12-31T14:52:37
64.59	0.81	Punarpasu	-2500	807931.93	-2501-12-31T15:33:03
67.68	0.52	Pushyam	-2500	807931.98	-2501-12-31T16:43:31
78.16	0.35	Ayilyam	-2500	807932.01	-2501-12-31T17:24:57
65.15	0.29	Makam	-2500	807932.04	-2501-12-31T18:12:20
51.22	1.01	Pooram	-2500	807932.07	-2501-12-31T18:50:53
56.03	0.59	Uttiram	-2500	807932.08	-2501-12-31T19:04:40
83.41	0.2	Hastam	-2500	807932.17	-2501-12-31T21:21:22
76.68	0.23	Chitrai	-2500	807932.21	-2501-12-31T22:06:20
42.49	0.73	Swati	-2500	807932.22	-2501-12-31T22:30:12
82.15	0.5	Vishakam	-2500	807932.27	-2501-12-31T23:36:58
91.41	0.26	Anusham	-2500	807932.32	-2500-01-01T00:44:17
96.77	0.08	Kettai	-2500	807932.33	-2500-01-01T01:10:25
111.37	-0.24	Moolam	-2500	807932.37	-2500-01-01T02:02:33
112.86	-0.12	Pooradam	-2500	807932.4	-2500-01-01T02:50:25
108.1	-0.18	Uttiradam	-2500	807932.43	-2500-01-01T03:24:56
81.21	0.21	Thiruvonam	-2500	807932.48	-2500-01-01T04:46:46
79.34	-0.27	Avittam	-2500	807932.52	-2500-01-01T05:41:26
109.72	0.11	Shatayam	-2500	807931.6	-2501-12-31T07:35:37
92.92	0.43	Poorattadi	-2500	807931.63	-2501-12-31T08:10:43
82.46	0.46	Uttiratadi	-2500	807931.67	-2501-12-31T09:11:17
111.87	-0.14	Revati	-2500	807931.75	-2501-12-31T11:16:01
45.33	-1.47	Abhijit	-2500	807932.45	-2500-01-01T03:51:38
87.88	0.17	Ashwini	-2000	990556.75	-2001-12-31T11:08:27
83.34	0.37	Bharani	-2000	990556.77	-2001-12-31T11:43:20
84.59	0.26	Krittika	-2000	990556.81	-2001-12-31T12:37:26
