nid,gname,mag,localdt,jd,epoch,year,month,daynum,daynum_utryn,daynum_dksyn,sun_alt,sun_az,sun_lon,sun_lat,alt,az,ra,dec,lon,lat
N01-Ash,β Ari,2.6,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-41.78111052551186,52.4802007814288,349.7087031248694,4.516449866914278,352.38815995135434,8.277345823747428
N01-Ash,α Ari,2.0,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-41.56386571811665,47.22180775876691,352.4775575938312,7.32422462860942,356.0874065233747,9.733900437244412
N01-Ash,γ Ari,4.5,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-42.72770919997696,54.1155957830565,349.5171286526109,2.9919403807172302,351.59504215692897,6.957061554203976
N02-Bha,* 41 Ari,3.6,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-43.11819783323147,33.31166933855911,1.9068940263486869,11.959691375713327,6.6233299040380365,10.162942284173685
N02-Bha,* 39 Ari,4.5,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-41.110177805180015,32.836864954038504,1.2095033649383988,13.881501773581762,6.797936927016722,12.194358897145516
N02-Bha,* 35 Ari,4.65,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-42.123932603991456,34.86720988097968,0.38383087989273956,12.243252493526375,5.360316042679374,11.033182453859755
N03-Kri,η Tau,2.85,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-49.26934621307319,16.1653345707246,15.441183486789033,10.733521356441662,18.377070775180975,3.7132108803695902
N03-Kri,* 17 Tau,3.7,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-49.21217142023168,17.07318536099215,14.843213000908113,10.63742206112237,17.79731200392045,3.854281030959024
N03-Kri,* 19 Tau,4.3,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-48.86636736629178,16.90982811518346,14.856539549897237,10.999154897031298,17.951278599450617,4.1820767474084635
N03-Kri,* 20 Tau,3.85,-1000-01-01T07:26:01.924,1355817.5805778224,-1000,-1000,1,1,13,193,-0.0059220738150958,116.80823691570824,281.4398905761596,-0.0006980958695626,-48.97765019608761,16.709349779348535,15.015443700514043,10.925712983384786,18.066431530106456,4.053456368585992
