local,jd,alt,az,raJ2000,decJ2000,lon,lat,year,month,daynum,daynum_utryn,daynum_dksyn
-1750-01-01T07:27:06.854,1081885.5813293252,-0.018108314813972484,116.8931074880219,335.4896781427226,-10.469790781315375,281.51524104045427,-0.0007492145913800019,-1750,1,1.0,13.0,192.0
-1750-01-02T07:27:28.497,1081886.5815798263,0.02115267524856414,116.80893581176412,336.43626210096323,-10.098314674545666,282.51800721316005,-0.0006008078219800992,-1750,1,2.0,14.0,193.0
-1750-01-03T07:27:28.497,1081887.5815798263,-0.004741986616248678,116.67616055513147,337.3799520663853,-9.724415893745858,283.5200420652974,-0.0004438654029934275,-1750,1,3.0,15.0,194.0
-1750-01-04T07:27:28.497,1081888.5815798263,-0.02519147771446904,116.53813778635048,338.3210474943506,-9.348119624325458,284.5215799393576,-0.0002793944958300398,-1750,1,4.0,16.0,195.0
-1750-01-05T07:27:50.140,1081889.5818303274,0.030717245487559688,116.43820740642825,339.2598454662702,-8.96944915207514,285.52285146010195,-0.00010869192403038554,-1750,1,5.0,17.0,196.0
-1750-01-06T07:27:50.140,1081890.5818303274,0.02141805345020879,116.29000610366681,340.19593871641763,-8.588712766113897,286.5233331700012,6.659492159249476e-05,-1750,1,6.0,18.0,197.0
-1750-01-07T07:27:50.140,1081891.5818303274,0.017728981181600496,116.13688781323413,341.1296266392508,-8.20593442725838,287.52325335974757,0.00024480374307796513,-1750,1,7.0,19.0,198.0
-1750-01-08T07:27:50.140,1081892.5818303274,0.01969798133911372,115.97896421691554,342.0609745402995,-7.821232296474408,288.52259006851267,0.000424164747191145,-1750,1,8.0,20.0,199.0
-1750-01-09T07:27:50.140,1081893.5818303274,0.02736925922262552,115.81634758787268,342.9900493157758,-7.434723937823688,289.52132287774606,0.0006029128409417558,-1750,1,9.0,21.0,200.0
-1750-01-10T07:27:28.497,1081894.5815798263,-0.03055857992267559,115.60591773592172,343.91668774226304,-7.046623550247026,290.51918369024696,0.0007793035420466703,-1750,1,10.0,22.0,201.0
-1750-01-11T07:27:28.497,1081895.5815798263,-0.011470711007946029,115.4342424732332,344.8414247818298,-6.656852387906855,291.5166571221876,0.0009518394339498863,-1750,1,11.0,23.0,202.0
-1750-01-12T07:27:28.497,1081896.5815798263,0.013423923820348047,115.25820837747408,345.7641005862797,-6.265622124563527,292.5134805011471,0.0011190484751295155,-1750,1,12.0,24.0,203.0
-1750-01-13T07:27:06.854,1081897.5813293252,-0.02753222499832615,115.03469626894586,346.68455939385854,-5.873144648474403,293.5093946571154,0.0012796628761476028,-1750,1,13.0,25.0,204.0
-1750-01-14T07:27:06.854,1081898.5813293252,0.008939406730225733,114.85026009660083,347.60333914887633,-5.479335277845293,294.5048916901931,0.001432770824706211,-1750,1,14.0,26.0,205.0
-1750-01-15T07:26:45.210,1081899.5810788244,-0.020649824559775796,114.61856326249715,348.5200583552681,-5.084501772354512,295.4994684458498,0.0015775737683847437,-1750,1,15.0,27.0,206.0
-1750-01-16T07:26:45.210,1081900.5810788244,0.027453565124394085,114.42615557355231,349.43525760897666,-4.6885550869404415,296.4936212880491,0.0017137285900705025,-1750,1,16.0,28.0,207.0
-1750-01-17T07:26:23.567,1081901.5808283233,0.009258621181989458,114.18668794158253,350.3485622547649,-4.291800451465857,297.4868521401416,0.0018411034105851663,-1750,1,17.0,29.0,208.0
-1750-01-18T07:26:01.924,1081902.5805778224,-0.0033125809453648384,113.94349125111387,351.26028876407486,-3.8942434044337846,298.4794116552095,0.0019600806637310505,-1750,1,18.0,30.0,209.0
-1750-01-19T07:25:40.281,1081903.5803273213,-0.01027195804613634,113.6966612545235,352.1705278802481,-3.4959859364843253,299.4713022867072,0.0020714828289337297,-1750,1,19.0,31.0,210.0
-1750-01-20T07:25:18.637,1081904.5800768202,-0.011637689374651516,113.44629085491569,353.0793746844247,-3.0971270780757427,300.46252699527065,0.0021766528045181793,-1750,1,20.0,32.0,211.0
-1750-01-21T07:24:56.994,1081905.5798263194,-0.007433887572881022,113.19246898204065,353.9869289241641,-2.697762730089558,301.4530896445778,0.002277444870622469,-1750,1,21.0,33.0,212.0
-1750-01-22T07:24:35.351,1081906.5795758183,0.0023101920050727603,112.93527957543077,354.89329474490916,-2.2979858586322552,302.44299675444285,0.0023761317788566663,-1750,1,22.0,34.0,213.0
-1750-01-23T07:24:13.707,1081907.5793253174,0.017561184233946363,112.67480133394831,355.79857961337035,-1.8978871594375024,303.432260222936,0.0024752211708506154,-1750,1,23.0,35.0,214.0
-1750-01-24T07:23:30.421,1081908.5788243152,-0.03489806583128781,112.3678916984939,356.70266600760476,-1.4976564750614063,304.4206515519849,0.0025771804723945385,-1750,1,24.0,36.0,215.0
-1750-01-25T07:23:08.778,1081909.5785738144,-0.008886073328766076,112.10104555222208,357.60611532422644,-1.0971827762651276,305.40869154409717,0.0026842770324155027,-1750,1,25.0,37.0,216.0
-1750-01-26T07:22:47.134,1081910.5783233133,0.022516845216196745,111.83113088479843,358.5088063777137,-0.6966572009745863,306.3961598709815,0.0027982081737022175,-1750,1,26.0,38.0,217.0
-1750-01-27T07:22:03.848,1081911.5778223113,-0.014356365793110216,111.5150013381536,359.41061466266075,-0.2962729546859773,307.38283363345226,0.0029200417641323043,-1750,1,27.0,39.0,218.0
-1750-01-28T07:21:42.204,1081912.5775718102,0.02756179269438641,111.23917130793593,0.31208901969706726,0.10407550512273533,308.36922474576727,0.00305028828743486,-1750,1,28.0,40.0,219.0
-1750-01-29T07:20:58.918,1081913.5770708083,0.0008163087425446179,110.9172903623949,1.2128700253280176,0.5040902598647419,309.3548479350269,0.003188737789680968,-1750,1,29.0,41.0,220.0
-1750-01-30T07:20:15.631,1081914.5765698063,-0.021009795009711524,110.5926680249568,2.1132720388995487,0.9037725530730958,310.3399518215073,0.003334784546312024,-1750,1,30.0,42.0,221.0
-1750-01-31T07:19:53.988,1081915.5763193052,0.03628701373742407,110.30860170581647,3.013605793726485,1.3031218950614976,311.32477846968817,0.0034874477769135663,-1750,1,31.0,43.0,222.0
-1750-02-01T07:19:10.701,1081916.5758183033,0.02432793952598953,109.97875174915507,3.9135026330442697,1.7018366306770853,312.308825411075,0.0036453456702026095,-1750,2,32.0,44.0,223.0
-1750-02-02T07:18:27.415,1081917.5753173013,0.01715507805309794,109.64642672104871,4.813268487519068,2.0999146652687193,313.2923276973261,0.0038070054321858145,-1750,2,33.0,45.0,224.0
-1750-02-03T07:17:44.128,1081918.5748162994,0.014721854632424192,109.3117158566678,5.712981819401305,2.4972533343857437,314.2752719092165,0.003970780939192519,-1750,2,34.0,46.0,225.0
-1750-02-04T07:17:00.842,1081919.5743152972,0.01698007264511953,108.97470825826134,6.612719513221335,2.8937497400648557,315.2576439457428,0.004134955876689551,-1750,2,35.0,47.0,226.0
-1750-02-05T07:16:17.555,1081920.5738142952,0.023879735509052036,108.63549252315852,7.512557083387078,3.2893009390130787,316.23942982511505,0.004297807177420653,-1750,2,36.0,48.0,227.0
-1750-02-06T07:15:34.269,1081921.5733132933,0.035368874172925044,108.29415642833794,8.412568855684764,3.6838041141072417,317.2206163589054,0.004457663171452788,-1750,2,37.0,49.0,228.0
-1750-02-07T07:14:29.339,1081922.5725617902,-0.0239276021170711,107.90757373187525,9.312602491422899,4.077058309070829,318.20094603079554,0.004612915666570099,-1750,2,38.0,50.0,229.0
-1750-02-08T07:13:46.052,1081923.5720607883,-0.0035709964958664906,107.56224767777756,10.213181768322436,4.469158648646028,319.1809002846434,0.004762218406242644,-1750,2,39.0,51.0,230.0
