nid	naks	gname	lon	lat	year	date	jd
M01-Rev	रेवती	ε Psc	315.364	0.891	-2500	-2500-12-31T06:00:00	808297.534468
M02-Bha	भरणी	* 41 Ari	345.995	10.207	-2500	-2500-12-31T06:00:00	808297.534468
M03-Mrg	मृगशीर्षः	λ Ori	21.429	-13.957	-2500	-2500-12-31T06:00:00	808297.534468
M04-Pun	पुनर्वसू	β Gem	51.697	6.458	-2500	-2500-12-31T06:00:00	808297.534468
M05-Mag	मघाः	α Leo	87.901	0.163	-2500	-2500-12-31T06:00:00	808297.534468
M06-PPal	पूर्वफल्गुनी	δ Leo	98.683	14.139	-2500	-2500-12-31T06:00:00	808297.534468
M07-Chi	चित्रा	α Vir	141.644	-1.805	-2500	-2500-12-31T06:00:00	808297.534468
M08-Vis	विशाखे	α2 Lib	162.930	0.838	-2500	-2500-12-31T06:00:00	808297.534468
M09-Jye	ज्येष्ठा	α Sco	187.538	-3.995	-2500	-2500-12-31T06:00:00	808297.534468
M10-PAsh	पूर्वाषाढा	λ Sgr	214.167	-1.278	-2500	-2500-12-31T06:00:00	808297.534468
M11-Dha	धनिष्ठा	β Del	254.190	32.481	-2500	-2500-12-31T06:00:00	808297.534468
M12-PBha	पूर्वाभाद्रपदा	α Peg	291.387	19.608	-2500	-2500-12-31T06:00:00	808297.534468
M01-Rev	रेवती	ε Psc	316.049	0.892	-2450	-2450-12-31T18:00:00	826560.034468
M02-Bha	भरणी	* 41 Ari	346.680	10.208	-2450	-2450-12-31T18:00:00	826560.034468
M03-Mrg	मृगशीर्षः	λ Ori	22.115	-13.950	-2450	-2450-12-31T18:00:00	826560.034468
M04-Pun	पुनर्वसू	β Gem	52.375	6.461	-2450	-2450-12-31T18:00:00	826560.034468
M05-Mag	मघाः	α Leo	88.583	0.168	-2450	-2450-12-31T18:00:00	826560.034468
M06-PPal	पूर्वफल्गुनी	δ Leo	99.373	14.143	-2450	-2450-12-31T18:00:00	826560.034468
M07-Chi	चित्रा	α Vir	142.329	-1.806	-2450	-2450-12-31T18:00:00	826560.034468
M08-Vis	विशाखे	α2 Lib	163.615	0.833	-2450	-2450-12-31T18:00:00	826560.034468
M09-Jye	ज्येष्ठा	α Sco	188.224	-4.000	-2450	-2450-12-31T18:00:00	826560.034468
