gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,68,1209788.55,-1400-03-10 01:12:01.443,91.48,7.55
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,70,1209790.55,-1400-03-12 01:09:29.940,88.32,7.61
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,68,1209788.55,-1400-03-10 01:12:01.443,92.93,7.00
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,80,1209800.54,-1400-03-22 00:56:52.425,82.95,7.41
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,77,1209797.54,-1400-03-19 01:00:28.858,80.61,7.12
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,77,1209797.54,-1400-03-19 01:00:28.858,82.45,7.07
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,101,1209821.52,-1400-04-12 00:30:32.465,84.30,7.43
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,100,1209820.52,-1400-04-11 00:31:37.395,84.33,7.28
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,100,1209820.52,-1400-04-11 00:31:37.395,84.01,7.44
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,100,1209820.52,-1400-04-11 00:31:37.395,84.00,7.27
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,101,1209821.52,-1400-04-12 00:30:32.465,84.59,7.54
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,101,1209821.52,-1400-04-12 00:30:32.465,84.10,7.10
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,122,1209842.51,-1400-05-03 00:07:48.938,89.83,7.02
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,119,1209839.51,-1400-04-30 00:10:42.084,92.01,7.37
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,118,1209838.51,-1400-04-29 00:11:25.371,89.68,7.36
ε Tau,N04-Roh,4,other,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati,67.15,19.18,68.47,-2.57,118,1209838.51,-1400-04-29 00:11:25.371,87.54,7.42
θ2 Tau,N04-Roh,4,other,Chamukuy,HIP 20894,रोहिणी,Rohiṇī,Prajāpati,67.17,15.87,67.96,-5.84,121,1209841.51,-1400-05-02 00:08:32.224,91.10,7.18
λ Ori,N05-Mrg,5,rep,Meissa(Heka),HIP 26207,मृगशीर्ष,Mṛgaśira,Soma,83.78,9.93,83.71,-13.37,144,1209864.49,-1400-05-24 23:51:56.633,93.14,7.59
γ Ori,N05-Mrg,5,other,Bellatrix,HIP 25336,मृगशीर्ष,Mṛgaśira,Soma,81.28,6.35,80.95,-16.82,145,1209865.49,-1400-05-25 23:51:34.990,97.90,7.57
α Ori,N05-Mrg,5,other,Betelgeuse,HIP 27989,मृगशीर्ष,Mṛgaśira,Soma,88.79,7.41,88.76,-16.03,150,1209870.49,-1400-05-30 23:49:46.774,93.98,7.03
γ Gem,N06-Ard,6,rep,Alhena(Almeisan),HIP 31681,आर्द्रा,Ārdrā,Rudra,99.43,16.40,99.11,-6.74,151,1209871.49,-1400-05-31 23:49:25.130,80.57,7.07
β Gem,N07-Pun,7,rep,Pollux,HIP 37826,पुनर्वसू,Punarvasu,Aditi,116.33,28.03,113.22,6.68,154,1209874.49,-1400-06-03 23:48:41.844,62.28,7.47
α Gem,N07-Pun,7,other,Castor,HIP 36850,पुनर्वसू,Punarvasu,Aditi,113.65,31.89,110.24,10.10,147,1209867.49,-1400-05-27 23:50:51.703,58.89,7.07
δ Cnc,N08-Pus,8,rep,Asellus Australis,HIP 42911,पुष्य,Puṣya,Bṛhaspati,131.17,18.15,128.72,0.08,175,1209895.49,-1400-06-24 23:49:25.130,67.58,7.63
ζ Hya,N09-Asl,9,rep,Minazal V,HIP 43813,आश्लेषा,Āśleṣā,Sarpa,133.85,5.95,134.58,-10.97,186,1209906.50,-1400-07-05 23:53:44.850,79.53,7.04
δ Hya,N09-Asl,9,other,Minazal I,HIP 42313,आश्लेषा,Āśleṣā,Sarpa,129.41,5.70,130.31,-12.39,183,1209903.49,-1400-07-02 23:52:18.277,81.36,7.08
ε Hya,N09-Asl,9,other,Ashlesha,HIP 43109,आश्लेषा,Āśleṣā,Sarpa,131.69,6.42,132.35,-11.10,185,1209905.50,-1400-07-04 23:53:01.563,80.21,7.87
η Hya,N09-Asl,9,other,Minazal II,HIP 42799,आश्लेषा,Āśleṣā,Sarpa,130.81,3.40,132.31,-14.25,186,1209906.50,-1400-07-05 23:53:44.850,83.51,7.35
ρ Hya,N09-Asl,9,other,Minazal IV,HIP 43234,आश्लेषा,Āśleṣā,Sarpa,132.11,5.84,132.91,-11.55,185,1209905.50,-1400-07-04 23:53:01.563,80.32,7.17
σ Hya,N09-Asl,9,other,Minchir,HIP 42402,आश्लेषा,Āśleṣā,Sarpa,129.69,3.34,131.21,-14.60,185,1209905.50,-1400-07-04 23:53:01.563,83.82,7.06
ζ Leo,N10-Mag,10,rep,Adhafera,HIP 50335,मघा,Maghā,Pitṛ,154.17,23.42,147.57,11.86,188,1209908.50,-1400-07-07 23:54:28.136,54.05,7.53
α Leo,N10-Mag,10,other,Regulus,HIP 49669,मघा,Maghā,Pitṛ,152.09,11.97,149.83,0.46,196,1209916.50,-1400-07-15 23:59:09.499,67.48,7.80
γ Leo,N10-Mag,10,other,Algieba,HIP 50583,मघा,Maghā,Pitṛ,154.99,19.84,149.61,8.81,192,1209912.50,-1400-07-11 23:56:37.996,57.87,7.70
ε Leo,N10-Mag,10,other,Algenubi,HIP 47908,मघा,Maghā,Pitṛ,146.46,23.77,140.71,9.71,181,1209901.49,-1400-06-30 23:51:34.990,55.89,7.11
η Leo,N10-Mag,10,other,Al Jabah,HIP 49583,मघा,Maghā,Pitṛ,151.83,16.76,147.91,4.87,192,1209912.50,-1400-07-11 23:56:37.996,62.21,7.67
μ Leo,N10-Mag,10,other,Rasalas,HIP 48455,मघा,Maghā,Pitṛ,148.19,26.01,141.43,12.35,181,1209901.49,-1400-06-30 23:51:34.990,53.21,7.73
