nid	Marga	Veethi
N01-Ash	Madhyama	Go
N02-Bha	Uttara	Naga
N03-Kri	Uttara	Naga
N04-Roh	Uttara	Gaja
N05-Mrg	Uttara	Gaja
N06-Ard	Uttara	Gaja
N07-Pun	Uttara	Airavati
N08-Pus	Uttara	Airavati
N09-Asl	Uttara	Airavati
N10-Mag	Uttara	Airavati
N11-PPal	Madhyama	Arshabi
N12-UPal	Madhyama	Arshabi
N13-Has	Dakshina	Mrga
N14-Chi	Dakshina	Mrga
N15-Swa	Uttara	Naga
N16-Vis	Dakshina	Ajaavika
N17-Anu	Dakshina	Ajaavika
N18-Jye	Dakshina	Vaishvaanari
N19-Mul	Dakshina	Vaishvaanari
N20-PAsh	Dakshina	Vaishvaanari
N21-UAsh	Dakshina	Vaishvaanari
N22-Shr	Madhyama	Jaradgavi
N23-Dha	Madhyama	Jaradgavi
N24-Sha	Madhyama	Jaradgavi
N25-PBha	Madhyama	Go
N26-UBha	Madhyama	Go
N27-Rev	Madhyama	Go
