nid	naks	gname	alt	az	lon	lat	salt	saz	slon	vis1	year	day	jd	dt	secs
N22-Shr	Shr	α Aql	15.89	91.58	252.68	29.46	-10.4	111.64	268.06	0	-1500	1	1173182.545	-1500-01-01T06:12:21	3
N23-Dha	Dha	β Del	5.43	83.24	267.89	32.34	-10.4	111.64	268.06	1	-1500	1	1173182.545	-1500-01-01T06:12:21	3
N23-Dha	Dha	β Del	10.11	85.93	267.89	32.34	-10.41	111.61	273.11	0	-1500	6	1173187.547	-1500-01-06T06:14:39	6
N23-Dha	Dha	β Del	14.71	88.55	267.9	32.34	-10.43	111.35	278.15	0	-1500	11	1173192.548	-1500-01-11T06:16:19	8
N23-Dha	Dha	β Del	19.18	91.13	267.9	32.34	-10.47	110.85	283.18	0	-1500	16	1173197.548	-1500-01-16T06:17:17	11
N24-Sha	Sha	λ Aqr	-10.59	109.51	293.02	-0.23	-10.59	109.21	293.19	0	-1500	26	1173207.548	-1500-01-26T06:17:03	15
N24-Sha	Sha	λ Aqr	-6.85	111.6	293.02	-0.23	-10.67	108.08	298.18	0	-1500	31	1173212.547	-1500-01-31T06:15:48	18
N24-Sha	Sha	λ Aqr	-2.9	113.68	293.02	-0.23	-10.76	106.77	303.14	0	-1500	36	1173217.546	-1500-02-05T06:13:51	20
N24-Sha	Sha	λ Aqr	0.52	115.77	293.02	-0.23	-10.86	105.29	308.1	1	-1500	41	1173222.544	-1500-02-10T06:11:12	23
N25-PBha	PBha	α Peg	4.99	93.2	305.08	19.54	-10.86	105.29	308.1	1	-1500	41	1173222.544	-1500-02-10T06:11:12	23
N26-UBha	UBha	λ Peg	11.53	86.51	304.72	28.91	-10.86	105.29	308.1	0	-1500	41	1173222.544	-1500-02-10T06:11:12	23
N24-Sha	Sha	λ Aqr	3.44	117.87	293.02	-0.23	-10.95	103.66	313.03	1	-1500	46	1173227.542	-1500-02-15T06:07:55	26
N25-PBha	PBha	α Peg	8.47	95.28	305.08	19.54	-10.95	103.66	313.03	1	-1500	46	1173227.542	-1500-02-15T06:07:55	26
N26-UBha	UBha	λ Peg	15.07	88.52	304.72	28.91	-10.95	103.66	313.03	0	-1500	46	1173227.542	-1500-02-15T06:07:55	27
N25-PBha	PBha	α Peg	11.85	97.32	305.08	19.54	-11.04	101.9	317.96	0	-1500	51	1173232.539	-1500-02-20T06:04:03	29
N26-UBha	UBha	λ Peg	18.49	90.49	304.72	28.91	-11.04	101.9	317.96	0	-1500	51	1173232.539	-1500-02-20T06:04:03	30
N25-PBha	PBha	α Peg	15.11	99.35	305.08	19.54	-11.13	100.02	322.86	0	-1500	56	1173237.536	-1500-02-25T05:59:38	32
N26-UBha	UBha	λ Peg	21.79	92.43	304.72	28.91	-11.13	100.02	322.86	0	-1500	56	1173237.536	-1500-02-25T05:59:38	33
N27-Rev	Rev	ε Psc	-8.29	98.14	329.07	0.92	-11.28	95.97	332.63	0	-1500	66	1173247.529	-1500-03-06T05:49:23	37
N27-Rev	Rev	ε Psc	-5.29	99.83	329.07	0.92	-11.34	93.83	337.49	0	-1500	71	1173252.525	-1500-03-11T05:43:41	40
N27-Rev	Rev	ε Psc	-1.68	101.5	329.07	0.92	-11.38	91.64	342.34	0	-1500	76	1173257.521	-1500-03-16T05:37:42	42
N901-Ash	Ash	β Ari	-3.38	85.72	345.43	8.38	-11.41	89.4	347.17	0	-1500	81	1173262.517	-1500-03-21T05:31:28	45
N27-Rev	Rev	ε Psc	0.89	103.18	329.07	0.92	-11.41	89.4	347.17	1	-1500	81	1173262.517	-1500-03-21T05:31:28	45
N901-Ash	Ash	β Ari	-0.19	87.39	345.43	8.38	-11.42	87.13	352	0	-1500	86	1173267.512	-1500-03-26T05:25:03	48
N901-Ash	Ash	β Ari	2.32	89.03	345.43	8.38	-11.42	84.85	356.8	1	-1500	91	1173272.508	-1500-03-31T05:18:30	50
N03-Kri	Kri	η Tau	-5.62	77.38	11.48	3.71	-11.22	75.81	15.95	0	-1500	111	1173292.489	-1500-04-20T04:52:14	59
