planet,jd,date,elong
Mars,1501907.5006828704,-601-12-25T00:00:59.000,219.07654705733705
Mars,1501908.5006828704,-601-12-26T00:00:59.000,219.765498716114
Mars,1501909.5006828704,-601-12-27T00:00:59.000,220.4547325451138
Mars,1501910.5006828704,-601-12-28T00:00:59.000,221.14424566061035
Mars,1501911.5006828704,-601-12-29T00:00:59.000,221.83403510626175
Mars,1501912.5006828704,-601-12-30T00:00:59.000,222.52409785079718
Mars,1501913.5006828704,-601-12-31T00:00:59.000,223.214430786382
Mars,1501914.5006828704,-600-01-01T00:00:59.000,223.9050307263785
Mars,1501915.5006828704,-600-01-02T00:00:59.000,224.59589440319613
Mars,1501916.5006828704,-600-01-03T00:00:59.000,225.2870184661001
Mars,1501917.5006828704,-600-01-04T00:00:59.000,225.97839947895682
Mars,1501918.5006828704,-600-01-05T00:00:59.000,226.67003391784294
Mars,1501919.5006828704,-600-01-06T00:00:59.000,227.36191816869615
Mars,1501920.5006828704,-600-01-07T00:00:59.000,228.05404852463926
Mars,1501921.5006828704,-600-01-08T00:00:59.000,228.74642118384872
Mars,1501922.5006828704,-600-01-09T00:00:59.000,229.43903224638694
Mars,1501923.5006828704,-600-01-10T00:00:59.000,230.1318777118812
Mars,1501924.5006828704,-600-01-11T00:00:59.000,230.82495347678616
Mars,1501925.5006828704,-600-01-12T00:00:59.000,231.5182553311722
Mars,1501926.5006828704,-600-01-13T00:00:59.000,232.2117789561521
Mars,1501927.5006828704,-600-01-14T00:00:59.000,232.9055199209231
Mars,1501928.5006828704,-600-01-15T00:00:59.000,233.59947367933324
Mars,1501929.5006828704,-600-01-16T00:00:59.000,234.2936355671133
Mars,1501930.5006828704,-600-01-17T00:00:59.000,234.9880007985289
Mars,1501931.5006828704,-600-01-18T00:00:59.000,235.68256446305043
Mars,1501932.5006828704,-600-01-19T00:00:59.000,236.37732152201733
Mars,1501933.5006828704,-600-01-20T00:00:59.000,237.07226680522982
Mars,1501934.5006828704,-600-01-21T00:00:59.000,237.76739500734385
Mars,1501935.5006828704,-600-01-22T00:00:59.000,238.46270068434717
Mars,1501936.5006828704,-600-01-23T00:00:59.000,239.15817824968207
Mars,1501937.5006828704,-600-01-24T00:00:59.000,239.85382197089038
Mars,1501938.5006828704,-600-01-25T00:00:59.000,240.54962596522344
Mars,1501939.5006828704,-600-01-26T00:00:59.000,241.24558419607263
Mars,1501940.5006828704,-600-01-27T00:00:59.000,241.94169046899844
Mars,1501941.5006828704,-600-01-28T00:00:59.000,242.63793842725028
Mars,1501942.5006828704,-600-01-29T00:00:59.000,243.33432154791137
Mars,1501943.5006828704,-600-01-30T00:00:59.000,244.03083313767576
Mars,1501944.5006828704,-600-01-31T00:00:59.000,244.72746632810905
Mars,1501945.5006828704,-600-02-01T00:00:59.000,245.42421407156365
Mars,1501946.5006828704,-600-02-02T00:00:59.000,246.12106913654264
Mars,1501947.5006828704,-600-02-03T00:00:59.000,246.81802410300196
Mars,1501948.5006828704,-600-02-04T00:00:59.000,247.51507135768838
Mars,1501949.5006828704,-600-02-05T00:00:59.000,248.21220308939473
Mars,1501950.5006828704,-600-02-06T00:00:59.000,248.90941128395042
Mars,1501951.5006828704,-600-02-07T00:00:59.000,249.6066877193369
Mars,1501952.5006828704,-600-02-08T00:00:59.000,250.30402396042035
Mars,1501953.5006828704,-600-02-09T00:00:59.000,251.00141135417908
Mars,1501954.5006828704,-600-02-10T00:00:59.000,251.69884102389716
Mars,1501955.5006828704,-600-02-11T00:00:59.000,252.39630386414748
Mars,1501956.5006828704,-600-02-12T00:00:59.000,253.0937905353867
Mars,1501957.5006828704,-600-02-13T00:00:59.000,253.79129145800067
Mars,1501958.5006828704,-600-02-14T00:00:59.000,254.488796806956
Mars,1501959.5006828704,-600-02-15T00:00:59.000,255.18629650609762
Mars,1501960.5006828704,-600-02-16T00:00:59.000,255.88378022188482
Mars,1501961.5006828704,-600-02-17T00:00:59.000,256.58123735772995
Mars,1501962.5006828704,-600-02-18T00:00:59.000,257.2786570479846
Mars,1501963.5006828704,-600-02-19T00:00:59.000,257.9760281513532
Mars,1501964.5006828704,-600-02-20T00:00:59.000,258.6733392449316
Mars,1501965.5006828704,-600-02-21T00:00:59.000,259.37057861773457
Mars,1501966.5006828704,-600-02-22T00:00:59.000,260.0677342640362
Mars,1501967.5006828704,-600-02-23T00:00:59.000,260.76479387679944
Mars,1501968.5006828704,-600-02-24T00:00:59.000,261.4617448409973
Mars,1501969.5006828704,-600-02-25T00:00:59.000,262.158574226563
Mars,1501970.5006828704,-600-02-26T00:00:59.000,262.85526878151836
Mars,1501971.5006828704,-600-02-27T00:00:59.000,263.5518149246617
Mars,1501972.5006828704,-600-02-28T00:00:59.000,264.2481987387004
Mars,1501973.5006828704,-600-03-01T00:00:59.000,264.9444059623394
Mars,1501974.5006828704,-600-03-02T00:00:59.000,265.64042198309437
Mars,1501975.5006828704,-600-03-03T00:00:59.000,266.3362318297252
Mars,1501976.5006828704,-600-03-04T00:00:59.000,267.03182016404276
Mars,1501977.5006828704,-600-03-05T00:00:59.000,267.7271712732754
Mars,1501978.5006828704,-600-03-06T00:00:59.000,268.42226906208316
Mars,1501979.5006828704,-600-03-07T00:00:59.000,269.1170970439252
Mars,1501980.5006828704,-600-03-08T00:00:59.000,269.8116383329982
Mars,1501981.5006828704,-600-03-09T00:00:59.000,270.5058756356884
Mars,1501982.5006828704,-600-03-10T00:00:59.000,271.1997912416846
Mars,1501983.5006828704,-600-03-11T00:00:59.000,271.89336701521313
Mars,1501984.5006828704,-600-03-12T00:00:59.000,272.5865843861116
Mars,1501985.5006828704,-600-03-13T00:00:59.000,273.27942434040153
Mars,1501986.5006828704,-600-03-14T00:00:59.000,273.9718674110621
Mars,1501987.5006828704,-600-03-15T00:00:59.000,274.6638936682808
Mars,1501988.5006828704,-600-03-16T00:00:59.000,275.3554827100625
Mars,1501989.5006828704,-600-03-17T00:00:59.000,276.0466136517616
Mars,1501990.5006828704,-600-03-18T00:00:59.000,276.7372651162298
Mars,1501991.5006828704,-600-03-19T00:00:59.000,277.4274152235663
