लौकिकः,वौदिकः,लौ२,लौ३,गणना,ऋतुः
मार्गशीर्षः,सहस्,मार्गः,आग्रहायणिकः,4,हेमन्त
पौषः,सहस्यः,तैषः,-,3,हेमन्त
माघः,तपस्,-,-,2,शिशिर
फाल्गुनः,तपस्यः,फाल्गुनिकः,-,3,शिशिर
चैत्रः,मधुः,चैत्रिकः,-,3,वसंतः ; पुष्पसमयः; सुरभिः
वैशाखः,माधवः,राधः,-,3,वसंतः
ज्येष्ठः,शुक्रः,-,-,2,ग्रीष्मः ; उष्णः; उष्णकः; निदाघः; उष्णोपगमः; ऊष्मागमः; तपः
आषाढः,शुचिः,-,-,2,ग्रीष्मः
श्रावणः,नभस्,श्रावणिकः,-,3,वर्षाः ; प्रावृट्
भाद्रपदः,नभस्यः,प्रौष्ठपदः,भाद्रः,4,वर्षाः
आश्विनः,इषः,आश्वयुजः,-,3,शरत्
कार्तिकः,ऊर्जः,बाहुलः,कार्तिकिकः,4,शरत्,
