gname,nid,nnid,tag,sname,hip,naks,enaks,daivata,raJ2000,decJ2000,lonJ2000,latJ2000,hr_daynum_kuru,hr_jd_kuru,hr_utc_kuru,hr_az_kuru,hr_alt_kuru
β Ari,N01-Ash,1,rep,Sheratan,HIP 8903,अश्विनी,Aśvayuk,Aśvini,28.66,20.81,33.97,8.49,62,1063685.55,-1800-03-04 01:18:52.665,93.77,7.23
α Ari,N01-Ash,1,other,Hamal,HIP 9884,अश्विनी,Aśvayuk,Aśvini,31.79,23.46,37.66,9.97,64,1063687.55,-1800-03-06 01:16:21.162,90.63,7.26
γ Ari,N01-Ash,1,other,Mesarthim,HIP 8832,अश्विनी,Aśvayuk,Aśvini,28.38,19.29,33.18,7.16,63,1063686.55,-1800-03-05 01:17:26.092,95.53,7.23
* 41 Ari,N02-Bha,2,rep,Bharani,HIP 13209,भरणी,Bharaṇī,Yama,42.50,27.26,48.20,10.45,74,1063697.54,-1800-03-16 01:04:05.291,85.36,7.12
* 39 Ari,N02-Bha,2,other,39Ari,HIP 13061,भरणी,Bharaṇī,Yama,41.98,29.25,48.37,12.48,72,1063695.55,-1800-03-14 01:06:36.794,83.34,7.45
* 35 Ari,N02-Bha,2,other,Barani II,HIP 12719,भरणी,Bharaṇī,Yama,40.86,27.71,46.93,11.31,72,1063695.55,-1800-03-14 01:06:36.794,85.18,7.40
η Tau,N03-Kri,3,rep,Alcyone,HIP 17702,क्रित्तिका,Kṛttikā, Agni,56.87,24.11,59.99,4.05,95,1063718.53,-1800-04-06 00:37:02.044,86.65,7.05
* 17 Tau,N03-Kri,3,other,Electra,HIP 17499,क्रित्तिका,Kṛttikā, Agni,56.22,24.11,59.41,4.19,95,1063718.53,-1800-04-06 00:37:02.044,87.02,7.52
* 19 Tau,N03-Kri,3,other,Taygeta,HIP 17531,क्रित्तिका,Kṛttikā, Agni,56.30,24.47,59.57,4.52,94,1063717.53,-1800-04-05 00:38:28.617,86.40,7.14
* 20 Tau,N03-Kri,3,other,Maia,HIP 17573,क्रित्तिका,Kṛttikā, Agni,56.46,24.37,59.68,4.39,95,1063718.53,-1800-04-06 00:37:02.044,86.69,7.51
* 23 Tau,N03-Kri,3,other,Merope,HIP 17608,क्रित्तिका,Kṛttikā, Agni,56.58,23.95,59.70,3.96,95,1063718.53,-1800-04-06 00:37:02.044,86.94,7.16
* 27 Tau,N03-Kri,3,other,Atlas,HIP 17847,क्रित्तिका,Kṛttikā, Agni,57.29,24.05,60.36,3.92,96,1063719.52,-1800-04-07 00:35:57.114,86.79,7.35
α Tau,N04-Roh,4,rep,Aldebaran,HIP 21421,रोहिणी,Rohiṇī,Prajāpati,68.98,16.51,69.79,-5.47,118,1063741.51,-1800-04-29 00:10:42.084,92.59,7.61
γ Tau,N04-Roh,4,other,Prima Hyadum,HIP 20205,रोहिणी,Rohiṇī,Prajāpati,64.95,15.63,65.81,-5.73,114,1063737.51,-1800-04-25 00:14:40.160,94.45,7.29
δ Tau,N04-Roh,4,other,Secunda Hyadum,HIP 20455,रोहिणी,Rohiṇī,Prajāpati,65.73,17.54,66.87,-3.97,113,1063736.51,-1800-04-24 00:15:45.090,92.17,7.39
ε Tau,N04-Roh,4,other,Ain,HIP 20889,रोहिणी,Rohiṇī,Prajāpati,67.15,19.18,68.47,-2.57,113,1063736.51,-1800-04-24 00:15:45.090,90.03,7.49
