planet,jd,date,elong
Saturn,1501907.5006828704,-601-12-25T00:00:59.000,273.3371848607344
Saturn,1501908.5006828704,-601-12-26T00:00:59.000,273.4571216628372
Saturn,1501909.5006828704,-601-12-27T00:00:59.000,273.5770281748672
Saturn,1501910.5006828704,-601-12-28T00:00:59.000,273.6968851742295
Saturn,1501911.5006828704,-601-12-29T00:00:59.000,273.81667346609197
Saturn,1501912.5006828704,-601-12-30T00:00:59.000,273.93637388428044
Saturn,1501913.5006828704,-601-12-31T00:00:59.000,274.05596729226227
Saturn,1501914.5006828704,-600-01-01T00:00:59.000,274.1754345839536
Saturn,1501915.5006828704,-600-01-02T00:00:59.000,274.2947566846725
Saturn,1501916.5006828704,-600-01-03T00:00:59.000,274.41391455197333
Saturn,1501917.5006828704,-600-01-04T00:00:59.000,274.53288917646944
Saturn,1501918.5006828704,-600-01-05T00:00:59.000,274.65166158274354
Saturn,1501919.5006828704,-600-01-06T00:00:59.000,274.7702128301548
Saturn,1501920.5006828704,-600-01-07T00:00:59.000,274.88852401364045
Saturn,1501921.5006828704,-600-01-08T00:00:59.000,275.00657626462055
Saturn,1501922.5006828704,-600-01-09T00:00:59.000,275.1243507517419
Saturn,1501923.5006828704,-600-01-10T00:00:59.000,275.24182868178053
Saturn,1501924.5006828704,-600-01-11T00:00:59.000,275.3589913004413
Saturn,1501925.5006828704,-600-01-12T00:00:59.000,275.47581989315853
Saturn,1501926.5006828704,-600-01-13T00:00:59.000,275.59229578601236
Saturn,1501927.5006828704,-600-01-14T00:00:59.000,275.70840034652804
Saturn,1501928.5006828704,-600-01-15T00:00:59.000,275.82411498451705
Saturn,1501929.5006828704,-600-01-16T00:00:59.000,275.939421153017
Saturn,1501930.5006828704,-600-01-17T00:00:59.000,276.05430034909574
Saturn,1501931.5006828704,-600-01-18T00:00:59.000,276.1687341148248
Saturn,1501932.5006828704,-600-01-19T00:00:59.000,276.2827040381683
Saturn,1501933.5006828704,-600-01-20T00:00:59.000,276.39619175389373
Saturn,1501934.5006828704,-600-01-21T00:00:59.000,276.5091789445962
Saturn,1501935.5006828704,-600-01-22T00:00:59.000,276.62164734165583
Saturn,1501936.5006828704,-600-01-23T00:00:59.000,276.7335787262234
Saturn,1501937.5006828704,-600-01-24T00:00:59.000,276.84495493033427
Saturn,1501938.5006828704,-600-01-25T00:00:59.000,276.9557578379056
Saturn,1501939.5006828704,-600-01-26T00:00:59.000,277.06596938591485
Saturn,1501940.5006828704,-600-01-27T00:00:59.000,277.1755715655167
Saturn,1501941.5006828704,-600-01-28T00:00:59.000,277.2845464231988
Saturn,1501942.5006828704,-600-01-29T00:00:59.000,277.3928760620655
Saturn,1501943.5006828704,-600-01-30T00:00:59.000,277.50054264307715
Saturn,1501944.5006828704,-600-01-31T00:00:59.000,277.6075283863377
Saturn,1501945.5006828704,-600-02-01T00:00:59.000,277.71381557252244
Saturn,1501946.5006828704,-600-02-02T00:00:59.000,277.819386544218
Saturn,1501947.5006828704,-600-02-03T00:00:59.000,277.9242237074537
Saturn,1501948.5006828704,-600-02-04T00:00:59.000,278.0283095331961
Saturn,1501949.5006828704,-600-02-05T00:00:59.000,278.1316265589037
Saturn,1501950.5006828704,-600-02-06T00:00:59.000,278.234157390223
Saturn,1501951.5006828704,-600-02-07T00:00:59.000,278.33588470266534
Saturn,1501952.5006828704,-600-02-08T00:00:59.000,278.43679124335443
Saturn,1501953.5006828704,-600-02-09T00:00:59.000,278.5368598329253
Saturn,1501954.5006828704,-600-02-10T00:00:59.000,278.6360733673687
Saturn,1501955.5006828704,-600-02-11T00:00:59.000,278.73441482007524
Saturn,1501956.5006828704,-600-02-12T00:00:59.000,278.8318672438722
Saturn,1501957.5006828704,-600-02-13T00:00:59.000,278.9284137731414
Saturn,1501958.5006828704,-600-02-14T00:00:59.000,279.02403762609083
Saturn,1501959.5006828704,-600-02-15T00:00:59.000,279.11872210703933
Saturn,1501960.5006828704,-600-02-16T00:00:59.000,279.212450608789
Saturn,1501961.5006828704,-600-02-17T00:00:59.000,279.3052066151579
Saturn,1501962.5006828704,-600-02-18T00:00:59.000,279.39697370353485
Saturn,1501963.5006828704,-600-02-19T00:00:59.000,279.4877355475299
Saturn,1501964.5006828704,-600-02-20T00:00:59.000,279.57747591980956
Saturn,1501965.5006828704,-600-02-21T00:00:59.000,279.66617869489426
Saturn,1501966.5006828704,-600-02-22T00:00:59.000,279.7538278521975
Saturn,1501967.5006828704,-600-02-23T00:00:59.000,279.8404074790842
Saturn,1501968.5006828704,-600-02-24T00:00:59.000,279.9259017740422
Saturn,1501969.5006828704,-600-02-25T00:00:59.000,280.01029505002543
Saturn,1501970.5006828704,-600-02-26T00:00:59.000,280.09357173785105
Saturn,1501971.5006828704,-600-02-27T00:00:59.000,280.1757163897127
Saturn,1501972.5006828704,-600-02-28T00:00:59.000,280.256713682877
Saturn,1501973.5006828704,-600-03-01T00:00:59.000,280.3365484234065
Saturn,1501974.5006828704,-600-03-02T00:00:59.000,280.4152055500989
Saturn,1501975.5006828704,-600-03-03T00:00:59.000,280.49267013849015
Saturn,1501976.5006828704,-600-03-04T00:00:59.000,280.56892740498876
Saturn,1501977.5006828704,-600-03-05T00:00:59.000,280.6439627111884
Saturn,1501978.5006828704,-600-03-06T00:00:59.000,280.7177615682638
Saturn,1501979.5006828704,-600-03-07T00:00:59.000,280.79030964150104
Saturn,1501980.5006828704,-600-03-08T00:00:59.000,280.86159275501643
Saturn,1501981.5006828704,-600-03-09T00:00:59.000,280.9315968965357
Saturn,1501982.5006828704,-600-03-10T00:00:59.000,281.00030822238693
Saturn,1501983.5006828704,-600-03-11T00:00:59.000,281.067713062587
Saturn,1501984.5006828704,-600-03-12T00:00:59.000,281.1337979260694
Saturn,1501985.5006828704,-600-03-13T00:00:59.000,281.19854950609727
Saturn,1501986.5006828704,-600-03-14T00:00:59.000,281.26195468577976
Saturn,1501987.5006828704,-600-03-15T00:00:59.000,281.3240005437365
Saturn,1501988.5006828704,-600-03-16T00:00:59.000,281.38467435994653
Saturn,1501989.5006828704,-600-03-17T00:00:59.000,281.44396362168845
Saturn,1501990.5006828704,-600-03-18T00:00:59.000,281.5018560296801
Saturn,1501991.5006828704,-600-03-19T00:00:59.000,281.55833950433305
Saturn,1501992.5006828704,-600-03-20T00:00:59.000,281.61340219215447
Saturn,1501993.5006828704,-600-03-21T00:00:59.000,281.6670324723242
Saturn,1501994.5006828704,-600-03-22T00:00:59.000,281.7192189633905
Saturn,1501995.5006828704,-600-03-23T00:00:59.000,281.7699505301152
Saturn,1501996.5006828704,-600-03-24T00:00:59.000,281.81921629048765
Saturn,1501997.5006828704,-600-03-25T00:00:59.000,281.86700562284716
Saturn,1501998.5006828704,-600-03-26T00:00:59.000,281.91330817318163
Saturn,1501999.5006828704,-600-03-27T00:00:59.000,281.9581138625457
Saturn,1502000.5006828704,-600-03-28T00:00:59.000,282.0014128946182
Saturn,1502001.5006828704,-600-03-29T00:00:59.000,282.0431957634089
Saturn,1502002.5006828704,-600-03-30T00:00:59.000,282.0834532610988
Saturn,1502003.5006828704,-600-03-31T00:00:59.000,282.1221764859805
Saturn,1502004.5006828704,-600-04-01T00:00:59.000,282.1593568505698
Saturn,1502005.5006828704,-600-04-02T00:00:59.000,282.19498608980825
Saturn,1502006.5006828704,-600-04-03T00:00:59.000,282.22905626940207
Saturn,1502007.5006828704,-600-04-04T00:00:59.000,282.26155979426636
Saturn,1502008.5006828704,-600-04-05T00:00:59.000,282.2924894170832
Saturn,1502009.5006828704,-600-04-06T00:00:59.000,282.3218382469637
Saturn,1502010.5006828704,-600-04-07T00:00:59.000,282.34959975820726
Saturn,1502011.5006828704,-600-04-08T00:00:59.000,282.3757677991564
Saturn,1502012.5006828704,-600-04-09T00:00:59.000,282.40033660113215
Saturn,1502013.5006828704,-600-04-10T00:00:59.000,282.4233007874559
Saturn,1502014.5006828704,-600-04-11T00:00:59.000,282.444655382533
Saturn,1502015.5006828704,-600-04-12T00:00:59.000,282.46439582100606
Saturn,1502016.5006828704,-600-04-13T00:00:59.000,282.4825179569668
Saturn,1502017.5006828704,-600-04-14T00:00:59.000,282.49901807319986
Saturn,1502018.5006828704,-600-04-15T00:00:59.000,282.5138928904752
Saturn,1502019.5006828704,-600-04-16T00:00:59.000,282.52713957687047
Saturn,1502020.5006828704,-600-04-17T00:00:59.000,282.53875575708787
Saturn,1502021.5006828704,-600-04-18T00:00:59.000,282.54873952180844
Saturn,1502022.5006828704,-600-04-19T00:00:59.000,282.557089437007
Saturn,1502023.5006828704,-600-04-20T00:00:59.000,282.5638045532703
Saturn,1502024.5006828704,-600-04-21T00:00:59.000,282.5688844150902
Saturn,1502025.5006828704,-600-04-22T00:00:59.000,282.5723290700832
Saturn,1502026.5006828704,-600-04-23T00:00:59.000,282.5741390781822
Saturn,1502027.5006828704,-600-04-24T00:00:59.000,282.5743155207598
Saturn,1502028.5006828704,-600-04-25T00:00:59.000,282.57286000963336
Saturn,1502029.5006828704,-600-04-26T00:00:59.000,282.5697746960034
Saturn,1502030.5006828704,-600-04-27T00:00:59.000,282.5650622792797
Saturn,1502031.5006828704,-600-04-28T00:00:59.000,282.5587260157341
Saturn,1502032.5006828704,-600-04-29T00:00:59.000,282.5507697270727
Saturn,1502033.5006828704,-600-04-30T00:00:59.000,282.5411978087761
Saturn,1502034.5006828704,-600-05-01T00:00:59.000,282.53001523830756
Saturn,1502035.5006828704,-600-05-02T00:00:59.000,282.51722758312536
Saturn,1502036.5006828704,-600-05-03T00:00:59.000,282.5028410084338
