epoch	tara_name	decl	geo_lat	rise	lat	lon	ra	city_lat°	city_lat	city	year	dt	jd
-4000	dhruva	83.14	6.86	-1	66.03	73.12	-8.8	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-4000	mārīca	83.73	6.27	-1	71.02	99.92	-120.87	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-4000	mahendra	78.19	11.81	2.32	74.9	113.56	-120.57	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-4000	agni	76.37	13.63	4.03	78.49	108.27	-105.39	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-4000	vaśiṣṭha	79.2	10.8	13.94	55.88	81.57	63.97	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-4000	arundhatī 	79.4	10.6	13.78	56.06	81.75	64.18	9.92°	9.92	Madurai	-4001	-4001-12-22T23:12:29	260048.25
-3950	dhruva	83.42	6.58	-1	66.04	73.81	-8.56	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3950	mārīca	83.58	6.42	-1	71.03	100.62	-122.4	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3950	mahendra	78.05	11.95	2.36	74.9	114.24	-121.09	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3950	agni	76.29	13.71	4.03	78.49	108.98	-105.89	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3950	vaśiṣṭha	79.33	10.67	13.97	55.89	82.26	65.94	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3950	arundhatī 	79.52	10.48	13.79	56.07	82.44	66.17	9.92°	9.92	Madurai	-3951	-3951-12-21T23:12:29	278310.25
-3900	dhruva	83.7	6.3	-1	66.04	74.5	-8.27	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3900	mārīca	83.43	6.57	-1	71.03	101.32	-123.88	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3900	mahendra	77.91	12.09	2.34	74.89	114.92	-121.62	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3900	agni	76.22	13.78	3.96	78.49	109.68	-106.38	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3900	vaśiṣṭha	79.43	10.57	13.95	55.89	82.95	67.95	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3900	arundhatī 	79.63	10.37	13.75	56.07	83.13	68.22	9.92°	9.92	Madurai	-3901	-3901-12-22T23:12:29	296573.25
-3850	dhruva	83.99	6.01	-1	66.04	75.2	-8.01	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3850	mārīca	83.26	6.74	-1	71.03	102.03	-125.28	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3850	mahendra	77.76	12.24	2.31	74.89	115.62	-122.12	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3850	agni	76.14	13.86	3.9	78.49	110.4	-106.87	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3850	vaśiṣṭha	79.54	10.46	13.92	55.9	83.65	70.03	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3850	arundhatī 	79.73	10.27	13.7	56.07	83.83	70.33	9.92°	9.92	Madurai	-3851	-3851-12-22T23:12:29	314836.25
-3800	dhruva	84.27	5.73	-1	66.05	75.89	-7.8	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3800	mārīca	83.09	6.91	-1	71.03	102.73	-126.56	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3800	mahendra	77.61	12.39	2.35	74.89	116.31	-122.58	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3800	agni	76.05	13.95	3.9	78.5	111.12	-107.34	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3800	vaśiṣṭha	79.64	10.36	13.95	55.91	84.34	72.1	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3800	arundhatī 	79.83	10.17	13.7	56.08	84.52	72.43	9.92°	9.92	Madurai	-3801	-3801-12-22T23:12:29	333098.25
-3750	dhruva	84.55	5.45	-1	66.05	76.58	-7.53	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3750	mārīca	82.93	7.07	-1	71.03	103.42	-127.79	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3750	mahendra	77.47	12.53	2.32	74.89	116.98	-123.04	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3750	agni	75.97	14.03	3.83	78.5	111.82	-107.8	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3750	vaśiṣṭha	79.72	10.28	13.93	55.91	85.03	74.21	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3750	arundhatī 	79.91	10.09	13.64	56.09	85.21	74.57	9.92°	9.92	Madurai	-3751	-3751-12-22T23:12:29	351361.25
-3700	dhruva	84.83	5.17	-1	66.05	77.28	-7.27	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3700	mārīca	82.75	7.25	-1	71.03	104.13	-128.96	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3700	mahendra	77.32	12.68	2.36	74.88	117.67	-123.49	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3700	agni	75.88	14.12	3.84	78.5	112.54	-108.26	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3700	vaśiṣṭha	79.79	10.21	13.98	55.92	85.73	76.38	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3700	arundhatī 	79.98	10.02	13.63	56.09	85.91	76.77	9.92°	9.92	Madurai	-3701	-3701-12-22T23:12:29	369623.25
-3650	dhruva	85.11	4.89	-1	66.06	77.98	-7.09	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3650	mārīca	82.57	7.43	-1	71.04	104.84	-130.02	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3650	mahendra	77.17	12.83	2.33	74.88	118.37	-123.9	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3650	agni	75.79	14.21	3.77	78.5	113.26	-108.7	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3650	vaśiṣṭha	79.86	10.14	13.95	55.93	86.42	78.55	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3650	arundhatī 	80.04	9.96	13.5	56.1	86.6	78.97	9.92°	9.92	Madurai	-3651	-3651-12-22T23:12:29	387886.25
-3600	dhruva	85.39	4.61	-1	66.06	78.66	-6.86	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3600	mārīca	82.39	7.61	-1	71.04	105.53	-131.03	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3600	mahendra	77.02	12.98	2.3	74.88	119.05	-124.31	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3600	agni	75.7	14.3	3.71	78.5	113.96	-109.13	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3600	vaśiṣṭha	79.91	10.09	13.94	55.93	87.11	80.72	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3600	arundhatī 	80.09	9.91	-1	56.11	87.29	81.18	9.92°	9.92	Madurai	-3601	-3601-12-23T23:12:29	406149.25
-3550	dhruva	85.68	4.32	-1	66.06	79.37	-6.61	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3550	mārīca	82.2	7.8	-1	71.04	106.23	-132	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3550	mahendra	76.86	13.14	2.34	74.88	119.73	-124.71	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3550	agni	75.61	14.39	3.72	78.5	114.67	-109.56	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3550	vaśiṣṭha	79.95	10.05	14.02	55.93	87.81	82.95	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3550	arundhatī 	80.13	9.87	-1	56.11	87.99	83.44	9.92°	9.92	Madurai	-3551	-3551-12-22T23:12:29	424411.25
-3500	dhruva	85.96	4.04	-1	66.07	80.06	-6.47	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3500	mārīca	82	8	-1	71.05	106.94	-132.87	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3500	mahendra	76.7	13.3	2.31	74.88	120.43	-125.07	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3500	agni	75.51	14.49	3.66	78.5	115.4	-109.97	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3500	vaśiṣṭha	79.98	10.02	14.02	55.94	88.5	85.18	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3500	arundhatī 	80.16	9.84	-1	56.12	88.68	85.7	9.92°	9.92	Madurai	-3501	-3501-12-23T23:12:29	442674.25
-3450	dhruva	86.24	3.76	-1	66.08	80.75	-6.3	9.92°	9.92	Madurai	-3451	-3451-12-23T23:12:29	460937.25
-3450	mārīca	81.81	8.19	-1	71.05	107.64	-133.7	9.92°	9.92	Madurai	-3451	-3451-12-23T23:12:29	460937.25
-3450	mahendra	76.55	13.45	2.28	74.87	121.11	-125.42	9.92°	9.92	Madurai	-3451	-3451-12-23T23:12:29	460937.25
