Epoch	City	Location	GeoLat	GetLat°	lat	lon	ra	decl	rise-hr	jd	date	year
-4000	Madurai	Madurai(9.92°)	9.92	9.92°	66.03	73.12	-8.8	83.14	-5	260048.25	-4001-12-22T23:07:07	-4001
-4000	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.03	73.12	-8.8	83.14	-5	260048.25	-4001-12-22T23:07:07	-4001
-4000	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.03	73.12	-8.8	83.14	-5	260048.25	-4001-12-22T23:07:07	-4001
-4000	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.03	73.12	-8.8	83.14	-5	260048.25	-4001-12-22T23:07:07	-4001
-3950	Madurai	Madurai(9.92°)	9.92	9.92°	66.04	73.81	-8.56	83.42	-5	278310.25	-3951-12-21T22:59:14	-3951
-3950	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.04	73.81	-8.56	83.42	-5	278310.25	-3951-12-21T22:59:14	-3951
-3950	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.04	73.81	-8.56	83.42	-5	278310.25	-3951-12-21T22:59:14	-3951
-3950	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.04	73.81	-8.56	83.42	-5	278310.25	-3951-12-21T22:59:14	-3951
-3900	Madurai	Madurai(9.92°)	9.92	9.92°	66.04	74.5	-8.27	83.7	-5	296573.25	-3901-12-22T22:59:14	-3901
-3900	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.04	74.5	-8.27	83.7	-5	296573.25	-3901-12-22T22:59:14	-3901
-3900	Kurukshetra	Kurukshetra(29.97°)	29.97	29.97°	66.04	74.5	-8.27	83.7	-5	296573.25	-3901-12-22T22:59:14	-3901
-3900	Srinagar	Srinagar(34.09°)	34.09	34.09°	66.04	74.5	-8.27	83.7	-5	296573.25	-3901-12-22T22:59:14	-3901
-3850	Madurai	Madurai(9.92°)	9.92	9.92°	66.04	75.2	-8.01	83.99	-5	314836.25	-3851-12-22T22:59:14	-3851
-3850	Ujjain	Ujjain(23.18°)	23.18	23.18°	66.04	75.2	-8.01	83.99	-5	314836.25	-3851-12-22T22:59:14	-3851
