planet,jd,date,elong
Venus,1501907.5006828704,-601-12-25T00:00:59.000,319.2976554467692
Venus,1501908.5006828704,-601-12-26T00:00:59.000,320.10251533933865
Venus,1501909.5006828704,-601-12-27T00:00:59.000,320.8921904683891
Venus,1501910.5006828704,-601-12-28T00:00:59.000,321.6660775452436
Venus,1501911.5006828704,-601-12-29T00:00:59.000,322.4235477898468
Venus,1501912.5006828704,-601-12-30T00:00:59.000,323.16394610169095
Venus,1501913.5006828704,-601-12-31T00:00:59.000,323.8865902765555
Venus,1501914.5006828704,-600-01-01T00:00:59.000,324.5907702800223
Venus,1501915.5006828704,-600-01-02T00:00:59.000,325.2757476042182
Venus,1501916.5006828704,-600-01-03T00:00:59.000,325.94075472586076
Venus,1501917.5006828704,-600-01-04T00:00:59.000,326.5849946965818
Venus,1501918.5006828704,-600-01-05T00:00:59.000,327.2076408970195
Venus,1501919.5006828704,-600-01-06T00:00:59.000,327.8078369893834
Venus,1501920.5006828704,-600-01-07T00:00:59.000,328.38469711411307
Venus,1501921.5006828704,-600-01-08T00:00:59.000,328.9373063788192
Venus,1501922.5006828704,-600-01-09T00:00:59.000,329.46472169254235
Venus,1501923.5006828704,-600-01-10T00:00:59.000,329.9659730122467
Venus,1501924.5006828704,-600-01-11T00:00:59.000,330.4400650701246
Venus,1501925.5006828704,-600-01-12T00:00:59.000,330.8859796589413
Venus,1501926.5006828704,-600-01-13T00:00:59.000,331.3026785673879
Venus,1501927.5006828704,-600-01-14T00:00:59.000,331.6891072545822
Venus,1501928.5006828704,-600-01-15T00:00:59.000,332.0441993720068
Venus,1501929.5006828704,-600-01-16T00:00:59.000,332.36688224090415
Venus,1501930.5006828704,-600-01-17T00:00:59.000,332.6560833979469
Venus,1501931.5006828704,-600-01-18T00:00:59.000,332.9107383315646
Venus,1501932.5006828704,-600-01-19T00:00:59.000,333.1297995251444
Venus,1501933.5006828704,-600-01-20T00:00:59.000,333.3122469178333
Venus,1501934.5006828704,-600-01-21T00:00:59.000,333.45709989068206
Venus,1501935.5006828704,-600-01-22T00:00:59.000,333.56343086237405
Venus,1501936.5006828704,-600-01-23T00:00:59.000,333.63038055091346
Venus,1501937.5006828704,-600-01-24T00:00:59.000,333.65717493285393
Venus,1501938.5006828704,-600-01-25T00:00:59.000,333.643143864734
Venus,1501939.5006828704,-600-01-26T00:00:59.000,333.5877412957802
Venus,1501940.5006828704,-600-01-27T00:00:59.000,333.4905668972728
Venus,1501941.5006828704,-600-01-28T00:00:59.000,333.35138886806624
Venus,1501942.5006828704,-600-01-29T00:00:59.000,333.1701675637588
Venus,1501943.5006828704,-600-01-30T00:00:59.000,332.9470794872184
Venus,1501944.5006828704,-600-01-31T00:00:59.000,332.6825410529341
Venus,1501945.5006828704,-600-02-01T00:00:59.000,332.3772314303333
Venus,1501946.5006828704,-600-02-02T00:00:59.000,332.03211364789706
Venus,1501947.5006828704,-600-02-03T00:00:59.000,331.64845305061954
