seq	day_num	date	year	sun_elong	elong	lat	ra	decl	key_events
1	1	-1299-05-24	-1299	59.53	93.72	0.55	94.07	23.94	lon_bend_west
2	24	-1299-06-16	-1299	81.47	89.77	-4.38	89.76	19.06	west_visibility_last
3	34	-1299-06-26	-1299	91.06	83.77	-6.21	83.52	17.09	ayana_dakshina
4	36	-1299-06-28	-1299	92.98	82.65	-6.45	82.37	16.79	east_visibility_first
5	102	-1299-09-02	-1299	157.64	111.16	-1.45	112.63	20.34	lon_bend_east
6	214	-1299-12-23	-1299	271.41	243.28	0.68	-118.62	-20.14	ayana_uttara
7	293	-1298-03-12	-1298	349.56	340.68	-1.40	-17.29	-8.86	east_visibility_last
8	359	-1298-05-17	-1298	52.64	61.70	0.66	419.45	21.14	west_visibility_first
9	399	-1298-06-26	-1298	90.83	110.85	1.53	472.80	23.33	ayana_dakshina
10	547	-1298-11-21	-1298	238.61	285.82	-1.89	287.41	-24.38	lon_bend_west
11	579	-1298-12-23	-1298	271.17	312.64	1.86	314.56	-15.23	ayana_uttara
12	613	-1297-01-26	-1297	305.26	312.71	8.22	312.83	-9.10	west_visibility_last
13	624	-1297-02-06	-1297	316.14	305.97	8.34	306.26	-10.68	east_visibility_first
14	688	-1297-04-11	-1297	18.14	332.30	-0.91	334.61	-11.51	lon_bend_east
15	764	-1297-06-26	-1297	90.60	55.87	-1.34	773.87	17.92	ayana_dakshina
16	870	-1297-10-10	-1297	195.49	186.64	1.15	546.55	-1.58	east_visibility_last
17	944	-1297-12-23	-1297	270.92	279.69	-1.31	640.65	-24.39	ayana_uttara
18	945	-1297-12-24	-1297	271.93	280.94	-1.33	642.02	-24.31	west_visibility_first
19	1129	-1296-06-25	-1296	90.36	136.26	-0.13	1218.68	15.84	lon_bend_west
20	1130	-1296-06-26	-1296	91.32	137.21	-0.24	1219.58	15.45	ayana_dakshina
21	1192	-1296-08-27	-1296	151.93	160.74	-8.64	1238.97	-0.47	west_visibility_last
22	1204	-1296-09-08	-1296	163.92	153.75	-7.58	1232.91	3.06	east_visibility_first
23	1270	-1296-11-13	-1296	230.96	184.09	2.63	904.80	0.79	lon_bend_east
24	1309	-1296-12-22	-1296	270.67	227.49	2.33	945.70	-14.81	ayana_uttara
25	1457	-1295-05-19	-1295	54.80	45.91	-0.34	1483.55	16.28	east_visibility_last
26	1495	-1295-06-26	-1295	91.09	92.71	1.04	1532.98	24.45	ayana_dakshina
27	1522	-1295-07-23	-1295	117.21	126.24	1.43	1569.00	20.09	west_visibility_first
28	1675	-1295-12-23	-1295	271.44	314.14	-1.02	1396.92	-17.56	ayana_uttara
29	1713	-1294-01-30	-1294	309.49	355.42	2.05	1434.98	0.06	lon_bend_west
30	1778	-1294-04-05	-1294	12.67	20.99	5.04	1817.46	12.86	west_visibility_last
31	1790	-1294-04-17	-1294	24.13	13.71	2.63	1811.58	7.83	east_visibility_first
32	1855	-1294-06-21	-1294	86.06	40.31	-3.39	1838.98	11.69	lon_bend_east
33	1860	-1294-06-26	-1294	90.86	45.22	-3.23	1843.72	13.31	ayana_dakshina
34	2040	-1294-12-23	-1294	271.20	261.50	-0.53	1700.71	-23.70	ayana_uttara
35	2043	-1294-12-26	-1294	274.23	265.25	-0.64	1704.80	-23.99	east_visibility_last
36	2115	-1293-03-08	-1293	345.49	354.59	-0.91	1795.39	-2.99	west_visibility_first
37	2225	-1293-06-26	-1293	90.63	127.78	1.35	2290.56	19.63	ayana_dakshina
38	2298	-1293-09-07	-1293	162.19	209.31	-3.58	2005.94	-14.57	lon_bend_west
39	2363	-1293-11-11	-1293	228.18	236.84	-0.33	2034.46	-19.77	west_visibility_last
40	2374	-1293-11-22	-1293	239.42	230.33	2.44	2028.57	-15.48	east_visibility_first
41	2405	-1293-12-23	-1293	270.95	230.88	5.21	2029.85	-12.95	ayana_uttara
42	2440	-1292-01-27	-1292	306.04	259.62	2.95	2058.96	-20.09	lon_bend_east
43	2591	-1292-06-26	-1292	91.36	74.48	0.09	2593.15	22.62	ayana_dakshina
44	2621	-1292-07-26	-1292	120.41	111.56	1.12	2633.49	22.82	east_visibility_last
45	2691	-1292-10-04	-1292	190.19	199.38	0.38	2358.03	-7.23	west_visibility_first
46	2770	-1292-12-22	-1292	270.70	298.04	-1.59	2460.48	-22.11	ayana_uttara
47	2880	-1291-04-11	-1291	18.66	63.79	3.27	2941.11	24.12	lon_bend_west
48	2944	-1291-06-14	-1291	79.62	87.39	-4.16	2967.24	19.25	west_visibility_last
49	2955	-1291-06-25	-1291	90.16	80.81	-6.15	2960.44	16.98	east_visibility_first
50	2956	-1291-06-26	-1291	91.12	80.27	-6.27	2959.89	16.83	ayana_dakshina
51	3022	-1291-08-31	-1291	155.70	109.25	-1.54	2990.60	20.53	lon_bend_east
52	3136	-1291-12-23	-1291	271.47	243.90	0.64	2762.03	-20.30	ayana_uttara
53	3213	-1290-03-10	-1290	347.69	338.89	-1.41	2861.03	-9.54	east_visibility_last
54	3279	-1290-05-15	-1290	50.80	59.92	0.62	3297.59	20.74	west_visibility_first
55	3321	-1290-06-26	-1290	90.89	111.51	1.53	3353.50	23.24	ayana_dakshina
56	3466	-1290-11-18	-1290	235.61	282.84	-2.06	3164.17	-24.87	lon_bend_west
57	3501	-1290-12-23	-1290	271.22	311.62	2.07	3193.49	-15.31	ayana_uttara
58	3532	-1289-01-23	-1289	302.34	310.81	8.07	3191.03	-9.75	west_visibility_last
59	3543	-1289-02-03	-1289	313.24	304.05	8.41	3184.36	-11.06	east_visibility_first
60	3608	-1289-04-09	-1289	16.29	330.44	-0.81	3212.80	-12.08	lon_bend_east
61	3686	-1289-06-26	-1289	90.66	56.45	-1.29	3654.45	18.11	ayana_dakshina
62	3789	-1289-10-07	-1289	192.50	183.54	1.20	3423.72	-0.31	east_visibility_last
63	3865	-1289-12-22	-1289	269.97	279.12	-1.31	3520.02	-24.43	west_visibility_first
64	3866	-1289-12-23	-1289	270.98	280.37	-1.33	3521.39	-24.36	ayana_uttara
65	4048	-1288-06-22	-1288	87.55	133.41	0.08	4095.90	16.87	lon_bend_west
66	4052	-1288-06-26	-1288	91.39	137.16	-0.34	4099.50	15.37	ayana_dakshina
67	4112	-1288-08-25	-1288	150.00	158.10	-8.70	4116.52	0.46	west_visibility_last
68	4123	-1288-09-05	-1288	160.97	151.64	-7.84	4110.86	3.55	east_visibility_first
69	4190	-1288-11-11	-1288	228.98	182.11	2.54	3782.94	1.49	lon_bend_east
70	4231	-1288-12-22	-1288	270.73	227.93	2.27	3826.12	-14.99	ayana_uttara
71	4377	-1287-05-17	-1287	52.96	44.14	-0.38	4361.79	15.72	east_visibility_last
72	4417	-1287-06-26	-1287	91.16	93.40	1.06	4413.73	24.46	ayana_dakshina
73	4442	-1287-07-21	-1287	115.33	124.43	1.43	4447.13	20.54	west_visibility_first
74	4597	-1287-12-23	-1287	271.50	314.59	-0.97	4277.35	-17.39	ayana_uttara
75	4633	-1286-01-28	-1286	307.57	353.54	1.97	4313.29	-0.75	lon_bend_west
76	4698	-1286-04-03	-1286	10.82	18.69	5.25	4695.21	12.17	west_visibility_last
77	4709	-1286-04-14	-1286	21.33	11.96	3.09	4689.78	7.57	east_visibility_first
78	4775	-1286-06-19	-1286	84.21	38.47	-3.37	4717.19	11.14	lon_bend_east
79	4782	-1286-06-26	-1286	90.92	45.40	-3.15	4723.87	13.44	ayana_dakshina
80	4962	-1286-12-23	-1286	271.25	262.17	-0.56	4581.44	-23.77	ayana_uttara
81	4963	-1286-12-24	-1286	272.27	263.42	-0.60	4582.81	-23.87	east_visibility_last
82	5035	-1285-03-06	-1285	343.61	352.80	-0.95	4673.76	-3.73	west_visibility_first
83	5147	-1285-06-26	-1285	90.69	128.33	1.33	5171.11	19.47	ayana_dakshina
84	5217	-1285-09-04	-1285	159.25	206.34	-3.49	4883.13	-13.42	lon_bend_west
85	5283	-1285-11-09	-1285	226.19	234.07	-0.61	4911.53	-19.38	west_visibility_last
86	5294	-1285-11-20	-1285	237.43	227.58	2.17	4905.75	-15.00	east_visibility_first
87	5327	-1285-12-23	-1285	271.01	229.82	5.06	4908.77	-12.81	ayana_uttara
88	5360	-1284-01-25	-1284	304.11	257.68	2.99	4936.90	-19.89	lon_bend_east
