year	event	date	sun_lon	obj_lon	sun_lon_dms	obj_lon_dms	obj_rise_set	sun_rise_set	delta_rise_set	age	mag	sun_alt	obj_lat	az_diff	lon_diff	sun_sz	obj_az
-1299	evening_last_visibility	-1299-06-24	79.78	91.32	79° 47'	91° 19'	19:45	19:17	0:27h	-7d 21h	-3.4	-6° 04'	-3° 53'	-9° 23'	11° 31'	121° 34'	112° 11'
-1299	morning_first_visibility	-1299-07-11	95.50	81.90	95° 30'	81° 54'	4:49	5:15	-0:26h	8d 12h	-3.5	-5° 51'	-6° 39'	13° 07'	-13° 36'	238° 14'	251° 21'
-1298	evening_first_visibility	-1298-05-23	49.03	56.95	49° 02'	56° 57'	19:25	18:59	0:26h	28d 08h	-3.4	-6° 02'	0° 30'	-1° 58'	7° 55'	114° 33'	112° 35'
-1298	morning_last_visibility	-1298-03-03	330.77	316.80	330° 46'	316° 48'	6:37	7:02	-0:25h	-53d 04h	-3.3	-6° 11'	-1° 23'	11° 38'	-13° 58'	279° 36'	291° 14'
-1297	evening_last_visibility	-1297-02-06	306.38	312.38	306° 23'	312° 23'	18:25	17:59	0:26h	-4d 03h	-3.4	-6° 09'	8° 18'	6° 28'	6° 00'	71° 35'	78° 03'
-1297	morning_first_visibility	-1297-02-12	311.85	308.90	311° 51'	308° 54'	6:52	7:19	-0:27h	1d 10h	-3.2	-6° 28'	8° 31'	-3° 49'	-2° 57'	286° 32'	282° 43'
-1297	morning_last_visibility	-1297-10-25	200.20	192.40	200° 12'	192° 24'	6:03	6:27	-0:24h	-32d 23h	-3.4	-6° 09'	1° 02'	-0° 05'	-7° 48'	275° 44'	275° 40'
-1296	evening_first_visibility	-1296-01-06	275.07	284.75	275° 04'	284° 45'	18:04	17:36	0:27h	40d 13h	-3.4	-6° 12'	-1° 22'	-5° 43'	9° 41'	66° 07'	60° 23'
-1296	evening_last_visibility	-1296-08-28	143.20	164.83	143° 12'	164° 50'	19:23	19:01	0:21h	-15d 03h	-4	-5° 13'	-8° 02'	-21° 59'	21° 38'	109° 29'	87° 30'
-1296	morning_first_visibility	-1296-09-18	163.55	154.52	163° 33'	154° 31'	5:37	6:02	-0:24h	5d 07h	-3.5	-6° 03'	-7° 42'	8° 55'	-9° 02'	258° 48'	267° 44'
-1295	evening_first_visibility	-1295-08-05	120.37	130.17	120° 22'	130° 10'	19:44	19:18	0:26h	35d 09h	-3.4	-6° 00'	1° 25'	-6° 16'	9° 48'	117° 46'	111° 29'
-1295	morning_last_visibility	-1295-05-11	37.32	23.35	37° 19'	23° 21'	5:11	5:37	-0:25h	-51d 06h	-3.3	-6° 02'	-1° 01'	11° 40'	-13° 59'	249° 47'	261° 27'
-1294	evening_last_visibility	-1294-04-16	13.80	20.77	13° 48'	20° 46'	19:03	18:39	0:23h	-4d 20h	-3.2	-5° 51'	4° 55'	3° 57'	6° 58'	99° 51'	103° 48'
-1294	morning_first_visibility	-1294-04-27	23.77	14.38	23° 46'	14° 23'	5:28	5:53	-0:24h	5d 15h	-3.2	-6° 03'	2° 48'	5° 53'	-9° 23'	255° 30'	261° 23'
-1293	evening_first_visibility	-1293-03-14	341.77	349.77	341° 46'	349° 46'	18:47	18:23	0:24h	30d 20h	-3.4	-6° 06'	-1° 02'	-1° 58'	8° 01'	85° 07'	83° 09'
-1293	evening_last_visibility	-1293-11-19	226.25	238.23	226° 15'	238° 14'	18:00	17:36	0:24h	-7d 21h	-3.6	-5° 54'	-0° 53'	-9° 17'	11° 59'	73° 47'	64° 30'
-1293	morning_first_visibility	-1293-12-02	239.03	230.93	239° 02'	230° 56'	6:31	7:00	-0:29h	4d 15h	-3.3	-6° 45'	2° 16'	0° 09'	-8° 07'	289° 33'	289° 43'
-1293	morning_last_visibility	-1293-01-03	271.85	262.23	271° 51'	262° 14'	6:56	7:24	-0:28h	-39d 16h	-3.4	-6° 16'	-0° 32'	5° 23'	-9° 37'	293° 57'	299° 21'
-1292	evening_first_visibility	-1292-10-29	205.60	218.32	205° 36'	218° 19'	18:17	17:53	0:24h	51d 02h	-3.4	-6° 06'	-0° 13'	-10° 01'	12° 43'	81° 53'	71° 52'
-1292	morning_last_visibility	-1292-08-09	123.93	115.97	123° 56'	115° 58'	5:06	5:33	-0:27h	-30d 11h	-3.4	-6° 07'	1° 12'	1° 44'	-7° 58'	243° 10'	244° 54'
-1291	evening_last_visibility	-1291-06-22	77.93	88.93	77° 56'	88° 56'	19:43	19:16	0:26h	-7d 13h	-3.4	-5° 54'	-3° 40'	-8° 48'	11° 01'	121° 14'	112° 26'
-1291	morning_first_visibility	-1291-07-09	93.63	79.53	93° 38'	79° 32'	4:46	5:15	-0:28h	8d 20h	-3.5	-6° 08'	-6° 29'	13° 23'	-14° 06'	237° 57'	251° 20'
-1290	evening_first_visibility	-1290-05-21	47.20	55.17	47° 12'	55° 10'	19:24	18:58	0:26h	28d 15h	-3.4	-6° 06'	0° 28'	-1° 56'	7° 59'	113° 58'	112° 02'
-1290	morning_last_visibility	-1290-03-01	328.87	315.00	328° 52'	315° 00'	6:39	7:04	-0:25h	-52d 22h	-3.3	-6° 13'	-1° 22'	11° 30'	-13° 52'	280° 22'	291° 52'
-1289	evening_last_visibility	-1289-02-04	304.45	309.90	304° 27'	309° 54'	18:21	17:57	0:23h	-3d 18h	-3.3	-5° 41'	8° 15'	6° 28'	5° 26'	70° 46'	77° 14'
-1289	morning_first_visibility	-1289-02-10	309.93	306.42	309° 56'	306° 25'	6:51	7:20	-0:29h	1d 19h	-3.3	-6° 49'	8° 30'	-3° 30'	-3° 31'	286° 57'	283° 27'
-1289	morning_last_visibility	-1289-10-23	198.22	190.57	198° 13'	190° 34'	6:02	6:26	-0:23h	-32d 08h	-3.4	-6° 01'	1° 04'	-0° 09'	-7° 40'	274° 56'	274° 47'
-1288	evening_first_visibility	-1288-01-04	273.12	282.93	273° 07'	282° 56'	18:03	17:35	0:27h	41d 04h	-3.4	-6° 15'	-1° 21'	-5° 54'	9° 49'	66° 04'	60° 10'
-1288	evening_last_visibility	-1288-08-25	140.30	162.57	140° 18'	162° 34'	19:28	19:04	0:24h	-15d 16h	-4	-5° 49'	-7° 56'	-22° 24'	22° 17'	111° 01'	88° 37'
-1288	morning_first_visibility	-1288-09-16	161.60	151.88	161° 36'	151° 53'	5:33	6:00	-0:27h	5d 18h	-3.5	-6° 38'	-7° 48'	9° 11'	-9° 43'	257° 33'	266° 44'
-1287	evening_first_visibility	-1287-08-03	118.47	128.35	118° 28'	128° 21'	19:46	19:19	0:27h	35d 15h	-3.4	-6° 07'	1° 26'	-6° 16'	9° 53'	118° 20'	112° 04'
-1287	morning_last_visibility	-1287-05-08	34.53	20.35	34° 32'	20° 21'	5:15	5:40	-0:25h	-52d 00h	-3.3	-6° 02'	-1° 04'	11° 55'	-14° 11'	250° 54'	262° 49'
-1286	evening_last_visibility	-1286-04-14	11.95	18.45	11° 57'	18° 27'	19:00	18:38	0:21h	-4d 13h	-3.2	-5° 24'	5° 08'	4° 15'	6° 31'	98° 43'	102° 58'
-1286	morning_first_visibility	-1286-04-24	20.97	12.65	20° 58'	12° 39'	5:33	5:56	-0:23h	4d 22h	-3.1	-5° 47'	3° 16'	4° 47'	-8° 19'	256° 55'	261° 42'
-1285	evening_first_visibility	-1285-03-12	339.88	347.98	339° 53'	347° 59'	18:47	18:22	0:25h	31d 07h	-3.4	-6° 11'	-1° 04'	-2° 02'	8° 06'	84° 19'	82° 17'
-1285	evening_last_visibility	-1285-11-16	223.25	236.00	223° 15'	236° 00'	18:02	17:38	0:24h	-8d 09h	-3.6	-5° 55'	-1° 24'	-10° 19'	12° 45'	74° 50'	64° 31'
-1285	morning_first_visibility	-1285-11-29	236.03	228.73	236° 02'	228° 44'	6:33	6:58	-0:24h	4d 03h	-3.2	-5° 51'	1° 46'	0° 19'	-7° 19'	289° 17'	289° 35'
-1285	morning_last_visibility	-1285-01-01	269.88	260.42	269° 53'	260° 25'	6:55	7:23	-0:27h	-39d 05h	-3.4	-6° 15'	-0° 30'	5° 10'	-9° 28'	293° 59'	299° 09'
-1284	evening_first_visibility	-1284-10-26	202.60	215.22	202° 36'	215° 13'	18:20	17:55	0:24h	50d 11h	-3.4	-6° 01'	-0° 08'	-9° 58'	12° 37'	83° 08'	73° 10'
-1284	morning_last_visibility	-1284-08-07	122.05	114.17	122° 03'	114° 10'	5:05	5:31	-0:26h	-30d 02h	-3.4	-6° 01'	1° 10'	1° 50'	-7° 53'	242° 42'	244° 32'
-1283	evening_last_visibility	-1283-06-20	76.08	86.58	76° 05'	86° 35'	19:41	19:15	0:25h	-7d 04h	-3.3	-5° 43'	-3° 27'	-8° 14'	10° 30'	120° 52'	112° 39'
-1283	morning_first_visibility	-1283-07-07	91.77	77.18	91° 46'	77° 11'	4:44	5:14	-0:30h	9d 05h	-3.5	-6° 25'	-6° 18'	13° 39'	-14° 35'	237° 42'	251° 21'
-1282	evening_first_visibility	-1282-05-19	45.35	53.40	45° 21'	53° 24'	19:23	18:57	0:26h	28d 21h	-3.4	-6° 10'	0° 25'	-1° 54'	8° 02'	113° 21'	111° 28'
-1282	morning_last_visibility	-1282-02-28	327.95	314.43	327° 57'	314° 26'	6:40	7:05	-0:24h	-51d 16h	-3.3	-6° 01'	-1° 22'	11° 12'	-13° 31'	280° 51'	292° 03'
-1280	evening_first_visibility	-1280-01-01	270.13	279.85	270° 08'	279° 51'	18:00	17:34	0:26h	40d 19h	-3.4	-6° 02'	-1° 20'	-6° 01'	9° 43'	65° 54'	59° 53'
-1281	evening_last_visibility	-1281-02-02	302.52	307.38	302° 31'	307° 23'	18:18	17:56	0:21h	-3d 09h	-3.3	-5° 14'	8° 12'	6° 28'	4° 51'	69° 58'	76° 27'
-1281	morning_first_visibility	-1281-02-07	307.02	304.52	307° 01'	304° 31'	6:57	7:22	-0:25h	1d 03h	-3.2	-6° 01'	8° 28'	-4° 17'	-2° 30'	288° 18'	284° 01'
-1281	morning_last_visibility	-1281-10-20	195.23	187.45	195° 14'	187° 27'	5:59	6:23	-0:24h	-32d 17h	-3.4	-6° 07'	1° 07'	-0° 14'	-7° 46'	273° 31'	273° 18'
-1280	evening_first_visibility	-1280-01-01	270.13	279.85	270° 08'	279° 51'	18:00	17:34	0:26h	40d 19h	-3.4	-6° 02'	-1° 20'	-6° 01'	9° 43'	65° 54'	59° 53'
-1280	evening_last_visibility	-1280-08-23	138.38	160.08	138° 23'	160° 05'	19:29	19:06	0:23h	-15d 05h	-4	-5° 36'	-7° 56'	-21° 54'	21° 43'	111° 37'	89° 42'
-1280	morning_first_visibility	-1280-09-14	159.65	149.25	159° 39'	149° 15'	5:29	5:59	-0:30h	6d 05h	-3.5	-7° 13'	-7° 53'	9° 28'	-10° 25'	256° 18'	265° 46'
-1279	evening_first_visibility	-1279-07-31	115.60	125.30	115° 36'	125° 18'	19:47	19:20	0:27h	34d 20h	-3.4	-6° 04'	1° 26'	-6° 00'	9° 41'	119° 00'	113° 00'
-1279	morning_last_visibility	-1279-05-05	31.73	17.35	31° 44'	17° 21'	5:18	5:43	-0:25h	-52d 18h	-3.3	-6° 02'	-1° 08'	12° 09'	-14° 23'	252° 04'	264° 13'
-1278	evening_last_visibility	-1278-04-11	9.13	16.73	9° 08'	16° 44'	19:03	18:37	0:26h	-5d 05h	-3.2	-6° 31'	5° 29'	4° 29'	7° 36'	98° 05'	102° 34'
