jd	date	year	event	sun_lon	obj_lon
1246774.583321759	-1299-06-24	-1299	evening_last_visibility	79.78	91.32
1246791.8888773147	-1299-07-11	-1299	morning_first_visibility	95.5	81.9
1247108.5277662035	-1298-05-23	-1298	evening_first_visibility	49.03	56.95
1247027.9166550925	-1298-03-03	-1298	morning_last_visibility	330.77	316.8
1247365.8610995368	-1297-02-06	-1297	evening_last_visibility	306.38	312.38
1247371.8610995368	-1297-02-12	-1297	morning_first_visibility	311.85	308.9
1247627.3055439813	-1297-10-25	-1297	morning_last_visibility	200.2	192.4
1247700.8055439813	-1296-01-06	-1296	evening_first_visibility	275.07	284.75
1247934.9444328703	-1296-08-28	-1296	evening_last_visibility	143.2	164.83
1247955.2499884258	-1296-09-18	-1296	morning_first_visibility	163.55	154.52
1248277.1944328703	-1295-08-05	-1295	evening_first_visibility	120.37	130.17
1248192.2777662035	-1295-05-11	-1295	morning_last_visibility	37.32	23.35
1248532.222210648	-1294-04-16	-1294	evening_last_visibility	13.8	20.77
1248543.222210648	-1294-04-27	-1294	morning_first_visibility	23.77	14.38
1248865.1666550925	-1293-03-14	-1293	evening_first_visibility	341.77	349.77
1249112.6110995368	-1293-11-19	-1293	evening_last_visibility	226.25	238.23
1249125.9166550925	-1293-12-02	-1293	morning_first_visibility	239.03	230.93
1248793.5555439813	-1293-01-03	-1293	morning_last_visibility	271.85	262.23
1249457.5555439813	-1292-10-29	-1292	evening_first_visibility	205.6	218.32
1249376.9444328703	-1292-08-09	-1292	morning_last_visibility	123.93	115.97
1249694.583321759	-1291-06-22	-1291	evening_last_visibility	77.93	88.93
1249711.8888773147	-1291-07-09	-1291	morning_first_visibility	93.63	79.53
1250028.5277662035	-1290-05-21	-1290	evening_first_visibility	47.2	55.17
1249947.9166550925	-1290-03-01	-1290	morning_last_visibility	328.87	315.0
1250285.8610995368	-1289-02-04	-1289	evening_last_visibility	304.45	309.9
1250291.8610995368	-1289-02-10	-1289	morning_first_visibility	309.93	306.42
1250547.3055439813	-1289-10-23	-1289	morning_last_visibility	198.22	190.57
1250620.8055439813	-1288-01-04	-1288	evening_first_visibility	273.12	282.93
1250853.9444328703	-1288-08-25	-1288	evening_last_visibility	140.3	162.57
1250875.2499884258	-1288-09-16	-1288	morning_first_visibility	161.6	151.88
1251197.1944328703	-1287-08-03	-1287	evening_first_visibility	118.47	128.35
1251111.2777662035	-1287-05-08	-1287	morning_last_visibility	34.53	20.35
1251452.222210648	-1286-04-14	-1286	evening_last_visibility	11.95	18.45
1251462.222210648	-1286-04-24	-1286	morning_first_visibility	20.97	12.65
1251785.1666550925	-1285-03-12	-1285	evening_first_visibility	339.88	347.98
1252031.6110995368	-1285-11-16	-1285	evening_last_visibility	223.25	236.0
1252044.6110995368	-1285-11-29	-1285	morning_first_visibility	236.03	228.73
1251713.5555439813	-1285-01-01	-1285	morning_last_visibility	269.88	260.42
1252376.5555439813	-1284-10-26	-1284	evening_first_visibility	202.6	215.22
1252296.9444328703	-1284-08-07	-1284	morning_last_visibility	122.05	114.17
1252614.583321759	-1283-06-20	-1283	evening_last_visibility	76.08	86.58
1252631.8888773147	-1283-07-07	-1283	morning_first_visibility	91.77	77.18
1252948.5277662035	-1282-05-19	-1282	evening_first_visibility	45.35	53.4
1252866.6110995368	-1282-02-28	-1282	morning_last_visibility	327.95	314.43
1253539.8055439813	-1280-01-01	-1280	evening_first_visibility	270.13	279.85
1253205.8610995368	-1281-02-02	-1281	evening_last_visibility	302.52	307.38
1253210.8610995368	-1281-02-07	-1281	morning_first_visibility	307.02	304.52
1253466.3055439813	-1281-10-20	-1281	morning_last_visibility	195.23	187.45
1253539.8055439813	-1280-01-01	-1280	evening_first_visibility	270.13	279.85
1253773.9444328703	-1280-08-23	-1280	evening_last_visibility	138.38	160.08
1253795.2499884258	-1280-09-14	-1280	morning_first_visibility	159.65	149.25
1254116.8888773147	-1279-07-31	-1279	evening_first_visibility	115.6	125.3
1254030.2777662035	-1279-05-05	-1279	morning_last_visibility	31.73	17.35
1254371.222210648	-1278-04-11	-1278	evening_last_visibility	9.13	16.73
1254382.222210648	-1278-04-22	-1278	morning_first_visibility	19.12	10.33
1254632.6666550925	-1278-12-30	-1278	morning_last_visibility	267.92	258.57
1254705.1666550925	-1277-03-10	-1277	evening_first_visibility	338.0	346.18
1254950.6110995368	-1277-11-13	-1277	evening_last_visibility	220.23	233.73
1254964.6110995368	-1277-11-27	-1277	morning_first_visibility	234.03	225.95
1255296.5555439813	-1276-10-24	-1276	evening_first_visibility	200.62	213.37
1255215.9444328703	-1276-08-04	-1276	morning_last_visibility	119.17	111.1
1255534.583321759	-1275-06-18	-1275	evening_last_visibility	74.22	84.22
1255551.8888773147	-1275-07-05	-1275	morning_first_visibility	89.9	74.85
