index,युग,अब्दः,सौरायन,सौरृतु,सौरमासः,चान्द्रमासः,स्तृमासः,पर्व,चान्द्रायन,नक्षत्रम्,द्रोण_कुम्भक,द्युः,आढक,अंश_भांश,कुडव_कुटप,hours,मुहुर्त,नाडिका,पलम्,भागा,कला,minutes,गुर्वाक्षर,काष्ठा
युग,"(1, 1)","(1, 5)","(1, 10)","(33, 1000)","(2, 125)","(2, 125)","(3, 200)","(1, 125)","(7, 1000)","(7, 1000)","(1, 500)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
अब्दः,"(5, 1)","(1, 1)","(1, 2)","(167, 1000)","(41, 500)","(81, 1000)","(3, 40)","(1, 25)","(37, 1000)","(37, 1000)","(9, 1000)","(3, 1000)","(1, 500)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
सौरायन,"(10, 1)","(2, 1)","(1, 1)","(333, 1000)","(41, 250)","(161, 1000)","(149, 1000)","(81, 1000)","(3, 40)","(37, 500)","(9, 500)","(1, 200)","(1, 250)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
सौरृतु,"(30, 1)","(6, 1)","(3, 1)","(1, 1)","(123, 250)","(121, 250)","(56, 125)","(121, 500)","(28, 125)","(111, 500)","(53, 1000)","(2, 125)","(13, 1000)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
सौरमासः,"(61, 1)","(61, 5)","(61, 10)","(2033, 1000)","(1, 1)","(123, 125)","(91, 100)","(123, 250)","(91, 200)","(113, 250)","(107, 1000)","(33, 1000)","(27, 1000)","(1, 250)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
चान्द्रमासः,"(62, 1)","(62, 5)","(31, 5)","(2067, 1000)","(127, 125)","(1, 1)","(37, 40)","(1, 2)","(463, 1000)","(459, 1000)","(109, 1000)","(17, 500)","(27, 1000)","(1, 250)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
स्तृमासः,"(67, 1)","(67, 5)","(67, 10)","(2233, 1000)","(549, 500)","(1081, 1000)","(1, 1)","(27, 50)","(1, 2)","(62, 125)","(59, 500)","(37, 1000)","(29, 1000)","(1, 250)","(1, 500)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
पर्व,"(124, 1)","(124, 5)","(62, 5)","(4133, 1000)","(2033, 1000)","(2, 1)","(1851, 1000)","(1, 1)","(37, 40)","(919, 1000)","(109, 500)","(17, 250)","(27, 500)","(7, 1000)","(3, 1000)","(3, 1000)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
चान्द्रायन,"(134, 1)","(134, 5)","(67, 5)","(4467, 1000)","(2197, 1000)","(2161, 1000)","(2, 1)","(1081, 1000)","(1, 1)","(993, 1000)","(59, 250)","(73, 1000)","(59, 1000)","(1, 125)","(1, 250)","(3, 1000)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
नक्षत्रम्,"(135, 1)","(27, 1)","(27, 2)","(9, 2)","(2213, 1000)","(2177, 1000)","(403, 200)","(1089, 1000)","(1007, 1000)","(1, 1)","(237, 1000)","(37, 500)","(59, 1000)","(1, 125)","(1, 250)","(3, 1000)","(1, 500)","(1, 1000)","(1, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)","(0, 1)"
द्रोण_कुम्भक,"(71114, 125)","(56891, 500)","(56891, 1000)","(4741, 250)","(4663, 500)","(1147, 125)","(8491, 1000)","(1147, 250)","(2123, 500)","(2107, 500)","(1, 1)","(311, 1000)","(1, 4)","(17, 500)","(2, 125)","(13, 1000)","(1, 100)","(1, 200)","(1, 200)","(3, 1000)","(1, 1000)","(0, 1)","(0, 1)","(0, 1)"
