journal	paper	subject	category	author	url	size_in_kb	year	ju_url
IJHS-1-1966-Issue-1	The Theory of Chemical Combination in Ancient Indian Philosophies	Philosophy	Indic	 Priyadaranjan Ray	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_1_PRay.pdf	272.0		
IJHS-1-1966-Issue-1	What was ‘The Scientific Revolution’ ?	Philosophy	Western	 J R Ravetz	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_2_JRRavetz.pdf	133.0		
IJHS-1-1966-Issue-1	Stellar Distances: Galileo's Method and Its Subsequent History	Astronomy	Western	 Michael Hoskin	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_3_MHoskin.pdf	189.0		
IJHS-1-1966-Issue-1	A Survival of Babylonian Arithmetic in ew Guinea?	Math	Other	 Derek J De Solla Price	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_4_DJDSPrice.pdf	80.0		
IJHS-1-1966-Issue-1	The Impetus Theory of the Vaisesikas	Philosophy	Indic	 S N Sen	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_5_SNSen.pdf	261.0		
IJHS-1-1966-Issue-1	New History of Optical Microscope	Other	Western	 Vasco Ronchi	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_6_VRonchi.pdf	275.0		
IJHS-1-1966-Issue-1	The Indian Doctrine of Five Elemnets	Philosophy	Indic	 V Subbarayappa	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_7_VSubbarayappa.pdf	174.0		
IJHS-1-1966-Issue-1	Binomial Theorem in Ancient India	Math	Indic	 Amulya Kumar Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_8_AKBag.pdf	134.0		
IJHS-1-1966-Issue-1	Problems of Biological Philisophy with regard to the Philosophy of the Upanisads	Biology	Indic	 Bernhard Rensch	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_9_BRensch.pdf	147.0		
IJHS-1-1966-Issue-2	Uigur and Tibetian Lists of the Indian Lunar Mansions	Astronomy	Indic	 Winfried Petri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_1_WPetri.pdf	187.0		
IJHS-1-1966-Issue-2	Methods of Sterilization and Sex– Determinaton in the Arthava–Veda and in the Brhad–Aranyakopanishad	Medicine	Indic	 Mira Roy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_2_MRoy.pdf	171.0		
IJHS-1-1966-Issue-2	Trigonometrical Series in the Karanapaddhati and the Probable Date of the Text	Math	Indic	 A K Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_3_AKBag.pdf	174.0		
IJHS-1-1966-Issue-2	Land Classification in Ancient India	Agriculture	Indic	 S P Raychaudhuri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_4_SPRaychaudhuri.pdf	117.0		
IJHS-1-1966-Issue-2	Introduction of Western Science in India	Other	Indic	 S N Sen	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_5_SNSen.pdf	284.0		
IJHS-1-1966-Issue-2	Characteristics of the History of Science and Technology of Modern Japan	Other	Fareast	 Minoru Tanaka	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_6_MTanaka.pdf	245.0		
IJHS-1-1966-Issue-2	Paper Technology in Medieval India	Other	Indic	 S A K Ghori and A Rahman	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_7_SAKGhori.pdf	314.0		
IJHS-1-1966-Issue-2	Botanical Explorations of Victor Jacquemont	Biology	Western	 Raj Kumar Gupta	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_8_RKGupta.pdf	239.0		
IJHS-1-1966-Issue-2	Notes	Other	Other	 	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_9_Notes.pdf	84.0		
IJHS-2-1967-Issue-1	Origin and Tradition of Alchemy	Metallurgy	Other	 Priyadaranjan Ray	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_1_1_PRay.pdf	426.0		
