journal	paper	author	url	size_in_kb	year	ju_url
IJHS-1-1966-Issue-1	The Theory of Chemical Combination in Ancient Indian Philosophies 	 Priyadaranjan Ray	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_1_PRay.pdf	272.0		
IJHS-1-1966-Issue-1	What was ‘The Scientific Revolution’ ? 	 J R Ravetz	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_2_JRRavetz.pdf	133.0		
IJHS-1-1966-Issue-1	Stellar Distances: Galileo's Method and Its Subsequent History 	 Michael Hoskin	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_3_MHoskin.pdf	189.0		
IJHS-1-1966-Issue-1	A Survival of Babylonian Arithmetic in ew Guinea? 	 Derek J De Solla Price	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_4_DJDSPrice.pdf	80.0		
IJHS-1-1966-Issue-1	The Impetus Theory of the Vaisesikas 	 S N Sen	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_5_SNSen.pdf	261.0		
IJHS-1-1966-Issue-1	New History of Optical Microscope 	 Vasco Ronchi	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_6_VRonchi.pdf	275.0		
IJHS-1-1966-Issue-1	The Indian Doctrine of Five Elemnets 	 V Subbarayappa	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_7_VSubbarayappa.pdf	174.0		
IJHS-1-1966-Issue-1	Binomial Theorem in Ancient India 	 Amulya Kumar Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_8_AKBag.pdf	134.0		
IJHS-1-1966-Issue-1	Problems of Biological Philisophy with regard to the Philosophy of the Upanisads 	 Bernhard Rensch	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_9_BRensch.pdf	147.0		
IJHS-1-1966-Issue-2	Uigur and Tibetian Lists of the Indian Lunar Mansions 	 Winfried Petri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_1_WPetri.pdf	187.0		
IJHS-1-1966-Issue-2	Methods of Sterilization and Sex– Determinaton in the Arthava–Veda and in the Brhad–Aranyakopanishad 	 Mira Roy	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_2_MRoy.pdf	171.0		
IJHS-1-1966-Issue-2	Trigonometrical Series in the Karanapaddhati and the Probable Date of the Text 	 A K Bag	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_3_AKBag.pdf	174.0		
IJHS-1-1966-Issue-2	Land Classification in Ancient India 	 S P Raychaudhuri	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_4_SPRaychaudhuri.pdf	117.0		
