nid	naks	gname	lon	lat	year	date	jd
N06-Ard	आर्द्रा	α Ori	26.445	-16.639	-2500	-2500-12-31T06:00:00	808297.534468
N10-Mag	मघाः	α Leo	87.901	0.163	-2500	-2500-12-31T06:00:00	808297.534468
N18-Jye	ज्येष्ठा	α Sco	187.538	-3.995	-2500	-2500-12-31T06:00:00	808297.534468
N19-Mul	मूलं	λ Sco	202.357	-13.158	-2500	-2500-12-31T06:00:00	808297.534468
N20-PAsh	पूर्वाषाढा	λ Sgr	214.167	-1.278	-2500	-2500-12-31T06:00:00	808297.534468
N21-UAsh	उत्तराषाढा	τ Sgr	222.760	-4.227	-2500	-2500-12-31T06:00:00	808297.534468
N27-Rev	रेवती	ξ Psc	325.156	-8.155	-2500	-2500-12-31T06:00:00	808297.534468
N06-Ard	आर्द्रा	α Ori	27.132	-16.633	-2450	-2450-12-31T18:00:00	826560.034468
N10-Mag	मघाः	α Leo	88.583	0.168	-2450	-2450-12-31T18:00:00	826560.034468
N18-Jye	ज्येष्ठा	α Sco	188.224	-4.000	-2450	-2450-12-31T18:00:00	826560.034468
N19-Mul	मूलं	λ Sco	203.043	-13.165	-2450	-2450-12-31T18:00:00	826560.034468
N20-PAsh	पूर्वाषाढा	λ Sgr	214.851	-1.288	-2450	-2450-12-31T18:00:00	826560.034468
N21-UAsh	उत्तराषाढा	τ Sgr	223.444	-4.237	-2450	-2450-12-31T18:00:00	826560.034468
N27-Rev	रेवती	ξ Psc	325.843	-8.153	-2450	-2450-12-31T18:00:00	826560.034468
N06-Ard	आर्द्रा	α Ori	27.819	-16.626	-2400	-2400-12-31T06:00:00	844822.534468
N10-Mag	मघाः	α Leo	89.265	0.172	-2400	-2400-12-31T06:00:00	844822.534468
N18-Jye	ज्येष्ठा	α Sco	188.909	-4.006	-2400	-2400-12-31T06:00:00	844822.534468
N19-Mul	मूलं	λ Sco	203.728	-13.172	-2400	-2400-12-31T06:00:00	844822.534468
N20-PAsh	पूर्वाषाढा	λ Sgr	215.536	-1.297	-2400	-2400-12-31T06:00:00	844822.534468
N21-UAsh	उत्तराषाढा	τ Sgr	224.128	-4.247	-2400	-2400-12-31T06:00:00	844822.534468
N27-Rev	रेवती	ξ Psc	326.531	-8.152	-2400	-2400-12-31T06:00:00	844822.534468
N06-Ard	आर्द्रा	α Ori	28.506	-16.619	-2350	-2350-12-31T18:00:00	863085.034468
N10-Mag	मघाः	α Leo	89.948	0.176	-2350	-2350-12-31T18:00:00	863085.034468
N18-Jye	ज्येष्ठा	α Sco	189.595	-4.012	-2350	-2350-12-31T18:00:00	863085.034468
N19-Mul	मूलं	λ Sco	204.414	-13.178	-2350	-2350-12-31T18:00:00	863085.034468
N20-PAsh	पूर्वाषाढा	λ Sgr	216.221	-1.307	-2350	-2350-12-31T18:00:00	863085.034468
N21-UAsh	उत्तराषाढा	τ Sgr	224.811	-4.257	-2350	-2350-12-31T18:00:00	863085.034468
N27-Rev	रेवती	ξ Psc	327.218	-8.150	-2350	-2350-12-31T18:00:00	863085.034468
N06-Ard	आर्द्रा	α Ori	29.193	-16.612	-2300	-2300-12-31T06:00:00	881347.534468
N10-Mag	मघाः	α Leo	90.630	0.181	-2300	-2300-12-31T06:00:00	881347.534468
N18-Jye	ज्येष्ठा	α Sco	190.281	-4.018	-2300	-2300-12-31T06:00:00	881347.534468
N19-Mul	मूलं	λ Sco	205.099	-13.185	-2300	-2300-12-31T06:00:00	881347.534468
N20-PAsh	पूर्वाषाढा	λ Sgr	216.906	-1.317	-2300	-2300-12-31T06:00:00	881347.534468
N21-UAsh	उत्तराषाढा	τ Sgr	225.496	-4.267	-2300	-2300-12-31T06:00:00	881347.534468
N27-Rev	रेवती	ξ Psc	327.905	-8.149	-2300	-2300-12-31T06:00:00	881347.534468
N06-Ard	आर्द्रा	α Ori	29.880	-16.605	-2250	-2250-12-31T18:00:00	899610.034468
N10-Mag	मघाः	α Leo	91.313	0.185	-2250	-2250-12-31T18:00:00	899610.034468
N18-Jye	ज्येष्ठा	α Sco	190.967	-4.024	-2250	-2250-12-31T18:00:00	899610.034468
N19-Mul	मूलं	λ Sco	205.785	-13.192	-2250	-2250-12-31T18:00:00	899610.034468
N20-PAsh	पूर्वाषाढा	λ Sgr	217.591	-1.327	-2250	-2250-12-31T18:00:00	899610.034468
N21-UAsh	उत्तराषाढा	τ Sgr	226.180	-4.277	-2250	-2250-12-31T18:00:00	899610.034468
N27-Rev	रेवती	ξ Psc	328.593	-8.147	-2250	-2250-12-31T18:00:00	899610.034468
N06-Ard	आर्द्रा	α Ori	30.568	-16.599	-2200	-2200-12-31T06:00:00	917872.534468
N10-Mag	मघाः	α Leo	91.996	0.189	-2200	-2200-12-31T06:00:00	917872.534468
N18-Jye	ज्येष्ठा	α Sco	191.653	-4.030	-2200	-2200-12-31T06:00:00	917872.534468
N19-Mul	मूलं	λ Sco	206.471	-13.199	-2200	-2200-12-31T06:00:00	917872.534468
N20-PAsh	पूर्वाषाढा	λ Sgr	218.276	-1.336	-2200	-2200-12-31T06:00:00	917872.534468
N21-UAsh	उत्तराषाढा	τ Sgr	226.864	-4.287	-2200	-2200-12-31T06:00:00	917872.534468
